EventKey,EmployeeKey,DateKey,DepartmentKey,RoleKey,LocationKey,EmploymentTypeKey,ManagerKey,EventType,EventReason
99,4020,20220404,8,1,8,3,NULL,Rolechange,Promotion to senior
100,4060,20220216,1,31,5,2,NULL,Locationchange,New hire
101,4101,20211231,4,20,2,1,NULL,Termination,Voluntary resignation
102,4142,20211114,7,30,7,3,NULL,Hire,Transfer to new team
103,4182,20210928,10,19,4,2,NULL,Transfer,Promotion to senior
104,4223,20210812,3,29,1,1,NULL,Promotion,New hire
105,4263,20210626,6,18,6,3,NULL,Rolechange,Voluntary resignation
106,4304,20210510,9,28,3,2,NULL,Locationchange,Transfer to new team
107,4345,20210324,2,17,8,1,NULL,Termination,Promotion to senior
108,4385,20210205,5,27,5,3,NULL,Hire,New hire
109,4426,20201220,8,16,2,2,NULL,Transfer,Voluntary resignation
110,4466,20201103,1,26,7,1,NULL,Promotion,Transfer to new team
111,4507,20200917,4,15,4,3,NULL,Rolechange,Promotion to senior
112,4548,20200801,7,25,1,2,NULL,Locationchange,New hire
113,4588,20200615,10,14,6,1,NULL,Termination,Voluntary resignation
114,4629,20200429,3,24,3,3,NULL,Hire,Transfer to new team
115,4669,20200313,6,13,8,2,NULL,Transfer,Promotion to senior
116,4710,20200126,9,23,5,1,NULL,Promotion,New hire
117,4751,20191210,2,12,2,3,NULL,Rolechange,Voluntary resignation
118,4791,20191024,5,22,7,2,NULL,Locationchange,Transfer to new team
119,4832,20190907,8,11,4,1,NULL,Termination,Promotion to senior
120,4872,20190722,1,21,1,3,NULL,Hire,New hire
121,4913,20190605,4,10,6,2,NULL,Transfer,Voluntary resignation
122,4953,20190419,7,40,3,1,NULL,Promotion,Transfer to new team
123,4994,20190303,10,9,8,3,NULL,Rolechange,Promotion to senior
124,5035,20190115,3,39,5,2,NULL,Locationchange,New hire
125,5075,20181129,6,8,2,1,NULL,Termination,Voluntary resignation
126,5116,20181013,9,38,7,3,NULL,Hire,Transfer to new team
127,5156,20180827,2,7,4,2,NULL,Transfer,Promotion to senior
128,5197,20180711,5,37,1,1,NULL,Promotion,New hire
129,5238,20180525,8,6,6,3,NULL,Rolechange,Voluntary resignation
130,5278,20180408,1,36,3,2,NULL,Locationchange,Transfer to new team
131,5319,20180220,4,5,8,1,NULL,Termination,Promotion to senior
132,5359,20180104,7,35,5,3,NULL,Hire,New hire
133,5400,20171118,10,4,2,2,NULL,Transfer,Voluntary resignation
134,5441,20171002,3,34,7,1,NULL,Promotion,Transfer to new team
135,5481,20170816,6,3,4,3,NULL,Rolechange,Promotion to senior
136,5522,20170630,9,33,1,2,NULL,Locationchange,New hire
137,5562,20170514,2,2,6,1,NULL,Termination,Voluntary resignation
138,5603,20170328,5,32,3,3,NULL,Hire,Transfer to new team
139,5643,20170209,8,1,8,2,NULL,Transfer,Promotion to senior
140,5684,20161224,1,31,5,1,NULL,Promotion,New hire
141,5725,20161107,4,20,2,3,NULL,Rolechange,Voluntary resignation
142,5765,20160921,7,30,7,2,NULL,Locationchange,Transfer to new team
143,5806,20160805,10,19,4,1,NULL,Termination,Promotion to senior
144,5846,20160619,3,29,1,3,NULL,Hire,New hire
145,5887,20160503,6,18,6,2,NULL,Transfer,Voluntary resignation
146,5928,20160317,9,28,3,1,NULL,Promotion,Transfer to new team
147,5968,20160130,2,17,8,3,NULL,Rolechange,Promotion to senior
148,6009,20151214,5,27,5,2,NULL,Locationchange,New hire
149,6049,20151028,8,16,2,1,NULL,Termination,Voluntary resignation
150,6090,20150911,1,26,7,3,NULL,Hire,Transfer to new team
151,6131,20150726,4,15,4,2,NULL,Transfer,Promotion to senior
152,6171,20150609,7,25,1,1,NULL,Promotion,New hire
153,6212,20150423,10,14,6,3,NULL,Rolechange,Voluntary resignation
154,6252,20150307,3,24,3,2,NULL,Locationchange,Transfer to new team
155,6293,20150119,6,13,8,1,NULL,Termination,Promotion to senior
156,6334,20241130,9,23,5,3,NULL,Hire,New hire
157,6374,20241014,2,12,2,2,NULL,Transfer,Voluntary resignation
158,6415,20240828,5,22,7,1,NULL,Promotion,Transfer to new team
159,6455,20240712,8,11,4,3,NULL,Rolechange,Promotion to senior
160,6496,20240526,1,21,1,2,NULL,Locationchange,New hire
161,6536,20240409,4,10,6,1,NULL,Termination,Voluntary resignation
162,6577,20240222,7,40,3,3,NULL,Hire,Transfer to new team
163,6618,20240106,10,9,8,2,NULL,Transfer,Promotion to senior
164,6658,20231120,3,39,5,1,NULL,Promotion,New hire
165,6699,20231004,6,8,2,3,NULL,Rolechange,Voluntary resignation
166,6739,20230818,9,38,7,2,NULL,Locationchange,Transfer to new team
167,6780,20230702,2,7,4,1,NULL,Termination,Promotion to senior
168,6821,20230516,5,37,1,3,NULL,Hire,New hire
169,6861,20230330,8,6,6,2,NULL,Transfer,Voluntary resignation
170,6902,20230211,1,36,3,1,NULL,Promotion,Transfer to new team
171,6942,20221226,4,5,8,3,NULL,Rolechange,Promotion to senior
172,6983,20221109,7,35,5,2,NULL,Locationchange,New hire
173,7024,20220923,10,4,2,1,NULL,Termination,Voluntary resignation
174,7064,20220807,3,34,7,3,NULL,Hire,Transfer to new team
175,7105,20220621,6,3,4,2,NULL,Transfer,Promotion to senior
176,7145,20220505,9,33,1,1,NULL,Promotion,New hire
177,7186,20220319,2,2,6,3,NULL,Rolechange,Voluntary resignation
178,7227,20220131,5,32,3,2,NULL,Locationchange,Transfer to new team
179,7267,20211215,8,1,8,1,NULL,Termination,Promotion to senior
180,7308,20211029,1,31,5,3,NULL,Hire,New hire
181,7348,20210912,4,20,2,2,NULL,Transfer,Voluntary resignation
182,7389,20210727,7,30,7,1,NULL,Promotion,Transfer to new team
183,7429,20210610,10,19,4,3,NULL,Rolechange,Promotion to senior
184,7470,20210424,3,29,1,2,NULL,Locationchange,New hire
185,7511,20210308,6,18,6,1,NULL,Termination,Voluntary resignation
186,7551,20210120,9,28,3,3,NULL,Hire,Transfer to new team
187,7592,20201204,2,17,8,2,NULL,Transfer,Promotion to senior
188,7632,20201018,5,27,5,1,NULL,Promotion,New hire
189,7673,20200901,8,16,2,3,NULL,Rolechange,Voluntary resignation
190,7714,20200716,1,26,7,2,NULL,Locationchange,Transfer to new team
191,7754,20200530,4,15,4,1,NULL,Termination,Promotion to senior
192,7795,20200413,7,25,1,3,NULL,Hire,New hire
193,7835,20200226,10,14,6,2,NULL,Transfer,Voluntary resignation
194,7876,20200110,3,24,3,1,NULL,Promotion,Transfer to new team
195,7917,20191124,6,13,8,3,NULL,Rolechange,Promotion to senior
196,7957,20191008,9,23,5,2,NULL,Locationchange,New hire
197,7998,20190822,2,12,2,1,NULL,Termination,Voluntary resignation
198,8038,20190706,5,22,7,3,NULL,Hire,Transfer to new team
199,8079,20190520,8,11,4,2,NULL,Transfer,Promotion to senior
200,8119,20190403,1,21,1,1,NULL,Promotion,New hire
201,8160,20190215,4,10,6,3,NULL,Rolechange,Voluntary resignation
202,8201,20181230,7,40,3,2,NULL,Locationchange,Transfer to new team
203,8241,20181113,10,9,8,1,NULL,Termination,Promotion to senior
204,8282,20180927,3,39,5,3,NULL,Hire,New hire
205,8322,20180811,6,8,2,2,NULL,Transfer,Voluntary resignation
206,8363,20180625,9,38,7,1,NULL,Promotion,Transfer to new team
207,8404,20180509,2,7,4,3,NULL,Rolechange,Promotion to senior
208,8444,20180323,5,37,1,2,NULL,Locationchange,New hire
209,8485,20180204,8,6,6,1,NULL,Termination,Voluntary resignation
210,8525,20171219,1,36,3,3,NULL,Hire,Transfer to new team
211,8566,20171102,4,5,8,2,NULL,Transfer,Promotion to senior
212,8607,20170916,7,35,5,1,NULL,Promotion,New hire
213,8647,20170731,10,4,2,3,NULL,Rolechange,Voluntary resignation
214,8688,20170614,3,34,7,2,NULL,Locationchange,Transfer to new team
215,8728,20170428,6,3,4,1,NULL,Termination,Promotion to senior
216,8769,20170312,9,33,1,3,NULL,Hire,New hire
217,8810,20170124,2,2,6,2,NULL,Transfer,Voluntary resignation
218,8850,20161208,5,32,3,1,NULL,Promotion,Transfer to new team
219,8891,20161022,8,1,8,3,NULL,Rolechange,Promotion to senior
220,8931,20160905,1,31,5,2,NULL,Locationchange,New hire
221,8972,20160720,4,20,2,1,NULL,Termination,Voluntary resignation
222,9012,20160603,7,30,7,3,NULL,Hire,Transfer to new team
223,9053,20160417,10,19,4,2,NULL,Transfer,Promotion to senior
224,9094,20160301,3,29,1,1,NULL,Promotion,New hire
225,9134,20160114,6,18,6,3,NULL,Rolechange,Voluntary resignation
226,9175,20151128,9,28,3,2,NULL,Locationchange,Transfer to new team
227,9215,20151012,2,17,8,1,NULL,Termination,Promotion to senior
228,9256,20150826,5,27,5,3,NULL,Hire,New hire
229,9297,20150710,8,16,2,2,NULL,Transfer,Voluntary resignation
230,9337,20150524,1,26,7,1,NULL,Promotion,Transfer to new team
231,9378,20150407,4,15,4,3,NULL,Rolechange,Promotion to senior
232,9418,20150219,7,25,1,2,NULL,Locationchange,New hire
233,9459,20241231,10,14,6,1,NULL,Termination,Voluntary resignation
234,9500,20241114,3,24,3,3,NULL,Hire,Transfer to new team
235,9540,20240928,6,13,8,2,NULL,Transfer,Promotion to senior
236,9581,20240812,9,23,5,1,NULL,Promotion,New hire
237,9621,20240626,2,12,2,3,NULL,Rolechange,Voluntary resignation
238,9662,20240510,5,22,7,2,NULL,Locationchange,Transfer to new team
239,9702,20240324,8,11,4,1,NULL,Termination,Promotion to senior
240,9743,20240206,1,21,1,3,NULL,Hire,New hire
241,9784,20231221,4,10,6,2,NULL,Transfer,Voluntary resignation
242,9824,20231104,7,40,3,1,NULL,Promotion,Transfer to new team
243,9865,20230918,10,9,8,3,NULL,Rolechange,Promotion to senior
244,9905,20230802,3,39,5,2,NULL,Locationchange,New hire
245,9946,20230616,6,8,2,1,NULL,Termination,Voluntary resignation
246,9987,20230430,9,38,7,3,NULL,Hire,Transfer to new team
247,10027,20230314,2,7,4,2,NULL,Transfer,Promotion to senior
248,10068,20230126,5,37,1,1,NULL,Promotion,New hire
249,10108,20221210,8,6,6,3,NULL,Rolechange,Voluntary resignation
250,10149,20221024,1,36,3,2,NULL,Locationchange,Transfer to new team
251,10190,20220907,4,5,8,1,NULL,Termination,Promotion to senior
252,10230,20220722,7,35,5,3,NULL,Hire,New hire
253,10271,20220605,10,4,2,2,NULL,Transfer,Voluntary resignation
254,10311,20220419,3,34,7,1,NULL,Promotion,Transfer to new team
255,10352,20220303,6,3,4,3,NULL,Rolechange,Promotion to senior
256,10393,20220115,9,33,1,2,NULL,Locationchange,New hire
257,10433,20211129,2,2,6,1,NULL,Termination,Voluntary resignation
258,10474,20211013,5,32,3,3,NULL,Hire,Transfer to new team
259,10514,20210827,8,1,8,2,NULL,Transfer,Promotion to senior
260,10555,20210711,1,31,5,1,NULL,Promotion,New hire
261,10595,20210525,4,20,2,3,NULL,Rolechange,Voluntary resignation
262,10636,20210408,7,30,7,2,NULL,Locationchange,Transfer to new team
263,10677,20210220,10,19,4,1,NULL,Termination,Promotion to senior
264,10717,20210104,3,29,1,3,NULL,Hire,New hire
265,10758,20201118,6,18,6,2,NULL,Transfer,Voluntary resignation
266,10798,20201002,9,28,3,1,NULL,Promotion,Transfer to new team
267,10839,20200816,2,17,8,3,NULL,Rolechange,Promotion to senior
268,10880,20200630,5,27,5,2,NULL,Locationchange,New hire
269,10920,20200514,8,16,2,1,NULL,Termination,Voluntary resignation
270,10961,20200328,1,26,7,3,NULL,Hire,Transfer to new team
271,11001,20200210,4,15,4,2,NULL,Transfer,Promotion to senior
272,11042,20191225,7,25,1,1,NULL,Promotion,New hire
273,11083,20191108,10,14,6,3,NULL,Rolechange,Voluntary resignation
274,11123,20190922,3,24,3,2,NULL,Locationchange,Transfer to new team
275,11164,20190806,6,13,8,1,NULL,Termination,Promotion to senior
276,11204,20190620,9,23,5,3,NULL,Hire,New hire
277,11245,20190504,2,12,2,2,NULL,Transfer,Voluntary resignation
278,11286,20190318,5,22,7,1,NULL,Promotion,Transfer to new team
279,11326,20190130,8,11,4,3,NULL,Rolechange,Promotion to senior
280,11367,20181214,1,21,1,2,NULL,Locationchange,New hire
281,11407,20181028,4,10,6,1,NULL,Termination,Voluntary resignation
282,11448,20180911,7,40,3,3,NULL,Hire,Transfer to new team
283,11488,20180726,10,9,8,2,NULL,Transfer,Promotion to senior
284,11529,20180609,3,39,5,1,NULL,Promotion,New hire
285,11570,20180423,6,8,2,3,NULL,Rolechange,Voluntary resignation
286,11610,20180307,9,38,7,2,NULL,Locationchange,Transfer to new team
287,11651,20180119,2,7,4,1,NULL,Termination,Promotion to senior
288,11691,20171203,5,37,1,3,NULL,Hire,New hire
289,11732,20171017,8,6,6,2,NULL,Transfer,Voluntary resignation
290,11773,20170831,1,36,3,1,NULL,Promotion,Transfer to new team
291,11813,20170715,4,5,8,3,NULL,Rolechange,Promotion to senior
292,11854,20170529,7,35,5,2,NULL,Locationchange,New hire
293,14,20170412,10,4,2,1,NULL,Termination,Voluntary resignation
294,55,20170224,3,34,7,3,NULL,Hire,Transfer to new team
295,96,20170108,6,3,4,2,NULL,Transfer,Promotion to senior
296,136,20161122,9,33,1,1,NULL,Promotion,New hire
297,177,20161006,2,2,6,3,NULL,Rolechange,Voluntary resignation
298,217,20160820,5,32,3,2,NULL,Locationchange,Transfer to new team
299,258,20160704,8,1,8,1,NULL,Termination,Promotion to senior
300,298,20160518,1,31,5,3,NULL,Hire,New hire
301,339,20160401,4,20,2,2,NULL,Transfer,Voluntary resignation
302,380,20160214,7,30,7,1,NULL,Promotion,Transfer to new team
303,420,20151229,10,19,4,3,NULL,Rolechange,Promotion to senior
304,461,20151112,3,29,1,2,NULL,Locationchange,New hire
305,501,20150926,6,18,6,1,NULL,Termination,Voluntary resignation
306,542,20150810,9,28,3,3,NULL,Hire,Transfer to new team
307,583,20150624,2,17,8,2,NULL,Transfer,Promotion to senior
308,623,20150508,5,27,5,1,NULL,Promotion,New hire
309,664,20150322,8,16,2,3,NULL,Rolechange,Voluntary resignation
310,704,20150203,1,26,7,2,NULL,Locationchange,Transfer to new team
311,745,20241215,4,15,4,1,NULL,Termination,Promotion to senior
312,786,20241029,7,25,1,3,NULL,Hire,New hire
313,826,20240912,10,14,6,2,NULL,Transfer,Voluntary resignation
314,867,20240727,3,24,3,1,NULL,Promotion,Transfer to new team
315,907,20240610,6,13,8,3,NULL,Rolechange,Promotion to senior
316,948,20240424,9,23,5,2,NULL,Locationchange,New hire
317,989,20240308,2,12,2,1,NULL,Termination,Voluntary resignation
318,1029,20240121,5,22,7,3,NULL,Hire,Transfer to new team
319,1070,20231205,8,11,4,2,NULL,Transfer,Promotion to senior
320,1110,20231019,1,21,1,1,NULL,Promotion,New hire
321,1151,20230902,4,10,6,3,NULL,Rolechange,Voluntary resignation
322,1191,20230717,7,40,3,2,NULL,Locationchange,Transfer to new team
323,1232,20230531,10,9,8,1,NULL,Termination,Promotion to senior
324,1273,20230414,3,39,5,3,NULL,Hire,New hire
325,1313,20230226,6,8,2,2,NULL,Transfer,Voluntary resignation
326,1354,20230110,9,38,7,1,NULL,Promotion,Transfer to new team
327,1394,20221124,2,7,4,3,NULL,Rolechange,Promotion to senior
328,1435,20221008,5,37,1,2,NULL,Locationchange,New hire
329,1476,20220822,8,6,6,1,NULL,Termination,Voluntary resignation
330,1516,20220706,1,36,3,3,NULL,Hire,Transfer to new team
331,1557,20220520,4,5,8,2,NULL,Transfer,Promotion to senior
332,1597,20220403,7,35,5,1,NULL,Promotion,New hire
333,1638,20220215,10,4,2,3,NULL,Rolechange,Voluntary resignation
334,1679,20211230,3,34,7,2,NULL,Locationchange,Transfer to new team
335,1719,20211113,6,3,4,1,NULL,Termination,Promotion to senior
336,1760,20210927,9,33,1,3,NULL,Hire,New hire
337,1800,20210811,2,2,6,2,NULL,Transfer,Voluntary resignation
338,1841,20210625,5,32,3,1,NULL,Promotion,Transfer to new team
339,1881,20210509,8,1,8,3,NULL,Rolechange,Promotion to senior
340,1922,20210323,1,31,5,2,NULL,Locationchange,New hire
341,1963,20210204,4,20,2,1,NULL,Termination,Voluntary resignation
342,2003,20201219,7,30,7,3,NULL,Hire,Transfer to new team
343,2044,20201102,10,19,4,2,NULL,Transfer,Promotion to senior
344,2084,20200916,3,29,1,1,NULL,Promotion,New hire
345,2125,20200731,6,18,6,3,NULL,Rolechange,Voluntary resignation
346,2166,20200614,9,28,3,2,NULL,Locationchange,Transfer to new team
347,2206,20200428,2,17,8,1,NULL,Termination,Promotion to senior
348,2247,20200312,5,27,5,3,NULL,Hire,New hire
349,2287,20200125,8,16,2,2,NULL,Transfer,Voluntary resignation
350,2328,20191209,1,26,7,1,NULL,Promotion,Transfer to new team
351,2369,20191023,4,15,4,3,NULL,Rolechange,Promotion to senior
352,2409,20190906,7,25,1,2,NULL,Locationchange,New hire
353,2450,20190721,10,14,6,1,NULL,Termination,Voluntary resignation
354,2490,20190604,3,24,3,3,NULL,Hire,Transfer to new team
355,2531,20190418,6,13,8,2,NULL,Transfer,Promotion to senior
356,2572,20190302,9,23,5,1,NULL,Promotion,New hire
357,2612,20190114,2,12,2,3,NULL,Rolechange,Voluntary resignation
358,2653,20181128,5,22,7,2,NULL,Locationchange,Transfer to new team
359,2693,20181012,8,11,4,1,NULL,Termination,Promotion to senior
360,2734,20180826,1,21,1,3,NULL,Hire,New hire
361,2774,20180710,4,10,6,2,NULL,Transfer,Voluntary resignation
362,2815,20180524,7,40,3,1,NULL,Promotion,Transfer to new team
363,2856,20180407,10,9,8,3,NULL,Rolechange,Promotion to senior
364,2896,20180219,3,39,5,2,NULL,Locationchange,New hire
365,2937,20180103,6,8,2,1,NULL,Termination,Voluntary resignation
366,2977,20171117,9,38,7,3,NULL,Hire,Transfer to new team
367,3018,20171001,2,7,4,2,NULL,Transfer,Promotion to senior
368,3059,20170815,5,37,1,1,NULL,Promotion,New hire
369,3099,20170629,8,6,6,3,NULL,Rolechange,Voluntary resignation
370,3140,20170513,1,36,3,2,NULL,Locationchange,Transfer to new team
371,3180,20170327,4,5,8,1,NULL,Termination,Promotion to senior
372,3221,20170208,7,35,5,3,NULL,Hire,New hire
373,3262,20161223,10,4,2,2,NULL,Transfer,Voluntary resignation
374,3302,20161106,3,34,7,1,NULL,Promotion,Transfer to new team
375,3343,20160920,6,3,4,3,NULL,Rolechange,Promotion to senior
376,3383,20160804,9,33,1,2,NULL,Locationchange,New hire
377,3424,20160618,2,2,6,1,NULL,Termination,Voluntary resignation
378,3465,20160502,5,32,3,3,NULL,Hire,Transfer to new team
379,3505,20160316,8,1,8,2,NULL,Transfer,Promotion to senior
380,3546,20160129,1,31,5,1,NULL,Promotion,New hire
381,3586,20151213,4,20,2,3,NULL,Rolechange,Voluntary resignation
382,3627,20151027,7,30,7,2,NULL,Locationchange,Transfer to new team
383,3667,20150910,10,19,4,1,NULL,Termination,Promotion to senior
384,3708,20150725,3,29,1,3,NULL,Hire,New hire
385,3749,20150608,6,18,6,2,NULL,Transfer,Voluntary resignation
386,3789,20150422,9,28,3,1,NULL,Promotion,Transfer to new team
387,3830,20150306,2,17,8,3,NULL,Rolechange,Promotion to senior
388,3870,20150118,5,27,5,2,NULL,Locationchange,New hire
389,3911,20241129,8,16,2,1,NULL,Termination,Voluntary resignation
390,3952,20241013,1,26,7,3,NULL,Hire,Transfer to new team
391,3992,20240827,4,15,4,2,NULL,Transfer,Promotion to senior
392,4033,20240711,7,25,1,1,NULL,Promotion,New hire
393,4073,20240525,10,14,6,3,NULL,Rolechange,Voluntary resignation
394,4114,20240408,3,24,3,2,NULL,Locationchange,Transfer to new team
395,4155,20240221,6,13,8,1,NULL,Termination,Promotion to senior
396,4195,20240105,9,23,5,3,NULL,Hire,New hire
397,4236,20231119,2,12,2,2,NULL,Transfer,Voluntary resignation
398,4276,20231003,5,22,7,1,NULL,Promotion,Transfer to new team
399,4317,20230817,8,11,4,3,NULL,Rolechange,Promotion to senior
400,4357,20230701,1,21,1,2,NULL,Locationchange,New hire
401,4398,20230515,4,10,6,1,NULL,Termination,Voluntary resignation
402,4439,20230329,7,40,3,3,NULL,Hire,Transfer to new team
403,4479,20230210,10,9,8,2,NULL,Transfer,Promotion to senior
404,4520,20221225,3,39,5,1,NULL,Promotion,New hire
405,4560,20221108,6,8,2,3,NULL,Rolechange,Voluntary resignation
406,4601,20220922,9,38,7,2,NULL,Locationchange,Transfer to new team
407,4642,20220806,2,7,4,1,NULL,Termination,Promotion to senior
408,4682,20220620,5,37,1,3,NULL,Hire,New hire
409,4723,20220504,8,6,6,2,NULL,Transfer,Voluntary resignation
410,4763,20220318,1,36,3,1,NULL,Promotion,Transfer to new team
411,4804,20220130,4,5,8,3,NULL,Rolechange,Promotion to senior
412,4845,20211214,7,35,5,2,NULL,Locationchange,New hire
413,4885,20211028,10,4,2,1,NULL,Termination,Voluntary resignation
414,4926,20210911,3,34,7,3,NULL,Hire,Transfer to new team
415,4966,20210726,6,3,4,2,NULL,Transfer,Promotion to senior
416,5007,20210609,9,33,1,1,NULL,Promotion,New hire
417,5048,20210423,2,2,6,3,NULL,Rolechange,Voluntary resignation
418,5088,20210307,5,32,3,2,NULL,Locationchange,Transfer to new team
