Title ID;Type;Title;Production year;Duration;# Titles
tt0158466;TV Miniseries;Anne of Green Gables: The Continuing Story;2000;185;1
tt0158581;Film;Shit Happens;2000;114;1
tt0158607;Film;Evicted;2000;99;1
tt0158622;Film;The Flintstones in Viva Rock Vegas;2000;90;1
tt0158871;Film;På fremmed mark;2000;93;1
tt0159273;Film;Behind Enemy Lines;2001;106;1
tt0159290;Film;Bluebird;2004;77;1
tt0159291;Film;Attention Shoppers;2000;87;1
tt0159365;Film;Cold Mountain;2003;154;1
tt0159369;Film;Cooper and Hemingway: The True Gen;2013;180;1
tt0159371;Film;Impact;2000;90;1
tt0159396;Film;Civility;2000;82;1
tt0159784;Film;Takedown;2000;92;1
tt0160009;Film;The Art of War;2000;117;1
tt0160127;Film;Charlie's Angels;2000;98;1
tt0160182;Film;Desperate But Not Serious;2000;94;1
tt0160184;Film;Eye See You;2002;96;1
tt0160239;Film;Duty Dating;2002;94;1
tt0160256;Film;The Unscarred;2000;92;1
tt0160261;Film;False River;2005;90;1
tt0160270;Film;Fat Chance;2001;90;1
tt0160275;Film;Final Solution;2001;102;1
tt0160289;Film;Four Dogs Playing Poker;2000;97;1
tt0160399;Film;Impostor;2001;95;1
tt0160403;Film;The Independent;2000;81;1
tt0160405;Film;Internet Love;2000;110;1
tt0160447;Film;The Last Great Ride;2000;89;1
tt0160480;Film;Long Lost Love;2001;93;1
tt0160484;Film;Lost Souls;2000;97;1
tt0160495;Film;Luckytown;2000;101;1
tt0160547;Film;More Dogs Than Bones;2000;92;1
tt0160550;Film;Moscow;2000;139;1
tt0160611;Film;Ordinary Decent Criminal;2000;93;1
tt0160616;Film;Other Voices;2000;104;1
tt0160644;Film;Passion of Mind;2000;105;1
tt0160652;Film;The Perfect Tenant;2000;93;1
tt0160663;Film;Blast;2000;88;1
tt0160706;Film;The Prodigy;2005;120;1
tt0160710;Film;Punks;2000;91;1
tt0160751;Film;The Redemption;2000;105;1
tt0160759;Film;Breathing Under Water;2000;45;1
tt0160797;Film;Rules of Engagement;2000;128;1
tt0160859;Film;Shades of Darkness;2000;88;1
tt0160904;TV Series;MI-5;2002;60;1
tt0160905;Film;Spooky House;2002;106;1
tt0161081;Film;What Lies Beneath;2000;130;1
tt0161083;Film;What's the Worst That Could Happen?;2001;94;1
tt0161216;Film;Steal This Movie;2000;107;1
tt0161539;Film;Max;2000;85;1
tt0161860;Film;Nowhere in Africa;2001;141;1
tt0162030;Film;Unseen Evil;2001;93;1
tt0162203;Film;Blue Shark Hash;2001;93;1
tt0162222;Film;Cast Away;2000;143;1
tt0162346;Film;Ghost World;2001;111;1
tt0162650;Film;Shaft;2000;99;1
tt0162711;Film;Trixie;2000;116;1
tt0162838;Film;Three Days of Rain;2002;98;1
tt0162862;Film;António, Um Rapaz de Lisboa;2002;116;1
tt0162901;Film;Kasbah;2000;99;1
tt0162942;Film;Children of the Green Dragon;2010;89;1
tt0162983;Film;Hanging Up;2000;94;1
tt0163025;Film;Jurassic Park III;2001;92;1
tt0163080;Film;The Magic Pudding;2000;80;1
tt0163125;Film;The Operator;2000;102;1
tt0163141;Film;Enchanted Interlude;2000;88;1
tt0163246;Film;Skippy;2001;90;1
tt0163596;Film;Dark Water;2001;92;1
tt0163676;Film;The In Crowd;2000;105;1
tt0163745;Film;The Debut;2000;94;1
tt0163764;Film;Net Worth;2001;94;1
tt0163887;TV Movie;The Audrey Hepburn Story;2000;133;1
tt0163944;TV Miniseries;Labyrinten;2000;259;1
tt0163978;Film;The Beach;2000;119;1
tt0163983;Film;Bless the Child;2000;107;1
tt0164003;Film;City of Ghosts;2002;116;1
tt0164052;Film;Hollow Man;2000;112;1
tt0164182;Film;The Stonecutter;2000;95;1
tt0164184;Film;The Sum of All Fears;2002;124;1
tt0164192;Film;Boltneck;2000;92;1
tt0164212;Film;Under Suspicion;2000;110;1
tt0164318;Film;Across the Line;2000;99;1
tt0164334;Film;Along Came a Spider;2001;104;1
tt0164545;Film;Doomsday Man;2000;89;1
tt0164810;Film;Pipe Dream;2002;91;1
tt0164953;Film;Urban Mythology;2000;109;1
tt0164961;Film;Vidocq;2001;98;1
tt0164962;TV Movie;The Virginian;2000;95;1
tt0165361;Film;Highway;2002;97;1
tt0165642;Film;Black Sea 213;2000;85;1
tt0165713;Film;The Distinct Smell of Red;2001;81;1
tt0165800;Film;The Giving Tree;2000;89;1
tt0165832;Film;Interstate 60;2002;116;1
tt0165929;Film;Romeo Must Die;2000;115;1
tt0165982;Film;Sinbad: Legend of the Seven Seas;2003;88;1
tt0166013;Film;When the Sky Falls;2000;107;1
tt0166110;Film;Bones;2001;96;1
tt0166158;Film;Daddy and Them;2001;101;1
tt0166192;Film;Finding Kelly;2000;88;1
tt0166276;Film;Monkeybone;2001;93;1
tt0166339;Film;Screenland Drive;2000;89;1
tt0166370;Film;Subconscious Cruelty;2000;92;1
tt0166649;Film;Holgi;2000;90;1
tt0166709;Film;Posthumous Memories;2001;101;1
tt0166813;Film;Spirit: Stallion of the Cimarron;2002;83;1
tt0166871;Film;Viúva Rica Solteira Não Fica;2006;135;1
tt0166924;Film;Mulholland Dr.;2001;147;1
tt0167116;Film;Desert Saints;2002;88;1
tt0167183;Film;The Girls' Room;2000;101;1
tt0167190;Film;Hellboy;2004;122;1
tt0167203;Film;I Dreamed of Africa;2000;114;1
tt0167260;Film;The Lord of the Rings: The Return of the King;2003;201;1
tt0167261;Film;The Lord of the Rings: The Two Towers;2002;179;1
tt0167367;Film;Red Team;2000;90;1
tt0167380;Film;The Captain's Daughter;2000;130;1
tt0167456;Film;Thunderbirds;2004;95;1
tt0167701;TV Series;Randall & Hopkirk (Deceased);2000;50;1
tt0167936;Film;Film;2000;92;1
tt0168446;Film;Aberdeen;2000;113;1
tt0168504;Film;A Better Way to Die;2000;101;1
tt0168509;Film;The Bird Watcher;2000;84;1
tt0168578;Film;Chicks, Man;2000;93;1
tt0168612;Film;The Playaz Court;2000;97;1
tt0168629;Film;Dancer in the Dark;2000;140;1
tt0168631;Film;Innocents;2000;90;1
tt0168714;Film;Dream Witch;2000;70;1
tt0168786;Film;Antwone Fisher;2002;120;1
tt0168847;Film;When Grandpa Loved Rita Hayworth;2000;90;1
tt0168856;Film;A Fish Tale;2000;80;1
tt0169102;Film;Lagaan: Once Upon a Time in India;2001;224;1
tt0169324;Film;Tick Tock;2000;95;1
tt0169514;TV Movie;Witchblade;2000;94;1
tt0169543;Film;Almost Blue;2000;86;1
tt0169579;Film;Baggage;2003;90;1
tt0170008;Film;Hollywood Palms;2001;86;1
tt0170016;Film;Dr. Seuss' How the Grinch Stole Christmas;2000;104;1
tt0170260;Film;Morgan's Ferry;2001;91;1
tt0170452;Film;Prince of Central Park;2000;109;1
tt0170508;Film;Il resto di niente;2004;103;1
tt0170517;Film;The Life of Aleksis Kivi;2001;104;1
tt0170549;Film;Savage Honeymoon;2000;90;1
tt0170691;Film;Tigerland;2000;101;1
tt0171356;Film;Gun Shy;2000;101;1
tt0171359;Film;Hamlet;2000;112;1
tt0171433;Film;Keeping the Faith;2000;128;1
tt0171580;Film;Nurse Betty;2000;110;1
tt0171827;Film;The Thundering 8th;2000;100;1
tt0171928;Film;The Xango from Baker Street;2001;124;1
tt0172109;Film;Alex l'ariete;2000;122;1
tt0172156;Film;Bad Boys II;2003;147;1
tt0172160;Film;Ballen i øyet;2000;81;1
tt0172495;Film;Gladiator;2000;155;1
tt0172543;Film;He Died with a Felafel in His Hand;2001;107;1
tt0172632;Film;Joe Gould's Secret;2000;104;1
tt0172699;Film;Labor Pains;2000;90;1
tt0172949;Film;Party Crasher: My Bloody Birthday;2000;91;1
tt0172995;Film;Play Dead;2001;79;1
tt0173498;Film;Zigs;2001;93;1
tt0173716;Film;Cecil B. Demented;2000;87;1
tt0173840;Film;Final Fantasy: The Spirits Within;2001;106;1
tt0173999;Film;The Magic of Marciano;2000;100;1
tt0174336;Film;Whipped;2000;82;1
tt0174480;Film;Autumn in New York;2000;103;1
tt0174646;Film;Just for the Time Being;2000;79;1
tt0174732;Film;Herman U.S.A.;2001;89;1
tt0175142;Film;Scary Movie;2000;88;1
tt0175203;Film;The Stone Raft;2002;117;1
tt0175526;Film;Cherry Falls;2000;92;1
tt0175557;Film;O Delfim;2002;88;1
tt0176185;Film;The Story of O: Untold Pleasures;2002;98;1
tt0176244;Film;Tripfall;2000;91;1
tt0176578;Film;Building Bridges;2000;45;1
tt0176579;Film;Bullfighter;2000;90;1
tt0176650;Film;Delta Force One: The Lost Patrol;2000;93;1
tt0176694;Film;The Tragedy of Man;2011;160;1
tt0176783;Film;Gossip;2000;90;1
tt0176883;Film;Kids World;2001;93;1
tt0177068;Film;Once in the Life;2000;107;1
tt0177185;Film;The Rowdy Girls;2000;90;1
tt0177195;Film;Sample People;2000;97;1
tt0177513;Film;All the Wrong Places;2000;95;1
tt0177636;Film;Beloved Clara;2008;107;1
tt0177650;Film;Company Man;2000;95;1
tt0177845;Film;Hotel Splendide;2000;98;1
tt0177858;Film;In July;2000;99;1
tt0177882;Film;Kebab Connection;2004;96;1
tt0177885;Film;Killer Bud;2001;92;1
tt0177971;Film;The Perfect Storm;2000;130;1
tt0177997;Film;Women of the Night;2001;97;1
tt0178043;Film;Stranger Than Fiction;2000;90;1
tt0178050;Film;Sunset Strip;2000;90;1
tt0178132;TV Series;Don Matteo;2000;50;1
tt0178140;TV Miniseries;The Wide Net;2000;176;1
tt0178642;Film;The Invisible Circus;2001;93;1
tt0178655;Film;Exit;2000;110;1
tt0178866;Film;Rhythm & Blues;2000;98;1
tt0179051;TV Miniseries;Ted and Alice;2002;180;1
tt0179098;Film;Moonlight Mile;2002;117;1
tt0179137;Film;Coronation;2000;140;1
tt0179144;Film;Dean Quixote;2000;90;1
tt0179183;Film;Fortress 2;2000;92;1
tt0179344;Film;Tell Me No Lies;2001;91;1
tt0179400;Film;Out of Depth;2000;100;1
tt0179435;Film;The Proposal;2001;91;1
tt0179443;Film;Rancid Aluminum;2000;91;1
tt0179473;Film;South of Heaven, West of Hell;2000;131;1
tt0179626;Film;15 Minutes;2001;120;1
tt0179653;Film;Astoria;2000;103;1
tt0179677;Film;Rats and Rabbits;2000;90;1
tt0179735;Film;The Confidence Man;2001;94;1
tt0179803;Film;Angels with Angles;2005;87;1
tt0179861;Film;Icebreaker;2000;90;1
tt0179987;Film;Mondialito;2000;100;1
tt0180052;Film;The Adventures of Pluto Nash;2002;95;1
tt0180073;Film;Quills;2000;124;1
tt0180093;Film;Requiem for a Dream;2000;102;1
tt0180273;Film;Understanding Jane;2001;97;1
tt0180683;Film;Everything's Jake;2000;92;1
tt0180734;Film;Hardball;2001;106;1
tt0180837;Film;Bossa Nova;2000;95;1
tt0180894;Film;Odmazda;2001;103;1
tt0181151;Film;What Planet Are You From?;2000;105;1
tt0181199;TV Miniseries;Arabian Nights;2000;175;1
tt0181212;TV Movie;Don Quixote;2000;120;1
tt0181248;TV Series;Paradise Falls;2001;30;1
tt0181311;Film;Best;2000;102;1
tt0181317;Film;Bodywork;2001;92;1
tt0181536;Film;Finding Forrester;2000;136;1
tt0181594;Film;In Our Own Hands;2000;85;1
tt0181689;Film;Minority Report;2002;145;1
tt0181739;Film;Osmosis Jones;2001;95;1
tt0181819;Film;The Birthday;2000;114;1
tt0181836;Film;The Specials;2000;82;1
tt0181852;Film;Terminator 3: Rise of the Machines;2003;109;1
tt0181865;Film;Traffic;2000;147;1
tt0181875;Film;Almost Famous;2000;122;1
tt0181912;Film;In Praise of Love;2001;97;1
tt0181945;Film;A Piece of Eden;2000;106;1
tt0181984;Film;Boiler Room;2000;120;1
tt0182000;Film;The Caveman's Valentine;2001;105;1
tt0182027;Film;The Cure for Boredom;2001;87;1
tt0182295;Film;Love's Labour's Lost;2000;93;1
tt0182508;Film;Urbania;2000;103;1
tt0183056;Film;Esther Kahn;2000;142;1
tt0183113;Film;Gentleman B.;2000;89;1
tt0183142;Film;Gunblast Vodka;2000;97;1
tt0183280;Film;Intrepid;2000;90;1
tt0183423;Film;Love Beat the Hell Outta Me;2000;89;1
tt0183488;Film;A Man Is Mostly Water;2000;110;1
tt0183505;Film;Me, Myself & Irene;2000;116;1
tt0183523;Film;Mission to Mars;2000;114;1
tt0183550;Film;My Mother Frank;2000;95;1
tt0183595;Film;The Old Place;2000;49;1
tt0183620;TV Movie;Out of the Wilderness;2001;98;1
tt0183649;Film;Phone Booth;2002;81;1
tt0183659;Film;Pollock;2000;122;1
tt0183790;Film;A Knight's Tale;2001;132;1
tt0183869;Film;Taxi 2;2000;88;1
tt0183946;Film;Undertaker's Paradise;2000;91;1
tt0184009;Film;What I Like About You;2000;90;1
tt0184384;Film;A Day in Black and White;2001;80;1
tt0184387;Film;Dead Man's Dream;2002;100;1
tt0184457;Film;Farewell, My Love;2000;90;1
tt0184596;Film;Hundhotellet;2000;68;1
tt0184791;Film;O;2001;95;1
tt0184849;Film;Raluy, una noche en el circo;2000;76;1
tt0184858;Film;Reindeer Games;2000;104;1
tt0184894;Film;Shanghai Noon;2000;110;1
tt0184907;Film;Snow Day;2000;89;1
tt0185007;Film;Whispers: An Elephant's Tale;2000;72;1
tt0185014;Film;Wonder Boys;2000;107;1
tt0185170;Film;Babaouo;2000;70;1
tt0185183;Film;Battlefield Earth;2000;118;1
tt0185215;Film;Toreros;2000;85;1
tt0185431;Film;Little Nicky;2000;90;1
tt0185651;TV Movie;Run the Wild Fields;2000;101;1
tt0185906;TV Miniseries;Band of Brothers;2001;594;1
tt0186045;Film;Drowning Mona;2000;96;1
tt0186151;Film;Frequency;2000;118;1
tt0186183;Film;The Guilty;2000;108;1
tt0186202;Film;Cowboy Up;2001;105;1
tt0186221;Film;A House by the Sea;2000;93;1
tt0186454;Film;Point Doom;2000;100;1
tt0186549;Film;The Simian Line;2000;106;1
tt0186566;Film;Space Cowboys;2000;130;1
tt0186589;Film;Sugar & Spice;2001;81;1
tt0186785;Film;Greener;2004;89;1
tt0186894;Film;Bounce;2000;106;1
tt0186895;Film;Les Boys III;2001;124;1
tt0186975;Film;Down to You;2000;91;1
tt0187078;Film;Gone in 60 Seconds;2000;118;1
tt0187279;Film;Meri Biwi Ka Jawab Nahin;2004;150;1
tt0187387;Film;Living the Life;2000;90;1
tt0187393;Film;The Patriot;2000;165;1
tt0187474;Film;The King's Daughters;2000;119;1
tt0187512;Film;Slap Her, She's French!;2002;92;1
tt0187559;Film;Playing Mona Lisa;2000;97;1
tt0187621;TV Series;Beast;2000;29;1
tt0187622;TV Series;Baddiel's Syndrome;2001;25;1
tt0187696;Film;Anatomy;2000;103;1
tt0187738;Film;Blade II;2002;117;1
tt0187750;Film;Primary Suspect;2000;91;1
tt0187761;Film;Brooklyn Sonnet;2000;95;1
tt0187880;Film;Highway Society;2000;90;1
tt0188045;Film;Magicians;2000;108;1
tt0188055;Film;Mercy;2000;117;1
tt0188128;Film;Very Annie Mary;2001;104;1
tt0188135;Film;The Geography of Fear;2000;95;1
tt0188160;Film;Price of Glory;2000;118;1
tt0188350;TV Movie;The New Country;2000;232;1
tt0188453;Film;Birthday Girl;2001;93;1
tt0188490;Film;Catalina Trust;2000;92;1
tt0188518;Film;Complicity;2000;99;1
tt0188575;Film;Dragon and the Hawk;2001;86;1
tt0188688;Film;Insatiable Wives;2000;78;1
tt0189192;Film;Just Visiting;2001;88;1
tt0189281;TV Series;Lyon police spéciale;2000;50;1
tt0189303;TV Series;Sauvetage;2000;52;1
tt0189456;Film;Cut;2000;82;1
tt0189509;Film;Turbulence;2000;95;1
tt0189541;Film;Gabriela;2001;93;1
tt0189960;Film;The Heart's Root;2000;118;1
tt0189998;Film;Shadow of the Vampire;2000;92;1
tt0190052;Film;Surrender;2000;94;1
tt0190138;Film;The Whole Nine Yards;2000;98;1
tt0190332;Film;Crouching Tiger, Hidden Dragon;2000;120;1
tt0190346;Film;The Dancer;2000;89;1
tt0190374;Film;Dungeons & Dragons;2000;107;1
tt0190398;Film;Flight of Fancy;2000;96;1
tt0190449;Film;Heller als der Mond;2000;88;1
tt0190524;Film;Left Behind: The Movie;2000;100;1
tt0190590;Film;O Brother, Where Art Thou?;2000;107;1
tt0190736;Film;Sand;2000;89;1
tt0190841;TV Miniseries;Aeon - Countdown im All;2000;95;1
tt0190861;Film;Vatel;2000;103;1
tt0190865;Film;Vertical Limit;2000;124;1
tt0190938;Film;Swindle;2002;93;1
tt0190975;Film;Low-Flying Aircraft;2002;80;1
tt0190994;Film;Cold Blooded;2000;97;1
tt0191037;Film;Circus;2000;95;1
tt0191074;Film;New Best Friend;2002;91;1
tt0191133;Film;The Fighting Temptations;2003;123;1
tt0191161;Film;Light Drops;2002;103;1
tt0191177;Film;Dischord;2001;102;1
tt0191211;Film;Jersey Guy;2003;90;1
tt0191242;Film;The Last Stop;2000;94;1
tt0191352;Film;Moonfish;2000;124;1
tt0191397;Film;The Replacements;2000;118;1
tt0191636;Film;The Widow of Saint-Pierre;2000;112;1
tt0191754;Film;28 Days;2000;103;1
tt0191787;Film;Apartment Hunting;2000;89;1
tt0191865;Film;La carbonara;2000;100;1
tt0192023;Film;Finder's Fee;2001;100;1
tt0192071;Film;Get Over It;2001;87;1
tt0192110;Film;Head Games;2001;90;1
tt0192111;Film;Head Over Heels;2001;86;1
tt0192126;Film;Honest;2000;110;1
tt0192237;Film;Leo und Claire;2001;103;1
tt0192255;Film;The Little Vampire;2000;95;1
tt0192263;TV Movie;Longitude;2000;200;1
tt0192295;Film;Marlene;2000;132;1
tt0192346;Film;Shadows of Memories;2000;122;1
tt0192407;Film;Otto - Der Katastrofenfilm;2000;92;1
tt0192455;Film;Picking Up the Pieces;2000;95;1
tt0192528;Film;Heaven & Hell;2018;104;1
tt0192614;Film;The Skulls;2000;106;1
tt0192678;Film;Tierra del fuego;2000;108;1
tt0192719;Film;No Alibi;2000;90;1
tt0192731;Film;Urban Legends: Final Cut;2000;97;1
tt0192788;Film;Where the Red Fern Grows;2003;86;1
tt0192789;Film;While Supplies Last;2002;120;1
tt0192912;Film;Married 2 Malcolm;2000;76;1
tt0192947;Film;12;2003;124;1
tt0192949;Film;Stardom;2000;100;1
tt0193011;Film;Black Ball;2003;80;1
tt0193135;Film;Enemies of Laughter;2000;90;1
tt0193318;Film;Merlin: The Return;2000;90;1
tt0193364;Film;The Order;2001;89;1
tt0193365;Film;Orphan;2001;99;1
tt0193537;Film;Summer Rain;2001;92;1
tt0193545;Film;Looking for Leonard;2002;87;1
tt0193560;Film;Texas Rangers;2001;90;1
tt0193701;Film;Accelerator;2000;86;1
tt0193732;TV Movie;Missing Pieces;2000;96;1
tt0193741;Film;Badding;2000;103;1
tt0193854;Film;A Shot at Glory;2000;114;1
tt0194026;Film;A Charming Mass Suicide;2000;118;1
tt0194027;Film;Abandoned Houses, Empty Homes;2000;103;1
tt0194104;Film;Leak;2000;105;1
tt0194143;Film;Meet Prince Charming;2002;94;1
tt0194218;Film;Panic;2000;88;1
tt0194342;TV Movie;Second String;2002;100;1
tt0194368;Film;Chain of Fools;2000;98;1
tt0194410;Film;The Stray;2000;90;1
tt0194422;TV Movie;Seventeen Again;2000;97;1
tt0194519;Film;We Married Margo;2000;85;1
tt0194608;TV Miniseries;Edderkoppen;2000;58;1
tt0194704;Film;Birds of Passage;2001;115;1
tt0194811;Film;Sos Laribiancos - I dimenticati;2000;102;1
tt0194852;Film;Un amor de Borges;2000;92;1
tt0195001;Film;Kanak Attack;2000;86;1
tt0195108;Film;Lies... In Love;2001;97;1
tt0195119;Film;Osmosis;2003;75;1
tt0195165;TV Movie;Possessed;2000;110;1
