Location;Hour of the day;Avg hourly visitors
Main Staircase;12;4032
Main Staircase;13;7870
Main Staircase;14;4628
Main Staircase;15;1591
Main Staircase;16;6426
Main Staircase;17;2622
Main Staircase;18;1539
Main Staircase;19;1908
Main Staircase;20;561
Cloakroom;8;724
Cloakroom;9;1207
Cloakroom;10;1891
Cloakroom;11;2112
Cloakroom;12;2689
Cloakroom;13;2049
Cloakroom;14;4428
Cloakroom;15;829
Cloakroom;16;1382
Cloakroom;17;1351
Cloakroom;18;1494
Cloakroom;19;1369
Cloakroom;20;763
Modern Art (movie room);8;1294
Modern Art (movie room);9;702
Modern Art (movie room);10;3152
Modern Art (movie room);11;1295
Modern Art (movie room);12;1443
Modern Art (movie room);13;3820
Modern Art (movie room);14;6305
Modern Art (movie room);15;3887
Modern Art (movie room);16;3710
Modern Art (movie room);17;3110
Modern Art (movie room);18;2692
Modern Art (movie room);19;1577
Modern Art (movie room);20;567
Contemporary Art for kids;8;1062
Contemporary Art for kids;9;770
Contemporary Art for kids;10;2527
Contemporary Art for kids;11;1172
Contemporary Art for kids;12;2907
Contemporary Art for kids;13;3602
Contemporary Art for kids;14;2862
Contemporary Art for kids;15;1580
Contemporary Art for kids;16;4453
Contemporary Art for kids;17;2092
Contemporary Art for kids;18;938
Contemporary Art for kids;19;576
Contemporary Art for kids;20;425
Contemporary paintings;8;971
Contemporary paintings;9;1096
Contemporary paintings;10;1320
Contemporary paintings;11;1974
Contemporary paintings;12;2658
Contemporary paintings;13;4776
Contemporary paintings;14;4790
Contemporary paintings;15;2996
Contemporary paintings;16;4158
Contemporary paintings;17;1500
Contemporary paintings;18;2815
Contemporary paintings;19;1378
Contemporary paintings;20;1105
Pre-hall;8;856
Pre-hall;9;1560
Pre-hall;10;1666
Pre-hall;11;2704
Pre-hall;12;3101
Pre-hall;13;4789
Pre-hall;14;2384
Pre-hall;15;3336
Pre-hall;16;4046
Pre-hall;17;1212
Pre-hall;18;1034
Pre-hall;19;1969
Pre-hall;20;541
Modern Art Gallery;8;342
Modern Art Gallery;9;1168
Modern Art Gallery;10;2101
Modern Art Gallery;11;3416
Modern Art Gallery;12;1122
Modern Art Gallery;13;1800
Modern Art Gallery;14;2876
Modern Art Gallery;15;2027
Modern Art Gallery;16;3446
Modern Art Gallery;17;1175
Modern Art Gallery;18;1525
Modern Art Gallery;19;878
Modern Art Gallery;20;519
Modern Art for kids;8;935
Modern Art for kids;9;392
Modern Art for kids;10;1339
Modern Art for kids;11;2721
Modern Art for kids;12;1160
Modern Art for kids;13;4163
Modern Art for kids;14;4928
Modern Art for kids;15;1817
Modern Art for kids;16;1584
Modern Art for kids;17;1920
Modern Art for kids;18;1287
Modern Art for kids;19;1210
Modern Art for kids;20;822
Peter Dawson paintings;8;1150
Peter Dawson paintings;9;1240
Peter Dawson paintings;10;1704
Peter Dawson paintings;11;2902
Peter Dawson paintings;12;3642
Peter Dawson paintings;13;4858
Peter Dawson paintings;14;2276
Peter Dawson paintings;15;4165
Peter Dawson paintings;16;4273
Peter Dawson paintings;17;2768
Peter Dawson paintings;18;1169
Peter Dawson paintings;19;1873
Peter Dawson paintings;20;1215
Ann Fielding expo;8;850
Ann Fielding expo;9;1516
Ann Fielding expo;10;2291
Ann Fielding expo;11;2307
Ann Fielding expo;12;2938
Ann Fielding expo;13;5664
Ann Fielding expo;14;5995
Ann Fielding expo;15;1116
Ann Fielding expo;16;4110
Ann Fielding expo;17;2579
Ann Fielding expo;18;763
Ann Fielding expo;19;513
Ann Fielding expo;20;667
Main Hallway;8;1029
Main Hallway;9;1785
Main Hallway;10;1123
Main Hallway;11;2255
Main Hallway;12;3709
Main Hallway;13;4312
Main Hallway;14;3452
Main Hallway;15;4644
Main Hallway;16;2877
Main Hallway;17;3718
Main Hallway;18;2382
Main Hallway;19;2248
Main Hallway;20;1424
Marc Lennox expo;8;451
Marc Lennox expo;9;841
Marc Lennox expo;10;1132
Marc Lennox expo;11;1460
Marc Lennox expo;12;2742
Marc Lennox expo;13;3868
Marc Lennox expo;14;3844
Marc Lennox expo;15;3539
Marc Lennox expo;16;3548
Marc Lennox expo;17;1957
Marc Lennox expo;18;1030
Marc Lennox expo;19;1365
Marc Lennox expo;20;711
Gina Rogers installation;8;1292
Gina Rogers installation;9;1576
Gina Rogers installation;10;2553
Gina Rogers installation;11;3920
Gina Rogers installation;12;3159
Gina Rogers installation;13;1766
Gina Rogers installation;14;5497
Gina Rogers installation;15;3507
Gina Rogers installation;16;2185
Gina Rogers installation;17;3496
Gina Rogers installation;18;2887
Gina Rogers installation;19;2199
Gina Rogers installation;20;1080
Annie Smith expo;8;351
Annie Smith expo;9;1085
Annie Smith expo;10;1864
Annie Smith expo;11;1809
Annie Smith expo;12;2441
Annie Smith expo;13;3207
Annie Smith expo;14;3323
Annie Smith expo;15;1517
Annie Smith expo;16;1153
Annie Smith expo;17;2470
Annie Smith expo;18;2062
Annie Smith expo;19;1445
Annie Smith expo;20;334
Toilets left;8;407
Toilets left;9;255
Toilets left;10;710
Toilets left;11;740
Toilets left;12;588
Toilets left;13;2734
Toilets left;14;2723
Toilets left;15;1822
Toilets left;16;1887
Toilets left;17;1428
Toilets left;18;1340
Toilets left;19;781
Toilets left;20;553
Toilets right;8;709
Toilets right;9;780
Toilets right;10;2128
Toilets right;11;857
Toilets right;12;1571
Toilets right;13;2933
Toilets right;14;1582
Toilets right;15;2605
Toilets right;16;2179
Toilets right;17;1176
Toilets right;18;1755
Toilets right;19;1365
Toilets right;20;724
Andy Pearson paintings;8;897
Andy Pearson paintings;9;1318
Andy Pearson paintings;10;1532
Andy Pearson paintings;11;3249
Andy Pearson paintings;12;2830
Andy Pearson paintings;13;3575
Andy Pearson paintings;14;4948
Andy Pearson paintings;15;1797
Andy Pearson paintings;16;3828
Andy Pearson paintings;17;2904
Andy Pearson paintings;18;1575
Andy Pearson paintings;19;1885
Andy Pearson paintings;20;753
Cathy Brooks installation;8;1321
Cathy Brooks installation;9;979
Cathy Brooks installation;10;3339
Cathy Brooks installation;11;1409
Cathy Brooks installation;12;1571
Cathy Brooks installation;13;2871
Cathy Brooks installation;14;6974
Cathy Brooks installation;15;1481
Cathy Brooks installation;16;5220
Cathy Brooks installation;17;1644
Cathy Brooks installation;18;2584
Cathy Brooks installation;19;1850
Cathy Brooks installation;20;960
Patio left;8;249
Patio left;9;310
Patio left;10;1861
Patio left;11;1621
Patio left;12;1287
Patio left;13;2416
Patio left;14;1251
Patio left;15;1537
Patio left;16;2216
Patio left;17;1264
Patio left;18;1792
Patio left;19;432
Patio left;20;868
Evacuation stairs left;8;0
Evacuation stairs left;9;1
Evacuation stairs left;10;1
Evacuation stairs left;11;3
Evacuation stairs left;12;1
Evacuation stairs left;13;1
Evacuation stairs left;14;4
Evacuation stairs left;15;1
Evacuation stairs left;16;4
Evacuation stairs left;17;2
Evacuation stairs left;18;1
Evacuation stairs left;19;0
Evacuation stairs left;20;0
Lecture room;8;356
Lecture room;9;198
Lecture room;10;1185
Lecture room;11;758
Lecture room;12;377
Lecture room;13;1311
Lecture room;14;782
Lecture room;15;593
Lecture room;16;1143
Lecture room;17;980
Lecture room;18;417
Lecture room;19;570
Lecture room;20;264
Patio right;8;656
Patio right;9;362
Patio right;10;1504
Patio right;11;1277
Patio right;12;1323
Patio right;13;2871
Patio right;14;3398
Patio right;15;1206
Patio right;16;2194
Patio right;17;1220
Patio right;18;719
Patio right;19;844
Patio right;20;572
Evacuation stairs right;8;1
Evacuation stairs right;9;2
Evacuation stairs right;10;4
Evacuation stairs right;11;5
Evacuation stairs right;12;4
Evacuation stairs right;13;7
Evacuation stairs right;14;4
Evacuation stairs right;15;3
Evacuation stairs right;16;2
Evacuation stairs right;17;3
Evacuation stairs right;18;4
Evacuation stairs right;19;1
Evacuation stairs right;20;0
Tessa Van Hoof expo;8;609
Tessa Van Hoof expo;9;1111
Tessa Van Hoof expo;10;1710
Tessa Van Hoof expo;11;2324
Tessa Van Hoof expo;12;1901
Tessa Van Hoof expo;13;3319
Tessa Van Hoof expo;14;2875
Tessa Van Hoof expo;15;2455
Tessa Van Hoof expo;16;1862
Tessa Van Hoof expo;17;888
Tessa Van Hoof expo;18;1137
Tessa Van Hoof expo;19;555
Tessa Van Hoof expo;20;462
Library area;8;230
Library area;9;252
Library area;10;461
Library area;11;711
Library area;12;1078
Library area;13;1153
Library area;14;1916
Library area;15;881
Library area;16;493
Library area;17;858
Library area;18;877
Library area;19;200
Library area;20;236
Library hallway;8;1490
Library hallway;9;1818
Library hallway;10;3449
Library hallway;11;2196
Library hallway;12;5668
Library hallway;13;4005
Library hallway;14;7873
Library hallway;15;4437
Library hallway;16;4544
Library hallway;17;3448
Library hallway;18;3759
Library hallway;19;1073
Library hallway;20;1267
Study corner;8;319
Study corner;9;203
Study corner;10;469
Study corner;11;756
Study corner;12;673
Study corner;13;1505
Study corner;14;921
Study corner;15;904
Study corner;16;938
Study corner;17;244
Study corner;18;358
Study corner;19;483
Study corner;20;186
Corner bathroom left;8;344
Corner bathroom left;9;925
Corner bathroom left;10;1308
Corner bathroom left;11;2294
Corner bathroom left;12;1570
Corner bathroom left;13;3847
Corner bathroom left;14;3011
Corner bathroom left;15;1983
Corner bathroom left;16;2458
Corner bathroom left;17;2058
Corner bathroom left;18;1658
Corner bathroom left;19;442
Corner bathroom left;20;760
Library terrace;8;774
Library terrace;9;861
Library terrace;10;1765
Library terrace;11;825
Library terrace;12;1207
Library terrace;13;3448
Library terrace;14;1820
Library terrace;15;2144
Library terrace;16;1141
Library terrace;17;747
Library terrace;18;1271
Library terrace;19;693
Library terrace;20;500
Corner bathroom right;8;611
Corner bathroom right;9;780
Corner bathroom right;10;923
Corner bathroom right;11;614
Corner bathroom right;12;722
Corner bathroom right;13;981
Corner bathroom right;14;2828
Corner bathroom right;15;1162
Corner bathroom right;16;2294
Corner bathroom right;17;1103
Corner bathroom right;18;1153
Corner bathroom right;19;377
Corner bathroom right;20;415
