Neighbourhood,Score type,Percentage score
la Trinitat Vella,Value,0.907
la Trinitat Vella,Availability 365,0.002484932
la Vall d'Hebron,Instant Bookability,0.25
la Vall d'Hebron,Rating,0.792
la Vall d'Hebron,Accuracy,0.8
la Vall d'Hebron,Cleanliness,0.7895
la Vall d'Hebron,Check In,0.8
la Vall d'Hebron,Communication,0.7835
la Vall d'Hebron,Location,0.746
la Vall d'Hebron,Value,0.784
la Vall d'Hebron,Availability 365,0.002147945
la Verneda i la Pau,Instant Bookability,0.4
la Verneda i la Pau,Rating,0.883225806
la Verneda i la Pau,Accuracy,0.9238
la Verneda i la Pau,Cleanliness,0.946733333
la Verneda i la Pau,Check In,0.958333333
la Verneda i la Pau,Communication,0.9716
la Verneda i la Pau,Location,0.875266667
la Verneda i la Pau,Value,0.9018
la Verneda i la Pau,Availability 365,0.002470685
la Vila de Gràcia,Instant Bookability,0.493702771
la Vila de Gràcia,Rating,0.909854604
la Vila de Gràcia,Accuracy,0.934899023
la Vila de Gràcia,Cleanliness,0.921986971
la Vila de Gràcia,Check In,0.945667752
la Vila de Gràcia,Communication,0.947420195
la Vila de Gràcia,Location,0.966990228
la Vila de Gràcia,Value,0.90171987
la Vila de Gràcia,Availability 365,0.002470465
la Vila Olímpica del Poblenou,Instant Bookability,0.4375
la Vila Olímpica del Poblenou,Rating,0.927287129
la Vila Olímpica del Poblenou,Accuracy,0.93439604
la Vila Olímpica del Poblenou,Cleanliness,0.921425743
la Vila Olímpica del Poblenou,Check In,0.943267327
la Vila Olímpica del Poblenou,Communication,0.950574257
la Vila Olímpica del Poblenou,Location,0.95828
la Vila Olímpica del Poblenou,Value,0.9084
la Vila Olímpica del Poblenou,Availability 365,0.002488767
l'Antiga Esquerra de l'Eixample,Instant Bookability,0.506293706
l'Antiga Esquerra de l'Eixample,Rating,0.902013841
l'Antiga Esquerra de l'Eixample,Accuracy,0.930788732
l'Antiga Esquerra de l'Eixample,Cleanliness,0.921672535
l'Antiga Esquerra de l'Eixample,Check In,0.948140845
l'Antiga Esquerra de l'Eixample,Communication,0.947950704
l'Antiga Esquerra de l'Eixample,Location,0.964795775
l'Antiga Esquerra de l'Eixample,Value,0.90718662
l'Antiga Esquerra de l'Eixample,Availability 365,0.002485443
les Corts,Instant Bookability,0.506756757
les Corts,Rating,0.9104
les Corts,Accuracy,0.934083333
les Corts,Cleanliness,0.913833333
les Corts,Check In,0.950483333
les Corts,Communication,0.94755
les Corts,Location,0.931466667
les Corts,Value,0.893916667
les Corts,Availability 365,0.002449087
les Roquetes,Instant Bookability,0.411764706
les Roquetes,Rating,0.960307692
les Roquetes,Accuracy,0.945384615
les Roquetes,Cleanliness,0.953538462
les Roquetes,Check In,0.975538462
les Roquetes,Communication,0.981692308
les Roquetes,Location,0.886153846
les Roquetes,Value,0.909076923
les Roquetes,Availability 365,0.002490622
les Tres Torres,Instant Bookability,0.642857143
les Tres Torres,Rating,0.9419
les Tres Torres,Accuracy,0.9602
les Tres Torres,Cleanliness,0.9352
les Tres Torres,Check In,0.9601
les Tres Torres,Communication,0.9661
les Tres Torres,Location,0.936
les Tres Torres,Value,0.9133
les Tres Torres,Availability 365,0.002502192
Montbau,Instant Bookability,0.25
Montbau,Rating,0.857333333
Montbau,Accuracy,0.911333333
Montbau,Cleanliness,0.952666667
Montbau,Check In,0.841333333
Montbau,Communication,0.766666667
Montbau,Location,0.863333333
Montbau,Value,0.881333333
Montbau,Availability 365,0.002414612
Navas,Instant Bookability,0.571428571
Navas,Rating,0.894466667
Navas,Accuracy,0.947655172
Navas,Cleanliness,0.931172414
Navas,Check In,0.952482759
Navas,Communication,0.956965517
Navas,Location,0.932689655
Navas,Value,0.92537931
Navas,Availability 365,0.002535286
Pedralbes,Instant Bookability,0.319148936
Pedralbes,Rating,0.90752
Pedralbes,Accuracy,0.90824
Pedralbes,Cleanliness,0.93184
Pedralbes,Check In,0.94304
Pedralbes,Communication,0.92944
Pedralbes,Location,0.9292
Pedralbes,Value,0.87128
Pedralbes,Availability 365,0.002387068
Porta,Instant Bookability,0.25
Porta,Rating,0.886380952
Porta,Accuracy,0.9467
Porta,Cleanliness,0.9382
Porta,Check In,0.9627
Porta,Communication,0.9494
Porta,Location,0.8995
Porta,Value,0.9286
Porta,Availability 365,0.00254411
Provençals del Poblenou,Instant Bookability,0.509433962
Provençals del Poblenou,Rating,0.896095238
Provençals del Poblenou,Accuracy,0.940731707
Provençals del Poblenou,Cleanliness,0.918585366
Provençals del Poblenou,Check In,0.964292683
Provençals del Poblenou,Communication,0.950926829
Provençals del Poblenou,Location,0.909560976
Provençals del Poblenou,Value,0.912829268
Provençals del Poblenou,Availability 365,0.002500902
Sant Andreu,Instant Bookability,0.413043478
Sant Andreu,Rating,0.8914375
Sant Andreu,Accuracy,0.9095625
Sant Andreu,Cleanliness,0.8720625
Sant Andreu,Check In,0.9336875
Sant Andreu,Communication,0.932125
Sant Andreu,Location,0.880875
Sant Andreu,Value,0.8775625
Sant Andreu,Availability 365,0.002404281
Sant Antoni,Instant Bookability,0.496865204
Sant Antoni,Rating,0.907889094
Sant Antoni,Accuracy,0.932249534
Sant Antoni,Cleanliness,0.91843203
Sant Antoni,Check In,0.94433892
Sant Antoni,Communication,0.946141527
Sant Antoni,Location,0.957463687
Sant Antoni,Value,0.904417132
Sant Antoni,Availability 365,0.002477855
Sant Genís dels Agudells,Instant Bookability,0.5
Sant Genís dels Agudells,Rating,0.9655
Sant Genís dels Agudells,Accuracy,0.9575
Sant Genís dels Agudells,Cleanliness,0.978
Sant Genís dels Agudells,Check In,0.973
Sant Genís dels Agudells,Communication,0.9755
Sant Genís dels Agudells,Location,0.9475
Sant Genís dels Agudells,Value,0.9475
Sant Genís dels Agudells,Availability 365,0.00259589
Sant Gervasi - Galvany,Instant Bookability,0.532319392
Sant Gervasi - Galvany,Rating,0.899573964
Sant Gervasi - Galvany,Accuracy,0.917928994
Sant Gervasi - Galvany,Cleanliness,0.901349112
Sant Gervasi - Galvany,Check In,0.940260355
Sant Gervasi - Galvany,Communication,0.93783432
Sant Gervasi - Galvany,Location,0.943218935
Sant Gervasi - Galvany,Value,0.884011834
Sant Gervasi - Galvany,Availability 365,0.00242195
Sant Gervasi - la Bonanova,Instant Bookability,0.34375
Sant Gervasi - la Bonanova,Rating,0.930166667
Sant Gervasi - la Bonanova,Accuracy,0.952416667
Sant Gervasi - la Bonanova,Cleanliness,0.940333333
Sant Gervasi - la Bonanova,Check In,0.964416667
Sant Gervasi - la Bonanova,Communication,0.966583333
Sant Gervasi - la Bonanova,Location,0.919833333
Sant Gervasi - la Bonanova,Value,0.917166667
Sant Gervasi - la Bonanova,Availability 365,0.002512785
Sant Martí de Provençals,Instant Bookability,0.274509804
Sant Martí de Provençals,Rating,0.926
Sant Martí de Provençals,Accuracy,0.94405
Sant Martí de Provençals,Cleanliness,0.93495
Sant Martí de Provençals,Check In,0.96975
Sant Martí de Provençals,Communication,0.96625
Sant Martí de Provençals,Location,0.934
Sant Martí de Provençals,Value,0.91355
Sant Martí de Provençals,Availability 365,0.002502877
"Sant Pere, Santa Caterina i la Ribera",Instant Bookability,0.447902571
"Sant Pere, Santa Caterina i la Ribera",Rating,0.914727273
"Sant Pere, Santa Caterina i la Ribera",Accuracy,0.928523236
"Sant Pere, Santa Caterina i la Ribera",Cleanliness,0.916120482
"Sant Pere, Santa Caterina i la Ribera",Check In,0.943082759
"Sant Pere, Santa Caterina i la Ribera",Communication,0.943401033
"Sant Pere, Santa Caterina i la Ribera",Location,0.96827931
"Sant Pere, Santa Caterina i la Ribera",Value,0.897003448
"Sant Pere, Santa Caterina i la Ribera",Availability 365,0.002457544
Sants,Instant Bookability,0.488372093
Sants,Rating,0.891848341
Sants,Accuracy,0.92831068
Sants,Cleanliness,0.915019417
Sants,Check In,0.950854369
Sants,Communication,0.944446602
Sants,Location,0.93861165
Sants,Value,0.902359223
Sants,Availability 365,0.002472217
Sants - Badal,Instant Bookability,0.519855596
Sants - Badal,Rating,0.895532787
Sants - Badal,Accuracy,0.926846473
Sants - Badal,Cleanliness,0.919178423
Sants - Badal,Check In,0.937659751
Sants - Badal,Communication,0.937917012
Sants - Badal,Location,0.882788382
Sants - Badal,Value,0.892539419
Sants - Badal,Availability 365,0.002445313
Sarrià,Instant Bookability,0.296296296
Sarrià,Rating,0.952
Sarrià,Accuracy,0.970875
Sarrià,Cleanliness,0.96525
Sarrià,Check In,0.9845
Sarrià,Communication,0.98725
Sarrià,Location,0.93075
Sarrià,Value,0.910125
Sarrià,Availability 365,0.002493493
Torre Baró,Instant Bookability,1
Torre Baró,Rating,0.97
Torre Baró,Accuracy,0.981
Torre Baró,Cleanliness,0.989
Torre Baró,Check In,0.991
Torre Baró,Communication,0.967
Torre Baró,Location,0.878
Torre Baró,Value,0.963
Torre Baró,Availability 365,0.002638356
Vallbona,Instant Bookability,0.5
Vallbona,Rating,0.970666667
Vallbona,Accuracy,0.976
Vallbona,Cleanliness,0.967333333
Vallbona,Check In,0.979333333
Vallbona,Communication,0.985333333
Vallbona,Location,0.976
Vallbona,Value,0.964
Vallbona,Availability 365,0.002641096
Vallcarca i els Penitents,Instant Bookability,0.486486486
Vallcarca i els Penitents,Rating,0.934949153
Vallcarca i els Penitents,Accuracy,0.943084746
Vallcarca i els Penitents,Cleanliness,0.940983051
Vallcarca i els Penitents,Check In,0.964644068
Vallcarca i els Penitents,Communication,0.949322034
Vallcarca i els Penitents,Location,0.922813559
Vallcarca i els Penitents,Value,0.921355932
Vallcarca i els Penitents,Availability 365,0.002524263
"Vallvidrera, el Tibidabo i les Planes",Instant Bookability,0.292307692
"Vallvidrera, el Tibidabo i les Planes",Rating,0.964188679
"Vallvidrera, el Tibidabo i les Planes",Accuracy,0.970037736
"Vallvidrera, el Tibidabo i les Planes",Cleanliness,0.953471698
"Vallvidrera, el Tibidabo i les Planes",Check In,0.983169811
"Vallvidrera, el Tibidabo i les Planes",Communication,0.985358491
"Vallvidrera, el Tibidabo i les Planes",Location,0.938754717
"Vallvidrera, el Tibidabo i les Planes",Value,0.952566038
"Vallvidrera, el Tibidabo i les Planes",Availability 365,0.00260977
Verdun,Instant Bookability,0.428571429
Verdun,Rating,0.817555556
Verdun,Accuracy,0.92125
Verdun,Cleanliness,0.92025
Verdun,Check In,0.95175
Verdun,Communication,0.96825
Verdun,Location,0.8795
Verdun,Value,0.91325
Verdun,Availability 365,0.002502055
Vilapicina i la Torre Llobeta,Instant Bookability,0.357142857
Vilapicina i la Torre Llobeta,Rating,0.901625
Vilapicina i la Torre Llobeta,Accuracy,0.941096774
Vilapicina i la Torre Llobeta,Cleanliness,0.935870968
Vilapicina i la Torre Llobeta,Check In,0.952580645
Vilapicina i la Torre Llobeta,Communication,0.947870968
Vilapicina i la Torre Llobeta,Location,0.919677419
Vilapicina i la Torre Llobeta,Value,0.922967742
Vilapicina i la Torre Llobeta,Availability 365,0.002528679
