Name ID;Person name;Birth Year (Film person);Death Year (Film person);Profession (Film person);# Film people
nm0000218;Kristin Scott Thomas;1960;;actress;1
nm0000219;Steven Seagal;1952;;producer;1
nm0000221;Charlie Sheen;1965;;actor;1
nm0000226;Will Smith;1968;;music_department;1
nm0000227;Mira Sorvino;1967;;actress;1
nm0000234;Charlize Theron;1975;;producer;1
nm0000235;Uma Thurman;1970;;actress;1
nm0000236;Jennifer Tilly;1958;;actress;1
nm0000239;Liv Tyler;1977;;actress;1
nm0000240;Skeet Ulrich;1970;;actor;1
nm0000242;Mark Wahlberg;1971;;producer;1
nm0000243;Denzel Washington;1954;;actor;1
nm0000244;Sigourney Weaver;1949;;actress;1
nm0000247;John Woo;1946;;director;1
nm0000250;Renée Zellweger;1969;;actress;1
nm0000251;Timothy Dowling;1973;;actor;1
nm0000255;Ben Affleck;1972;;producer;1
nm0000256;Jenny Agutter;1952;;actress;1
nm0000257;Alan Alda;1936;;actor;1
nm0000259;Ginger Lynn;1962;;actress;1
nm0000260;Joan Allen;1956;;actress;1
nm0000261;Karen Allen;1951;;actress;1
nm0000264;Pedro Almodóvar;1949;;writer;1
nm0000265;Robert Altman;1925;2006;director;1
nm0000267;Julie Andrews;1935;;actress;1
nm0000269;Jean-Jacques Annaud;1943;;director;1
nm0000270;Gabrielle Anwar;1970;;actress;1
nm0000271;Anne Archer;1947;;actress;1
nm0000272;Fanny Ardant;1949;;actress;1
nm0000273;Alan Arkin;1934;;actor;1
nm0000274;David Arquette;1971;;producer;1
nm0000275;Rosanna Arquette;1959;;actress;1
nm0000276;Sean Astin;1971;;actor;1
nm0000278;Pernilla August;1958;;actress;1
nm0000281;Scott Baio;1960;;actor;1
nm0000282;Scott Bairstow;1970;;actor;1
nm0000284;Adam Baldwin;1962;;actor;1
nm0000285;Alec Baldwin;1958;;actor;1
nm0000286;Stephen Baldwin;1966;;actor;1
nm0000287;William Baldwin;1963;;actor;1
nm0000288;Christian Bale;1974;;actor;1
nm0000293;Sean Bean;1959;;actor;1
nm0000294;Amanda Bearse;1958;;actress;1
nm0000295;Kate Beckinsale;1973;;actress;1
nm0000298;Candice Bergen;1946;;actress;1
nm0000300;Juliette Binoche;1964;;actress;1
nm0000301;Thora Birch;1982;;actress;1
nm0000303;Honor Blackman;1925;2020;actress;1
nm0000307;Helena Bonham Carter;1966;;actress;1
nm0000309;David Bowie;1947;2016;soundtrack;1
nm0000312;Amy Brenneman;1964;;actress;1
nm0000316;Mel Brooks;1926;;actor;1
nm0000318;Tim Burton;1958;;producer;1
nm0000319;Yancy Butler;1970;;actress;1
nm0000322;Emmanuelle Béart;1963;;actress;1
nm0000323;Michael Caine;1933;;actor;1
nm0000325;David Caruso;1956;;actor;1
nm0000327;Lacey Chabert;1982;;actress;1
nm0000329;Jackie Chan;1954;;actor;1
nm0000330;Stockard Channing;1944;;actress;1
nm0000332;Don Cheadle;1964;;actor;1
nm0000334;Chow Yun-Fat;1955;;actor;1
nm0000337;Rachael Leigh Cook;1979;;actress;1
nm0000352;Vincent D'Onofrio;1959;;actor;1
nm0000353;Willem Dafoe;1955;;actor;1
nm0000354;Matt Damon;1970;;producer;1
nm0000356;Sybil Danning;1952;;actress;1
nm0000357;Lolita Davidovich;1961;;actress;1
nm0000358;Daniel Day-Lewis;1957;;actor;1
nm0000360;Rebecca De Mornay;1959;;actress;1
nm0000361;Brian De Palma;1940;;director;1
nm0000363;Loren Dean;1969;;actor;1
nm0000365;Julie Delpy;1969;;actress;1
nm0000366;Catherine Deneuve;1943;;actress;1
nm0000369;Matt Dillon;1964;;actor;1
nm0000373;Michael Dorn;1952;;actor;1
nm0000374;Brad Dourif;1950;;actor;1
nm0000375;Robert Downey Jr.;1965;;actor;1
nm0000376;Fran Drescher;1957;;writer;1
nm0000378;Minnie Driver;1970;;actress;1
nm0000379;Kirsten Dunst;1982;;actress;1
nm0000380;Robert Duvall;1931;;actor;1
nm0000381;Anthony Edwards;1962;;actor;1
nm0000382;Atom Egoyan;1960;;director;1
nm0000384;Danny Elfman;1953;;music_department;1
nm0000386;Roland Emmerich;1955;;writer;1
nm0000387;Robert Englund;1947;;actor;1
nm0000388;R. Lee Ermey;1944;2018;actor;1
nm0000389;Emilio Estevez;1962;;actor;1
nm0000393;Peter Falk;1927;2011;actor;1
nm0000398;Sally Field;1946;;actress;1
nm0000399;David Fincher;1962;;producer;1
nm0000401;Laurence Fishburne;1961;;actor;1
nm0000405;Michelle Forbes;1965;;actress;1
nm0000407;Vivica A. Fox;1964;;actress;1
nm0000408;Jonathan Frakes;1952;;actor;1
nm0000409;Brendan Fraser;1968;;actor;1
nm0000410;Stephen Fry;1957;;actor;1
nm0000411;Edward Furlong;1977;;actor;1
nm0000412;Andy Garcia;1956;;actor;1
nm0000413;Janeane Garofalo;1964;;actress;1
nm0000415;Jami Gertz;1965;;actress;1
nm0000417;Crispin Glover;1964;;actor;1
nm0000421;Cuba Gooding Jr.;1968;;actor;1
nm0000424;Hugh Grant;1960;;actor;1
nm0000425;Peter Greenaway;1942;;director;1
nm0000427;Pam Grier;1949;;actress;1
nm0000431;Taylor Hackford;1944;;producer;1
nm0000432;Gene Hackman;1930;;actor;1
nm0000435;Daryl Hannah;1960;;actress;1
nm0000436;Curtis Hanson;1945;2016;director;1
nm0000438;Ed Harris;1950;;actor;1
nm0000439;Neil Patrick Harris;1973;;actor;1
nm0000442;Rutger Hauer;1944;2019;actor;1
nm0000445;Dan Hedaya;1940;;actor;1
nm0000446;Mariel Hemingway;1961;;actress;1
nm0000448;Lance Henriksen;1940;;actor;1
nm0000449;Natasha Henstridge;1974;;actress;1
nm0000450;Philip Seymour Hoffman;1967;2014;actor;1
nm0000452;Lauren Holly;1963;;actress;1
nm0000453;Ian Holm;1931;2020;actor;1
nm0000456;Holly Hunter;1958;;actress;1
nm0000458;William Hurt;1950;;actor;1
nm0000459;Timothy Hutton;1960;;actor;1
nm0000463;Famke Janssen;1964;;actress;1
nm0000464;Jim Jarmusch;1953;;director;1
nm0000466;Jean-Pierre Jeunet;1953;;director;1
nm0000473;Diane Keaton;1946;;actress;1
nm0000477;Mia Kirshner;1975;;actress;1
nm0000480;Elias Koteas;1961;;actor;1
nm0000481;Alice Krige;1954;;actress;1
nm0000487;Ang Lee;1954;;director;1
nm0000489;Christopher Lee;1922;2015;actor;1
nm0000491;John Leguizamo;1964;;actor;1
nm0000494;Robert Sean Leonard;1969;;actor;1
nm0000495;Téa Leoni;1966;;actress;1
nm0000498;Matthew Lillard;1970;;actor;1
nm0000499;Bai Ling;1966;;actress;1
nm0000500;Richard Linklater;1960;;producer;1
nm0000501;Ray Liotta;1954;;actor;1
nm0000503;Emily Lloyd;1970;;actress;1
nm0000504;Amy Locane;1971;;actress;1
nm0000505;Nia Long;1970;;actress;1
nm0000506;Julia Louis-Dreyfus;1961;;actress;1
nm0000514;Michael Madsen;1957;;actor;1
nm0000515;Virginia Madsen;1961;;actress;1
nm0000517;Terrence Malick;1943;;writer;1
nm0000519;David Mamet;1947;;writer;1
nm0000520;Michael Mann;1943;;producer;1
nm0000522;Vanessa Marcil;1968;;actress;1
nm0000523;Julianna Margulies;1966;;actress;1
nm0000525;Heather Matarazzo;1982;;actress;1
nm0000526;Samantha Mathis;1970;;actress;1
nm0000529;Debi Mazar;1964;;actress;1
nm0000531;Frances McDormand;1957;;actress;1
nm0000532;Malcolm McDowell;1943;;actor;1
nm0000533;Gates McFadden;1949;;actress;1
nm0000535;Rose McGowan;1973;;actress;1
nm0000536;Robert Duncan McNeill;1964;;actor;1
nm0000538;Colm Meaney;1953;;actor;1
nm0000539;Dina Meyer;1968;;actress;1
nm0000545;Helen Mirren;1945;;actress;1
nm0000547;Alfred Molina;1953;;actor;1
nm0000550;Kate Mulgrew;1955;;actress;1
nm0000551;Dermot Mulroney;1963;;actor;1
nm0000552;Eddie Murphy;1961;;actor;1
nm0000553;Liam Neeson;1952;;actor;1
nm0000554;Sam Neill;1947;;actor;1
nm0000559;Leonard Nimoy;1931;2015;actor;1
nm0000562;Jeremy Northam;1961;;actor;1
nm0000563;Chris O'Donnell;1970;;actor;1
nm0000564;Peter O'Toole;1932;2013;actor;1
nm0000565;Lena Olin;1955;;actress;1
nm0000566;Julia Ormond;1965;;actress;1
nm0000568;Frank Oz;1944;;actor;1
nm0000571;Mary-Louise Parker;1964;;actress;1
nm0000572;Sarah Jessica Parker;1965;;actress;1
nm0000574;Jason Patric;1966;;actor;1
nm0000576;Sean Penn;1960;;actor;1
nm0000579;Ron Perlman;1950;;actor;1
nm0000586;Jada Pinkett Smith;1971;;producer;1
nm0000592;Pete Postlethwaite;1946;2011;actor;1
nm0000593;Kelly Preston;1962;2020;actress;1
nm0000598;Dennis Quaid;1954;;actor;1
nm0000599;Kathleen Quinlan;1954;;actress;1
nm0000600;Sam Raimi;1959;;producer;1
nm0000601;Harold Ramis;1944;2014;writer;1
nm0000603;Vanessa Redgrave;1937;;actress;1
nm0000604;John C. Reilly;1965;;actor;1
nm0000606;Jean Reno;1948;;actor;1
nm0000609;Ving Rhames;1959;;actor;1
nm0000610;Giovanni Ribisi;1974;;actor;1
nm0000612;Denise Richards;1971;;actress;1
nm0000613;Joely Richardson;1965;;actress;1
nm0000615;John Ritter;1948;2003;actor;1
nm0000616;Eric Roberts;1956;;actor;1
nm0000619;Tim Roth;1961;;actor;1
nm0000620;Mickey Rourke;1952;;actor;1
nm0000622;Theresa Russell;1957;;actress;1
nm0000625;Fred Savage;1976;;actor;1
nm0000627;Greta Scacchi;1960;;actress;1
nm0000628;Johnathon Schaech;1969;;actor;1
nm0000629;Claudia Schiffer;1970;;actress;1
nm0000630;Liev Schreiber;1967;;actor;1
nm0000631;Ridley Scott;1937;;producer;1
nm0000632;Jerry Seinfeld;1954;;writer;1
nm0000635;Yahoo Serious;1953;;director;1
nm0000640;Martin Sheen;1940;;actor;1
nm0000642;Marina Sirtis;1955;;actress;1
nm0000645;Anna Nicole Smith;1967;2007;miscellaneous;1
nm0000649;Paul Sorvino;1939;;actor;1
nm0000651;Sissy Spacek;1949;;actress;1
nm0000652;James Spader;1960;;actor;1
nm0000653;Brent Spiner;1949;;actor;1
nm0000655;Eric Stoltz;1961;;actor;1
nm0000657;David Strathairn;1949;;actor;1
nm0000658;Meryl Streep;1949;;actress;1
nm0000661;Donald Sutherland;1935;;actor;1
nm0000662;Kiefer Sutherland;1966;;actor;1
nm0000663;Dominique Swain;1980;;actress;1
nm0000667;David Thewlis;1963;;actor;1
nm0000668;Emma Thompson;1959;;actress;1
nm0000671;Billy Bob Thornton;1955;;actor;1
nm0000673;Marisa Tomei;1964;;actress;1
nm0000674;Tamlyn Tomita;1966;;actress;1
nm0000676;Chris Tucker;1971;;actor;1
nm0000677;Robin Tunney;1972;;actress;1
nm0000679;Deborah Kara Unger;1966;;actress;1
nm0000680;Casper Van Dien;1968;;actor;1
nm0000681;Vince Vaughn;1970;;producer;1
nm0000682;Paul Verhoeven;1938;;director;1
nm0000684;Nana Visitor;1957;;actress;1
nm0000686;Christopher Walken;1943;;actor;1
nm0000688;Sela Ward;1956;;actress;1
nm0000689;Julie Warner;1965;;actress;1
nm0000691;John Waters;1946;;actor;1
nm0000695;Joanne Whalley;1961;;actress;1
nm0000699;Michael Wincott;1958;;actor;1
nm0000701;Kate Winslet;1975;;actress;1
nm0000702;Reese Witherspoon;1976;;actress;1
nm0000703;BD Wong;1960;;actor;1
nm0000704;Elijah Wood;1981;;actor;1
nm0000705;Robin Wright;1966;;actress;1
nm0000706;Michelle Yeoh;1962;;actress;1
nm0000711;Rick Baker;1950;;make_up_department;1
nm0000716;Paula Abdul;1962;;soundtrack;1
nm0000717;Kareem Abdul-Jabbar;1947;;actor;1
nm0000718;Ian Abercrombie;1934;2012;actor;1
nm0000721;Victoria Abril;1959;;actress;1
nm0000729;Casey Affleck;1975;;actor;1
nm0000735;Brian Aldiss;1925;2017;writer;1
nm0000737;Jane Alexander;1939;;actress;1
nm0000739;Debbie Allen;1950;;actress;1
nm0000745;Carol Alt;1960;;actress;1
nm0000750;Jon Amiel;1948;;director;1
nm0000754;Kevin Anderson;1960;;actor;1
nm0000757;Melissa Sue Anderson;1962;;actress;1
nm0000759;Paul Thomas Anderson;1970;;director;1
nm0000760;Richard Dean Anderson;1950;;actor;1
nm0000761;Bibi Andersson;1935;2019;actress;1
nm0000768;Francesca Annis;1945;;actress;1
nm0000775;Christina Applegate;1971;;actress;1
nm0000776;Michael Apted;1941;2021;director;1
nm0000777;Gregg Araki;1959;;writer;1
nm0000780;Denys Arcand;1941;;writer;1
nm0000782;Asia Argento;1975;;actress;1
nm0000788;Gillian Armstrong;1950;;director;1
nm0000792;Tom Arnold;1959;;actor;1
nm0000793;Alexis Arquette;1969;2016;actress;1
nm0000794;Lewis Arquette;1935;2001;actor;1
nm0000798;Linden Ashby;1960;;actor;1
nm0000799;Edward Asner;1929;;actor;1
nm0000800;Armand Assante;1949;;actor;1
nm0000801;Olivier Assayas;1955;;writer;1
nm0000806;Bille August;1948;;director;1
nm0000808;Paul Auster;1947;;writer;1
nm0000809;Daniel Auteuil;1950;;actor;1
nm0000812;Roger Avary;1965;;writer;1
nm0000815;Mili Avital;1972;;actress;1
nm0000816;Jon Avnet;1949;;producer;1
nm0000821;Amitabh Bachchan;1942;;actor;1
nm0000823;Angelo Badalamenti;1937;;music_department;1
nm0000828;Barbara Bain;1931;;actress;1
nm0000829;Stuart Baird;1947;;editor;1
nm0000835;Ralph Bakshi;1938;;animation_department;1
nm0000836;Scott Bakula;1954;;actor;1
nm0000837;Bob Balaban;1945;;actor;1
nm0000838;Daniel Baldwin;1960;;actor;1
nm0000841;Michael Ballhaus;1935;2017;cinematographer;1
nm0000849;Javier Bardem;1969;;actor;1
nm0000850;Clive Barker;1952;;writer;1
nm0000854;Majel Barrett;1932;2008;actress;1
nm0000855;Raymond J. Barry;1939;;actor;1
nm0000867;Jason Bateman;1969;;actor;1
nm0000868;Justine Bateman;1966;;actress;1
nm0000869;Alan Bates;1934;2003;actor;1
nm0000870;Kathy Bates;1948;;actress;1
nm0000872;Patrick Bauchau;1938;;actor;1
nm0000874;Steven Bauer;1956;;actor;1
nm0000876;Noah Baumbach;1969;;writer;1
nm0000882;Nathalie Baye;1948;;actress;1
nm0000883;Stephanie Beacham;1947;;actress;1
nm0000885;Ned Beatty;1937;;actor;1
nm0000888;Meret Becker;1969;;actress;1
nm0000892;Jason Beghe;1960;;actor;1
nm0000893;Ed Begley Jr.;1949;;actor;1
nm0000896;Harry Belafonte;1927;;soundtrack;1
nm0000899;Monica Bellucci;1964;;actress;1
nm0000905;Roberto Benigni;1952;;actor;1
nm0000906;Annette Bening;1958;;actress;1
nm0000908;David Bennent;1966;;actor;1
nm0000911;Nigel Bennett;1949;;actor;1
nm0000916;Peter Berg;1964;;producer;1
nm0000919;Senta Berger;1941;;actress;1
nm0000924;Elizabeth Berkley;1972;;actress;1
nm0000929;Corbin Bernsen;1954;;actor;1
nm0000930;Elmer Bernstein;1922;2004;music_department;1
nm0000931;Elizabeth Berridge;1962;;actress;1
nm0000932;Halle Berry;1966;;actress;1
nm0000939;Adrian Biddle;1952;2005;cinematographer;1
nm0000941;Kathryn Bigelow;1951;;director;1
nm0000944;Antonia Bird;1951;2013;director;1
nm0000945;Jane Birkin;1946;;actress;1
nm0000947;Karen Black;1939;2013;actress;1
nm0000948;Shane Black;1961;;writer;1
nm0000949;Cate Blanchett;1969;;actress;1
nm0000950;Brenda Blethyn;1946;;actress;1
nm0000954;Jon Bon Jovi;1962;;soundtrack;1
nm0000956;Lisa Bonet;1967;;actress;1
nm0000957;Jan de Bont;1943;;cinematographer;1
nm0000959;Powers Boothe;1948;2017;actor;1
nm0000961;Timothy Bottoms;1951;;actor;1
nm0000962;Carole Bouquet;1957;;actress;1
nm0000965;Danny Boyle;1956;;director;1
nm0000973;Benjamin Bratt;1963;;actor;1
nm0000977;Beau Bridges;1941;;actor;1
nm0000980;Jim Broadbent;1949;;actor;1
nm0000981;James Brolin;1940;;actor;1
nm0000982;Josh Brolin;1968;;actor;1
nm0000983;Albert Brooks;1947;;actor;1
nm0000984;Avery Brooks;1948;;actor;1
nm0000985;James L. Brooks;1940;;writer;1
nm0000986;Bryan Brown;1947;;actor;1
nm0000988;Jerry Bruckheimer;1943;;producer;1
nm0000990;Betty Buckley;1947;;actress;1
nm0000995;Ellen Burstyn;1932;;actress;1
nm0000996;LeVar Burton;1957;;actor;1
nm0001002;Dean Cain;1966;;actor;1
nm0001003;Simon Callow;1949;;actor;1
nm0001004;Billy Campbell;1959;;actor;1
nm0001005;Jane Campion;1954;;writer;1
nm0001014;Mariah Carey;1970;;soundtrack;1
nm0001016;David Carradine;1936;2009;actor;1
nm0001018;Keith Carradine;1949;;actor;1
nm0001019;Robert Carradine;1954;;actor;1
nm0001020;Katrin Cartlidge;1961;2002;actress;1
nm0001021;Veronica Cartwright;1949;;actress;1
nm0001022;Dana Carvey;1955;;actor;1
nm0001025;Seymour Cassel;1935;2019;actor;1
nm0001026;Joanna Cassidy;1945;;actress;1
nm0001027;Shaun Cassidy;1958;;producer;1
nm0001029;Jim Caviezel;1968;;actor;1
nm0001031;Claude Chabrol;1930;2010;director;1
nm0001035;Ben Chaplin;1970;;actor;1
nm0001036;Geraldine Chaplin;1944;;actress;1
nm0001038;Josh Charles;1971;;actor;1
nm0001039;David Charvet;1972;;actor;1
nm0001040;Joan Chen;1961;;actress;1
nm0001041;Maggie Cheung;1964;;actress;1
nm0001046;Julie Christie;1940;;actress;1
nm0001049;Jill Clayburgh;1944;2010;actress;1
nm0001052;Kurt Cobain;1967;1994;soundtrack;1
nm0001057;Toni Collette;1972;;actress;1
nm0001059;Robbie Coltrane;1950;;actor;1
nm0001060;Chris Columbus;1958;;producer;1
nm0001064;Jason Connery;1963;;actor;1
nm0001065;Harry Connick Jr.;1967;;actor;1
nm0001068;Sofia Coppola;1971;;actress;1
nm0001069;Bud Cort;1948;;actor;1
nm0001073;Courteney Cox;1964;;actress;1
nm0001075;Peter Coyote;1941;;actor;1
nm0001081;Cameron Crowe;1957;;writer;1
nm0001082;Billy Crudup;1968;;actor;1
nm0001083;Jon Cryer;1965;;actor;1
nm0001084;Ice Cube;1969;;soundtrack;1
nm0001085;Kieran Culkin;1982;;actor;1
nm0001086;Alan Cumming;1965;;actor;1
nm0001087;Lee Curreri;1961;;actor;1
nm0001089;Henry Czerny;1959;;actor;1
nm0001092;Mark Dacascos;1964;;actor;1
nm0001095;Béatrice Dalle;1964;;actress;1
nm0001096;Timothy Dalton;1946;;actor;1
nm0001097;Charles Dance;1946;;actor;1
nm0001099;Jeff Daniels;1955;;actor;1
nm0001100;Blythe Danner;1943;;actress;1
nm0001104;Frank Darabont;1959;;writer;1
nm0001107;Stacey Dash;1967;;actress;1
nm0001111;Jeremy Davies;1969;;actor;1
nm0001112;Andrew Davis;1946;;director;1
nm0001116;Warwick Davis;1970;;actor;1
nm0001117;Bruce Davison;1946;;actor;1
nm0001122;Ellen DeGeneres;1958;;producer;1
nm0001125;Benicio Del Toro;1967;;actor;1
nm0001126;Kim Delaney;1961;;actress;1
nm0001127;Dana Delany;1956;;actress;1
nm0001129;Jonathan Demme;1944;2017;director;1
nm0001130;Ted Demme;1963;2002;director;1
nm0001131;Patrick Dempsey;1966;;actor;1
nm0001132;Judi Dench;1934;;actress;1
nm0001133;Brian Dennehy;1938;2020;actor;1
nm0001137;William Devane;1939;;actor;1
nm0001139;Tom DiCillo;1953;;director;1
nm0001140;Philip K. Dick;1928;1982;writer;1
nm0001143;Kevin Dillon;1965;;actor;1
nm0001152;Illeana Douglas;1965;;actress;1
nm0001156;Olympia Dukakis;1931;;actress;1
nm0001162;Griffin Dunne;1955;;actor;1
nm0001163;Roy Dupuis;1963;;actor;1
nm0001164;Charles Durning;1923;2012;actor;1
nm0001165;Charles S. Dutton;1951;;actor;1
nm0001166;James Duval;1972;;actor;1
nm0001168;Bob Dylan;1941;;soundtrack;1
nm0001172;Christopher Eccleston;1964;;actor;1
nm0001173;Aaron Eckhart;1968;;actor;1
nm0001177;Chris Eigeman;1965;;actor;1
nm0001182;Carmen Electra;1972;;actress;1
nm0001183;Bodhi Elfman;1969;;actor;1
nm0001184;Jenna Elfman;1971;;actress;1
nm0001185;Hector Elizondo;1936;;actor;1
nm0001187;Noah Emmerich;1965;;actor;1
nm0001188;Nora Ephron;1941;2012;writer;1
nm0001189;Gabriel Yared;1949;;composer;1
nm0001191;Adam Sandler;1966;;actor;1
nm0001194;Jeff Fahey;1952;;actor;1
nm0001198;Debrah Farentino;1959;;actress;1
nm0001199;Dennis Farina;1944;2013;actor;1
nm0001206;Abel Ferrara;1951;;director;1
nm0001208;Miguel Ferrer;1955;2017;actor;1
nm0001209;William Fichtner;1956;;actor;1
nm0001212;Joseph Fiennes;1970;;actor;1
nm0001214;Mike Figgis;1948;;director;1
nm0001215;Albert Finney;1936;2019;actor;1
nm0001216;Tara Fitzgerald;1967;;actress;1
nm0001217;Fionnula Flanagan;1941;;actress;1
nm0001219;Gary Fleder;1965;;producer;1
nm0001222;Calista Flockhart;1964;;actress;1
nm0001223;Lara Flynn Boyle;1970;;actress;1
nm0001227;Megan Follows;1968;;actress;1
nm0001228;Peter Fonda;1940;2019;actor;1
nm0001231;Claire Forlani;1971;;actress;1
nm0001233;Robert Forster;1941;2019;actor;1
nm0001235;William Forsythe;1955;;actor;1
nm0001241;Stephen Frears;1941;;director;1
nm0001242;Matt Frewer;1958;;actor;1
nm0001244;Sadie Frost;1965;;actress;1
nm0001246;Dan Futterman;1967;;actor;1
nm0001250;Charlotte Gainsbourg;1971;;actress;1
nm0001251;Peter Gallagher;1955;;actor;1
nm0001252;Vincent Gallo;1961;;actor;1
nm0001254;James Gandolfini;1961;2013;actor;1
nm0001255;Victor Garber;1949;;actor;1
nm0001258;James Garner;1928;2014;actor;1
nm0001259;Jennie Garth;1972;;actress;1
nm0001263;Jason Gedrick;1965;;actor;1
nm0001264;Sarah Michelle Gellar;1977;;actress;1
nm0001267;Balthazar Getty;1975;;actor;1
nm0001270;Brian Gibson;1944;2004;director;1
nm0001274;Paul Michael Glaser;1943;;actor;1
nm0001275;Philip Glass;1937;;composer;1
nm0001277;Scott Glenn;1939;;actor;1
nm0001282;Tony Goldwyn;1960;;actor;1
nm0001285;Elliott Gould;1938;;actor;1
nm0001290;Richard E. Grant;1957;;actor;1
nm0001291;Rupert Graves;1963;;actor;1
nm0001293;Seth Green;1974;;actor;1
nm0001297;Joel Grey;1932;;actor;1
nm0001299;Thomas Ian Griffith;1962;;producer;1
nm0001300;John Grisham;1955;;writer;1
nm0001302;Christopher Guest;1948;;actor;1
nm0001303;Carla Gugino;1971;;actress;1
nm0001305;Lukas Haas;1976;;actor;1
nm0001307;Stacy Haiduk;1968;;actress;1
nm0001309;Anthony Michael Hall;1968;;actor;1
nm0001312;Geri Horner;1972;;soundtrack;1
nm0001313;George Hamilton;1939;;actor;1
nm0001315;Marcia Gay Harden;1959;;actress;1
nm0001317;Renny Harlin;1959;;producer;1
nm0001319;Mark Harmon;1951;;actor;1
nm0001321;Richard Harris;1930;2002;actor;1
nm0001323;Debbie Harry;1945;;soundtrack;1
nm0001324;Ian Hart;1964;;actor;1
nm0001325;Hal Hartley;1959;;director;1
nm0001326;Josh Hartnett;1978;;actor;1
nm0001331;Todd Haynes;1961;;director;1
nm0001332;Robert Hays;1947;;actor;1
nm0001334;John Heard;1946;2017;actor;1
