Title ID;Average Rating;Number of Votes
tt0187750;4,8;328
tt0187761;5,8;98
tt0187880;5,7;147
tt0188045;5,3;262
tt0188055;5,4;2102
tt0188128;6,7;1238
tt0188135;5,6;380
tt0188160;6,4;789
tt0188350;7,3;1492
tt0188453;6,1;24585
tt0188490;6,7;53
tt0188518;5,9;778
tt0188575;5,4;70
tt0188688;4,7;128
tt0189192;5,8;18352
tt0189281;5,6;10
tt0189303;3,3;6
tt0189456;4,3;3209
tt0189509;5,5;157
tt0189541;5;1433
tt0189960;5,6;83
tt0189998;6,9;40193
tt0190052;4,3;105
tt0190138;6,7;110947
tt0190332;7,8;254910
tt0190346;5,9;972
tt0190374;3,6;32163
tt0190398;5,1;185
tt0190449;6,2;83
tt0190524;4,5;9121
tt0190590;7,7;290085
tt0190736;4,6;529
tt0190841;5,4;56
tt0190861;6,6;7409
tt0190865;6;59014
tt0190938;5,5;897
tt0190975;6,2;211
tt0190994;5,2;126
tt0191037;5,6;2156
tt0191074;5,3;3202
tt0191133;5,6;6807
tt0191161;6,9;99
tt0191177;5,2;72
tt0191211;5,2;37
tt0191242;5,2;571
tt0191352;6,2;56
tt0191397;6,6;58792
tt0191636;7,1;5306
tt0191754;6,1;45630
tt0191787;5,6;71
tt0191865;6;53
tt0192023;6,4;2255
tt0192071;5,7;18009
tt0192110;7,9;33
tt0192111;5,5;13899
tt0192126;4;576
tt0192237;6,9;125
tt0192255;5,8;9728
tt0192263;7,8;2113
tt0192295;5,7;560
tt0192346;6,7;55
tt0192407;4,3;1376
tt0192455;4,8;3477
tt0192528;3,9;81
tt0192614;5,7;31060
tt0192678;5,3;152
tt0192719;4,4;540
tt0192731;4,3;16273
tt0192788;6,4;1093
tt0192789;6,6;22
tt0192912;4;105
tt0192947;7,5;41
tt0192949;5,6;1619
tt0193011;4,8;38
tt0193135;5,5;163
tt0193318;3,4;607
tt0193364;4,7;7902
tt0193365;7,1;26
tt0193537;4,1;100
tt0193545;5,7;175
tt0193560;5,2;5451
tt0193701;6,3;438
tt0193732;5,9;138
tt0193741;6;1216
tt0193854;6,3;2164
tt0194026;5,7;535
tt0194027;5,7;294
tt0194104;7;2787
tt0194143;5;670
tt0194218;6,6;7998
tt0194342;5,9;498
tt0194368;6,1;3899
tt0194410;4,3;347
tt0194422;6,2;2784
tt0194519;6,9;342
tt0194608;7,7;699
tt0194704;6,9;28
tt0194811;7,6;27
tt0194852;5,1;108
tt0195001;6,9;789
tt0195108;7,3;7
tt0195119;6;87
tt0195165;5,3;1232
tt0195234;6,9;17690
tt0195308;5,5;231
tt0195393;4,8;89
tt0195551;6,4;51
tt0195587;6,1;183
tt0195631;5;296
tt0195685;7,4;176827
tt0195714;6,7;231394
tt0195778;5,2;8284
tt0195857;5,4;125
tt0195860;5,3;50
tt0195896;7,4;48
tt0195944;4,5;118
tt0195945;6,2;37182
tt0196068;4,9;185
tt0196069;7,8;7579
tt0196106;4,1;2296
tt0196158;3,6;6606
tt0196186;6,3;333
tt0196216;6,7;37172
tt0196219;2,2;1112
tt0196223;5,4;1080
tt0196229;6,6;247779
tt0196274;7,3;49
tt0196614;1,8;356
tt0196708;6,2;2414
tt0196723;5,6;1237
tt0196811;6,6;3190
tt0196927;6,5;11
tt0197072;3,8;578
tt0197096;6,9;2523
tt0197154;7,4;2838
tt0197256;5,7;331
tt0197299;3,5;82
tt0197311;6,1;241
tt0197384;5,9;2964
tt0197392;6,4;384
tt0197402;6,5;1396
tt0197633;5;627
tt0197644;4,3;141
tt0197646;4,9;228
tt0197740;6,5;52
tt0197750;4;2172
tt0197858;4,4;31
tt0197929;6,3;23
tt0198013;8,8;16
tt0198021;6,8;31865
tt0198099;5,4;103
tt0198386;5,7;4486
tt0198434;3,5;486
tt0198654;7;537
tt0198748;7,5;71
tt0198781;8,1;823599
tt0198893;4,3;110
tt0198903;5,5;183
tt0199000;6;367
tt0199007;4,6;317
tt0199077;6,4;308
tt0199129;5,9;237
tt0199290;4,8;3223
tt0199305;4,8;58
tt0199314;5,8;6308
tt0199389;5,7;2239
tt0199421;8,2;1372
tt0199481;2,7;5013
tt0199626;5,3;22028
tt0199650;4;887
tt0199696;6,1;57
tt0199700;6;470
tt0199725;7,2;19118
tt0199727;6,5;5116
tt0199733;5,3;127
tt0199744;5,4;348
tt0199748;4,7;124
tt0199753;5,7;55609
tt0199931;5;239
tt0199974;4,9;927
tt0200027;6,5;26884
tt0200171;5,7;182
tt0200191;6;487
tt0200192;5,5;5060
tt0200257;6,6;368
tt0200299;6;1353
tt0200374;5,3;326
tt0200422;5;700
tt0200427;7;1553
tt0200465;7,2;174109
tt0200472;5,8;2177
tt0200483;5,3;56
tt0200525;6,4;17
tt0200530;6,5;5271
tt0200550;5,7;107127
tt0200669;5,9;4205
tt0200720;7;7106
tt0200954;3,8;858
tt0200992;7;543
tt0201020;6,2;189
tt0201275;7,7;49
tt0201374;7,7;46
tt0201394;5,2;1440
tt0201479;3,9;602
tt0201484;4,6;668
tt0201485;5,4;7329
tt0201670;5,9;390
tt0201694;2,7;937
tt0201726;4,7;280
tt0201728;6,2;6
tt0201737;4,4;167
tt0201776;5,8;3310
tt0201844;2,4;3921
tt0201888;6,9;690
tt0201899;6,9;1380
tt0201901;5,4;297
tt0201934;4,7;69
tt0202072;7,1;50
tt0202190;8,5;33
tt0202236;5,1;834
tt0202266;5,8;47
tt0202314;2,9;1094
tt0202360;5,6;46
tt0202402;5,5;10023
tt0202452;3,7;34
tt0202458;2,4;148
tt0202464;6,6;93
tt0202470;6,3;41157
tt0202487;7,7;22
tt0202513;7,4;485
tt0202623;5,5;4568
tt0202641;7,1;1611
tt0202642;4,3;285
tt0202677;6,7;31929
tt0202695;5,5;65
tt0202724;6,1;58
tt0202829;7,2;11
tt0202856;6,1;169
tt0202989;4,5;576
tt0203009;7,6;268468
tt0203019;7,2;107746
tt0203031;6,3;478
tt0203047;6,3;79
tt0203053;5,5;807
tt0203119;7,3;56145
tt0203166;7,4;20618
tt0203206;8,2;8
tt0203230;7,5;28386
tt0203289;6,6;1582
tt0203297;4,6;506
tt0203536;4,8;497
tt0203540;6,8;5498
tt0203580;4,1;230
tt0203584;6,3;225
tt0203632;7,5;14097
tt0203755;6,1;28456
tt0203830;4,7;248
tt0203835;2,8;717
tt0203940;4;2758
tt0203975;4,8;2969
tt0204055;6,9;1034
tt0204137;6,6;12916
tt0204140;5,7;38
tt0204175;5,5;16067
tt0204250;1,7;353
tt0204313;5,2;33643
tt0204315;6,5;372
tt0204322;5,3;922
tt0204350;5,1;1241
tt0204352;6,6;86
tt0204382;7,1;24
tt0204414;5,8;62
tt0204626;5,3;25972
tt0204640;6,8;2901
tt0204679;6,3;11
tt0204700;6;7383
tt0204761;5,7;1742
tt0204765;6,6;132
tt0204885;5,6;81
tt0204932;7,3;3579
tt0204933;4,1;139
tt0204946;6;88290
tt0204993;7,4;30909
tt0205027;4,9;610
tt0205177;5,6;12565
tt0205245;6,7;106
tt0205271;4,6;17777
tt0205418;2,9;2618
tt0205461;4,1;3800
tt0205498;6,3;189
tt0205526;3,5;128
tt0205700;7,6;5512
tt0205718;4,4;142
tt0205738;6,6;434
tt0205778;6,7;71
tt0205836;6,5;347
tt0205873;7,1;15432
tt0205936;5,2;193
tt0206036;7,1;6643
tt0206087;6,4;177
tt0206098;6,8;53
tt0206113;6,3;1256
tt0206119;5,9;49
tt0206128;4,6;36
tt0206184;5,2;270
tt0206187;6,7;796
tt0206200;6,4;287
tt0206223;4,5;103
tt0206226;6,2;5565
tt0206275;6,2;57930
tt0206314;6,6;64633
tt0206351;6;16
tt0206420;5,3;9975
tt0206476;5,8;1966
tt0206511;7,6;13672
tt0206608;6,2;170
tt0206634;7,9;468088
tt0206694;6,7;46
tt0206742;6,4;2017
tt0206762;6,2;1410
tt0206778;6,4;52
tt0206795;6,5;220
tt0206866;7;381
tt0206893;7,3;53
tt0206917;6,2;14442
tt0206926;5,7;5654
tt0206951;7,2;447
tt0206963;7,1;5408
tt0207002;5,7;70
tt0207036;5,1;585
tt0207051;6,1;314
tt0207161;5,8;1337
tt0207163;6,3;450
tt0207198;6,8;3564
tt0207200;6,5;8
tt0207201;6,4;192931
tt0207275;8,3;17690
tt0207296;5,1;80
tt0207333;5,2;795
tt0207377;4,6;795
tt0207524;6,8;3434
tt0207585;6,1;669
tt0207631;4,6;555
tt0207745;4,8;221
tt0207826;5,4;31
tt0207888;7,7;111
tt0208003;5,2;81357
tt0208017;8,1;30
tt0208026;5,7;1100
tt0208032;7,2;1130
tt0208037;4,6;360
tt0208050;5,6;361
tt0208092;8,3;788654
tt0208196;7,2;9534
tt0208198;5,1;433
tt0208204;4,6;84
tt0208298;6,9;1416
tt0208412;6,8;28
tt0208491;4,7;710
tt0208629;7,3;5779
tt0208638;6,4;18
tt0208655;4,8;357
tt0208675;7,1;1206
tt0208874;6,9;23056
tt0208883;6;90
tt0208889;7,1;59
tt0208910;7,9;16
tt0208911;6,3;1840
tt0208942;4,5;158
tt0208988;5,2;32790
tt0208990;7,3;17690
tt0208993;7,1;1204
tt0209013;6,7;504
tt0209037;6,9;3127
tt0209077;5,9;28856
tt0209144;8,4;1136115
tt0209163;6,4;302599
tt0209180;8,1;4118
tt0209253;4,2;59
tt0209264;3,7;3384
tt0209279;5,4;151
tt0209322;6,3;3239
tt0209464;6;430
tt0209475;5,3;77026
tt0209485;5,3;128
tt0209486;4,9;388
tt0209512;7,2;6
tt0209941;6,2;85
tt0209958;6,4;95934
tt0210013;4,7;109
tt0210065;6,8;13237
tt0210070;6,8;42461
tt0210075;6,7;9337
tt0210094;5,5;2609
tt0210130;7,8;61
tt0210149;6,1;622
tt0210217;6,4;805
tt0210223;4,9;194
tt0210294;6,7;3074
tt0210299;7,2;3249
tt0210357;6,1;238
tt0210358;6,5;6646
tt0210382;5,9;9042
tt0210413;7,4;11932
tt0210438;6,6;122
tt0210480;6,1;27
tt0210567;5,6;3688
tt0210584;6,2;2237
tt0210616;6,7;19139
tt0210628;7,1;1809
tt0210719;5,8;1697
tt0210738;5;409
tt0210776;6;35
tt0210777;7,9;521
tt0210884;6,7;24
tt0210890;5,8;15
tt0210930;5,2;231
tt0210943;6,5;2229
tt0210945;7,8;199672
tt0210952;5,6;71
tt0210971;5,5;271
tt0211103;6,2;436
tt0211172;6,7;26
tt0211174;5,6;1830
tt0211181;4,9;35068
tt0211279;7,1;15
tt0211296;7,4;26
tt0211309;6,5;453
tt0211318;8,7;6
tt0211387;6,8;6158
tt0211423;7,2;17
tt0211426;5,6;523
tt0211443;4,4;51271
tt0211465;6,1;22884
tt0211492;6,8;4241
tt0211538;6,1;18
tt0211554;5,8;165
tt0211559;7,7;795
tt0211661;6,1;1668
tt0211718;7,4;2751
tt0211792;5,3;1581
tt0211852;8;58
tt0211915;8,3;709160
tt0211919;6,2;147
tt0211933;6,5;72744
tt0211938;5,8;10614
tt0211941;5,6;1440
tt0211946;7,2;13741
tt0212048;4,3;271
tt0212059;5,3;129
tt0212132;7,3;2492
tt0212215;6,3;226
tt0212218;6,8;42
tt0212271;3,9;133
tt0212294;6,1;125
tt0212298;7;93
tt0212318;6,5;869
tt0212338;7;312974
tt0212346;6,3;189731
tt0212360;6,4;64
tt0212380;6,3;7855
tt0212474;4,8;217
tt0212495;5,1;236
tt0212604;7,2;1855
tt0212671;8;118807
tt0212686;6,5;1656
tt0212712;7,4;51415
tt0212719;5,6;112
tt0212720;7,2;291916
tt0212725;6,8;14
tt0212742;5,3;1638
tt0212797;6,4;402
tt0212807;4,5;180
tt0212815;7,3;4179
tt0212826;7;5341
tt0212827;5,6;617
tt0212830;5,3;5618
tt0212831;6,6;18
tt0212867;5,1;1155
tt0212873;7,3;97
tt0212879;6,1;5183
tt0212881;3,8;83
tt0212889;7,2;970
tt0212897;6,9;617
tt0212910;5,9;1176
tt0212958;5,6;74
tt0212974;6,6;4069
tt0212985;6,8;256955
tt0213053;5,3;201
tt0213113;3,8;63
tt0213127;6,2;53
tt0213149;6,2;313249
tt0213203;6,2;11371
tt0213205;5,8;103
tt0213231;4,7;142
tt0213266;7,2;32
tt0213327;6,6;12430
tt0213446;5,3;358
tt0213523;6,7;121
tt0213527;6,3;6
tt0213539;5,5;27
tt0213561;6,5;415
tt0213565;7,2;3525
tt0213569;7,2;148
tt0213595;6,6;402
tt0213623;7,3;245
tt0213642;3,1;423
tt0213668;7,3;831
tt0213688;5,2;72
tt0213690;3,5;264
tt0213733;5,9;147
tt0213790;5,2;12547
tt0213802;3,2;1743
tt0213847;7,5;91637
tt0213890;7,1;27516
tt0213985;6,9;2472
tt0214017;7,4;37
tt0214032;6,1;43
tt0214048;5,1;216
tt0214106;4,9;118
tt0214140;7,8;23
tt0214265;6,4;933
tt0214289;6,3;3320
tt0214388;5,8;20824
tt0214520;5,7;78
tt0214619;5,7;104
tt0214638;3,6;276
tt0214646;5,5;138
tt0214698;7;1797
tt0214728;5,9;632
tt0214757;4,6;448
tt0214871;3,7;1411
tt0214878;6,1;1571
tt0214959;6,8;151
tt0215129;6,4;159054
tt0215135;4,4;3165
tt0215139;6;453
tt0215223;5,7;38
tt0215232;4,9;213
tt0215385;6,6;29
tt0215458;5,6;103
tt0215516;6,3;1484
tt0215519;5,6;109
tt0215532;7,3;66
tt0215545;6,6;10662
tt0215679;6,1;454
tt0215681;6,6;3983
tt0215715;5,9;160
tt0215727;4,6;118
tt0215750;7,6;245467
tt0215757;3,3;517
tt0215770;5,8;26
tt0215777;6,2;197
tt0215824;4,6;34
tt0215850;7;486
tt0215941;4,2;107
tt0215965;5,6;162
tt0216105;7,1;98
tt0216148;5,5;48
tt0216198;7,5;30
tt0216216;5,9;116995
tt0216250;6,1;43
tt0216256;6,2;81
tt0216279;6;506
tt0216290;7;31
tt0216417;5,8;1985
tt0216499;6,7;26
tt0216522;5,3;213
tt0216523;5,2;34
tt0216578;6,8;1177
tt0216584;5,6;3766
tt0216587;3,2;77
tt0216590;5,9;304
tt0216605;5,9;1520
tt0216620;4,3;2042
tt0216625;7,2;12187
tt0216651;7,7;29479
tt0216669;6,3;76
tt0216689;6,7;1109
tt0216735;6,5;54
tt0216740;5,4;61
tt0216741;4,8;2199
tt0216746;3,5;1700
tt0216750;6,2;667
tt0216772;4,2;1155
tt0216787;7,2;9262
tt0216799;7,1;6106
tt0216800;7,1;9588
tt0216837;8,4;19
tt0216841;4;993
tt0216890;4,8;370
tt0216904;5,9;192
tt0216911;6;979
tt0216930;4,7;1470
tt0216941;5,1;28
tt0216965;6,2;29
tt0216982;6,3;579
tt0216983;4,2;100
tt0217019;6,1;1675
tt0217031;5,6;338
tt0217037;4,2;79
tt0217066;7,1;439
tt0217084;7,8;453
tt0217086;4,5;1200
tt0217100;7,1;267
tt0217107;4,1;596
tt0217119;6,9;1566
tt0217135;5,9;306
tt0217172;5,5;17
tt0217249;5,5;111
tt0217287;3,8;251
tt0217319;5,2;446
tt0217331;5,1;2533
tt0217355;5,7;3693
tt0217505;7,5;409685
tt0217570;4,1;215
tt0217579;6;4890
tt0217621;4,5;369
tt0217629;7;3020
tt0217630;5,3;26651
tt0217654;3,5;667
tt0217664;7,5;28
tt0217686;6,4;86
tt0217716;4,5;45
tt0217721;7,1;16
tt0217756;5,4;13621
tt0217758;5,3;574
tt0217769;5,8;369
tt0217780;3,1;86
tt0217787;5,3;184
tt0217788;5,3;162
tt0217802;4,7;179
tt0217824;6,3;1586
tt0217869;7,3;389803
tt0217884;5,6;21
tt0217960;7;113
tt0217978;5,8;1330
tt0217979;3,2;571
tt0218000;6,3;534
tt0218032;5,2;169
tt0218053;3,1;195
tt0218067;4,2;1796
tt0218080;3,5;1072
tt0218094;6,7;3606
tt0218107;5,6;1075
tt0218108;6,4;88
tt0218112;6,3;1404
tt0218126;3,4;388
tt0218127;7,2;2916
tt0218138;4,7;776
tt0218140;8,6;29
tt0218141;5,9;1642
tt0218182;6,3;1592
tt0218183;6,6;11
tt0218298;5,8;576
tt0218323;5,6;217
tt0218378;6,4;6012
tt0218426;5,5;135
tt0218440;6;1968
tt0218475;6,5;77
tt0218505;7,3;3225
tt0218516;6,1;53
tt0218533;6,8;2207
tt0218559;6,1;484
tt0218561;5,6;60
tt0218581;5,1;2312
tt0218619;3,9;8410
tt0218624;5,4;125
tt0218625;4,1;1511
