Property ID,Host ID,Host Name,Host since,Host response time,Host response rate,Host acceptance rate,Host is super host?,Host listings count,Host total listings count,Host has progile picture?,Host verified?,Neighborhood,Neighborhood Group,Latitude,Longitude,Room type,Number of guests,Number of Bathrooms,Number of Bathrooms (text),Number of Bedrooms,Number of Beds,Price ($),Has hot water?,Has shampoo?,Has dishes and silverware?,Has long term stays allowed?,Has fire extinguisher?,Has essentials?,Has carbon monoxide alarm?,Has lock on bedroom door?,Has hangers?,Has hair dryer?,Has heating?,Has tv?,Has patio or balcony?,Has wifi?,Has backyard?,Has refrigerator?,Has elevator?,Has extra pillows and blankets?,Has kitchen?,Minimum nights,Maximum nights,Availability in last 90 days,Availability in last 1 year,Number of reviews,Score - rating,Score - accuracy,Score - cleanliness,Score - check in,Score - communication,Score - location,Score - value,Instantly bookable?,Revenue in 1 year
5793703,1447144,Acomodis Apartments,27/11/2011,a few days or more,0.15,0.04,No,123,123,Yes,Yes,la Sagrada Família,Eixample,41.40202,2.17235,Entire home/apt,16,,6 baths,12,30,840,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1125,79,354,0,,,,,,,,0,9240
6096651,15460950,Donnan,13/05/2014,N/A,N/A,N/A,No,1,1,Yes,No,la Sagrada Família,Eixample,41.40443,2.18072,Private room,2,,2 baths,1,1,50,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,18250
5997056,30769361,Carlos,07/04/2015,N/A,N/A,N/A,No,1,1,Yes,No,el Bon Pastor,Sant Andreu,41.4387,2.20338,Private room,2,,1 bath,1,2,30,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
6083021,17782413,Sonia,07/07/2014,N/A,N/A,N/A,No,1,1,Yes,Yes,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38971,2.17822,Private room,1,,1.5 baths,1,1,25,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,9125
6638444,34745366,Lluna,01/06/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,Sant Andreu,Sant Andreu,41.43114,2.18682,Private room,2,,2 baths,1,1,30,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
6669143,5729069,Barcelona,02/04/2013,within a few hours,0.7,0.69,No,22,22,Yes,Yes,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,41.40457,2.21204,Entire home/apt,16,,8 baths,11,16,1470,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,3,1125,58,333,0,,,,,,,,0,47040
6841896,18095918,Jose Maria,14/07/2014,N/A,N/A,N/A,No,1,1,Yes,No,Vallcarca i els Penitents,Gràcia,41.41658,2.14422,Private room,2,,1 bath,1,1,75,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,1,1125,0,0,0,,,,,,,,0,27375
6870003,36001673,Carlos,16/06/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,el Clot,Sant Martí,41.40582,2.1866,Private room,2,,1 bath,1,1,45,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,16425
6882506,31165623,David Mauricio,13/04/2015,N/A,N/A,N/A,No,1,1,Yes,No,el Fort Pienc,Eixample,41.39466,2.17719,Private room,1,,1 bath,1,1,20,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,10,1125,0,0,0,,,,,,,,0,7300
6773769,35463109,Gaia,10/06/2015,N/A,N/A,N/A,No,1,1,Yes,No,el Poblenou,Sant Martí,41.40468,2.19997,Private room,2,,1 bath,1,1,50,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,18250
6964841,31847515,Juan,24/04/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,la Dreta de l'Eixample,Eixample,41.39762,2.16297,Private room,2,,2 baths,1,1,75,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,27375
7087498,36775222,Helena,26/06/2015,N/A,N/A,N/A,No,1,1,Yes,No,la Vila Olímpica del Poblenou,Sant Martí,41.39027,2.1938,Private room,1,,Half-bath,1,1,55,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1125,0,0,0,,,,,,,,0,20075
7112746,37256945,Iratxe,01/07/2015,N/A,N/A,N/A,No,1,1,Yes,No,l'Antiga Esquerra de l'Eixample,Eixample,41.38826,2.1563,Private room,1,,1 bath,1,1,30,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1125,0,0,0,,,,,,,,0,10950
7576999,14415017,Emilia,17/04/2014,N/A,N/A,N/A,No,1,1,Yes,No,el Putxet i el Farró,Sarrià-Sant Gervasi,41.40479,2.14138,Private room,2,,1.5 baths,1,1,30,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
7667259,40253111,Joaquín,02/08/2015,N/A,N/A,N/A,No,1,1,Yes,No,les Corts,Les Corts,41.38461,2.13132,Private room,1,,2 baths,1,1,35,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,3,1125,0,0,0,,,,,,,,0,12775
7433767,30583121,Thomas,04/04/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,el Fort Pienc,Eixample,41.39859,2.17617,Private room,2,,1 bath,1,1,40,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,14600
7471774,21174433,Paola,10/09/2014,N/A,N/A,N/A,No,1,1,Yes,No,el Poble Sec,Sants-Montjuïc,41.37366,2.15426,Private room,2,,1.5 baths,1,1,31,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,2,1125,0,0,0,,,,,,,,0,11315
7506698,17780241,Aldo,07/07/2014,N/A,N/A,N/A,No,2,2,Yes,Yes,el Putxet i el Farró,Sarrià-Sant Gervasi,41.40797,2.14469,Private room,1,,1 bath,1,1,40,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,14600
7507823,26555090,Isabel,22/01/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,l'Antiga Esquerra de l'Eixample,Eixample,41.38726,2.15615,Private room,2,,2 baths,1,1,20,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,7300
7520681,33848547,Marina,20/05/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,el Poblenou,Sant Martí,41.39762,2.19835,Private room,2,,1.5 baths,1,1,110,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,1125,0,0,0,,,,,,,,0,40150
7911423,41714674,Marta,17/08/2015,N/A,N/A,N/A,No,1,1,Yes,No,Porta,Nou Barris,41.43689,2.18412,Private room,1,,1 private bath,1,1,30,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
7864741,24405697,Edouard,02/12/2014,N/A,N/A,N/A,No,2,2,Yes,No,la Nova Esquerra de l'Eixample,Eixample,41.38851,2.14606,Private room,2,,2 baths,1,2,35,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,1,12775
7972318,27970802,Solange,18/02/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,Sants - Badal,Sants-Montjuïc,41.37519,2.12389,Private room,1,,2 baths,1,1,26,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,9490
8350921,1447144,Acomodis Apartments,27/11/2011,a few days or more,0.15,0.04,No,123,123,Yes,Yes,la Sagrada Família,Eixample,41.40383,2.17264,Entire home/apt,16,,5 baths,10,16,700,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,1,1125,73,348,0,,,,,,,,0,11900
8149689,43022951,Sami,31/08/2015,N/A,N/A,N/A,No,1,1,Yes,No,la Dreta de l'Eixample,Eixample,41.39793,2.17564,Private room,2,,1 bath,1,1,42,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,15330
8591619,45155517,Joan,26/09/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40808,2.16394,Private room,1,,1 bath,1,1,100,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,36500
8723781,45786070,Magdalena,05/10/2015,N/A,N/A,N/A,No,1,1,Yes,No,el Poblenou,Sant Martí,41.40611,2.2042,Private room,2,,0 baths,1,2,45,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,16425
8727869,30378984,Pablo,31/03/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,l'Antiga Esquerra de l'Eixample,Eixample,41.38338,2.15804,Private room,2,,1.5 baths,1,1,85,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,31025
8252969,6502638,Abby,21/05/2013,N/A,N/A,N/A,No,1,1,Yes,Yes,el Barri Gòtic,Ciutat Vella,41.38608,2.17534,Private room,1,,1 bath,1,1,45,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,16425
8827248,42395411,Marion,24/08/2015,N/A,N/A,N/A,No,2,2,Yes,No,la Sagrada Família,Eixample,41.40309,2.18285,Private room,2,,1 bath,1,2,28,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,10220
9409861,48664466,Mendi,10/11/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,41.3981,2.14164,Private room,2,,1 bath,1,1,49,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,17885
8940271,210484,German,23/08/2010,within an hour,1,0,No,1,1,Yes,Yes,Sant Martí de Provençals,Sant Martí,41.41845,2.1982,Private room,2,,1.5 shared baths,2,2,50,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,3,1125,43,43,0,,,,,,,,0,16100
9001917,5766845,Pablo,04/04/2013,N/A,N/A,N/A,No,1,1,Yes,No,el Putxet i el Farró,Sarrià-Sant Gervasi,41.41379,2.1381,Private room,1,,2 baths,1,1,45,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,30,1125,0,0,0,,,,,,,,0,16425
9038524,9479672,Luciana,17/10/2013,N/A,N/A,N/A,No,3,3,Yes,Yes,el Raval,Ciutat Vella,41.37715,2.17342,Private room,1,,0 baths,1,1,20,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,1125,0,0,0,,,,,,,,0,7300
9630415,3510937,Julio,08/09/2012,N/A,N/A,N/A,No,1,1,Yes,Yes,la Vila de Gràcia,Gràcia,41.40283,2.15468,Private room,2,,1 bath,1,1,45,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,2,1125,0,0,0,,,,,,,,0,16425
9708841,10674922,Giacomo,17/12/2013,N/A,N/A,N/A,No,1,1,Yes,No,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.4107,2.1594,Private room,1,,1 bath,1,1,15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,1,1125,0,0,0,,,,,,,,1,5475
9730455,35712072,Trize,13/06/2015,within an hour,0.88,0.9,No,40,40,Yes,Yes,el Barri Gòtic,Ciutat Vella,41.37899,2.17686,Entire home/apt,4,,1 bath,2,2,70,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,32,1125,36,311,0,,,,,,,,0,3780
9730962,35712072,Trize,13/06/2015,within an hour,0.88,0.9,No,40,40,Yes,Yes,la Dreta de l'Eixample,Eixample,41.39383,2.16619,Entire home/apt,6,,2 baths,3,4,150,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,32,1125,80,355,0,,,,,,,,0,1500
9793683,50470731,Laureano,03/12/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,la Trinitat Vella,Sant Andreu,41.45301,2.19149,Private room,1,,1 bath,1,1,18,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,6570
10159608,52148199,Diana,24/12/2015,N/A,N/A,N/A,No,1,1,Yes,No,Sant Antoni,Eixample,41.38082,2.15865,Private room,1,,2 baths,1,1,20,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,7300
10161751,21519513,Salvador,19/09/2014,N/A,N/A,N/A,No,1,1,Yes,Yes,el Barri Gòtic,Ciutat Vella,41.38224,2.17915,Private room,1,,2 baths,1,1,45,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,16425
10353204,848945,Alexis,21/07/2011,N/A,N/A,N/A,No,1,1,Yes,Yes,Sant Antoni,Eixample,41.37838,2.16041,Private room,2,,0 baths,1,1,20,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,2,1125,0,0,0,,,,,,,,0,7300
10353331,53285115,Camila,04/01/2016,N/A,N/A,N/A,No,1,1,Yes,No,la Vila de Gràcia,Gràcia,41.40089,2.16151,Private room,2,,Half-bath,1,1,27,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,9855
10449047,2396421,Aurélie,17/05/2012,N/A,N/A,N/A,No,1,1,Yes,No,Sant Martí de Provençals,Sant Martí,41.41552,2.19699,Private room,1,,1 bath,1,1,20,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,7300
10115098,51908383,Hostal,21/12/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,Sant Antoni,Eixample,41.3827,2.15951,Private room,2,,1 bath,1,1,59,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,1,1125,0,0,0,,,,,,,,0,21535
10672506,35712072,Trize,13/06/2015,within an hour,0.88,0.9,No,40,40,Yes,Yes,Sant Antoni,Eixample,41.37777,2.15631,Entire home/apt,6,,1 bath,4,6,60,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,32,1125,10,10,0,,,,,,,,0,21300
10716366,10693680,Ramón,18/12/2013,within a day,0.9,0.68,No,30,30,Yes,Yes,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.39094,2.18169,Entire home/apt,4,,1 bath,3,3,40,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,32,1125,17,292,0,,,,,,,,0,2920
10724048,39790779,Eleonora,28/07/2015,N/A,N/A,N/A,No,0,0,Yes,Yes,el Clot,Sant Martí,41.4139,2.19224,Private room,1,,1 bath,1,1,600,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,3,1125,0,0,0,,,,,,,,0,219000
10897247,15006005,Oihana,02/05/2014,N/A,N/A,N/A,No,1,1,Yes,Yes,la Nova Esquerra de l'Eixample,Eixample,41.38088,2.15265,Private room,2,,1.5 baths,1,1,49,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,17885
10903401,56507419,Sneha,28/01/2016,N/A,N/A,N/A,No,1,1,Yes,No,la Dreta de l'Eixample,Eixample,41.39759,2.17638,Private room,2,,2 baths,1,2,20,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,7300
10960459,56055112,Norma Y Mauricio,25/01/2016,N/A,N/A,N/A,No,1,1,Yes,No,el Barri Gòtic,Ciutat Vella,41.38048,2.18162,Private room,2,,1.5 baths,1,2,25,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,9125
11313478,59158524,Papiss,17/02/2016,N/A,N/A,N/A,No,1,1,Yes,No,Porta,Nou Barris,41.4376,2.17469,Private room,2,,1 bath,1,1,65,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,1,1125,0,0,0,,,,,,,,0,23725
11341008,3441209,Mariana,01/09/2012,N/A,N/A,N/A,No,1,1,Yes,No,Sant Antoni,Eixample,41.37772,2.15453,Private room,2,,1 bath,1,1,100,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,36500
11350906,36704394,Fran,25/06/2015,N/A,N/A,N/A,No,1,1,Yes,No,la Sagrada Família,Eixample,41.40673,2.17053,Private room,1,,1 bath,1,1,150,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,54750
11351897,8630901,Ophelie,04/09/2013,N/A,N/A,N/A,No,1,1,Yes,Yes,el Raval,Ciutat Vella,41.38202,2.16527,Private room,1,,1 bath,1,1,150,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,2,1125,0,0,0,,,,,,,,0,54750
11353728,25638929,Adrian,05/01/2015,N/A,N/A,N/A,No,1,1,Yes,Yes,el Guinardó,Horta-Guinardó,41.41381,2.17744,Private room,2,,1 bath,1,1,100,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,36500
11132029,57597309,Carla  Maria,06/02/2016,N/A,N/A,N/A,No,1,1,Yes,No,Provençals del Poblenou,Sant Martí,41.41641,2.20445,Private room,3,,1 bath,1,2,40,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,14600
11164276,22377845,Jessica,10/10/2014,N/A,N/A,N/A,No,1,1,Yes,No,el Fort Pienc,Eixample,41.39775,2.1785,Private room,2,,1 bath,1,1,60,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,21900
