OrderID,CustomerID,OrderDate,ShipDate,ShipMode,Status
O000109,C00228,2026-01-31,2026-02-02,First Class,Completed
O000110,C00438,2026-01-31,2026-02-02,First Class,Completed
O000111,C00352,2026-01-31,2026-02-01,First Class,Completed
O000112,C00462,2026-01-31,2026-02-05,Second Class,Completed
O000113,C00032,2026-01-31,2026-02-03,First Class,Completed
O000114,C00098,2026-01-31,2026-02-03,Standard,Completed
O000115,C00047,2026-01-31,2026-02-04,Second Class,Completed
O000116,C00329,2026-01-31,2026-02-02,Second Class,Completed
O000117,C00498,2026-01-31,2026-02-05,Standard,Completed
O000118,C00403,2026-01-31,2026-02-01,First Class,Completed
O000119,C00065,2026-01-31,2026-02-02,Second Class,Completed
O000120,C00036,2026-01-31,2026-02-02,Second Class,Completed
O000121,C00301,2026-01-31,2026-02-02,Standard,Completed
O000122,C00169,2026-01-31,2026-02-02,Standard,Completed
O000123,C00002,2026-01-31,2026-02-05,First Class,Completed
O000124,C00067,2026-01-31,2026-02-02,Second Class,Completed
O000125,C00409,2026-01-31,2026-02-03,Standard,Completed
O000126,C00339,2026-01-31,2026-02-01,Standard,Completed
O000127,C00008,2026-01-31,2026-02-02,First Class,Completed
O000128,C00302,2026-01-31,2026-02-02,First Class,Completed
O000129,C00090,2026-01-31,2026-02-01,First Class,Completed
O000130,C00065,2026-01-31,2026-02-01,Second Class,Completed
O000131,C00270,2026-01-31,2026-02-04,Standard,Completed
O000132,C00244,2026-01-31,2026-02-01,First Class,Completed
O000133,C00263,2026-01-31,2026-02-03,Second Class,Completed
O000134,C00232,2026-01-31,2026-02-01,Second Class,Completed
O000135,C00485,2026-01-31,2026-02-02,Second Class,Completed
O000136,C00373,2026-01-31,2026-02-01,Second Class,Completed
O000137,C00155,2026-01-31,2026-02-05,First Class,Completed
O000138,C00032,2026-01-31,2026-02-01,First Class,Completed
O000139,C00219,2026-01-31,2026-02-04,Second Class,Completed
O000140,C00252,2026-01-31,2026-02-01,Second Class,Completed
O000141,C00038,2026-01-31,2026-02-04,Standard,Completed
O000142,C00312,2026-01-31,2026-02-03,Standard,Completed
O000143,C00065,2026-01-31,2026-02-01,First Class,Completed
O000144,C00325,2026-01-31,2026-02-05,Second Class,Completed
O000145,C00365,2026-01-31,2026-02-05,First Class,Completed
O000146,C00306,2026-01-31,2026-02-04,Second Class,Completed
O000147,C00233,2026-01-31,2026-02-03,Second Class,Completed
O000148,C00221,2026-01-31,2026-02-05,Standard,Completed
O000149,C00437,2026-01-31,2026-02-01,Second Class,Completed
O000150,C00370,2026-01-31,2026-02-05,Standard,Completed
O000151,C00232,2026-01-31,2026-02-04,Standard,Completed
O000152,C00174,2026-01-31,2026-02-04,First Class,Completed
O000153,C00213,2026-01-31,2026-02-04,Second Class,Completed
O000154,C00161,2026-01-31,2026-02-01,First Class,Completed
O000155,C00341,2026-01-31,2026-02-03,First Class,Completed
O000156,C00489,2026-01-31,2026-02-03,Standard,Completed
O000157,C00035,2026-01-31,2026-02-04,Standard,Completed
O000158,C00048,2026-01-31,2026-02-01,First Class,Completed
O000159,C00382,2026-01-31,2026-02-01,Second Class,Completed
O000160,C00416,2026-01-31,2026-02-03,Standard,Completed
O000161,C00031,2026-01-31,2026-02-05,Second Class,Completed
O000162,C00288,2026-01-31,2026-02-05,First Class,Completed
O000163,C00211,2026-01-31,2026-02-01,First Class,Completed
O000164,C00445,2026-01-31,2026-02-04,Second Class,Completed
O000165,C00496,2026-01-31,2026-02-01,First Class,Completed
O000166,C00160,2026-01-31,2026-02-05,First Class,Completed
O000167,C00296,2026-01-31,2026-02-01,Second Class,Completed
O000168,C00080,2026-01-31,2026-02-02,Second Class,Completed
O000169,C00115,2026-01-31,2026-02-04,Standard,Completed
O000170,C00433,2026-01-31,2026-02-03,Second Class,Completed
O000171,C00059,2026-01-31,2026-02-03,First Class,Completed
O000172,C00116,2026-01-31,2026-02-05,First Class,Completed
O000173,C00499,2026-01-31,2026-02-05,Second Class,Completed
O000174,C00346,2026-01-31,2026-02-05,Second Class,Completed
O000175,C00014,2026-01-31,2026-02-05,Second Class,Completed
O000176,C00015,2026-01-31,2026-02-03,Standard,Completed
O000177,C00360,2026-01-31,2026-02-03,First Class,Completed
O000178,C00180,2026-01-31,2026-02-03,Standard,Completed
O000179,C00446,2026-01-31,2026-02-02,Standard,Completed
O000180,C00337,2026-01-31,2026-02-05,First Class,Completed
O000181,C00073,2026-01-31,2026-02-01,Second Class,Completed
O000182,C00047,2026-01-31,2026-02-01,Second Class,Completed
O000183,C00111,2026-01-31,2026-02-05,First Class,Completed
O000184,C00233,2026-01-31,2026-02-04,First Class,Completed
O000185,C00190,2026-01-31,2026-02-02,First Class,Completed
O000186,C00398,2026-01-31,2026-02-03,Second Class,Completed
O000187,C00044,2026-01-31,2026-02-05,Standard,Completed
O000188,C00081,2026-01-31,2026-02-02,Second Class,Completed
O000189,C00346,2026-01-31,2026-02-01,Standard,Completed
O000190,C00227,2026-01-31,2026-02-03,Second Class,Completed
O000191,C00249,2026-01-31,2026-02-04,Second Class,Completed
O000192,C00213,2026-01-31,2026-02-04,First Class,Completed
O000193,C00387,2026-01-31,2026-02-02,Second Class,Completed
O000194,C00177,2026-01-31,2026-02-01,First Class,Completed
O000195,C00146,2026-01-31,2026-02-01,Second Class,Completed
O000196,C00250,2026-01-31,2026-02-05,Second Class,Completed
O000197,C00024,2026-01-31,2026-02-03,Standard,Completed
O000198,C00307,2026-01-31,2026-02-04,Standard,Completed
O000199,C00105,2026-01-31,2026-02-01,First Class,Completed
O000200,C00393,2026-01-31,2026-02-02,Standard,Completed
O000201,C00149,2026-01-31,2026-02-03,First Class,Completed
O000202,C00004,2026-01-31,2026-02-01,First Class,Completed
O000203,C00090,2026-01-31,2026-02-04,Standard,Completed
O000204,C00273,2026-01-31,2026-02-04,Second Class,Completed
O000205,C00257,2026-01-31,2026-02-02,Second Class,Completed
O000206,C00037,2026-01-31,2026-02-03,First Class,Completed
O000207,C00224,2026-01-31,2026-02-01,Standard,Completed
O000208,C00472,2026-01-31,2026-02-04,Standard,Completed
O000209,C00295,2026-01-31,2026-02-03,First Class,Completed
O000210,C00208,2026-01-31,2026-02-05,Second Class,Completed
O000211,C00149,2026-01-31,2026-02-04,Standard,Completed
O000212,C00011,2026-01-31,2026-02-04,First Class,Completed
O000213,C00411,2026-01-31,2026-02-02,Second Class,Completed
O000214,C00426,2026-01-31,2026-02-04,Second Class,Completed
O000215,C00046,2026-01-31,2026-02-03,First Class,Completed
O000216,C00125,2026-01-31,2026-02-01,First Class,Completed
O000217,C00206,2026-01-31,2026-02-05,Second Class,Completed
O000218,C00203,2026-01-31,2026-02-01,First Class,Completed
O000219,C00114,2026-01-31,2026-02-03,First Class,Completed
O000220,C00040,2026-01-31,2026-02-02,Second Class,Completed
O000221,C00272,2026-01-31,2026-02-01,Second Class,Completed
O000222,C00464,2026-01-31,2026-02-02,First Class,Completed
O000223,C00373,2026-01-31,2026-02-03,Second Class,Completed
O000224,C00121,2026-01-31,2026-02-02,Standard,Completed
O000225,C00132,2026-01-31,2026-02-02,Standard,Completed
O000226,C00309,2026-01-31,2026-02-02,Standard,Completed
O000227,C00091,2026-01-31,2026-02-01,Second Class,Completed
O000228,C00238,2026-01-31,2026-02-04,Second Class,Completed
O000229,C00230,2026-01-31,2026-02-05,Second Class,Completed
O000230,C00330,2026-01-31,2026-02-05,Second Class,Completed
O000231,C00166,2026-01-31,2026-02-05,Second Class,Completed
O000232,C00078,2026-01-31,2026-02-03,First Class,Completed
O000233,C00241,2026-01-31,2026-02-01,First Class,Completed
O000234,C00408,2026-01-31,2026-02-03,First Class,Completed
O000235,C00029,2026-01-31,2026-02-05,First Class,Completed
O000236,C00038,2026-01-31,2026-02-05,First Class,Completed
O000237,C00232,2026-01-31,2026-02-04,Standard,Completed
O000238,C00189,2026-01-31,2026-02-01,First Class,Completed
O000239,C00331,2026-01-31,2026-02-01,Standard,Completed
O000240,C00305,2026-01-31,2026-02-05,Second Class,Completed
O000241,C00237,2026-01-31,2026-02-04,Second Class,Completed
O000242,C00489,2026-01-31,2026-02-05,Second Class,Completed
O000243,C00231,2026-01-31,2026-02-01,Second Class,Completed
O000244,C00165,2026-01-31,2026-02-02,Second Class,Completed
O000245,C00257,2026-01-31,2026-02-04,Standard,Completed
O000246,C00231,2026-01-31,2026-02-01,Standard,Completed
O000247,C00366,2026-01-31,2026-02-03,Standard,Completed
O000248,C00331,2026-01-31,2026-02-05,Standard,Completed
O000249,C00127,2026-01-31,2026-02-01,Second Class,Completed
O000250,C00225,2026-01-31,2026-02-04,Second Class,Completed
O000251,C00313,2026-01-31,2026-02-05,Standard,Completed
O000252,C00191,2026-01-31,2026-02-03,First Class,Completed
O000253,C00210,2026-01-31,2026-02-04,First Class,Completed
O000254,C00027,2026-01-31,2026-02-05,Second Class,Completed
O000255,C00034,2026-01-31,2026-02-03,First Class,Completed
O000256,C00286,2026-01-31,2026-02-01,Second Class,Completed
O000257,C00146,2026-01-31,2026-02-04,First Class,Completed
O000258,C00448,2026-01-31,2026-02-05,Standard,Completed
O000259,C00042,2026-01-31,2026-02-03,Second Class,Completed
O000260,C00470,2026-01-31,2026-02-02,First Class,Completed
O000261,C00496,2026-01-31,2026-02-03,Second Class,Completed
O000262,C00067,2026-01-31,2026-02-04,Second Class,Completed
O000263,C00159,2026-01-31,2026-02-01,Second Class,Completed
O000264,C00330,2026-01-31,2026-02-04,First Class,Completed
O000265,C00344,2026-01-31,2026-02-02,Second Class,Completed
O000266,C00048,2026-01-31,2026-02-05,Second Class,Completed
O000267,C00261,2026-01-31,2026-02-04,First Class,Completed
O000268,C00186,2026-01-31,2026-02-01,First Class,Completed
O000269,C00487,2026-01-31,2026-02-02,Standard,Completed
O000270,C00486,2026-01-31,2026-02-03,First Class,Completed
O000271,C00116,2026-01-31,2026-02-02,Standard,Completed
O000272,C00040,2026-01-31,2026-02-02,First Class,Completed
O000273,C00260,2026-01-31,2026-02-01,Second Class,Completed
O000274,C00020,2026-01-31,2026-02-05,Second Class,Completed
O000275,C00449,2026-01-31,2026-02-03,Second Class,Completed
O000276,C00306,2026-01-31,2026-02-02,First Class,Completed
O000277,C00084,2026-01-31,2026-02-02,Standard,Completed
O000278,C00415,2026-01-31,2026-02-05,Standard,Completed
O000279,C00023,2026-01-31,2026-02-04,First Class,Completed
O000280,C00347,2026-01-31,2026-02-03,Second Class,Completed
O000281,C00497,2026-01-31,2026-02-02,First Class,Completed
O000282,C00146,2026-01-31,2026-02-05,Second Class,Completed
O000283,C00120,2026-01-31,2026-02-04,Second Class,Completed
O000284,C00159,2026-01-31,2026-02-02,First Class,Completed
O000285,C00189,2026-01-31,2026-02-02,Second Class,Completed
O000286,C00226,2026-01-31,2026-02-05,First Class,Completed
O000287,C00399,2026-01-31,2026-02-03,First Class,Completed
O000288,C00271,2026-01-31,2026-02-05,First Class,Completed
O000289,C00419,2026-01-31,2026-02-02,Standard,Completed
O000290,C00071,2026-01-31,2026-02-05,First Class,Completed
O000291,C00329,2026-01-31,2026-02-01,First Class,Completed
O000292,C00284,2026-01-31,2026-02-03,Standard,Completed
O000293,C00436,2026-01-31,2026-02-05,Standard,Completed
O000294,C00043,2026-01-31,2026-02-03,Standard,Completed
O000295,C00231,2026-01-31,2026-02-03,Second Class,Completed
O000296,C00426,2026-01-31,2026-02-02,First Class,Completed
O000297,C00485,2026-01-31,2026-02-01,Standard,Completed
O000298,C00453,2026-01-31,2026-02-04,First Class,Completed
O000299,C00213,2026-01-31,2026-02-01,Standard,Completed
O000300,C00258,2026-01-31,2026-02-04,First Class,Completed
O000301,C00198,2026-01-31,2026-02-02,Standard,Completed
O000302,C00115,2026-01-31,2026-02-03,Standard,Completed
O000303,C00477,2026-01-31,2026-02-03,Standard,Completed
O000304,C00406,2026-01-31,2026-02-03,Standard,Completed
O000305,C00020,2026-01-31,2026-02-02,First Class,Completed
O000306,C00357,2026-01-31,2026-02-04,Standard,Completed
O000307,C00230,2026-01-31,2026-02-04,Second Class,Completed
O000308,C00464,2026-01-31,2026-02-01,Standard,Completed
O000309,C00132,2026-01-31,2026-02-01,Standard,Completed
O000310,C00281,2026-01-31,2026-02-02,Second Class,Completed
O000311,C00271,2026-01-31,2026-02-05,First Class,Completed
O000312,C00398,2026-01-31,2026-02-01,First Class,Completed
O000313,C00155,2026-01-31,2026-02-02,Standard,Completed
O000314,C00123,2026-01-31,2026-02-01,First Class,Completed
O000315,C00235,2026-01-31,2026-02-05,Standard,Completed
O000316,C00429,2026-01-31,2026-02-01,First Class,Completed
O000317,C00275,2026-01-31,2026-02-05,Standard,Completed
O000318,C00295,2026-01-31,2026-02-05,Standard,Completed
O000319,C00150,2026-01-31,2026-02-02,First Class,Completed
O000320,C00315,2026-01-31,2026-02-01,First Class,Completed
O000321,C00293,2026-01-31,2026-02-02,First Class,Completed
O000322,C00341,2026-01-31,2026-02-02,Second Class,Completed
O000323,C00269,2026-01-31,2026-02-01,First Class,Completed
O000324,C00489,2026-01-31,2026-02-01,Second Class,Completed
O000325,C00260,2026-01-31,2026-02-05,Second Class,Completed
O000326,C00011,2026-01-31,2026-02-05,First Class,Completed
O000327,C00023,2026-01-31,2026-02-04,Second Class,Completed
O000328,C00192,2026-01-31,2026-02-04,First Class,Completed
O000329,C00183,2026-01-31,2026-02-01,Standard,Completed
O000330,C00124,2026-01-31,2026-02-03,Second Class,Completed
O000331,C00396,2026-01-31,2026-02-01,Second Class,Completed
O000332,C00069,2026-01-31,2026-02-03,Standard,Completed
O000333,C00280,2026-01-31,2026-02-03,First Class,Completed
O000334,C00426,2026-01-31,2026-02-02,Second Class,Completed
O000335,C00357,2026-01-31,2026-02-04,First Class,Completed
O000336,C00416,2026-01-31,2026-02-02,Standard,Completed
O000337,C00367,2026-01-31,2026-02-01,First Class,Completed
O000338,C00151,2026-01-31,2026-02-01,Standard,Completed
O000339,C00406,2026-01-31,2026-02-01,Standard,Completed
O000340,C00162,2026-01-31,2026-02-01,First Class,Completed
O000341,C00204,2026-01-31,2026-02-05,Second Class,Completed
O000342,C00130,2026-01-31,2026-02-04,Standard,Completed
O000343,C00147,2026-01-31,2026-02-02,First Class,Completed
O000344,C00444,2026-01-31,2026-02-01,Second Class,Completed
O000345,C00140,2026-01-31,2026-02-03,Standard,Completed
O000346,C00224,2026-01-31,2026-02-03,First Class,Completed
O000347,C00459,2026-01-31,2026-02-04,First Class,Completed
O000348,C00499,2026-01-31,2026-02-03,Standard,Completed
O000349,C00355,2026-01-31,2026-02-04,First Class,Completed
O000350,C00474,2026-01-31,2026-02-03,Second Class,Completed
O000351,C00411,2026-01-31,2026-02-03,Standard,Completed
O000352,C00041,2026-01-31,2026-02-04,First Class,Completed
O000353,C00422,2026-01-31,2026-02-05,Standard,Completed
O000354,C00151,2026-01-31,2026-02-05,First Class,Completed
O000355,C00041,2026-01-31,2026-02-01,First Class,Completed
O000356,C00157,2026-01-31,2026-02-03,First Class,Completed
O000357,C00368,2026-01-31,2026-02-05,First Class,Completed
O000358,C00354,2026-01-31,2026-02-02,First Class,Completed
O000359,C00229,2026-01-31,2026-02-03,Standard,Completed
O000360,C00315,2026-01-31,2026-02-03,First Class,Completed
O000361,C00328,2026-01-31,2026-02-03,Standard,Completed
O000362,C00344,2026-01-31,2026-02-01,Second Class,Completed
O000363,C00187,2026-01-31,2026-02-04,Second Class,Completed
O000364,C00488,2026-01-31,2026-02-02,Standard,Completed
O000365,C00435,2026-01-31,2026-02-02,Second Class,Completed
O000366,C00018,2026-01-31,2026-02-04,Standard,Completed
O000367,C00121,2026-01-31,2026-02-01,Second Class,Completed
O000368,C00186,2026-01-31,2026-02-03,First Class,Completed
O000369,C00017,2026-01-31,2026-02-05,Second Class,Completed
O000370,C00348,2026-01-31,2026-02-02,First Class,Completed
O000371,C00191,2026-01-31,2026-02-03,First Class,Completed
O000372,C00294,2026-01-31,2026-02-01,Standard,Completed
O000373,C00188,2026-01-31,2026-02-05,First Class,Completed
O000374,C00333,2026-01-31,2026-02-03,First Class,Completed
O000375,C00492,2026-01-31,2026-02-02,Standard,Completed
O000376,C00377,2026-01-31,2026-02-01,Standard,Completed
O000377,C00266,2026-01-31,2026-02-04,First Class,Completed
O000378,C00061,2026-01-31,2026-02-05,First Class,Completed
O000379,C00361,2026-01-31,2026-02-03,First Class,Completed
O000380,C00314,2026-01-31,2026-02-02,First Class,Completed
O000381,C00103,2026-01-31,2026-02-04,Standard,Completed
O000382,C00437,2026-01-31,2026-02-02,Standard,Completed
O000383,C00089,2026-01-31,2026-02-04,Second Class,Completed
O000384,C00045,2026-01-31,2026-02-04,Second Class,Completed
O000385,C00342,2026-01-31,2026-02-03,First Class,Completed
O000386,C00282,2026-01-31,2026-02-01,Second Class,Completed
O000387,C00457,2026-01-31,2026-02-03,First Class,Completed
O000388,C00365,2026-01-31,2026-02-02,Second Class,Completed
O000389,C00407,2026-01-31,2026-02-02,First Class,Completed
O000390,C00115,2026-01-31,2026-02-05,Standard,Completed
O000391,C00406,2026-01-31,2026-02-02,Standard,Completed
O000392,C00405,2026-01-31,2026-02-02,First Class,Completed
O000393,C00185,2026-01-31,2026-02-01,Second Class,Completed
O000394,C00189,2026-01-31,2026-02-05,First Class,Completed
O000395,C00067,2026-01-31,2026-02-05,Second Class,Completed
O000396,C00034,2026-01-31,2026-02-01,First Class,Completed
O000397,C00368,2026-01-31,2026-02-04,Second Class,Completed
O000398,C00270,2026-01-31,2026-02-04,First Class,Completed
O000399,C00422,2026-01-31,2026-02-04,Second Class,Completed
O000400,C00065,2026-01-31,2026-02-01,First Class,Completed
O000401,C00231,2026-01-31,2026-02-01,First Class,Completed
O000402,C00177,2026-01-31,2026-02-05,Standard,Completed
O000403,C00328,2026-01-31,2026-02-05,Second Class,Completed
O000404,C00394,2026-01-31,2026-02-02,Standard,Completed
O000405,C00258,2026-01-31,2026-02-04,Standard,Completed
O000406,C00266,2026-01-31,2026-02-01,Standard,Completed
O000407,C00085,2026-01-31,2026-02-03,Standard,Completed
O000408,C00479,2026-01-31,2026-02-03,Second Class,Completed
O000409,C00178,2026-01-31,2026-02-02,Second Class,Completed
O000410,C00434,2026-01-31,2026-02-03,Standard,Completed
O000411,C00101,2026-01-31,2026-02-03,Second Class,Completed
O000412,C00141,2026-01-31,2026-02-05,Standard,Completed
O000413,C00315,2026-01-31,2026-02-03,Second Class,Completed
O000414,C00258,2026-01-31,2026-02-01,Second Class,Completed
O000415,C00304,2026-01-31,2026-02-02,Second Class,Completed
O000416,C00088,2026-01-31,2026-02-02,Second Class,Completed
O000417,C00369,2026-01-31,2026-02-05,Second Class,Completed
O000418,C00432,2026-01-31,2026-02-03,Second Class,Completed
O000419,C00423,2026-01-31,2026-02-01,Standard,Completed
O000420,C00024,2026-01-31,2026-02-01,Second Class,Completed
O000421,C00136,2026-01-31,2026-02-05,Second Class,Completed
O000422,C00393,2026-01-31,2026-02-02,Second Class,Completed
O000423,C00317,2026-01-31,2026-02-04,Second Class,Completed
O000424,C00255,2026-01-31,2026-02-01,Second Class,Completed
O000425,C00149,2026-01-31,2026-02-05,Second Class,Completed
O000426,C00248,2026-01-31,2026-02-03,Standard,Completed
O000427,C00153,2026-01-31,2026-02-04,First Class,Completed
O000428,C00353,2026-01-31,2026-02-01,Standard,Completed
O000429,C00226,2026-01-31,2026-02-02,First Class,Completed
O000430,C00238,2026-01-31,2026-02-04,Standard,Completed
O000431,C00311,2026-01-31,2026-02-03,Standard,Completed
O000432,C00442,2026-01-31,2026-02-03,Second Class,Completed
O000433,C00376,2026-01-31,2026-02-03,First Class,Completed
O000434,C00067,2026-01-31,2026-02-04,First Class,Completed
O000435,C00288,2026-01-31,2026-02-05,Standard,Completed
O000436,C00124,2026-01-31,2026-02-03,First Class,Completed
O000437,C00137,2026-01-31,2026-02-01,First Class,Completed
O000438,C00073,2026-01-31,2026-02-02,Standard,Completed
O000439,C00149,2026-01-31,2026-02-01,First Class,Completed
O000440,C00215,2026-01-31,2026-02-05,Standard,Completed
O000441,C00417,2026-01-31,2026-02-02,First Class,Completed
O000442,C00370,2026-01-31,2026-02-05,First Class,Completed
O000443,C00391,2026-01-31,2026-02-02,Standard,Completed
O000444,C00264,2026-01-31,2026-02-04,First Class,Completed
O000445,C00451,2026-01-31,2026-02-04,First Class,Completed
O000446,C00012,2026-01-31,2026-02-04,Standard,Completed
O000447,C00259,2026-01-31,2026-02-04,First Class,Completed
O000448,C00111,2026-01-31,2026-02-02,Second Class,Completed
O000449,C00025,2026-01-31,2026-02-03,Standard,Completed
O000450,C00254,2026-01-31,2026-02-03,Second Class,Completed
O000451,C00147,2026-01-31,2026-02-04,Second Class,Completed
O000452,C00434,2026-01-31,2026-02-01,Standard,Completed
O000453,C00069,2026-01-31,2026-02-04,First Class,Completed
O000454,C00392,2026-01-31,2026-02-03,First Class,Completed
O000455,C00024,2026-01-31,2026-02-03,First Class,Completed
O000456,C00292,2026-01-31,2026-02-01,Second Class,Completed
O000457,C00186,2026-01-31,2026-02-02,Second Class,Completed
O000458,C00038,2026-01-31,2026-02-03,First Class,Completed
O000459,C00231,2026-01-31,2026-02-05,Second Class,Completed
