PaymentID,OrderID,PaymentDate,PaymentMethod,Amount
PAY0000049,O000049,2026-01-31,PayPal,2042.62
PAY0000050,O000050,2026-01-31,Credit Card,847.43
PAY0000051,O000051,2026-01-31,Debit Card,2258.92
PAY0000052,O000052,2026-01-31,Debit Card,407.68
PAY0000053,O000053,2026-01-31,PayPal,1395.97
PAY0000054,O000054,2026-01-31,PayPal,1704.24
PAY0000055,O000055,2026-01-31,Credit Card,1246.7
PAY0000056,O000056,2026-01-31,PayPal,2094.61
PAY0000057,O000057,2026-01-31,PayPal,571.09
PAY0000058,O000058,2026-01-31,Credit Card,1335.36
PAY0000059,O000059,2026-01-31,Credit Card,641.32
PAY0000060,O000060,2026-01-31,Credit Card,1883.64
PAY0000061,O000061,2026-01-31,PayPal,1069.21
PAY0000062,O000062,2026-01-31,PayPal,352.55
PAY0000063,O000063,2026-01-31,Credit Card,701.61
PAY0000064,O000064,2026-01-31,PayPal,1682.49
PAY0000065,O000065,2026-01-31,Debit Card,1805.11
PAY0000066,O000066,2026-01-31,Debit Card,1704.06
PAY0000067,O000067,2026-01-31,PayPal,1340.57
PAY0000068,O000068,2026-01-31,Debit Card,1923.74
PAY0000069,O000069,2026-01-31,Credit Card,887.07
PAY0000070,O000070,2026-01-31,Debit Card,1686.88
PAY0000071,O000071,2026-01-31,PayPal,1867.38
PAY0000072,O000072,2026-01-31,Credit Card,1895.05
PAY0000073,O000073,2026-01-31,Debit Card,1616.51
PAY0000074,O000074,2026-01-31,Credit Card,2450.87
PAY0000075,O000075,2026-01-31,Credit Card,443.09
PAY0000076,O000076,2026-01-31,Credit Card,2104.91
PAY0000077,O000077,2026-01-31,Credit Card,488.52
PAY0000078,O000078,2026-01-31,Debit Card,128.11
PAY0000079,O000079,2026-01-31,Debit Card,1261.23
PAY0000080,O000080,2026-01-31,Debit Card,550.6
PAY0000081,O000081,2026-01-31,PayPal,1073.58
PAY0000082,O000082,2026-01-31,Credit Card,1187.66
PAY0000083,O000083,2026-01-31,Debit Card,1410.11
PAY0000084,O000084,2026-01-31,Credit Card,1887.91
PAY0000085,O000085,2026-01-31,PayPal,1944.43
PAY0000086,O000086,2026-01-31,Debit Card,909.41
PAY0000087,O000087,2026-01-31,Credit Card,712.68
PAY0000088,O000088,2026-01-31,Debit Card,1952.82
PAY0000089,O000089,2026-01-31,Debit Card,1691.8
PAY0000090,O000090,2026-01-31,PayPal,2154.91
PAY0000091,O000091,2026-01-31,PayPal,730.87
PAY0000092,O000092,2026-01-31,Debit Card,1123.63
PAY0000093,O000093,2026-01-31,Credit Card,2415.41
PAY0000094,O000094,2026-01-31,Credit Card,327.0
PAY0000095,O000095,2026-01-31,Debit Card,2092.19
PAY0000096,O000096,2026-01-31,Credit Card,1421.12
PAY0000097,O000097,2026-01-31,Debit Card,403.12
PAY0000098,O000098,2026-01-31,Debit Card,836.87
PAY0000099,O000099,2026-01-31,Debit Card,1427.92
PAY0000100,O000100,2026-01-31,Credit Card,2419.1
PAY0000101,O000101,2026-01-31,PayPal,538.27
PAY0000102,O000102,2026-01-31,PayPal,567.71
PAY0000103,O000103,2026-01-31,PayPal,632.46
PAY0000104,O000104,2026-01-31,Credit Card,576.83
PAY0000105,O000105,2026-01-31,PayPal,949.45
PAY0000106,O000106,2026-01-31,PayPal,1971.85
PAY0000107,O000107,2026-01-31,PayPal,2163.82
PAY0000108,O000108,2026-01-31,PayPal,212.79
PAY0000109,O000109,2026-01-31,PayPal,970.37
PAY0000110,O000110,2026-01-31,Credit Card,1764.87
PAY0000111,O000111,2026-01-31,PayPal,500.21
PAY0000112,O000112,2026-01-31,Credit Card,340.33
PAY0000113,O000113,2026-01-31,Credit Card,1623.78
PAY0000114,O000114,2026-01-31,PayPal,643.02
PAY0000115,O000115,2026-01-31,PayPal,464.92
PAY0000116,O000116,2026-01-31,PayPal,1117.64
PAY0000117,O000117,2026-01-31,Credit Card,768.21
PAY0000118,O000118,2026-01-31,Debit Card,811.59
PAY0000119,O000119,2026-01-31,PayPal,2432.82
PAY0000120,O000120,2026-01-31,Debit Card,1223.21
PAY0000121,O000121,2026-01-31,Credit Card,1831.71
PAY0000122,O000122,2026-01-31,Debit Card,100.85
PAY0000123,O000123,2026-01-31,Debit Card,1800.02
PAY0000124,O000124,2026-01-31,PayPal,847.85
PAY0000125,O000125,2026-01-31,PayPal,1571.48
PAY0000126,O000126,2026-01-31,Credit Card,242.13
PAY0000127,O000127,2026-01-31,Debit Card,436.73
PAY0000128,O000128,2026-01-31,Debit Card,2073.86
PAY0000129,O000129,2026-01-31,Credit Card,1038.97
PAY0000130,O000130,2026-01-31,Credit Card,1650.6
PAY0000131,O000131,2026-01-31,Debit Card,1519.4
PAY0000132,O000132,2026-01-31,Credit Card,2102.39
PAY0000133,O000133,2026-01-31,Credit Card,643.13
PAY0000134,O000134,2026-01-31,Debit Card,437.06
PAY0000135,O000135,2026-01-31,Debit Card,396.33
PAY0000136,O000136,2026-01-31,PayPal,1506.23
PAY0000137,O000137,2026-01-31,PayPal,464.43
PAY0000138,O000138,2026-01-31,Debit Card,441.78
PAY0000139,O000139,2026-01-31,Debit Card,1925.4
PAY0000140,O000140,2026-01-31,Credit Card,1628.22
PAY0000141,O000141,2026-01-31,PayPal,846.79
PAY0000142,O000142,2026-01-31,Credit Card,1951.98
PAY0000143,O000143,2026-01-31,PayPal,1230.66
PAY0000144,O000144,2026-01-31,PayPal,1151.85
PAY0000145,O000145,2026-01-31,Credit Card,1399.02
PAY0000146,O000146,2026-01-31,PayPal,1190.48
PAY0000147,O000147,2026-01-31,Credit Card,2212.54
PAY0000148,O000148,2026-01-31,PayPal,919.31
PAY0000149,O000149,2026-01-31,Debit Card,2378.77
PAY0000150,O000150,2026-01-31,Credit Card,1015.6
PAY0000151,O000151,2026-01-31,Debit Card,370.81
PAY0000152,O000152,2026-01-31,Debit Card,1122.19
PAY0000153,O000153,2026-01-31,Credit Card,2202.98
PAY0000154,O000154,2026-01-31,PayPal,2177.21
PAY0000155,O000155,2026-01-31,Debit Card,1920.3
PAY0000156,O000156,2026-01-31,Credit Card,1354.81
PAY0000157,O000157,2026-01-31,Credit Card,2494.25
PAY0000158,O000158,2026-01-31,PayPal,2403.36
PAY0000159,O000159,2026-01-31,Debit Card,679.1
PAY0000160,O000160,2026-01-31,PayPal,1286.88
PAY0000161,O000161,2026-01-31,PayPal,2411.79
PAY0000162,O000162,2026-01-31,Debit Card,235.97
PAY0000163,O000163,2026-01-31,Credit Card,2176.4
PAY0000164,O000164,2026-01-31,Debit Card,2121.58
PAY0000165,O000165,2026-01-31,PayPal,762.08
PAY0000166,O000166,2026-01-31,Debit Card,1636.64
PAY0000167,O000167,2026-01-31,Debit Card,1107.15
PAY0000168,O000168,2026-01-31,Debit Card,2459.41
PAY0000169,O000169,2026-01-31,Credit Card,131.02
PAY0000170,O000170,2026-01-31,PayPal,2034.38
PAY0000171,O000171,2026-01-31,Credit Card,1505.88
PAY0000172,O000172,2026-01-31,Credit Card,1518.6
PAY0000173,O000173,2026-01-31,PayPal,737.81
PAY0000174,O000174,2026-01-31,PayPal,1270.87
PAY0000175,O000175,2026-01-31,PayPal,2109.79
PAY0000176,O000176,2026-01-31,Debit Card,1555.91
PAY0000177,O000177,2026-01-31,PayPal,1018.21
PAY0000178,O000178,2026-01-31,PayPal,358.71
PAY0000179,O000179,2026-01-31,PayPal,2389.77
PAY0000180,O000180,2026-01-31,PayPal,327.79
PAY0000181,O000181,2026-01-31,Credit Card,965.68
PAY0000182,O000182,2026-01-31,PayPal,1802.33
PAY0000183,O000183,2026-01-31,PayPal,1112.39
PAY0000184,O000184,2026-01-31,Debit Card,1823.89
PAY0000185,O000185,2026-01-31,Credit Card,933.53
PAY0000186,O000186,2026-01-31,Debit Card,2145.36
PAY0000187,O000187,2026-01-31,PayPal,2172.19
PAY0000188,O000188,2026-01-31,Credit Card,2356.47
PAY0000189,O000189,2026-01-31,PayPal,1886.53
PAY0000190,O000190,2026-01-31,Debit Card,1705.76
PAY0000191,O000191,2026-01-31,Credit Card,618.49
PAY0000192,O000192,2026-01-31,Credit Card,157.95
PAY0000193,O000193,2026-01-31,Debit Card,337.13
PAY0000194,O000194,2026-01-31,Debit Card,2024.55
PAY0000195,O000195,2026-01-31,PayPal,1195.9
PAY0000196,O000196,2026-01-31,Debit Card,960.61
PAY0000197,O000197,2026-01-31,PayPal,925.72
PAY0000198,O000198,2026-01-31,Credit Card,763.92
PAY0000199,O000199,2026-01-31,Credit Card,878.83
PAY0000200,O000200,2026-01-31,PayPal,2478.34
PAY0000201,O000201,2026-01-31,Debit Card,1944.67
PAY0000202,O000202,2026-01-31,Credit Card,602.51
PAY0000203,O000203,2026-01-31,PayPal,1655.89
PAY0000204,O000204,2026-01-31,PayPal,1063.17
PAY0000205,O000205,2026-01-31,Debit Card,1974.32
PAY0000206,O000206,2026-01-31,Credit Card,2127.33
PAY0000207,O000207,2026-01-31,Credit Card,901.03
PAY0000208,O000208,2026-01-31,PayPal,1391.76
PAY0000209,O000209,2026-01-31,Credit Card,859.68
PAY0000210,O000210,2026-01-31,Debit Card,343.12
PAY0000211,O000211,2026-01-31,PayPal,317.04
PAY0000212,O000212,2026-01-31,Debit Card,851.02
PAY0000213,O000213,2026-01-31,Debit Card,1634.74
PAY0000214,O000214,2026-01-31,Debit Card,585.16
PAY0000215,O000215,2026-01-31,PayPal,1265.06
PAY0000216,O000216,2026-01-31,Debit Card,2034.15
PAY0000217,O000217,2026-01-31,Debit Card,1911.45
PAY0000218,O000218,2026-01-31,Credit Card,874.62
PAY0000219,O000219,2026-01-31,Credit Card,555.5
PAY0000220,O000220,2026-01-31,Debit Card,2281.19
PAY0000221,O000221,2026-01-31,PayPal,1641.54
PAY0000222,O000222,2026-01-31,Debit Card,1916.25
PAY0000223,O000223,2026-01-31,PayPal,526.98
PAY0000224,O000224,2026-01-31,PayPal,1769.53
PAY0000225,O000225,2026-01-31,Credit Card,324.07
PAY0000226,O000226,2026-01-31,PayPal,1535.13
PAY0000227,O000227,2026-01-31,PayPal,1071.13
PAY0000228,O000228,2026-01-31,Debit Card,449.84
PAY0000229,O000229,2026-01-31,Debit Card,1378.79
PAY0000230,O000230,2026-01-31,Debit Card,419.28
PAY0000231,O000231,2026-01-31,Debit Card,348.7
PAY0000232,O000232,2026-01-31,PayPal,2054.98
PAY0000233,O000233,2026-01-31,Debit Card,1572.21
PAY0000234,O000234,2026-01-31,Credit Card,877.21
PAY0000235,O000235,2026-01-31,Credit Card,1162.09
PAY0000236,O000236,2026-01-31,Credit Card,690.17
PAY0000237,O000237,2026-01-31,Credit Card,1702.05
PAY0000238,O000238,2026-01-31,Debit Card,163.26
PAY0000239,O000239,2026-01-31,Credit Card,2099.8
PAY0000240,O000240,2026-01-31,Credit Card,688.84
PAY0000241,O000241,2026-01-31,Credit Card,1156.85
PAY0000242,O000242,2026-01-31,Credit Card,448.9
PAY0000243,O000243,2026-01-31,Debit Card,684.83
PAY0000244,O000244,2026-01-31,Credit Card,2158.08
PAY0000245,O000245,2026-01-31,Debit Card,2111.03
PAY0000246,O000246,2026-01-31,Debit Card,1435.17
PAY0000247,O000247,2026-01-31,PayPal,561.37
PAY0000248,O000248,2026-01-31,Credit Card,2134.97
PAY0000249,O000249,2026-01-31,PayPal,1059.08
PAY0000250,O000250,2026-01-31,PayPal,2232.65
PAY0000251,O000251,2026-01-31,Debit Card,1892.3
PAY0000252,O000252,2026-01-31,PayPal,2012.31
PAY0000253,O000253,2026-01-31,Debit Card,2028.22
PAY0000254,O000254,2026-01-31,Debit Card,1135.16
PAY0000255,O000255,2026-01-31,Debit Card,2260.13
PAY0000256,O000256,2026-01-31,Credit Card,868.37
PAY0000257,O000257,2026-01-31,Debit Card,284.9
PAY0000258,O000258,2026-01-31,PayPal,422.78
PAY0000259,O000259,2026-01-31,PayPal,692.55
PAY0000260,O000260,2026-01-31,PayPal,1489.5
PAY0000261,O000261,2026-01-31,Credit Card,2454.43
PAY0000262,O000262,2026-01-31,PayPal,1800.05
PAY0000263,O000263,2026-01-31,PayPal,852.36
PAY0000264,O000264,2026-01-31,PayPal,646.78
PAY0000265,O000265,2026-01-31,Debit Card,1822.15
PAY0000266,O000266,2026-01-31,PayPal,2443.58
PAY0000267,O000267,2026-01-31,Credit Card,1216.69
PAY0000268,O000268,2026-01-31,PayPal,2107.87
PAY0000269,O000269,2026-01-31,Debit Card,1585.13
PAY0000270,O000270,2026-01-31,Debit Card,1518.55
PAY0000271,O000271,2026-01-31,Credit Card,2387.59
PAY0000272,O000272,2026-01-31,Credit Card,153.08
PAY0000273,O000273,2026-01-31,Debit Card,1441.59
PAY0000274,O000274,2026-01-31,Credit Card,2250.02
PAY0000275,O000275,2026-01-31,Debit Card,2182.19
PAY0000276,O000276,2026-01-31,Credit Card,253.06
PAY0000277,O000277,2026-01-31,Debit Card,256.99
PAY0000278,O000278,2026-01-31,PayPal,762.62
PAY0000279,O000279,2026-01-31,Debit Card,2373.64
PAY0000280,O000280,2026-01-31,PayPal,166.18
PAY0000281,O000281,2026-01-31,PayPal,1277.94
PAY0000282,O000282,2026-01-31,PayPal,1934.48
PAY0000283,O000283,2026-01-31,Credit Card,2466.9
PAY0000284,O000284,2026-01-31,Credit Card,1688.32
PAY0000285,O000285,2026-01-31,Debit Card,1392.15
PAY0000286,O000286,2026-01-31,PayPal,831.19
PAY0000287,O000287,2026-01-31,Credit Card,1467.66
PAY0000288,O000288,2026-01-31,PayPal,2371.04
PAY0000289,O000289,2026-01-31,Credit Card,1939.12
PAY0000290,O000290,2026-01-31,PayPal,1508.49
PAY0000291,O000291,2026-01-31,Credit Card,2430.13
PAY0000292,O000292,2026-01-31,Credit Card,1809.07
PAY0000293,O000293,2026-01-31,Debit Card,1509.87
PAY0000294,O000294,2026-01-31,Credit Card,1573.24
PAY0000295,O000295,2026-01-31,PayPal,1092.91
PAY0000296,O000296,2026-01-31,Credit Card,1858.14
PAY0000297,O000297,2026-01-31,Credit Card,2451.48
PAY0000298,O000298,2026-01-31,Credit Card,2105.77
PAY0000299,O000299,2026-01-31,Credit Card,1658.58
PAY0000300,O000300,2026-01-31,Debit Card,1848.8
PAY0000301,O000301,2026-01-31,Debit Card,313.85
PAY0000302,O000302,2026-01-31,Debit Card,1477.61
PAY0000303,O000303,2026-01-31,PayPal,1029.88
PAY0000304,O000304,2026-01-31,Debit Card,1015.1
PAY0000305,O000305,2026-01-31,Debit Card,432.42
PAY0000306,O000306,2026-01-31,Debit Card,539.18
PAY0000307,O000307,2026-01-31,Debit Card,952.38
PAY0000308,O000308,2026-01-31,PayPal,1132.87
PAY0000309,O000309,2026-01-31,Debit Card,1299.24
PAY0000310,O000310,2026-01-31,Credit Card,725.21
PAY0000311,O000311,2026-01-31,Credit Card,643.94
PAY0000312,O000312,2026-01-31,PayPal,1619.22
PAY0000313,O000313,2026-01-31,Debit Card,1184.15
PAY0000314,O000314,2026-01-31,Credit Card,1357.28
PAY0000315,O000315,2026-01-31,Credit Card,2210.32
PAY0000316,O000316,2026-01-31,Credit Card,2456.82
PAY0000317,O000317,2026-01-31,Credit Card,1738.5
PAY0000318,O000318,2026-01-31,Credit Card,504.43
PAY0000319,O000319,2026-01-31,PayPal,130.19
PAY0000320,O000320,2026-01-31,Debit Card,1023.41
PAY0000321,O000321,2026-01-31,Credit Card,2020.09
PAY0000322,O000322,2026-01-31,PayPal,1452.08
PAY0000323,O000323,2026-01-31,Credit Card,2393.71
PAY0000324,O000324,2026-01-31,Credit Card,1627.56
PAY0000325,O000325,2026-01-31,Debit Card,536.29
PAY0000326,O000326,2026-01-31,Credit Card,2441.86
PAY0000327,O000327,2026-01-31,Credit Card,2193.03
PAY0000328,O000328,2026-01-31,Credit Card,1539.32
PAY0000329,O000329,2026-01-31,PayPal,524.63
PAY0000330,O000330,2026-01-31,Debit Card,1795.28
PAY0000331,O000331,2026-01-31,Credit Card,1317.59
PAY0000332,O000332,2026-01-31,Debit Card,172.82
PAY0000333,O000333,2026-01-31,Credit Card,2344.7
PAY0000334,O000334,2026-01-31,Credit Card,2037.29
PAY0000335,O000335,2026-01-31,Debit Card,2344.08
PAY0000336,O000336,2026-01-31,Credit Card,937.73
PAY0000337,O000337,2026-01-31,Credit Card,1516.26
PAY0000338,O000338,2026-01-31,Credit Card,2260.55
PAY0000339,O000339,2026-01-31,Debit Card,563.58
PAY0000340,O000340,2026-01-31,Credit Card,2493.62
PAY0000341,O000341,2026-01-31,Debit Card,2350.76
PAY0000342,O000342,2026-01-31,PayPal,1415.15
PAY0000343,O000343,2026-01-31,Debit Card,1981.75
PAY0000344,O000344,2026-01-31,Credit Card,1704.89
PAY0000345,O000345,2026-01-31,Credit Card,912.03
PAY0000346,O000346,2026-01-31,Debit Card,439.32
PAY0000347,O000347,2026-01-31,Debit Card,552.02
PAY0000348,O000348,2026-01-31,Debit Card,199.82
PAY0000349,O000349,2026-01-31,Credit Card,2299.87
PAY0000350,O000350,2026-01-31,Debit Card,2046.18
PAY0000351,O000351,2026-01-31,PayPal,1798.33
PAY0000352,O000352,2026-01-31,PayPal,337.07
PAY0000353,O000353,2026-01-31,PayPal,318.29
PAY0000354,O000354,2026-01-31,PayPal,869.33
PAY0000355,O000355,2026-01-31,PayPal,1451.19
PAY0000356,O000356,2026-01-31,PayPal,1376.62
PAY0000357,O000357,2026-01-31,Debit Card,1916.62
PAY0000358,O000358,2026-01-31,PayPal,582.24
PAY0000359,O000359,2026-01-31,Debit Card,425.14
PAY0000360,O000360,2026-01-31,Credit Card,803.1
PAY0000361,O000361,2026-01-31,PayPal,1123.17
PAY0000362,O000362,2026-01-31,Debit Card,1004.96
PAY0000363,O000363,2026-01-31,Debit Card,157.2
PAY0000364,O000364,2026-01-31,Credit Card,871.63
PAY0000365,O000365,2026-01-31,Debit Card,1563.19
PAY0000366,O000366,2026-01-31,Debit Card,1294.28
PAY0000367,O000367,2026-01-31,Debit Card,1950.02
PAY0000368,O000368,2026-01-31,PayPal,232.28
PAY0000369,O000369,2026-01-31,Credit Card,551.39
PAY0000370,O000370,2026-01-31,Credit Card,837.09
PAY0000371,O000371,2026-01-31,PayPal,1894.84
PAY0000372,O000372,2026-01-31,PayPal,1402.69
PAY0000373,O000373,2026-01-31,PayPal,852.77
PAY0000374,O000374,2026-01-31,Credit Card,1382.3
PAY0000375,O000375,2026-01-31,Credit Card,2420.24
PAY0000376,O000376,2026-01-31,Debit Card,551.77
PAY0000377,O000377,2026-01-31,PayPal,225.84
PAY0000378,O000378,2026-01-31,PayPal,2196.89
PAY0000379,O000379,2026-01-31,PayPal,1320.1
PAY0000380,O000380,2026-01-31,Credit Card,1320.99
PAY0000381,O000381,2026-01-31,PayPal,1778.04
PAY0000382,O000382,2026-01-31,Credit Card,336.76
PAY0000383,O000383,2026-01-31,Credit Card,2241.65
PAY0000384,O000384,2026-01-31,PayPal,868.75
PAY0000385,O000385,2026-01-31,PayPal,588.66
PAY0000386,O000386,2026-01-31,Credit Card,1470.75
PAY0000387,O000387,2026-01-31,PayPal,137.42
PAY0000388,O000388,2026-01-31,Debit Card,594.47
PAY0000389,O000389,2026-01-31,PayPal,379.19
PAY0000390,O000390,2026-01-31,Debit Card,111.37
PAY0000391,O000391,2026-01-31,Credit Card,1683.03
PAY0000392,O000392,2026-01-31,Debit Card,2462.56
PAY0000393,O000393,2026-01-31,Debit Card,2083.77
PAY0000394,O000394,2026-01-31,Debit Card,2302.2
PAY0000395,O000395,2026-01-31,Debit Card,207.42
PAY0000396,O000396,2026-01-31,Credit Card,1537.0
PAY0000397,O000397,2026-01-31,PayPal,1704.48
PAY0000398,O000398,2026-01-31,Debit Card,1732.95
PAY0000399,O000399,2026-01-31,PayPal,2172.98
PAY0000400,O000400,2026-01-31,PayPal,843.37
PAY0000401,O000401,2026-01-31,PayPal,1867.92
PAY0000402,O000402,2026-01-31,Debit Card,1082.09
PAY0000403,O000403,2026-01-31,Credit Card,1098.13
PAY0000404,O000404,2026-01-31,Debit Card,1005.12
PAY0000405,O000405,2026-01-31,Credit Card,2060.14
PAY0000406,O000406,2026-01-31,Debit Card,708.22
PAY0000407,O000407,2026-01-31,Credit Card,1603.69
PAY0000408,O000408,2026-01-31,Debit Card,200.32
PAY0000409,O000409,2026-01-31,Debit Card,409.33
PAY0000410,O000410,2026-01-31,PayPal,635.14
PAY0000411,O000411,2026-01-31,PayPal,374.51
PAY0000412,O000412,2026-01-31,Credit Card,2265.32
PAY0000413,O000413,2026-01-31,Debit Card,259.6
PAY0000414,O000414,2026-01-31,PayPal,885.71
PAY0000415,O000415,2026-01-31,PayPal,715.6
PAY0000416,O000416,2026-01-31,PayPal,1816.06
PAY0000417,O000417,2026-01-31,PayPal,1055.69
PAY0000418,O000418,2026-01-31,PayPal,787.45
PAY0000419,O000419,2026-01-31,PayPal,727.6
PAY0000420,O000420,2026-01-31,Credit Card,1047.77
PAY0000421,O000421,2026-01-31,Credit Card,2380.5
PAY0000422,O000422,2026-01-31,PayPal,2131.49
PAY0000423,O000423,2026-01-31,Credit Card,405.08
PAY0000424,O000424,2026-01-31,Credit Card,1225.5
PAY0000425,O000425,2026-01-31,Credit Card,367.38
PAY0000426,O000426,2026-01-31,Credit Card,2099.43
PAY0000427,O000427,2026-01-31,Credit Card,300.66
PAY0000428,O000428,2026-01-31,PayPal,2035.38
PAY0000429,O000429,2026-01-31,Credit Card,1146.28
PAY0000430,O000430,2026-01-31,Debit Card,1151.46
PAY0000431,O000431,2026-01-31,Credit Card,1160.86
PAY0000432,O000432,2026-01-31,Credit Card,1690.9
PAY0000433,O000433,2026-01-31,PayPal,1940.3
PAY0000434,O000434,2026-01-31,Credit Card,1944.52
PAY0000435,O000435,2026-01-31,PayPal,863.01
PAY0000436,O000436,2026-01-31,PayPal,134.11
PAY0000437,O000437,2026-01-31,Credit Card,919.23
PAY0000438,O000438,2026-01-31,Debit Card,2312.42
PAY0000439,O000439,2026-01-31,Debit Card,1208.89
PAY0000440,O000440,2026-01-31,PayPal,235.43
PAY0000441,O000441,2026-01-31,Debit Card,467.43
PAY0000442,O000442,2026-01-31,Debit Card,1313.43
PAY0000443,O000443,2026-01-31,Credit Card,541.51
PAY0000444,O000444,2026-01-31,Credit Card,906.13
PAY0000445,O000445,2026-01-31,PayPal,1153.29
PAY0000446,O000446,2026-01-31,Debit Card,266.52
PAY0000447,O000447,2026-01-31,Credit Card,1543.98
PAY0000448,O000448,2026-01-31,Debit Card,1436.45
PAY0000449,O000449,2026-01-31,Credit Card,1413.1
PAY0000450,O000450,2026-01-31,Debit Card,236.11
PAY0000451,O000451,2026-01-31,PayPal,256.32
PAY0000452,O000452,2026-01-31,PayPal,1382.26
PAY0000453,O000453,2026-01-31,PayPal,1829.16
PAY0000454,O000454,2026-01-31,PayPal,2338.72
PAY0000455,O000455,2026-01-31,Debit Card,192.23
PAY0000456,O000456,2026-01-31,Credit Card,1742.36
PAY0000457,O000457,2026-01-31,Credit Card,1014.91
PAY0000458,O000458,2026-01-31,PayPal,240.2
PAY0000459,O000459,2026-01-31,Debit Card,1944.87
PAY0000460,O000460,2026-01-31,Credit Card,2156.81
PAY0000461,O000461,2026-01-31,PayPal,184.47
PAY0000462,O000462,2026-01-31,PayPal,277.42
PAY0000463,O000463,2026-01-31,PayPal,2077.6
PAY0000464,O000464,2026-01-31,Debit Card,2349.31
PAY0000465,O000465,2026-01-31,PayPal,1026.53
PAY0000466,O000466,2026-01-31,PayPal,1578.52
PAY0000467,O000467,2026-01-31,Debit Card,2284.58
PAY0000468,O000468,2026-01-31,Credit Card,1738.91
PAY0000469,O000469,2026-01-31,PayPal,700.1
PAY0000470,O000470,2026-01-31,PayPal,1191.96
PAY0000471,O000471,2026-01-31,Credit Card,1190.14
PAY0000472,O000472,2026-01-31,Debit Card,637.22
PAY0000473,O000473,2026-01-31,Debit Card,1629.02
PAY0000474,O000474,2026-01-31,Credit Card,2411.3
PAY0000475,O000475,2026-01-31,Debit Card,2497.94
PAY0000476,O000476,2026-01-31,Credit Card,983.39
PAY0000477,O000477,2026-01-31,Credit Card,1136.17
PAY0000478,O000478,2026-01-31,Debit Card,445.56
PAY0000479,O000479,2026-01-31,Debit Card,1084.89
PAY0000480,O000480,2026-01-31,PayPal,2144.04
PAY0000481,O000481,2026-01-31,Debit Card,400.06
PAY0000482,O000482,2026-01-31,PayPal,947.06
PAY0000483,O000483,2026-01-31,Debit Card,1110.74
PAY0000484,O000484,2026-01-31,Debit Card,1205.4
PAY0000485,O000485,2026-01-31,Debit Card,1165.34
PAY0000486,O000486,2026-01-31,Debit Card,1212.44
PAY0000487,O000487,2026-01-31,Debit Card,882.43
PAY0000488,O000488,2026-01-31,Debit Card,419.48
PAY0000489,O000489,2026-01-31,PayPal,594.2
PAY0000490,O000490,2026-01-31,Credit Card,1810.22
PAY0000491,O000491,2026-01-31,PayPal,567.04
PAY0000492,O000492,2026-01-31,PayPal,1682.38
