ReturnID,OrderID,ProductID,ReturnDate,ReturnReason,ReturnQuantity
R000061,O001538,P00029,2026-02-11,Damaged,1
R000062,O001145,P00036,2026-02-19,Damaged,1
R000063,O000597,P00009,2026-02-07,Damaged,1
R000064,O000660,P00040,2026-02-15,Not Required,1
R000065,O000411,P00045,2026-02-27,Damaged,1
R000066,O000132,P00079,2026-02-11,Not Required,1
R000067,O001339,P00037,2026-02-17,Damaged,1
R000068,O000746,P00073,2026-02-19,Damaged,1
R000069,O000313,P00053,2026-02-19,Damaged,1
R000070,O001533,P00066,2026-02-11,Damaged,1
R000071,O000648,P00029,2026-02-26,Damaged,1
R000072,O000741,P00084,2026-02-07,Damaged,1
R000073,O000127,P00073,2026-02-05,Not Required,1
R000074,O001504,P00054,2026-02-08,Damaged,1
R000075,O000028,P00109,2026-03-01,Not Required,1
R000076,O001105,P00040,2026-02-12,Not Required,1
R000077,O000068,P00019,2026-02-09,Not Required,1
R000078,O001347,P00059,2026-02-20,Not Required,1
R000079,O001236,P00093,2026-02-17,Damaged,1
R000080,O001093,P00097,2026-02-11,Damaged,1
R000081,O000196,P00113,2026-02-19,Damaged,1
R000082,O000082,P00016,2026-02-26,Not Required,1
R000083,O000155,P00086,2026-02-14,Not Required,1
R000084,O001118,P00091,2026-02-23,Damaged,1
R000085,O001654,P00011,2026-02-28,Damaged,1
R000086,O001303,P00001,2026-02-23,Not Required,1
R000087,O000189,P00115,2026-02-06,Damaged,1
R000088,O000057,P00094,2026-02-17,Not Required,1
R000089,O000748,P00020,2026-02-21,Damaged,1
R000090,O001474,P00051,2026-02-08,Not Required,1
R000091,O001146,P00039,2026-02-13,Not Required,1
R000092,O001704,P00108,2026-02-06,Damaged,1
R000093,O000032,P00078,2026-02-19,Damaged,1
R000094,O001782,P00025,2026-02-26,Not Required,1
R000095,O001355,P00066,2026-02-08,Not Required,1
R000096,O000440,P00078,2026-02-20,Damaged,1
R000097,O000489,P00117,2026-02-09,Not Required,1
R000098,O000412,P00015,2026-02-28,Not Required,1
R000099,O001622,P00020,2026-02-26,Damaged,1
R000100,O001381,P00076,2026-02-10,Damaged,1
R000101,O001420,P00073,2026-02-05,Damaged,1
R000102,O001019,P00110,2026-02-25,Damaged,1
R000103,O000747,P00008,2026-02-20,Damaged,1
R000104,O001710,P00092,2026-02-08,Damaged,1
R000105,O000904,P00020,2026-02-13,Not Required,1
R000106,O001322,P00020,2026-02-10,Not Required,1
R000107,O000042,P00065,2026-02-28,Not Required,1
R000108,O001415,P00021,2026-03-02,Not Required,1
R000109,O000304,P00097,2026-02-12,Not Required,1
R000110,O000962,P00044,2026-02-12,Damaged,1
R000111,O000897,P00112,2026-02-08,Damaged,1
R000112,O001101,P00088,2026-02-22,Not Required,1
R000113,O001745,P00076,2026-02-18,Damaged,1
R000114,O001584,P00022,2026-02-15,Damaged,1
R000115,O000269,P00046,2026-02-23,Not Required,1
R000116,O000553,P00063,2026-02-28,Damaged,1
R000117,O001870,P00048,2026-02-20,Not Required,1
R000118,O000989,P00108,2026-02-17,Damaged,1
R000119,O001694,P00059,2026-02-19,Not Required,1
R000120,O001263,P00014,2026-02-27,Damaged,1
R000121,O001074,P00064,2026-02-17,Not Required,1
R000122,O001681,P00009,2026-02-12,Not Required,1
R000123,O001385,P00062,2026-02-21,Damaged,1
R000124,O001469,P00047,2026-03-02,Damaged,1
R000125,O001294,P00016,2026-02-16,Damaged,1
R000126,O001595,P00004,2026-02-17,Damaged,1
R000127,O000084,P00057,2026-02-07,Damaged,1
R000128,O000394,P00038,2026-02-10,Damaged,1
R000129,O001305,P00039,2026-02-25,Not Required,1
R000130,O000689,P00074,2026-02-15,Damaged,1
R000131,O001918,P00015,2026-02-07,Not Required,1
R000132,O001589,P00042,2026-02-26,Not Required,1
R000133,O000044,P00006,2026-02-05,Not Required,1
R000134,O000088,P00046,2026-02-22,Not Required,1
R000135,O001787,P00100,2026-02-08,Not Required,1
R000136,O000568,P00013,2026-02-17,Damaged,1
R000137,O001247,P00024,2026-02-28,Damaged,1
R000138,O000750,P00096,2026-02-21,Damaged,1
R000139,O000761,P00019,2026-02-07,Damaged,1
R000140,O000169,P00080,2026-02-15,Not Required,1
R000141,O000481,P00007,2026-02-19,Damaged,1
R000142,O001201,P00093,2026-02-22,Not Required,1
R000143,O000326,P00105,2026-02-12,Not Required,1
R000144,O000752,P00003,2026-02-24,Not Required,1
R000145,O001778,P00044,2026-03-02,Damaged,1
R000146,O000327,P00102,2026-02-10,Damaged,1
R000147,O001919,P00098,2026-02-06,Not Required,1
R000148,O001300,P00007,2026-03-02,Damaged,1
R000149,O001422,P00030,2026-02-24,Damaged,1
R000150,O001482,P00042,2026-02-26,Not Required,1
R000151,O000445,P00063,2026-02-28,Not Required,1
R000152,O000485,P00037,2026-02-21,Not Required,1
R000153,O000428,P00058,2026-02-25,Damaged,1
R000154,O001764,P00007,2026-02-14,Not Required,1
R000155,O000497,P00065,2026-02-28,Damaged,1
R000156,O000367,P00031,2026-02-25,Damaged,1
R000157,O000532,P00035,2026-02-14,Not Required,1
R000158,O001645,P00065,2026-02-19,Not Required,1
R000159,O000770,P00011,2026-03-02,Damaged,1
R000160,O000634,P00030,2026-02-27,Not Required,1
