"Date","Yield","Date.1","Day","MinTemp","MaxTemp","Rain","Evap","Sun"
"19/02/2015",122.52,19,"Th",17.5,30.3,0.2,2,8.7
"20/02/2015",133.29,20,"Fr",15.2,27.8,0,5.4,12
"21/02/2015",107.36,21,"Sa",17.9,37,0,5.2,8.5
"22/02/2015",65.93,22,"Su",20.5,37.1,2.7,6.4,3.3
"23/02/2015",44.37,23,"Mo",18.4,30.2,0,5,3
"24/02/2015",117.89,24,"Tu",14.8,20.7,14.6,4,8.2
"25/02/2015",124.62,25,"We",11.7,28.2,0,4.6,8.8
"26/02/2015",109.13,26,"Th",15.5,24.6,0,4.6,8.6
"27/02/2015",108.06,27,"Fr",12.2,26,0,4.4,8.1
"28/02/2015",48.11,28,"Sa",16.9,35.5,0,4.4,3.5
"1/03/2015",124.29,1,"Su",14,20.9,19.5,6.8,9.3
"2/03/2015",112.51,2,"Mo",8.8,25.9,0,5.4,8.8
"3/03/2015",124.52,3,"Tu",15,23.2,0,3.8,9.5
"4/03/2015",127.82,4,"We",12.9,25.5,0,5.2,10.1
"5/03/2015",118.2,5,"Th",11.7,18.8,0.6,5.4,10.3
"6/03/2015",38.61,6,"Fr",12.9,20,0,5,1.9
"7/03/2015",60.87,7,"Sa",13.9,23,0.4,1.4,2
"8/03/2015",112.82,8,"Su",15.4,26.2,0,2,6.8
"9/03/2015",99.2,9,"Mo",12.2,24.5,0,5.2,7.3
"10/03/2015",129.86,10,"Tu",17,23.5,0,0.5,10.5
"11/03/2015",129.48,11,"We",NA,26,0,8,10
"12/03/2015",86.19,12,"Th",11,20.2,0,4,5.8
"13/03/2015",126.89,13,"Fr",13.3,21.6,0,NA,7.6
"14/03/2015",108.53,14,"Sa",7,30.7,0,8,8.6
"15/03/2015",111.74,15,"Su",13.6,21.1,0.4,3.3,7.6
"16/03/2015",80.9,16,"Mo",7.9,25,0,5,3.5
"17/03/2015",31.64,17,"Tu",13.5,26.1,0.4,2.8,1.3
"18/03/2015",55.5,18,"We",16,25,3,2.4,4.7
"19/03/2015",103.06,19,"Th",15,33.2,0,2.4,8.5
"20/03/2015",116.11,20,"Fr",10.5,NA,0.2,6.6,9.8
"21/03/2015",118.56,21,"Sa",8.9,23.2,0,4.8,10
"22/03/2015",115.32,22,"Su",8.3,30,0,2,10.3
"23/03/2015",18.49,23,"Mo",13.8,NA,0,6.6,0
"24/03/2015",28.75,24,"Tu",12,14.5,1.6,3.6,1
"25/03/2015",89.61,25,"We",13,23.5,0.8,1,10.5
"26/03/2015",73.08,26,"Th",12,19,1.4,1.9,5.9
"27/03/2015",44.7,27,"Fr",12,17.3,0.2,3.8,3.8
"28/03/2015",69.24,28,"Sa",9.2,19,0,1.9,2.4
"29/03/2015",116.54,29,"Su",5.5,24.8,0,1,9.7
"30/03/2015",115.47,30,"Mo",5.5,24.4,0,4.6,8.8
"31/03/2015",112.05,31,"Tu",8.5,28.3,0,3.6,9.6
"1/04/2015",66.11,1,"We",12.1,30.1,0,3.4,4
"2/04/2015",101.18,2,"Th",12,17.2,0.4,4.2,8.5
"3/04/2015",117.5,3,"Fr",4.5,20.3,0,4.5,8.9
"4/04/2015",104.17,4,"Sa",6.4,NA,0,3.7,NA
"5/04/2015",68.42,5,"Su",NA,19.6,0,NA,1.3
"6/04/2015",65.42,6,"Mo",9.6,19.8,0,2.4,3.1
"7/04/2015",18.44,7,"Tu",10.9,16.6,0,2,1
"8/04/2015",60.15,8,"We",11,18.2,19,2.2,5.1
"9/04/2015",92.08,9,"Th",6.4,19,0,1.6,9
"10/04/2015",109.86,10,"Fr",6.5,19.5,0,3.3,9.2
"11/04/2015",96.84,11,"Sa",9.8,24.2,0,2.4,7.2
"12/04/2015",64.8,12,"Su",11.7,18.8,0,3.4,5
"13/04/2015",99.29,13,"Mo",4.2,21.5,0,2,6
"14/04/2015",51.04,14,"Tu",10.5,24,0.9,0.9,3
"15/04/2015",96.72,15,"We",14,28,1.8,1.8,7.5
"16/04/2015",61.5,16,"Th",15,17.9,0,4,4.8
"17/04/2015",42.12,17,"Fr",7.8,16.5,0,3.6,1.6
"18/04/2015",59.74,18,"Sa",11.4,21,4.2,0.5,4.2
"19/04/2015",54.47,19,"Su",8.3,13.2,8.4,2,4.2
"20/04/2015",72.85,20,"Mo",5,16.2,4.4,2.4,7.3
"21/04/2015",90.39,21,"Tu",4.5,17.3,0,2.4,9.3
"22/04/2015",54.01,22,"We",8.9,19.1,0,2.4,4
"23/04/2015",52.56,23,"Th",12.5,19.5,0,1.8,4.7
"24/04/2015",36.78,24,"Fr",13.6,20.5,0,1.2,1.5
"25/04/2015",19.72,25,"Sa",10.8,14,3.8,1.4,0
"26/04/2015",36.1,26,"Su",9.4,14.2,12.2,NA,1.6
"27/04/2015",47.79,27,"Mo",10,15.3,3.8,0.2,2.8
"28/04/2015",45.62,28,"Tu",9.1,16,4.8,2.6,5.5
"29/04/2015",95.09,29,"We",4.8,16.2,0,0.8,8.3
"30/04/2015",93.7,30,"Th",3.5,19.5,0,1.8,7
"1/05/2015",92,1,"Fr",4.8,22.5,0,1,9.1
"2/05/2015",48.97,2,"Sa",9.1,21.6,0,2.1,3.8
"3/05/2015",67.29,3,"Su",8.2,18.5,0,1.2,5.3
"4/05/2015",90.73,4,"Mo",5,21.8,0,1.8,7.5
"5/05/2015",56.32,5,"Tu",13,16.8,1.8,3.6,4.5
"6/05/2015",55.67,6,"We",8,16,1.2,4,5.8
"7/05/2015",50.55,7,"Th",7,15.3,2.6,2.3,4.2
"8/05/2015",31.62,8,"Fr",9.3,15.6,0.2,1.8,2.2
"9/05/2015",59.4,9,"Sa",11.9,18.4,0,1,4.1
"10/05/2015",36.2,10,"Su",12,15.9,14.4,2.2,2.3
"11/05/2015",37.26,11,"Mo",11.7,15.5,2.2,1.8,3.9
"12/05/2015",34.37,12,"Tu",12,NA,0.4,1.4,NA
"13/05/2015",51.51,13,"We",NA,NA,NA,NA,NA
"14/05/2015",25.74,14,"Th",NA,14,14.4,NA,NA
"15/05/2015",22.6,15,"Fr",10,13.4,3,NA,0.7
"16/05/2015",69.6,16,"Sa",10.1,18.2,0,0.7,7.6
"17/05/2015",76.62,17,"Su",4.4,19.5,0,0.7,8.5
"18/05/2015",74.31,18,"Mo",4.3,19,0,2,7
"19/05/2015",14.44,19,"Tu",10.5,15.6,0,1.6,0.7
"20/05/2015",48.74,20,"We",12.3,15.5,3,NA,2
"21/05/2015",14.98,21,"Th",9,12.3,10.6,1.8,0.4
"22/05/2015",36.23,22,"Fr",8.8,13.4,0.8,NA,1.2
"23/05/2015",64.48,23,"Sa",10.4,13.5,0,1.8,6.2
"24/05/2015",63.21,24,"Su",4.2,17.2,0,0.8,5.7
"25/05/2015",37.8,25,"Mo",6,15.6,0,1.6,2.8
"26/05/2015",38.24,26,"Tu",2,15,0,0.5,4
"27/05/2015",38.8,27,"We",6.8,17.8,0.4,NA,4.5
"28/05/2015",49.55,28,"Th",11.5,18,0,1.2,7.1
"29/05/2015",33.5,29,"Fr",7.2,14.9,0,2.2,3.5
"30/05/2015",58.81,30,"Sa",9,16.7,0,1.2,6.5
"31/05/2015",32.62,31,"Su",10.5,16.5,0,1.1,2.2
"1/06/2015",55.75,1,"Mo",4,11.2,8.4,NA,7
"2/06/2015",16.08,2,"Tu",5.7,10,7.4,NA,0.7
"3/06/2015",33.52,3,"We",7,11.8,1.2,NA,2.2
"4/06/2015",33.17,4,"Th",2.8,11.4,0,0.8,3.3
"5/06/2015",52.06,5,"Fr",4.6,13.9,4.8,NA,3.5
"6/06/2015",41.12,6,"Sa",8.5,15.5,0.8,0.4,3.6
"7/06/2015",41.95,7,"Su",10.4,13.2,0,0.8,3.5
"8/06/2015",44.74,8,"Mo",10,17.4,0,0.9,6.2
"9/06/2015",44.25,9,"Tu",8.2,13.6,3.4,NA,5.7
"10/06/2015",30.37,10,"We",6.3,12.7,0,1.6,1.8
"11/06/2015",56.57,11,"Th",3.2,14,0,1.2,7.3
"12/06/2015",29.58,12,"Fr",2.2,11,0,0.8,2.9
"13/06/2015",47.05,13,"Sa",2.9,17.1,0.1,0.2,4.8
"14/06/2015",46.15,14,"Su",2.8,16.8,0,0.4,4.3
"15/06/2015",38.48,15,"Mo",5.9,15.9,0,1.4,2.5
"16/06/2015",17.4,16,"Tu",8.8,15.7,5.4,NA,0
"17/06/2015",19.39,17,"We",11.2,14,0,0.4,0
"18/06/2015",14.33,18,"Th",10,11.8,0.2,NA,0
"19/06/2015",34.9,19,"Fr",5.5,11,0,NA,4.1
"20/06/2015",36.68,20,"Sa",2.5,12.3,0,1.2,5.1
"21/06/2015",55.2,21,"Su",-1.1,13,0,0.2,5.1
"22/06/2015",34.53,22,"Mo",1.8,14.2,0,1.2,2.5
"23/06/2015",46.76,23,"Tu",10.7,19.3,0,1.8,5.5
"24/06/2015",36.32,24,"We",9,16.7,0.4,2.2,4.8
"25/06/2015",26.13,25,"Th",8.7,13.9,0,1,2
"26/06/2015",41.11,26,"Fr",9.2,15.9,0,0.8,4.8
"27/06/2015",26.33,27,"Sa",5.8,NA,0,1.4,NA
"28/06/2015",20.75,28,"Su",NA,NA,0,NA,NA
"29/06/2015",32.48,29,"Mo",NA,13.2,0,1.2,NA
"30/06/2015",41.06,30,"Tu",2.9,13.2,0,0.6,4.5
"1/07/2015",42.9,1,"We",NA,12.1,0,0.8,1.2
"2/07/2015",43.77,2,"Th",5.4,11.2,2,0.2,5.8
"3/07/2015",22.93,3,"Fr",4.2,10.7,2,1,0.2
"4/07/2015",6.65,4,"Sa",6.4,10.4,0,0.8,0.4
"5/07/2015",46.36,5,"Su",6.8,14,1.8,0.3,4.1
"6/07/2015",13.15,6,"Mo",6.8,9.9,3.8,2.4,0.1
"7/07/2015",43.82,7,"Tu",7,14.3,1.6,0.4,3.6
"8/07/2015",49.12,8,"We",1.7,14.1,0,0.8,5.5
"9/07/2015",3.9,9,"Th",6.1,12.8,0,0.8,0.2
"10/07/2015",NA,10,"Fr",6.6,14,0,0.6,0.8
"11/07/2015",NA,11,"Sa",10,13.5,0.5,0.9,2.8
"12/07/2015",NA,12,"Su",1.5,11.9,1.4,0.1,0
"13/07/2015",NA,13,"Mo",NA,12,30.8,1,1.3
"14/07/2015",NA,14,"Tu",7.3,10,5.4,1.4,0.3
"15/07/2015",NA,15,"We",4.4,10.3,5.4,0.2,2
"16/07/2015",NA,16,"Th",6.2,12.1,0,0.8,2.8
"17/07/2015",NA,17,"Fr",6.2,11.9,4,3.2,3.5
"18/07/2015",NA,18,"Sa",4.5,11.2,1,1,7.3
"19/07/2015",NA,19,"Su",-3.5,12.9,0,0.5,4.9
"20/07/2015",NA,20,"Mo",-1.7,14.2,0.2,1.4,8
"21/07/2015",NA,21,"Tu",4.5,17,0,1.2,6
"22/07/2015",24.39,22,"We",11.2,16.1,3.8,2.2,1.8
"24/07/2015",36.85,24,"Fr",6.5,14.4,2.2,0.6,3.4
"25/07/2015",43.13,25,"Sa",7.4,12.5,3.4,2,4.2
"26/07/2015",53.43,26,"Su",6,11.8,3.3,2,5.8
"27/07/2015",46.52,27,"Mo",4.9,13.3,0.4,3,6.1
"28/07/2015",51.98,28,"Tu",8,14.8,0,1,6.5
"29/07/2015",55.45,29,"We",6.1,13.2,0,1,4.3
"30/07/2015",30.76,30,"Th",7.3,12.2,0,1.8,2.2
"1/08/2015",17.05,1,"Sa",NA,NA,0.9,1.9,NA
"2/08/2015",64.49,2,"Su",NA,14.2,0,NA,6
"3/08/2015",54.98,3,"Mo",6.3,10.3,9.2,3,4.8
"4/08/2015",40.03,4,"Tu",0,10.9,0,1.4,2.5
"5/08/2015",39.75,5,"We",5.9,11.5,2.6,1,3.9
"6/08/2015",22.77,6,"Th",4.7,12,3.6,0.8,0.3
"7/08/2015",24.25,7,"Fr",7.9,12.5,5.4,0.4,1
"8/08/2015",23.06,8,"Sa",8.5,11.7,1,0.8,4.4
"9/08/2015",33.25,9,"Su",7,12.7,0,0.2,0.3
"10/08/2015",90.27,10,"Mo",6,15.8,0.2,1.6,7.1
"11/08/2015",79.02,11,"Tu",7,14.4,0.2,2,7.7
"12/08/2015",45.33,12,"We",8.1,13.8,0,2.8,3.7
"13/08/2015",36.78,13,"Th",6.8,13,1,0.8,1.3
"14/08/2015",51.16,14,"Fr",9.2,15.3,0,1.2,4.9
"15/08/2015",47.98,15,"Sa",9.7,14.9,1.4,1.6,3.8
"16/08/2015",50.95,16,"Su",1.7,16.7,0,0.4,5.3
"17/08/2015",52.62,17,"Mo",8.6,11.8,2.2,2.4,5.2
"18/08/2015",47.23,18,"Tu",5.3,11,1.2,1,2.3
"19/08/2015",78.34,19,"We",2.5,13.3,0,1,6.8
"20/08/2015",92.99,20,"Th",4,17,0,1.2,9.9
"21/08/2015",24.59,21,"Fr",10.7,18.5,0,3.6,0.5
"22/08/2015",60.99,22,"Sa",10,18.5,0,1.6,4.8
"23/08/2015",69.73,23,"Su",5,16,0,1.2,8.5
"24/08/2015",48.92,24,"Mo",7,13.9,0,2.6,4.2
"25/08/2015",46.35,25,"Tu",8.5,13.8,0,2,2.7
"26/08/2015",56.6,26,"We",7.6,16.2,0,1.6,1.2
"27/08/2015",8.73,27,"Th",9.5,11.3,0.6,1.2,NA
"28/08/2015",60.49,28,"Fr",6.7,12.9,20.2,NA,5
"29/08/2015",42.6,29,"Sa",3.7,11.7,2.2,NA,3.9
"30/08/2015",78.2,30,"Su",7.2,13.1,4.6,1.2,3.9
"31/08/2015",49.03,31,"Mo",7.2,12.9,0,2.2,2.3
"1/09/2015",108.84,1,"Tu",2.7,17,0,1.6,10.2
"2/09/2015",63.76,2,"We",5,17.9,0,2,4.7
"3/09/2015",45.04,3,"Th",10,13.9,4.6,1.2,2.5
"4/09/2015",87.01,4,"Fr",4.8,13.5,0,2.2,7.5
"5/09/2015",51.4,5,"Sa",9,14.5,0,2.7,3.6
"6/09/2015",67.03,6,"Su",3.6,15.8,0,0.8,3.3
"7/09/2015",56.61,7,"Mo",7.7,13.3,5.2,2.6,2.1
"8/09/2015",59.83,8,"Tu",7.8,12.4,3.4,1.4,4.4
"9/09/2015",54.87,9,"We",9.7,14.5,0.2,1.6,2.8
"10/09/2015",65.55,10,"Th",8.8,16.2,0,1.8,5.8
"11/09/2015",117.51,11,"Fr",2.8,19.5,0,2,9.9
"12/09/2015",70.77,12,"Sa",9.8,21.3,0,3.2,3
"13/09/2015",104.69,13,"Su",9.4,25.2,0,1.7,9.7
"14/09/2015",111.79,14,"Mo",13.9,25.9,0,NA,10.1
"15/09/2015",71.04,15,"Tu",10.4,15.9,13.8,5.6,7.6
"16/09/2015",67.28,16,"We",6.7,16,0,1.8,3.7
"17/09/2015",55.29,17,"Th",7.5,14,0.4,1.8,3.3
"18/09/2015",36.72,18,"Fr",9.8,14,0.6,1.6,0.7
"19/09/2015",110.87,19,"Sa",5.5,21.7,0,1.2,8.4
"20/09/2015",114.08,20,"Su",5.7,22.1,0,1.6,11.1
"21/09/2015",48.33,21,"Mo",10,18.2,0,5,2.8
"22/09/2015",86.46,22,"Tu",6.8,12.5,6.4,2,6.5
"23/09/2015",93.39,23,"We",4.5,12.8,0,1.4,8.5
"24/09/2015",65.72,24,"Th",3,14,0,1.8,7.5
"25/09/2015",118.22,25,"Fr",3.5,18,0,2.8,10.4
"26/09/2015",115.26,26,"Sa",5,19,0.2,4.4,7.9
"27/09/2015",112.3,27,"Su",8.7,20.3,0,1.7,8
"28/09/2015",89.42,28,"Mo",4.8,23.2,0,4.6,6.5
"29/09/2015",75.94,29,"Tu",5.8,17.1,0,3.4,5.8
"30/09/2015",83.2,30,"We",8.9,15.9,0,2.2,6.8
"1/10/2015",124.57,1,"Th",2.6,23,0,2.6,10.9
"2/10/2015",124.93,2,"Fr",6.5,27.8,0,3.3,10.5
"3/10/2015",122.21,3,"Sa",12.4,30.7,0,5.3,9.4
"4/10/2015",122.29,4,"Su",13.6,28.8,0,6,10.3
"5/10/2015",118.59,5,"Mo",10.3,34,0,5.2,9.5
"6/10/2015",106.27,6,"Tu",17.2,35.8,0,7.6,8.7
"7/10/2015",120.44,7,"We",10.5,17.6,0,8.8,10.5
"8/10/2015",128.39,8,"Th",5,22.9,0,4.6,10.5
"9/10/2015",107.3,9,"Fr",10.2,30,0,3.4,9.9
"10/10/2015",74.89,10,"Sa",13,28.5,0,4.2,6.5
"11/10/2015",90.26,11,"Su",17,26.8,NA,NA,5.7
"12/10/2015",62.43,12,"Mo",10.8,15.7,5,4.4,2.8
"13/10/2015",133.43,13,"Tu",5.2,18.8,0.6,1.8,10.5
"14/10/2015",124.95,14,"We",8.8,28.4,0,3.8,9.8
"15/10/2015",116.88,15,"Th",14.3,34.2,0,5,10.3
"16/10/2015",48.31,16,"Fr",16.1,23.8,0,6.4,2.7
"17/10/2015",99.58,17,"Sa",10.3,21.5,0.6,2.1,6.6
"18/10/2015",125.82,18,"Su",9.5,19.4,0,3.4,8.2
"19/10/2015",132.95,19,"Mo",5,27.8,0,4.6,10.7
"20/10/2015",77.84,20,"Tu",8.9,31.3,0,4.8,4.8
"21/10/2015",37.43,21,"We",16.6,19,2.2,3.4,0.7
"22/10/2015",46.28,22,"Th",10.5,16.4,3.4,2.6,0
"23/10/2015",100.07,23,"Fr",10.8,17.5,0,1.7,4.9
"24/10/2015",128.41,24,"Sa",6.5,21.9,0.1,3.7,9.5
"25/10/2015",95.32,25,"Su",6.8,31.3,0,4,7.5
"26/10/2015",60.66,26,"Mo",13.7,15.9,0.4,6.4,3.8
"27/10/2015",140.83,27,"Tu",9.7,23.1,0.6,2.8,10.5
"28/10/2015",138.33,28,"We",7,26.7,0,5.6,10.8
"29/10/2015",121.17,29,"Th",10.8,27.3,0,5.6,9
"30/10/2015",118.2,30,"Fr",9.3,27.5,0,5.8,9.5
"31/10/2015",80.1,31,"Sa",14,26.7,0.1,5.9,4.5
"1/11/2015",53.41,1,"Su",16.1,27.4,2.6,3.6,3.3
"2/11/2015",38.29,2,"Mo",13.3,15.7,1.4,3,0.9
"3/11/2015",127.51,3,"Tu",6.7,19.5,0.8,1.8,8.7
"4/11/2015",100.05,4,"We",8,28.7,20,NA,7.8
"5/11/2015",83.26,5,"Th",16.2,24.3,11,2.8,5.6
"6/11/2015",24.55,6,"Fr",16,18.5,11.6,3,0
"7/11/2015",112.76,7,"Sa",11.2,16.7,1.6,1.8,8
"8/11/2015",123.62,8,"Su",6,25.7,0,3.6,9
"9/11/2015",121.85,9,"Mo",10,33,0,4.8,10.3
"10/11/2015",30.38,10,"Tu",14.7,16.7,0,7.2,0.7
"11/11/2015",94.95,11,"We",11,21.8,1.6,1.8,3.5
"12/11/2015",131.23,12,"Th",12.1,25.2,0,2.4,8.8
"13/11/2015",114.4,13,"Fr",13.2,19.4,0.2,5.8,8
"14/11/2015",114.89,14,"Sa",8,19.3,0,4.8,8.5
"15/11/2015",133.21,15,"Su",11.2,19.9,0,4.2,8.8
"16/11/2015",134.07,16,"Mo",10.5,29.7,0,5.4,10.5
"17/11/2015",118.49,17,"Tu",14.3,34.2,0,7,9.2
"18/11/2015",121.46,18,"We",11.3,30.8,0,7.2,8.2
"19/11/2015",105.48,19,"Th",17.4,32.8,0.1,6.5,7.2
"20/11/2015",50.01,20,"Fr",15,20.6,0.2,5.8,3.6
"21/11/2015",107.72,21,"Sa",11.2,18,3.4,2.1,5
"22/11/2015",136.54,22,"Su",12.6,21.8,0,4.4,8.5
"23/11/2015",118.24,23,"Mo",12.2,22.4,0,5.8,8
"24/11/2015",138.57,24,"Tu",10,27.4,0,4.4,10.3
"25/11/2015",57.6,25,"We",10.9,35,0,5.8,2.8
"26/11/2015",114.42,26,"Th",10.6,17.8,1,9,9
"27/11/2015",74.69,27,"Fr",5.8,18.5,1.2,5,6.1
"28/11/2015",136.26,28,"Sa",9.1,21.6,0,2.6,9.5
"29/11/2015",107.29,29,"Su",11.6,21.8,0,5.3,5.7
"30/11/2015",122.53,30,"Mo",7.6,32.8,0,5,10.8
