Channel;City;Region;Customer name;Distance from the warehouse 
Supermarket;Carbrooke;Norfolk;Charlotte Chamber;55
Local store;Carbrooke;Norfolk;Kisc 98 Kiss Fm;75
Local store;Newquay;Cornwall;Schwartzbard, Gail L Esq;55
Franchise;Brimpton;Berkshire;Marketing Horizons Inc;35
Franchise;Shard End Ward;West Midlands;Brady, Brad J Esq;35
Franchise;Abbey Ward;Buckinghamshire;Welders Supply;35
Small chain store;Letchworth South West Ward;Hertfordshire;Bomarko Inc;35
Supermarket;Letchworth South West Ward;Hertfordshire;Benitez, Brigida Esq;35
Supermarket;Longhill Ward;Yorkshire, East (North Humbers;Kennedy Scales Inc;25
Supermarket;Abbey Ward;Buckinghamshire;Barajas & Bustamante Archl;40
Franchise;Franche Ward;Hereford and Worcester;Brewster Wallcoverings Co;35
Small chain store;Whittington;Shropshire;Bohs Well Drilling Inc;25
Small chain store;Whittington;Shropshire;Gavin, Lee W Esq;25
Supermarket;Cockerton West Ward;Darlington;Reid, Carleton B Esq;35
Local store;Castle Ward;West Sussex;Canterbury, Christopher C;40
Local store;Devizes;Wiltshire;Omni Mandalay;40
Local store;Colnbrook with Poyle;Buckinghamshire;Lba Savings Bank;55
Local store;Parwich;Derbyshire;Lutz, Christopher T Esq;90
Franchise;Abbey Ward;Buckinghamshire;Association Of Art Museum Dir;155
Franchise;Marldon;Devon;L & L Sales Co Inc;45
Supermarket;Aldridge Central and South War;West Midlands;Cavuto, John A;10
Supermarket;Carbrooke;Norfolk;Pacific Coast Packaging;55
Local store;Letchworth South West Ward;Hertfordshire;Storm Eye Institute;35
Local store;East Putney Ward;Greater London;Automation Engrg & Mfg Inc;30
Local store;Abbey Ward;Buckinghamshire;Packaging Corp Of America;55
Local store;Hawerby cum Beesby;Lincolnshire;Goe, Douglas E Esq;20
Franchise;Loundsley Green Ward;Derbyshire;Burgess Steel Products Corp;35
Franchise;Sawston;Cambridgeshire;Tipton & Hurst;5
Franchise;Abbey Ward;Buckinghamshire;A O Hardee & Son Inc;95
Franchise;Parwich;Derbyshire;Jonson, Geo D Esq;175
Franchise;Longhill Ward;Yorkshire, East (North Humbers;Dale Yoder Clu Life Hlth & Bus;25
Franchise;Abbey Ward;Buckinghamshire;Council Of Cmnty Blood Ctrs;40
Supermarket;Abbey Ward;Buckinghamshire;Tremont, Michael A Esq;55
Supermarket;Parwich;Derbyshire;Trautman, Eileen Esq;65
Local store;Castle Ward;West Sussex;Office Service Co;40
Franchise;Carbrooke;Norfolk;Alphabetland Pre School Center;35
Franchise;Broxburn, Uphall and Winchburg;West Lothian;Shamrock Food Service;25
Franchise;Parwich;Derbyshire;Central Hrdwr & Elec Corp;50
Franchise;Abbey Ward;Buckinghamshire;Matt Parrott & Sons Co;155
Franchise;Abbey Ward;Buckinghamshire;Tiny Tots Originals Div;160
Supermarket;Abbey Ward;Buckinghamshire;Lovitch, Alan F;155
Local store;New Milton;Hampshire;Wise Industries;35
Local store;Whittington;Shropshire;East County Process;25
Franchise;Wakefield North Ward;West Yorkshire;Agopgee Enterprises Inc;10
Small chain store;Abbey Ward;Buckinghamshire;L Winik & Associates Inc;30
Small chain store;St. Enoder;Cornwall;Rosati, Marc D Esq;30
Supermarket;Ryde;Isle of Wight;Rust Evader Corp;30
Supermarket;Carbrooke;Norfolk;Budget Annex;205
Supermarket;Bargate Ward;Southampton;Kiqo Pure Gold Oldies 104 Fm;35
Franchise;Abbey Ward;Buckinghamshire;Segall Majestic Inc;155
Franchise;St. Stephens Ward;Kent;Taos Valley Resort Assn;40
Franchise;Carbrooke;Norfolk;Exhibit Crafts Inc;35
Small chain store;Laindon Park Ward;Essex;Laitinen, Stephen B Esq;90
Local store;Abbey Ward;Buckinghamshire;Herr Foods Inc;160
Local store;Lymington and Pennington;Hampshire;Tiburon Pen Chmbr Commrce Inc;45
Local store;Aylesbury;Buckinghamshire;Agri Business Insurance Agency;80
Franchise;Burmantofts and Richmond Hill ;West Yorkshire;Gerstenfeld, Gerald F Esq;40
Franchise;Howard Town Ward;Derbyshire;Mcdonald, Michael J Esq;45
Franchise;Farnham;Surrey;Best Western Riverview Inn;55
Small chain store;Parkham;Devon;Berg, Michael D Esq;40
Small chain store;South Ward;North Eart Lincolnshire;Nature Conservancy;60
Small chain store;Beeston West Ward;Nottinghamshire;Walker, Susan S Esq;35
Small chain store;Abbey Ward;Buckinghamshire;Alternative Collection Svc Inc;85
Supermarket;Abbey Ward;Buckinghamshire;Johnson, Matthew E Esq;160
Supermarket;Wollaton West Ward;Nottinghamshire;Thornsjo, Dale O Esq;15
Local store;Loundsley Green Ward;Derbyshire;Manhattan Supply Co Deer Pk;55
Local store;Darnall Ward;Yorkshire, South;Clifford Standifer & Mcdowell;70
Franchise;Llangeler Community;Ceredigion;Universal Case Co;50
Franchise;Abbey Ward;Buckinghamshire;A O J Mfg Corp;155
Small chain store;Brockley Ward;Greater London;Paralegal Personnel;30
Supermarket;Meads Ward;East Sussex;Sunderland Publishing Co;110
Local store;Abbey Ward;Buckinghamshire;Godfroy, William Esq;100
Local store;Abbey Ward;Buckinghamshire;Crossroads Travel Service Inc;155
Local store;Broxburn, Uphall and Winchburg;West Lothian;Sarrail Lynch & Hall;65
Franchise;St. Ive;Cornwall;Typesetters;40
Franchise;Parwich;Derbyshire;Cooper Electric Supply Co;110
Franchise;Parwich;Derbyshire;Mcallister & Murphy Pc;155
Small chain store;Newquay;Cornwall;Blanton, Mary R Attorney;95
Small chain store;Shard End Ward;West Midlands;Upper Deck Co;35
Small chain store;Ryde;Isle of Wight;Victory Coating;40
Supermarket;Carbrooke;Norfolk;Twining Nemia & Steflik;35
Local store;Parwich;Derbyshire;Jeanettes Drapery & Upholstery;20
Franchise;Carbrooke;Norfolk;Prugh, Pamela J Cpa;80
Franchise;Norton Canes;Staffordshire;Neeley, Gregory W Esq;15
Franchise;St. Ive;Cornwall;Village Business Center;35
Franchise;Broxburn, Uphall and Winchburg;West Lothian;Carlin, Angela G Esq;25
Franchise;Abbey Ward;Buckinghamshire;Fan Shop;160
Franchise;Bulwell Ward;Nottinghamshire;Mccartney Printing Services;25
Franchise;Chichester;West Sussex;Greater Cinc Schl Empl Crdt Un;20
Franchise;Carbrooke;Norfolk;Haar, Allen F;20
Franchise;Broxburn, Uphall and Winchburg;West Lothian;Harmons;155
Supermarket;Broxburn, Uphall and Winchburg;West Lothian;Mail Boxes Etc;65
Supermarket;Broxburn, Uphall and Winchburg;West Lothian;Grt Amercn Fed Svngs & Ln Assn;10
Local store;Treorchy Community;Rhondda Cynon Taff;Allied Plastics;60
Local store;New Milton;Hampshire;Newton Clerk;35
Franchise;South Ward;North Eart Lincolnshire;Thompson, Chesney Md;50
Franchise;Loundsley Green Ward;Derbyshire;Young Door Company;55
Small chain store;Maybury and Sheerwater Ward;Surrey;Reliable Yard Service;60
Supermarket;Abbey Ward;Buckinghamshire;M D & W Railway;45
Supermarket;Loundsley Green Ward;Derbyshire;Chuckmaster Co;55
Local store;Carbrooke;Norfolk;Shannon, Paul V Esq;20
Franchise;Carbrooke;Norfolk;Computemp;160
Small chain store;Carbrooke;Norfolk;N Rockland Educl Fed Crdt Un;35
Supermarket;Abbey Ward;Buckinghamshire;A All In One Construction;40
Local store;Abbey Ward;Buckinghamshire;Barnett Industries Inc;160
Franchise;Westgate Ward;Gloucestershire;Blaineco Structural Movers;50
Local store;Abbey Ward;Buckinghamshire;Green Point Savings Bank;160
Local store;Conisbrough and Denaby Ward;South Yorkshire;Sherpa Corp;70
Local store;Abbey Ward;Buckinghamshire;Russell, Amelia Mosley Esq;35
Local store;Longhill Ward;Yorkshire, East (North Humbers;Inter American Press Assn;25
Local store;Broxburn, Uphall and Winchburg;West Lothian;Eagle Newspapers;155
Franchise;Abbey Ward;Buckinghamshire;Martin Morrissey;45
Franchise;Sawston;Cambridgeshire;Callender, William C Esq;5
Franchise;Dee Ward;Dumfries and Galloway;Duffield, Michael C;25
Small chain store;Howard Town Ward;Derbyshire;Advanced Data Systems;35
Small chain store;Carbrooke;Norfolk;Drubner, Norman S Esq;160
Small chain store;Warlingham;Surrey;Desktop Center;50
Small chain store;Newbold and Brownsover Ward;Warwickshire;Viking Lodge;80
Supermarket;Abbey Ward;Buckinghamshire;Rosenkrance, Brent;55
Supermarket;Cockerton West Ward;Darlington;Holiday House Apts;35
Local store;Chichester;West Sussex;Or Draymen & Warehousemans;20
Local store;Middlewich;Cheshire;Haney, Tom C Md;60
Local store;Warlingham;Surrey;Burlington Co Library;50
Franchise;Abbey Ward;Buckinghamshire;Geneva Woods Professional Ctr;35
Franchise;Hawerby cum Beesby;Lincolnshire;Chile Pepper Magazine;40
Small chain store;Parwich;Derbyshire;Flash, Elena Salerno Esq;45
Small chain store;Dee Ward;Dumfries and Galloway;Owensboro Brick & Tile;35
Supermarket;St. Stephens Ward;Kent;Mouw & Celello Pc;40
Supermarket;Abbey Ward;Buckinghamshire;Visiting Nur Assn Ctrl Jersey;50
Supermarket;Warlingham;Surrey;C C Industries;50
Franchise;Abbey Ward;Buckinghamshire;Nelson & Paulson Chartered;55
Franchise;Abbey Ward;Buckinghamshire;Capital Thrpy & Spts Medcn Inc;160
Supermarket;South Ward;North Eart Lincolnshire;Sun Toledo Refinery Co;60
Local store;Abbey Ward;Buckinghamshire;Mata, Mario A Esq;160
Franchise;Abbey Ward;Buckinghamshire;Meredith Paving Corp;160
Small chain store;St. Marys Ward;Greater Manchester;Philosophical Rsrch Scty Bkstr;70
Supermarket;Carbrooke;Norfolk;New Jersey Tanning Co Inc;50
Supermarket;Abbey Ward;Buckinghamshire;All County Inc;55
Small chain store;Abbey Ward;Buckinghamshire;Mail Boxes Etc;65
Small chain store;St. Enoder;Cornwall;Elmark Graphics Inc;5
Local store;St. Stephens Ward;Kent;Interdependence Associates Inc;40
Local store;Bargate Ward;Southampton;Mmm Design Group;35
Local store;Parwich;Derbyshire;Pathe Cmptr Cntrl Systems Corp;60
Franchise;Brimpton;Berkshire;Torrefazione Italia Inc;35
Franchise;Gresham Ward;Middlesbrough;Sawyer, Robert M Esq;35
Franchise;Llangeler Community;Ceredigion;U S Sapporo A Inc;35
Franchise;Aldborough Ward;Greater London;Teti, Louis N Esq;35
Franchise;Parwich;Derbyshire;Levy Security Consultants Ltd;160
Supermarket;Beeston West Ward;Nottinghamshire;El Adobe Inn;140
Franchise;Llangeler Community;Ceredigion;Mcmahan Mcmahan & Brinkley;50
Supermarket;Abbey Ward;Buckinghamshire;Accurate Engraving Co;160
Supermarket;Royal Hospital Ward;Greater London;Shirleys Print Shoppe;30
Supermarket;Castle Ward;West Sussex;Schwend Signs;40
Supermarket;Middlewich;Cheshire;K C Products Co;60
Local store;Abbey Ward;Buckinghamshire;Engelbrecht Ackerman & Hassman;45
Franchise;Woodstock Ward;South Gloucestershire;Valley Prodn Ctr For Vid & Aud;35
Small chain store;Bargate Ward;Southampton;Coastal Technologies;35
Small chain store;Carbrooke;Norfolk;Goodfellow Agency;205
Supermarket;Dunblane and Bridge of Allan W;Stirling;Denticator;25
Supermarket;Ryde;Isle of Wight;L & M Industrial Chemicals Inc;40
Franchise;Chichester;West Sussex;Gallagher, John J Esq;20
Supermarket;Abbey Ward;Buckinghamshire;Sadowski, Jeffrey A;160
Supermarket;Abbey Ward;Buckinghamshire;Rug Gallery;45
Franchise;Abbey Ward;Buckinghamshire;Watson, Richard I Md;35
Franchise;Kempshott Ward;Hampshire;Pigeon Falls State Bank;55
Franchise;City and Hunslet Ward;West Yorkshire;Joseph Victor & Son Inc;20
Local store;Ruckinge;Kent;Unique Epoxy;80
Franchise;Carbrooke;Norfolk;Jim Dunnam Builder Inc;55
Franchise;Wilmington;Kent;Richard Mulholland Prop Inc;20
Franchise;Abbey Ward;Buckinghamshire;Page, Patricia A Esq;35
Small chain store;Abbey Road Ward;Greater London;T J Boyle & Associates;35
Small chain store;Loundsley Green Ward;Derbyshire;Charles S Cavadini Cic;55
Small chain store;Abbey Ward;Buckinghamshire;Hydrick Law Offices;160
Small chain store;Colnbrook with Poyle;Buckinghamshire;Bilar Tool & Die Inc;55
Supermarket;Abbey Ward;Buckinghamshire;Sheplers Western Wear;160
Local store;Lye and Stourbridge North Ward;West Midlands;Kelly, Mark C;25
Small chain store;Carbrooke;Norfolk;Aviation Insurance Inc;70
Supermarket;Prittlewell Ward;Essex;Hall, Ronald A;45
Local store;Abbey Road Ward;Greater London;Advanced Engineering Assocs;35
Franchise;Brockley Ward;Greater London;Hirsch, Henry L Esq;30
Franchise;Carbrooke;Norfolk;Bremer, Duncan S Esq;55
Franchise;Prestatyn Community;Denbighshire;Wnc Forklift Inc;55
Franchise;St. Stephens Ward;Kent;Hancock, John J Esq;40
Small chain store;Carbrooke;Norfolk;Transbay Steel Corp;160
Franchise;Marldon;Devon;Severt, Todd D Esq;45
Franchise;Kirkby Stephen;Cumbria;Active Air Systems;35
Local store;Loundsley Green Ward;Derbyshire;A B E Doors & Windows;55
Local store;Loundsley Green Ward;Derbyshire;Jackson, Donald M Esq;55
Local store;New Milton;Hampshire;Wuhf Fox 31;35
Franchise;Warlingham;Surrey;Gulf Atlantic Equipment Co Inc;50
Franchise;Aldborough Ward;Greater London;Graham, John A Esq;35
Franchise;Newport;Isle of Wight;Holzgrafe, Roger E Esq;80
Small chain store;Carbrooke;Norfolk;Kaysers Nutrition Center;25
Small chain store;Abbey Ward;Buckinghamshire;Jones, Brigham P Esq;160
Small chain store;Broxburn, Uphall and Winchburg;West Lothian;Proctor & Associates Co;35
Small chain store;St. Enoder;Cornwall;Bork, Terry D Esq;30
Small chain store;Maybury and Sheerwater Ward;Surrey;Diamond Cbnts Div Wht Cons Ind;60
Small chain store;Parwich;Derbyshire;Trico Prods Corp;160
Small chain store;Brimpton;Berkshire;Ruello, Joseph F;35
Supermarket;Broxburn, Uphall and Winchburg;West Lothian;Petaluma Area Chamber Commrce;90
Supermarket;Aldborough Ward;Greater London;Barnett Travel;35
Supermarket;Parwich;Derbyshire;Sdse Public Tv;75
Local store;Carbrooke;Norfolk;Howland Machine Corp;160
Local store;Broxburn, Uphall and Winchburg;West Lothian;First Ozaukee Savings Bank;65
Local store;Conisbrough and Denaby Ward;South Yorkshire;General Truck Part & Equipment;35
Local store;Sawston;Cambridgeshire;Finlay, Joseph B Jr;5
Franchise;Newquay;Cornwall;Hering, Glenn Z Esq;95
Supermarket;Warlingham;Surrey;Moorhead, Bridget Klein Esq;35
Supermarket;City and Hunslet Ward;West Yorkshire;Ottumwa Glass Co;20
Local store;Steornabhagh a Deas Ward;Western Isles;Ithaca Guitar Works Inc;35
Local store;Abbey Road Ward;Greater London;Bedford Books St Martins Prs;35
Franchise;Conisbrough and Denaby Ward;South Yorkshire;Em Building Products Inc;70
Franchise;Abbey Ward;Buckinghamshire;Mnpls Arprt Marriott;160
Small chain store;Broxburn, Uphall and Winchburg;West Lothian;Captain Copy;30
Supermarket;Abbey Ward;Buckinghamshire;Register Printing Co;20
Local store;Eaton Park Ward;Stoke-on-Trent;Capitol Cadillac Company;10
Franchise;Abbey Ward;Buckinghamshire;A 1 Plumbers Supply;75
Franchise;Abbey Ward;Buckinghamshire;Levering, Charles B Esq;50
Franchise;Carbrooke;Norfolk;Karl May General Contractor;205
Small chain store;Carbrooke;Norfolk;C Leasing Company;160
Local store;Abbey Ward;Buckinghamshire;Fire Protection Consultants;70
Local store;Abbey Ward;Buckinghamshire;Kxlt Radio (k 108 Fm);20
Franchise;East Putney Ward;Greater London;Sotorrio, Rene A Esq;70
Franchise;Franche Ward;Hereford and Worcester;Cinemax Cable Pay Tv Svce;35
Supermarket;Bishop Auckland;County Durham;Combs Sheetmetal;30
Local store;Sawston;Cambridgeshire;Fineshriber, Marilyn Esq;5
Local store;Abbey Ward;Buckinghamshire;Wallace, Bruce R Esq;85
Franchise;Abbey Ward;Buckinghamshire;Domestic Intrntl Techlgy Ltd;85
Small chain store;Abbey Ward;Buckinghamshire;General Bindery Co Inc;160
Small chain store;Aldborough Ward;Greater London;Lee, Stan Dvm;35
Local store;Abbey Ward;Buckinghamshire;Chomsky, Charles Esq;160
Franchise;Carbrooke;Norfolk;Dustbooks;40
Small chain store;Abbey Ward;Buckinghamshire;Ric Lo Productions Ltd;45
Small chain store;Falmouth;Cornwall;Shohet, Grace C Esq;60
Small chain store;Parwich;Derbyshire;Lbt;25
Local store;Malmesbury;Wiltshire;Wky Am 930 Stereo;75
Local store;Abbey Ward;Buckinghamshire;Dan Dee Belt & Bag Co Inc;160
Local store;Abbey Ward;Buckinghamshire;Saint Thomas Creations;35
Local store;Carbrooke;Norfolk;New York C Liquidators Inc;40
Franchise;Carbrooke;Norfolk;John Noda A Law Ofc Lawrence E;155
Franchise;Maybury and Sheerwater Ward;Surrey;Mr Bar B Q Inc;60
Franchise;Devizes;Wiltshire;Atec;40
Franchise;Abbey Ward;Buckinghamshire;Allgood Industries;25
Franchise;Ryde;Isle of Wight;National Lime Association;40
Small chain store;Loundsley Green Ward;Derbyshire;Gemini Hats & Accessories Inc;35
Small chain store;Marldon;Devon;Creative Photography Inc;45
Supermarket;West End Ward;Greater London;Goodspeed, Paul E Esq;35
Franchise;Town Ward;Greater London;Consolidated Aluminum;55
Franchise;Laindon Park Ward;Essex;Guadalajara Bar & Grille;90
Franchise;Ryde;Isle of Wight;Tejas Loans;40
Small chain store;Crompton Ward;Greater Manchester;Kyes Tv Channel 5;90
Supermarket;Broxburn, Uphall and Winchburg;West Lothian;Daily Advance;155
Local store;Parwich;Derbyshire;Austin Periodical Services;175
Local store;Broxburn, Uphall and Winchburg;West Lothian;Granite Construction Co;155
Franchise;Lye and Stourbridge North Ward;West Midlands;Hoolahan, Catherine G Esq;25
Franchise;Abbey Ward;Buckinghamshire;Morelli Hoskins Ford;160
Local store;Loundsley Green Ward;Derbyshire;Miller, Martin M Esq;55
Local store;Ruckinge;Kent;Advantage Title & Escrow Inc;115
Local store;Carbrooke;Norfolk;Ringo International Inc;205
Local store;Lymington and Pennington;Hampshire;Dorval Trading Co Ltd;45
Local store;Abbey Ward;Buckinghamshire;Poag Grain Inc;160
Franchise;Weston-Super-Mare;North Somerset;Southwest Ms Shopg Bag;45
Franchise;Carbrooke;Norfolk;Scott Marlow Agency;205
Small chain store;Broxburn, Uphall and Winchburg;West Lothian;Nursefinders;155
Local store;East Southbourne and Tuckton W;Bournemouth;Simpson, Fred B Esq;20
Local store;Abbey Road Ward;Greater London;Fast Cash;35
Franchise;East Putney Ward;Greater London;Mitchell Silliman Co Inc;70
Franchise;Brockley Ward;Greater London;Praver, David L Esq;30
Small chain store;Howard Town Ward;Derbyshire;Rotenstreich, H Andrew Esq;45
Supermarket;Abbey Ward;Buckinghamshire;Sigmacom Corporation;160
Local store;Letchworth South West Ward;Hertfordshire;Real Isle Properties;35
Local store;Loundsley Green Ward;Derbyshire;Liss, Amy Esq;55
Franchise;Abbey Ward;Buckinghamshire;Real Estate Appraisals Inc;160
Franchise;Dee Ward;Dumfries and Galloway;Luby, Joseph K Esq;35
Franchise;Newquay;Cornwall;New River Tire Company Inc;95
Franchise;Stroud;Hampshire;Farber, Mindy Esq;105
Supermarket;Broxburn, Uphall and Winchburg;West Lothian;Nohr, Katharine M Esq;155
Franchise;Abbey Ward;Buckinghamshire;Skuttle Mfg Co;160
Supermarket;Parwich;Derbyshire;Cheek, John D Esq;175
Supermarket;Abbey Ward;Buckinghamshire;National Catholic Reporter;160
Supermarket;Howard Town Ward;Derbyshire;Strescon Industries Inc;45
Supermarket;Overton Ward;Lancashire;Norda, Beth Dorsey Esq;65
Supermarket;Maybury and Sheerwater Ward;Surrey;Indiana Electronics Corp;60
Local store;Midway Ward;Derbyshire;Port Delivery Systems;35
Local store;Abbey Ward;Buckinghamshire;Meder, Randy F Cpa;160
Franchise;Maybury and Sheerwater Ward;Surrey;S M Copiers;60
Supermarket;Abbey Ward;Buckinghamshire;Milton Terry Associates;160
Supermarket;St. Stephens Ward;Kent;Pro Img Mktng & Pub Rel Inc;40
Supermarket;Whittington;Shropshire;Computer Security Cnslnts Inc;25
Local store;Washington East Ward;Tyne and Wear;Sport Toyota;75
Franchise;Colnbrook with Poyle;Buckinghamshire;Kinkos Copies;55
Supermarket;Carbrooke;Norfolk;Putnam Co Inc;205
Local store;Walkergate Ward;Tyne and Wear;Hungs;75
Franchise;Midway Ward;Derbyshire;Herculite Mason Supply Inc;35
Franchise;Marldon;Devon;New England Die Co Inc;45
Franchise;Carbrooke;Norfolk;Barker Electronics;205
Franchise;Stratfield Mortimer;Berkshire;Mullins, Glen Esq;75
Franchise;Abbey Ward;Buckinghamshire;Marine Safety International;160
Small chain store;Loundsley Green Ward;Derbyshire;Ramm Metals Inc;55
Supermarket;Midway Ward;Derbyshire;Finley Colmer & Co;35
Local store;Selston;Nottinghamshire;Acc Automation Inc;100
Local store;Howard Town Ward;Derbyshire;Anstoetter, Mark D Esq;45
Franchise;Desborough;Northamptonshire;American Fine Foods Inc;50
Small chain store;Abbey Ward;Buckinghamshire;Dohn Law Offices Inc Ps;160
Local store;Carbrooke;Norfolk;Rex Internatl;205
Franchise;Abbey Ward;Buckinghamshire;Bender & Associates;160
Franchise;Hawerby cum Beesby;Lincolnshire;Fashion Corner Inc;40
Small chain store;East Putney Ward;Greater London;C G Mccullough Insurance Agcy;70
Small chain store;Abbey Road Ward;Greater London;Orkin Exterminating Co Inc;35
Local store;Parwich;Derbyshire;Bauer Coatings;175
Local store;Chichester;West Sussex;Word & Image Workshop Inc;20
Franchise;Woodstock Ward;South Gloucestershire;Container Decorating Inc;35
Franchise;Loundsley Green Ward;Derbyshire;Cullen, Jack J Esq;55
Small chain store;Abbey Ward;Buckinghamshire;Bridger Valley General Store;160
Supermarket;Abbey Ward;Buckinghamshire;Robert Vance Ltd;160
Supermarket;Woodstock Ward;South Gloucestershire;Safeguard Chemical Corp;35
Supermarket;Govan Ward;Glasgow City;Taylor Inn;35
Supermarket;Loundsley Green Ward;Derbyshire;Barr, Albert S Iii;55
Local store;Westgate Ward;Gloucestershire;Las Vegas Art Museum;50
Local store;Loundsley Green Ward;Derbyshire;Bayou Welding Works Inc;55
Franchise;Chirton Ward;Tyne & Wear;Kenyon, William R Esq;130
Supermarket;Abbey Ward;Buckinghamshire;Fox Vision Center;160
Supermarket;Abbey Ward;Buckinghamshire;Edgemere Finance Company;160
Local store;Howard Town Ward;Derbyshire;Jeh Construction Co;45
Franchise;East Southbourne and Tuckton W;Bournemouth;Smith & Dekay Ps;20
Small chain store;St. Ive;Cornwall;Posey Company;40
Small chain store;Parwich;Derbyshire;Mueller Repro Blue Printg;175
Local store;Darnall Ward;Yorkshire, South;Reliable Metalcraft Inc;85
Local store;Bargate Ward;Southampton;Dworkin, Michael L;35
Local store;Midway Ward;Derbyshire;Percival, Mark R Esq;35
Franchise;St. Marys Ward;Greater Manchester;Demer Normann Smith Ltd;70
Franchise;Millwall Ward;Greater London;Kluza Associates;95
Small chain store;Sefton;Merseyside;Ardrox;40
Supermarket;Lancing;West Sussex;Everythings A Dollar;25
Local store;Broxburn, Uphall and Winchburg;West Lothian;Tool Service Company Inc;155
Local store;Loundsley Green Ward;Derbyshire;Mcdonald Service Station;55
Local store;Midway Ward;Derbyshire;Don Allen & Associates Pa;35
Local store;Carbrooke;Norfolk;Cappello, A Barry Esq;205
Small chain store;Abbey Ward;Buckinghamshire;Hyland, Richard S Esq;160
Supermarket;Parwich;Derbyshire;Diesel Recon;175
Franchise;Greets Green and Lyng Ward;West Midlands;Red Giant Foods Inc;65
Local store;Hawerby cum Beesby;Lincolnshire;Bethesda Gazette;40
Franchise;Abbey Ward;Buckinghamshire;Chemical Consultants;160
Supermarket;Letchworth South West Ward;Hertfordshire;Wenatchee Valley Fed Crdt Un;35
Franchise;St. Enoder;Cornwall;Southern Interiors Inc;30
Franchise;Dee Ward;Dumfries and Galloway;Pan Optx;35
Small chain store;Whittington;Shropshire;Arias, Michele Ann Md;25
Small chain store;City and Hunslet Ward;West Yorkshire;Print Shop;20
Small chain store;Abbey Ward;Buckinghamshire;Wstu 1450 Am Radio Station;160
Small chain store;St. Gluvias;Cornwall;T J Ward & Associates Inc;55
Small chain store;Brimpton;Berkshire;Bell Service Systems Inc;35
Supermarket;Prestatyn Community;Denbighshire;Magic Valley Irrigation Supply;55
