Order Date;Order ID; Price ; Cost of sales ; Discount ; Order Quantity ; Sales 
14/01/2018;31781;21;318,8;0,1;46;966
14/01/2018;31781;29;309,1;0;41;1189
14/01/2018;2370;34;622,2;0;30;1020
14/01/2018;22147;30;555;0;37;1110
14/01/2018;49541;39;709,8;  -  ;35;1365
14/01/2018;39173;39;25;0,1;2;78
14/01/2018;30915;39;226,2;0;20;780
14/01/2018;39173;39;716;0,1;36;1404
15/01/2018;43620;33;137,9;0,1;11;363
15/01/2018;10272;29;53,1;0;3;87
15/01/2018;43620;36;173,2;0,1;13;468
15/01/2018;46884;30;345,6;0,1;18;540
15/01/2018;32868;26;588,1;0,1;39;1014
15/01/2018;46884;20;130;0,1;25;500
15/01/2018;12771;27;345,6;0,1;40;1080
15/01/2018;10272;30;257,4;0,1;26;780
15/01/2018;12771;43;1.087,90;0;46;1978
15/01/2018;1921;41;364,1;0,1;24;984
15/01/2018;18945;27;418,8;0,1;33;891
15/01/2018;46884;24;42,5;  -  ;3;72
16/01/2018;58784;31;231,9;0;17;527
16/01/2018;58784;21;280,1;0,1;29;609
16/01/2018;58784;44;715;0,1;25;1100
16/01/2018;22118;39;877,5;0,1;50;1950
16/01/2018;58784;26;81,1;0;12;312
16/01/2018;58784;38;357,2;0;20;760
16/01/2018;48199;38;750,1;0,1;47;1786
17/01/2018;16999;45;421,2;0,1;18;810
17/01/2018;20711;34;306;  -  ;18;612
17/01/2018;66;39;639,6;0,1;41;1599
17/01/2018;20711;35;80,5;0,1;5;175
18/01/2018;44197;32;518,4;0;27;864
18/01/2018;38340;36;829,4;0;36;1296
19/01/2018;35936;33;419,4;0,1;41;1353
19/01/2018;35936;29;719,2;0;40;1160
19/01/2018;49505;25;561;0;34;850
19/01/2018;38021;28;282,2;0;36;1008
19/01/2018;32800;27;378;0,1;40;1080
19/01/2018;32800;26;187,7;0,1;19;494
19/01/2018;37638;26;514,8;0,1;33;858
19/01/2018;38021;34;261,1;0;16;544
19/01/2018;58759;43;111,8;0,1;4;172
19/01/2018;52608;39;800,3;0,1;36;1404
19/01/2018;31138;24;586,1;0,1;37;888
19/01/2018;38021;33;485,8;0;46;1518
19/01/2018;32800;33;511,8;0;33;1089
19/01/2018;49505;40;120;0;12;480
20/01/2018;53891;28;182;0;25;700
20/01/2018;28225;34;153;  -  ;9;306
20/01/2018;7815;39;142,7;0,1;6;234
20/01/2018;55360;30;940,8;0,1;49;1470
20/01/2018;55360;36;884,5;  -  ;39;1404
20/01/2018;53891;33;377,5;0;44;1452
20/01/2018;53891;26;358;0,1;27;702
20/01/2018;53891;30;496,8;0;36;1080
20/01/2018;13636;30;585,6;0;32;960
20/01/2018;28225;41;239,9;0;13;533
21/01/2018;24802;28;196,6;0;18;504
21/01/2018;10661;38;590,5;0,1;42;1596
21/01/2018;10661;43;518,6;  -  ;18;774
22/01/2018;29319;44;805,2;0,1;30;1320
22/01/2018;19234;29;396,7;0;24;696
22/01/2018;29319;43;577,9;0;21;903
22/01/2018;33025;21;68,3;0,1;5;105
22/01/2018;58277;41;282,9;0;23;943
23/01/2018;12869;44;171,6;0,1;15;660
23/01/2018;7043;44;51;0,1;4;176
24/01/2018;17186;23;529,7;0,1;49;1127
24/01/2018;20422;33;90,8;0;5;165
24/01/2018;24544;38;518,7;0,1;39;1482
24/01/2018;20422;22;217,8;0;30;660
24/01/2018;24544;43;759,8;0,1;31;1333
24/01/2018;55937;35;285,6;0,1;24;840
24/01/2018;24544;22;188,1;0;15;330
24/01/2018;17186;45;148,5;0,1;11;495
24/01/2018;55937;42;147;0,1;10;420
25/01/2018;15718;41;840,5;0,1;50;2050
25/01/2018;15718;30;615,6;0,1;36;1080
25/01/2018;11686;23;533,1;0,1;38;874
25/01/2018;15718;28;528,1;0;41;1148
25/01/2018;10530;44;105,6;0;4;176
26/01/2018;8868;34;42,8;0;3;102
26/01/2018;19047;38;19;0,1;1;38
26/01/2018;19047;41;81,2;0;3;123
26/01/2018;17155;41;841,3;  -  ;36;1476
26/01/2018;8868;45;1.025,10;0;34;1530
26/01/2018;17155;43;839,8;0;31;1333
27/01/2018;20480;23;41,4;0;4;92
27/01/2018;20480;45;803,7;0;38;1710
27/01/2018;20484;33;147,8;0,1;14;462
28/01/2018;5316;31;755,2;0,1;42;1302
28/01/2018;35847;43;346,2;0,1;23;989
28/01/2018;21383;22;327,4;0,1;31;682
29/01/2018;18595;25;100;0;16;400
29/01/2018;15270;38;916,6;  -  ;36;1368
29/01/2018;52416;41;83,6;0,1;6;246
29/01/2018;52416;44;1.073,60;0;40;1760
29/01/2018;30341;28;329,3;0,1;42;1176
29/01/2018;30341;36;487,1;0,1;41;1476
29/01/2018;40101;29;493,6;0,1;46;1334
29/01/2018;30341;45;837;  -  ;30;1350
29/01/2018;18595;44;108,2;0,1;6;264
30/01/2018;32676;40;769,6;0,1;37;1480
30/01/2018;4454;32;282,9;0;17;544
30/01/2018;30053;29;380,5;0,1;41;1189
31/01/2018;39904;42;1.201,20;  -  ;44;1848
31/01/2018;19493;20;341;0,1;31;620
31/01/2018;38529;29;540;0;38;1102
31/01/2018;55713;36;758,5;0,1;49;1764
31/01/2018;13604;23;550,6;0;38;874
31/01/2018;13604;23;473,3;0,1;42;966
01/02/2018;21222;43;1.021,70;0,1;36;1548
01/02/2018;21222;45;772,2;0;26;1170
02/02/2018;14400;38;632,3;0,1;32;1216
02/02/2018;25120;39;386,1;0;22;858
02/02/2018;14400;22;338,8;0;35;770
02/02/2018;35776;26;421,2;0,1;36;936
02/02/2018;41988;45;594;0,1;33;1485
02/02/2018;14400;59;1.370,00;0,1;43;2537
02/02/2018;35776;50;130,5;0,1;9;450
02/02/2018;41988;56;305,8;0,1;14;784
02/02/2018;25120;65;897;  -  ;46;2990
02/02/2018;14627;55;672,1;0,1;47;2585
02/02/2018;25120;43;206,4;0,1;10;430
02/02/2018;41988;63;533;0,1;18;1134
02/02/2018;17636;65;61,1;0;2;130
02/02/2018;44387;53;318;0;20;1060
02/02/2018;44387;63;1.480,50;0,1;50;3150
02/02/2018;59459;47;488,8;0,1;40;1880
03/02/2018;26945;57;925,7;  -  ;29;1653
03/02/2018;417;63;115,3;0,1;3;189
03/02/2018;10310;41;115,6;0,1;6;246
03/02/2018;10310;40;1.171,20;0,1;48;1920
03/02/2018;35200;56;462;0,1;15;840
03/02/2018;417;52;567,8;0,1;39;2028
03/02/2018;36068;35;241,5;0,1;23;805
04/02/2018;41543;59;580,6;0;24;1416
04/02/2018;28772;29;68,4;0;4;116
04/02/2018;25440;40;396;0;30;1200
04/02/2018;41543;46;952,2;0;45;2070
04/02/2018;26724;45;58,5;0,1;2;90
04/02/2018;28772;51;261,1;0;16;816
05/02/2018;46981;60;690;0,1;46;2760
05/02/2018;23808;60;1.026,00;0;30;1800
05/02/2018;23808;39;338,5;0,1;28;1092
05/02/2018;44002;55;200,2;0;14;770
05/02/2018;44002;55;860,2;0,1;46;2530
06/02/2018;3138;46;108,6;0,1;4;184
06/02/2018;59942;57;776,9;0,1;47;2679
06/02/2018;20162;65;666,9;0;38;2470
06/02/2018;56581;54;421,2;0,1;20;1080
07/02/2018;40128;50;1.397,50;0;43;2150
08/02/2018;44325;58;1.327,00;  -  ;44;2552
08/02/2018;31078;59;165,2;0;7;413
08/02/2018;9222;65;1.385,80;0;41;2665
08/02/2018;41604;31;184,1;0,1;22;682
08/02/2018;52258;56;123,2;0;5;280
09/02/2018;47493;43;959,8;0,1;36;1548
09/02/2018;14983;43;325,1;0,1;18;774
09/02/2018;14983;48;1.105,90;0,1;48;2304
09/02/2018;45414;39;331,5;0,1;17;663
09/02/2018;18790;57;107,7;0;7;399
10/02/2018;59104;42;750,1;0,1;38;1596
10/02/2018;14823;34;173,4;0,1;15;510
10/02/2018;42339;53;1.100,80;0;31;1643
10/02/2018;57856;56;485,5;0,1;17;952
10/02/2018;57856;59;493,8;0;31;1829
10/02/2018;52227;37;657,1;0,1;37;1369
10/02/2018;14211;42;462;0;22;924
10/02/2018;59104;61;261,7;0,1;13;793
10/02/2018;833;49;12,7;0;1;49
10/02/2018;14823;55;704;0,1;20;1100
10/02/2018;14211;45;220,5;0;14;630
10/02/2018;59104;37;301,2;0;22;814
11/02/2018;54055;45;851,4;0;44;1980
11/02/2018;16612;54;81;  -  ;6;324
11/02/2018;21572;63;1.640,50;0;42;2646
11/02/2018;16612;44;831,6;0,1;45;1980
11/02/2018;57506;48;1.175,00;0,1;48;2304
12/02/2018;14913;59;942,8;0;47;2773
12/02/2018;48836;64;158,7;0,1;8;512
12/02/2018;13408;54;108;0;4;216
12/02/2018;56452;62;969,7;  -  ;34;2108
13/02/2018;33095;46;510,6;0;30;1380
13/02/2018;34498;43;81,3;0,1;3;129
13/02/2018;32741;40;317,2;0,1;13;520
13/02/2018;46119;40;528;0,1;20;800
13/02/2018;33095;40;571,2;0,1;34;1360
13/02/2018;46119;43;672,5;0,1;46;1978
13/02/2018;34498;61;122;0,1;4;244
13/02/2018;46119;57;852,2;0;23;1311
14/02/2018;55874;46;452,6;0,1;24;1104
14/02/2018;32037;58;686,7;0;37;2146
14/02/2018;32037;33;148,5;0,1;15;495
14/02/2018;48998;41;338,3;0;15;615
14/02/2018;55874;57;654,4;  -  ;28;1596
14/02/2018;55874;37;682,7;0;41;1517
15/02/2018;22083;47;50,8;0,1;2;94
15/02/2018;59170;59;371,7;0;10;590
15/02/2018;59170;65;672,1;0;22;1430
15/02/2018;59170;46;526,2;0;44;2024
15/02/2018;59170;57;148,2;0;5;285
16/02/2018;16547;63;756;0,1;30;1890
16/02/2018;16547;63;322,6;0;8;504
17/02/2018;56483;35;712,3;0,1;37;1295
17/02/2018;18471;47;436,2;0;29;1363
17/02/2018;36455;65;1.248,00;0;48;3120
17/02/2018;47011;48;966,2;0,1;33;1584
17/02/2018;18471;45;732,6;  -  ;37;1665
17/02/2018;18471;48;88,3;0;4;192
18/02/2018;53511;61;1.703,70;0;49;2989
18/02/2018;55300;52;1.096,70;0;37;1924
18/02/2018;58182;49;493,9;0,1;24;1176
18/02/2018;55300;50;1.176,00;0;48;2400
18/02/2018;53511;47;1.194,70;0,1;41;1927
18/02/2018;55300;42;677;0;31;1302
19/02/2018;57509;54;160,4;0,1;11;594
19/02/2018;38087;45;315,9;0;18;810
19/02/2018;57509;40;889,2;0,1;39;1560
20/02/2018;54947;58;1.071,80;0;42;2436
20/02/2018;54947;43;557,3;0,1;27;1161
20/02/2018;39072;58;1.856,00;0,1;50;2900
20/02/2018;6368;22;404,8;  -  ;40;880
21/02/2018;58310;33;225,1;0;22;726
21/02/2018;36643;45;864;0;30;1350
21/02/2018;36643;61;549,6;0;17;1037
21/02/2018;28256;65;444,6;0;19;1235
22/02/2018;37441;55;35,8;0,1;1;55
22/02/2018;37441;43;791,2;  -  ;46;1978
22/02/2018;11008;40;333,2;0;17;680
22/02/2018;18816;36;125,3;0;12;432
23/02/2018;49123;62;1.037,90;0,1;31;1922
23/02/2018;18819;30;244,2;0,1;22;660
23/02/2018;49123;41;75;0,1;3;123
23/02/2018;48230;62;1.184,80;0;39;2418
23/02/2018;48230;45;683,6;  -  ;31;1395
24/02/2018;30215;51;586,5;0,1;23;1173
24/02/2018;30564;26;218,4;0,1;20;520
24/02/2018;1059;23;160,1;0;24;552
24/02/2018;30215;61;610;0,1;20;1220
24/02/2018;57890;51;420,8;0,1;15;765
24/02/2018;18279;60;324;0;20;1200
24/02/2018;1059;23;151,8;0;22;506
24/02/2018;43846;59;355,8;0,1;9;531
24/02/2018;18279;25;159,5;0,1;22;550
25/02/2018;6979;41;378,8;0;28;1148
25/02/2018;39846;50;210;0,1;14;700
25/02/2018;51937;57;1.289,30;0,1;39;2223
25/02/2018;39846;50;230;0,1;10;500
25/02/2018;14916;57;583,7;0,1;16;912
26/02/2018;41888;60;538,2;0,1;23;1380
26/02/2018;41888;40;331,2;0,1;18;720
26/02/2018;41888;43;685,9;0,1;29;1247
26/02/2018;57958;64;1.207,00;0,1;46;2944
27/02/2018;22851;60;495;0,1;25;1500
27/02/2018;22851;59;253,1;  -  ;13;767
27/02/2018;22851;56;723,5;0,1;38;2128
27/02/2018;22917;29;8,1;0,1;1;29
27/02/2018;19042;43;86;0,1;8;344
27/02/2018;8258;41;439,9;0;37;1517
27/02/2018;11302;44;167,2;0,1;10;440
28/02/2018;41153;34;335,2;0,1;29;986
28/02/2018;21703;45;364,5;0;15;675
28/02/2018;46021;57;17,1;0,1;1;57
28/02/2018;21703;57;695,4;0;20;1140
28/02/2018;54369;22;641,1;  -  ;47;1034
28/02/2018;21703;43;33,5;  -  ;3;129
01/03/2018;12544;45;856,8;0,1;34;1530
02/03/2018;20166;46;110,4;0,1;6;276
02/03/2018;28291;63;370,4;0;14;882
02/03/2018;10022;44;27,3;0,1;1;44
03/03/2018;20773;64;929,3;0,1;44;2816
03/03/2018;53152;65;214,5;0;5;325
03/03/2018;53152;62;1.272,20;0;36;2232
03/03/2018;2466;62;527;0,1;25;1550
03/03/2018;12934;46;409,9;0;27;1242
03/03/2018;53152;64;161,3;0;9;576
03/03/2018;12934;65;1.959,80;0,1;45;2925
03/03/2018;53152;63;357,2;0;9;567
03/03/2018;5828;54;544,3;0,1;21;1134
04/03/2018;49154;57;578;0,1;26;1482
04/03/2018;1799;43;146,2;0,1;10;430
04/03/2018;1799;63;645,1;0,1;16;1008
04/03/2018;24391;54;499;0,1;14;756
05/03/2018;49412;31;254,2;0,1;20;620
06/03/2018;37510;43;341,9;0;15;645
06/03/2018;8709;63;787,5;0,1;50;3150
06/03/2018;8709;47;320,5;0,1;11;517
06/03/2018;13542;45;316,8;0;11;495
06/03/2018;13542;50;973,5;0;33;1650
07/03/2018;59879;65;622,1;0;33;2145
07/03/2018;52870;44;480,5;0;21;924
07/03/2018;59776;57;897,8;0;35;1995
07/03/2018;58434;60;1.285,20;0;42;2520
07/03/2018;59776;42;360,4;0,1;33;1386
08/03/2018;34497;59;616;0,1;36;2124
08/03/2018;37095;56;97,4;0,1;3;168
08/03/2018;34497;50;687,5;  -  ;25;1250
08/03/2018;13632;46;69;0;6;276
09/03/2018;27111;65;1.430,00;0,1;44;2860
09/03/2018;27111;44;301;  -  ;18;792
09/03/2018;27111;45;198;0,1;11;495
09/03/2018;2373;54;1.108,10;0,1;36;1944
10/03/2018;14176;40;514,8;0;39;1560
10/03/2018;25574;51;868;  -  ;46;2346
10/03/2018;25574;22;409,2;0;31;682
10/03/2018;33217;40;216;0,1;20;800
10/03/2018;45987;44;463,8;0;31;1364
10/03/2018;33217;65;1.458,60;0,1;34;2210
10/03/2018;12450;40;294;  -  ;15;600
11/03/2018;28258;42;34,4;0,1;2;84
11/03/2018;28258;65;958,8;0;25;1625
11/03/2018;40518;53;55,7;0,1;3;159
11/03/2018;23398;55;501,6;0,1;19;1045
12/03/2018;24193;62;1.088,10;0;45;2790
12/03/2018;46241;44;867,7;0,1;34;1496
12/03/2018;7776;50;666;0,1;36;1800
12/03/2018;7776;47;132,5;0;6;282
12/03/2018;24193;51;477,4;0;24;1224
12/03/2018;24193;34;264,9;0;19;646
12/03/2018;28647;41;436,2;0,1;38;1558
13/03/2018;11585;51;58,1;0,1;2;102
13/03/2018;26855;51;212,2;0,1;13;663
13/03/2018;28480;53;423,5;0;17;901
13/03/2018;53573;62;152,5;0;6;372
13/03/2018;1952;40;508,8;0;24;960
13/03/2018;11585;25;259,3;0,1;17;425
14/03/2018;57476;48;480;0,1;20;960
14/03/2018;9383;54;332,6;0,1;11;594
14/03/2018;57476;43;467,8;0;17;731
14/03/2018;36807;39;267,5;0,1;14;546
15/03/2018;9733;53;516,8;0,1;39;2067
15/03/2018;39906;50;337,5;0;25;1250
15/03/2018;6498;53;1.248,70;0;38;2014
16/03/2018;43140;58;587;0,1;23;1334
16/03/2018;53920;61;560;0,1;18;1098
16/03/2018;9894;55;220;0,1;16;880
16/03/2018;15170;54;502,7;0;19;1026
16/03/2018;31941;60;226,8;0,1;7;420
16/03/2018;19299;49;181,3;0,1;10;490
16/03/2018;23751;62;1.200,30;0;44;2728
16/03/2018;31941;63;1.209,60;0;32;2016
17/03/2018;49216;47;473,8;0;28;1316
17/03/2018;49216;64;239,4;0,1;11;704
17/03/2018;23429;42;376,3;0,1;28;1176
17/03/2018;16676;65;1.267,50;0,1;39;2535
17/03/2018;49216;56;196,6;0,1;9;504
17/03/2018;23429;40;478,8;0,1;19;760
17/03/2018;49216;44;803,9;  -  ;29;1276
18/03/2018;2530;32;89,3;0,1;9;288
18/03/2018;6116;44;113,5;0;6;264
18/03/2018;38084;20;336,6;0,1;33;660
18/03/2018;6116;54;245,7;0;7;378
18/03/2018;38084;43;189,2;0;11;473
18/03/2018;11077;36;658,8;0,1;30;1080
19/03/2018;26470;47;905,7;0;41;1927
19/03/2018;35744;39;1.081,10;0;44;1716
19/03/2018;7719;38;365,6;0;37;1406
19/03/2018;29766;46;215,3;  -  ;13;598
19/03/2018;13825;63;567;0,1;30;1890
19/03/2018;29766;30;360;0,1;40;1200
20/03/2018;8257;52;96,2;0,1;5;260
20/03/2018;48900;29;360,2;0;27;783
20/03/2018;55776;33;464,6;0;32;1056
20/03/2018;8257;55;594;0;18;990
20/03/2018;7136;37;103,2;  -  ;9;333
20/03/2018;13252;21;204,8;0,1;39;819
20/03/2018;39301;37;66,6;0,1;4;148
20/03/2018;8257;31;38,8;0;5;155
20/03/2018;48900;45;1.266,30;0,1;42;1890
20/03/2018;7136;42;178,5;0,1;17;714
20/03/2018;13252;37;683,8;0;44;1628
20/03/2018;39301;56;250,9;0,1;16;896
21/03/2018;34017;51;285,6;0,1;20;1020
21/03/2018;34017;41;734,7;0;28;1148
21/03/2018;50338;47;507,6;  -  ;36;1692
21/03/2018;57382;26;292,5;0,1;45;1170
21/03/2018;43650;46;88,3;0,1;3;138
21/03/2018;43650;31;93,3;0,1;7;217
21/03/2018;57382;46;575;0,1;25;1150
22/03/2018;58628;53;707;0,1;23;1219
22/03/2018;38721;34;188,7;0,1;15;510
22/03/2018;38721;42;428,4;0,1;17;714
22/03/2018;32451;31;598,9;0,1;42;1302
22/03/2018;37794;52;81,1;0,1;6;312
22/03/2018;57415;32;117,1;0;6;192
22/03/2018;37794;49;611,5;0;32;1568
23/03/2018;51266;41;824,1;0;30;1230
23/03/2018;38565;40;416;0;20;800
23/03/2018;323;37;23,7;0,1;2;74
23/03/2018;10148;51;647,2;0;27;1377
23/03/2018;51266;55;1.568,60;0,1;46;2530
23/03/2018;51266;56;172,5;0;11;616
23/03/2018;51266;48;629,3;0;23;1104
23/03/2018;323;35;455;0,1;20;700
23/03/2018;1892;53;1.395,00;0,1;47;2491
23/03/2018;1892;52;262,1;0;9;468
24/03/2018;3653;35;459,2;0,1;41;1435
24/03/2018;31174;33;516,8;0;29;957
24/03/2018;46407;47;210,6;0,1;7;329
24/03/2018;51554;21;61,7;0,1;7;147
24/03/2018;31174;53;551,2;0,1;20;1060
24/03/2018;51554;32;575,4;0,1;29;928
25/03/2018;32869;55;811,8;0,1;41;2255
25/03/2018;53953;22;253,4;0,1;36;792
25/03/2018;32869;42;655,2;0,1;39;1638
25/03/2018;21633;55;446,6;0,1;29;1595
25/03/2018;22562;25;42;  -  ;3;75
25/03/2018;32869;23;326,8;0,1;49;1127
25/03/2018;50816;30;109,8;0;6;180
25/03/2018;50816;43;333,3;0,1;25;1075
25/03/2018;39750;28;52,9;0;7;196
25/03/2018;28354;56;742,6;0,1;34;1904
25/03/2018;22562;42;429,7;0,1;31;1302
25/03/2018;33319;47;165,4;0;11;517
25/03/2018;22562;36;712,1;0,1;46;1656
25/03/2018;50816;48;798,7;0;26;1248
25/03/2018;32869;36;36;0;2;72
26/03/2018;48357;55;501,6;0;16;880
26/03/2018;4516;34;785,4;0,1;42;1428
26/03/2018;9478;35;1.024,80;0;48;1680
26/03/2018;9478;52;1.647,40;0,1;48;2496
26/03/2018;58116;43;134,2;0;6;258
26/03/2018;52576;58;336,4;0;10;580
26/03/2018;2144;39;702;0,1;40;1560
27/03/2018;16229;46;322,9;0;27;1242
27/03/2018;58688;29;198,4;0,1;18;522
27/03/2018;16229;42;430,9;0,1;19;798
27/03/2018;49125;52;392,1;0,1;29;1508
28/03/2018;22755;46;64,4;0,1;5;230
28/03/2018;2915;40;721,6;0,1;41;1640
28/03/2018;22755;35;465,5;  -  ;35;1225
28/03/2018;37859;32;18,6;0;2;64
28/03/2018;10949;40;1.232,80;0,1;46;1840
28/03/2018;2915;39;242,2;0;23;897
28/03/2018;22755;47;1.163,30;0;45;2115
29/03/2018;48035;21;97,4;0,1;8;168
29/03/2018;29127;30;156,6;0,1;18;540
29/03/2018;44772;46;26,7;0,1;1;46
30/03/2018;8295;41;123,4;0;7;287
30/03/2018;42242;39;502,3;0,1;23;897
30/03/2018;42242;48;276;0,1;23;1104
30/03/2018;17795;48;26,9;0,1;1;48
30/03/2018;10978;33;160,4;0,1;9;297
30/03/2018;42242;31;125,6;0,1;15;465
30/03/2018;8295;49;441;0,1;30;1470
31/03/2018;2754;42;336;0;16;672
31/03/2018;48518;49;399,8;0,1;17;833
31/03/2018;2754;63;277,2;0,1;11;693
31/03/2018;53281;49;705,6;0,1;40;1960
31/03/2018;22978;35;480,2;0;28;980
01/04/2018;44225;51;473,3;  -  ;29;1479
02/04/2018;22371;52;166,4;  -  ;8;416
02/04/2018;42693;46;500,9;0;33;1518
02/04/2018;46436;55;1.644,50;  -  ;46;2530
02/04/2018;25475;53;1.220,60;0,1;49;2597
02/04/2018;13959;37;288,2;0,1;19;703
02/04/2018;13959;49;621,8;0;47;2303
03/04/2018;36452;65;929,5;0,1;26;1690
03/04/2018;36452;37;426,2;0;18;666
03/04/2018;13765;27;583,2;0,1;45;1215
03/04/2018;50016;47;366,6;0,1;15;705
04/04/2018;14530;48;342,7;0,1;17;816
04/04/2018;5921;46;459,5;0;27;1242
04/04/2018;10851;50;1.225,00;0,1;50;2500
04/04/2018;14530;38;585,2;0;44;1672
04/04/2018;35361;45;799,2;  -  ;37;1665
04/04/2018;14530;45;904,1;0,1;49;2205
