Date,Year,FY,Quarter,Month,MonthName,MonthYear,DayOfWeek,DayOfMonth,IsWeekend,IsEOFY
2022-03-22,2022,FY2022,Q1,3,March,Mar-2022,Tuesday,22,0,0
2022-03-23,2022,FY2022,Q1,3,March,Mar-2022,Wednesday,23,0,0
2022-03-24,2022,FY2022,Q1,3,March,Mar-2022,Thursday,24,0,0
2022-03-25,2022,FY2022,Q1,3,March,Mar-2022,Friday,25,0,0
2022-03-26,2022,FY2022,Q1,3,March,Mar-2022,Saturday,26,1,0
2022-03-27,2022,FY2022,Q1,3,March,Mar-2022,Sunday,27,1,0
2022-03-28,2022,FY2022,Q1,3,March,Mar-2022,Monday,28,0,0
2022-03-29,2022,FY2022,Q1,3,March,Mar-2022,Tuesday,29,0,0
2022-03-30,2022,FY2022,Q1,3,March,Mar-2022,Wednesday,30,0,0
2022-03-31,2022,FY2022,Q1,3,March,Mar-2022,Thursday,31,0,0
2022-04-01,2022,FY2022,Q2,4,April,Apr-2022,Friday,1,0,0
2022-04-02,2022,FY2022,Q2,4,April,Apr-2022,Saturday,2,1,0
2022-04-03,2022,FY2022,Q2,4,April,Apr-2022,Sunday,3,1,0
2022-04-04,2022,FY2022,Q2,4,April,Apr-2022,Monday,4,0,0
2022-04-05,2022,FY2022,Q2,4,April,Apr-2022,Tuesday,5,0,0
2022-04-06,2022,FY2022,Q2,4,April,Apr-2022,Wednesday,6,0,0
2022-04-07,2022,FY2022,Q2,4,April,Apr-2022,Thursday,7,0,0
2022-04-08,2022,FY2022,Q2,4,April,Apr-2022,Friday,8,0,0
2022-04-09,2022,FY2022,Q2,4,April,Apr-2022,Saturday,9,1,0
2022-04-10,2022,FY2022,Q2,4,April,Apr-2022,Sunday,10,1,0
2022-04-11,2022,FY2022,Q2,4,April,Apr-2022,Monday,11,0,0
2022-04-12,2022,FY2022,Q2,4,April,Apr-2022,Tuesday,12,0,0
2022-04-13,2022,FY2022,Q2,4,April,Apr-2022,Wednesday,13,0,0
2022-04-14,2022,FY2022,Q2,4,April,Apr-2022,Thursday,14,0,0
2022-04-15,2022,FY2022,Q2,4,April,Apr-2022,Friday,15,0,0
2022-04-16,2022,FY2022,Q2,4,April,Apr-2022,Saturday,16,1,0
2022-04-17,2022,FY2022,Q2,4,April,Apr-2022,Sunday,17,1,0
2022-04-18,2022,FY2022,Q2,4,April,Apr-2022,Monday,18,0,0
2022-04-19,2022,FY2022,Q2,4,April,Apr-2022,Tuesday,19,0,0
2022-04-20,2022,FY2022,Q2,4,April,Apr-2022,Wednesday,20,0,0
2022-04-21,2022,FY2022,Q2,4,April,Apr-2022,Thursday,21,0,0
2022-04-22,2022,FY2022,Q2,4,April,Apr-2022,Friday,22,0,0
2022-04-23,2022,FY2022,Q2,4,April,Apr-2022,Saturday,23,1,0
2022-04-24,2022,FY2022,Q2,4,April,Apr-2022,Sunday,24,1,0
2022-04-25,2022,FY2022,Q2,4,April,Apr-2022,Monday,25,0,0
2022-04-26,2022,FY2022,Q2,4,April,Apr-2022,Tuesday,26,0,0
2022-04-27,2022,FY2022,Q2,4,April,Apr-2022,Wednesday,27,0,0
2022-04-28,2022,FY2022,Q2,4,April,Apr-2022,Thursday,28,0,0
2022-04-29,2022,FY2022,Q2,4,April,Apr-2022,Friday,29,0,0
2022-04-30,2022,FY2022,Q2,4,April,Apr-2022,Saturday,30,1,0
2022-05-01,2022,FY2022,Q2,5,May,May-2022,Sunday,1,1,0
2022-05-02,2022,FY2022,Q2,5,May,May-2022,Monday,2,0,0
2022-05-03,2022,FY2022,Q2,5,May,May-2022,Tuesday,3,0,0
2022-05-04,2022,FY2022,Q2,5,May,May-2022,Wednesday,4,0,0
2022-05-05,2022,FY2022,Q2,5,May,May-2022,Thursday,5,0,0
2022-05-06,2022,FY2022,Q2,5,May,May-2022,Friday,6,0,0
2022-05-07,2022,FY2022,Q2,5,May,May-2022,Saturday,7,1,0
2022-05-08,2022,FY2022,Q2,5,May,May-2022,Sunday,8,1,0
2022-05-09,2022,FY2022,Q2,5,May,May-2022,Monday,9,0,0
2022-05-10,2022,FY2022,Q2,5,May,May-2022,Tuesday,10,0,0
2022-05-11,2022,FY2022,Q2,5,May,May-2022,Wednesday,11,0,0
2022-05-12,2022,FY2022,Q2,5,May,May-2022,Thursday,12,0,0
2022-05-13,2022,FY2022,Q2,5,May,May-2022,Friday,13,0,0
2022-05-14,2022,FY2022,Q2,5,May,May-2022,Saturday,14,1,0
2022-05-15,2022,FY2022,Q2,5,May,May-2022,Sunday,15,1,0
2022-05-16,2022,FY2022,Q2,5,May,May-2022,Monday,16,0,0
2022-05-17,2022,FY2022,Q2,5,May,May-2022,Tuesday,17,0,0
2022-05-18,2022,FY2022,Q2,5,May,May-2022,Wednesday,18,0,0
2022-05-19,2022,FY2022,Q2,5,May,May-2022,Thursday,19,0,0
2022-05-20,2022,FY2022,Q2,5,May,May-2022,Friday,20,0,0
2022-05-21,2022,FY2022,Q2,5,May,May-2022,Saturday,21,1,0
2022-05-22,2022,FY2022,Q2,5,May,May-2022,Sunday,22,1,0
2022-05-23,2022,FY2022,Q2,5,May,May-2022,Monday,23,0,0
2022-05-24,2022,FY2022,Q2,5,May,May-2022,Tuesday,24,0,0
2022-05-25,2022,FY2022,Q2,5,May,May-2022,Wednesday,25,0,0
2022-05-26,2022,FY2022,Q2,5,May,May-2022,Thursday,26,0,0
2022-05-27,2022,FY2022,Q2,5,May,May-2022,Friday,27,0,0
2022-05-28,2022,FY2022,Q2,5,May,May-2022,Saturday,28,1,0
2022-05-29,2022,FY2022,Q2,5,May,May-2022,Sunday,29,1,0
2022-05-30,2022,FY2022,Q2,5,May,May-2022,Monday,30,0,0
2022-05-31,2022,FY2022,Q2,5,May,May-2022,Tuesday,31,0,0
2022-06-01,2022,FY2022,Q2,6,June,Jun-2022,Wednesday,1,0,0
2022-06-02,2022,FY2022,Q2,6,June,Jun-2022,Thursday,2,0,0
2022-06-03,2022,FY2022,Q2,6,June,Jun-2022,Friday,3,0,0
2022-06-04,2022,FY2022,Q2,6,June,Jun-2022,Saturday,4,1,0
2022-06-05,2022,FY2022,Q2,6,June,Jun-2022,Sunday,5,1,0
2022-06-06,2022,FY2022,Q2,6,June,Jun-2022,Monday,6,0,0
2022-06-07,2022,FY2022,Q2,6,June,Jun-2022,Tuesday,7,0,0
2022-06-08,2022,FY2022,Q2,6,June,Jun-2022,Wednesday,8,0,0
2022-06-09,2022,FY2022,Q2,6,June,Jun-2022,Thursday,9,0,0
2022-06-10,2022,FY2022,Q2,6,June,Jun-2022,Friday,10,0,0
2022-06-11,2022,FY2022,Q2,6,June,Jun-2022,Saturday,11,1,0
2022-06-12,2022,FY2022,Q2,6,June,Jun-2022,Sunday,12,1,0
2022-06-13,2022,FY2022,Q2,6,June,Jun-2022,Monday,13,0,0
2022-06-14,2022,FY2022,Q2,6,June,Jun-2022,Tuesday,14,0,0
2022-06-15,2022,FY2022,Q2,6,June,Jun-2022,Wednesday,15,0,0
2022-06-16,2022,FY2022,Q2,6,June,Jun-2022,Thursday,16,0,0
2022-06-17,2022,FY2022,Q2,6,June,Jun-2022,Friday,17,0,0
2022-06-18,2022,FY2022,Q2,6,June,Jun-2022,Saturday,18,1,0
2022-06-19,2022,FY2022,Q2,6,June,Jun-2022,Sunday,19,1,0
2022-06-20,2022,FY2022,Q2,6,June,Jun-2022,Monday,20,0,0
2022-06-21,2022,FY2022,Q2,6,June,Jun-2022,Tuesday,21,0,0
2022-06-22,2022,FY2022,Q2,6,June,Jun-2022,Wednesday,22,0,0
2022-06-23,2022,FY2022,Q2,6,June,Jun-2022,Thursday,23,0,0
2022-06-24,2022,FY2022,Q2,6,June,Jun-2022,Friday,24,0,0
2022-06-25,2022,FY2022,Q2,6,June,Jun-2022,Saturday,25,1,0
2022-06-26,2022,FY2022,Q2,6,June,Jun-2022,Sunday,26,1,0
2022-06-27,2022,FY2022,Q2,6,June,Jun-2022,Monday,27,0,0
2022-06-28,2022,FY2022,Q2,6,June,Jun-2022,Tuesday,28,0,0
2022-06-29,2022,FY2022,Q2,6,June,Jun-2022,Wednesday,29,0,0
2022-06-30,2022,FY2022,Q2,6,June,Jun-2022,Thursday,30,0,1
2022-07-01,2022,FY2023,Q3,7,July,Jul-2022,Friday,1,0,0
2022-07-02,2022,FY2023,Q3,7,July,Jul-2022,Saturday,2,1,0
2022-07-03,2022,FY2023,Q3,7,July,Jul-2022,Sunday,3,1,0
2022-07-04,2022,FY2023,Q3,7,July,Jul-2022,Monday,4,0,0
2022-07-05,2022,FY2023,Q3,7,July,Jul-2022,Tuesday,5,0,0
2022-07-06,2022,FY2023,Q3,7,July,Jul-2022,Wednesday,6,0,0
2022-07-07,2022,FY2023,Q3,7,July,Jul-2022,Thursday,7,0,0
2022-07-08,2022,FY2023,Q3,7,July,Jul-2022,Friday,8,0,0
2022-07-09,2022,FY2023,Q3,7,July,Jul-2022,Saturday,9,1,0
2022-07-10,2022,FY2023,Q3,7,July,Jul-2022,Sunday,10,1,0
2022-07-11,2022,FY2023,Q3,7,July,Jul-2022,Monday,11,0,0
2022-07-12,2022,FY2023,Q3,7,July,Jul-2022,Tuesday,12,0,0
2022-07-13,2022,FY2023,Q3,7,July,Jul-2022,Wednesday,13,0,0
2022-07-14,2022,FY2023,Q3,7,July,Jul-2022,Thursday,14,0,0
2022-07-15,2022,FY2023,Q3,7,July,Jul-2022,Friday,15,0,0
2022-07-16,2022,FY2023,Q3,7,July,Jul-2022,Saturday,16,1,0
2022-07-17,2022,FY2023,Q3,7,July,Jul-2022,Sunday,17,1,0
2022-07-18,2022,FY2023,Q3,7,July,Jul-2022,Monday,18,0,0
2022-07-19,2022,FY2023,Q3,7,July,Jul-2022,Tuesday,19,0,0
2022-07-20,2022,FY2023,Q3,7,July,Jul-2022,Wednesday,20,0,0
2022-07-21,2022,FY2023,Q3,7,July,Jul-2022,Thursday,21,0,0
2022-07-22,2022,FY2023,Q3,7,July,Jul-2022,Friday,22,0,0
2022-07-23,2022,FY2023,Q3,7,July,Jul-2022,Saturday,23,1,0
2022-07-24,2022,FY2023,Q3,7,July,Jul-2022,Sunday,24,1,0
2022-07-25,2022,FY2023,Q3,7,July,Jul-2022,Monday,25,0,0
2022-07-26,2022,FY2023,Q3,7,July,Jul-2022,Tuesday,26,0,0
2022-07-27,2022,FY2023,Q3,7,July,Jul-2022,Wednesday,27,0,0
2022-07-28,2022,FY2023,Q3,7,July,Jul-2022,Thursday,28,0,0
2022-07-29,2022,FY2023,Q3,7,July,Jul-2022,Friday,29,0,0
2022-07-30,2022,FY2023,Q3,7,July,Jul-2022,Saturday,30,1,0
2022-07-31,2022,FY2023,Q3,7,July,Jul-2022,Sunday,31,1,0
2022-08-01,2022,FY2023,Q3,8,August,Aug-2022,Monday,1,0,0
2022-08-02,2022,FY2023,Q3,8,August,Aug-2022,Tuesday,2,0,0
2022-08-03,2022,FY2023,Q3,8,August,Aug-2022,Wednesday,3,0,0
2022-08-04,2022,FY2023,Q3,8,August,Aug-2022,Thursday,4,0,0
2022-08-05,2022,FY2023,Q3,8,August,Aug-2022,Friday,5,0,0
2022-08-06,2022,FY2023,Q3,8,August,Aug-2022,Saturday,6,1,0
2022-08-07,2022,FY2023,Q3,8,August,Aug-2022,Sunday,7,1,0
2022-08-08,2022,FY2023,Q3,8,August,Aug-2022,Monday,8,0,0
2022-08-09,2022,FY2023,Q3,8,August,Aug-2022,Tuesday,9,0,0
2022-08-10,2022,FY2023,Q3,8,August,Aug-2022,Wednesday,10,0,0
2022-08-11,2022,FY2023,Q3,8,August,Aug-2022,Thursday,11,0,0
2022-08-12,2022,FY2023,Q3,8,August,Aug-2022,Friday,12,0,0
2022-08-13,2022,FY2023,Q3,8,August,Aug-2022,Saturday,13,1,0
2022-08-14,2022,FY2023,Q3,8,August,Aug-2022,Sunday,14,1,0
2022-08-15,2022,FY2023,Q3,8,August,Aug-2022,Monday,15,0,0
2022-08-16,2022,FY2023,Q3,8,August,Aug-2022,Tuesday,16,0,0
2022-08-17,2022,FY2023,Q3,8,August,Aug-2022,Wednesday,17,0,0
2022-08-18,2022,FY2023,Q3,8,August,Aug-2022,Thursday,18,0,0
2022-08-19,2022,FY2023,Q3,8,August,Aug-2022,Friday,19,0,0
2022-08-20,2022,FY2023,Q3,8,August,Aug-2022,Saturday,20,1,0
2022-08-21,2022,FY2023,Q3,8,August,Aug-2022,Sunday,21,1,0
2022-08-22,2022,FY2023,Q3,8,August,Aug-2022,Monday,22,0,0
2022-08-23,2022,FY2023,Q3,8,August,Aug-2022,Tuesday,23,0,0
2022-08-24,2022,FY2023,Q3,8,August,Aug-2022,Wednesday,24,0,0
2022-08-25,2022,FY2023,Q3,8,August,Aug-2022,Thursday,25,0,0
2022-08-26,2022,FY2023,Q3,8,August,Aug-2022,Friday,26,0,0
2022-08-27,2022,FY2023,Q3,8,August,Aug-2022,Saturday,27,1,0
2022-08-28,2022,FY2023,Q3,8,August,Aug-2022,Sunday,28,1,0
2022-08-29,2022,FY2023,Q3,8,August,Aug-2022,Monday,29,0,0
2022-08-30,2022,FY2023,Q3,8,August,Aug-2022,Tuesday,30,0,0
2022-08-31,2022,FY2023,Q3,8,August,Aug-2022,Wednesday,31,0,0
2022-09-01,2022,FY2023,Q3,9,September,Sep-2022,Thursday,1,0,0
2022-09-02,2022,FY2023,Q3,9,September,Sep-2022,Friday,2,0,0
2022-09-03,2022,FY2023,Q3,9,September,Sep-2022,Saturday,3,1,0
2022-09-04,2022,FY2023,Q3,9,September,Sep-2022,Sunday,4,1,0
2022-09-05,2022,FY2023,Q3,9,September,Sep-2022,Monday,5,0,0
2022-09-06,2022,FY2023,Q3,9,September,Sep-2022,Tuesday,6,0,0
2022-09-07,2022,FY2023,Q3,9,September,Sep-2022,Wednesday,7,0,0
2022-09-08,2022,FY2023,Q3,9,September,Sep-2022,Thursday,8,0,0
2022-09-09,2022,FY2023,Q3,9,September,Sep-2022,Friday,9,0,0
2022-09-10,2022,FY2023,Q3,9,September,Sep-2022,Saturday,10,1,0
2022-09-11,2022,FY2023,Q3,9,September,Sep-2022,Sunday,11,1,0
2022-09-12,2022,FY2023,Q3,9,September,Sep-2022,Monday,12,0,0
2022-09-13,2022,FY2023,Q3,9,September,Sep-2022,Tuesday,13,0,0
2022-09-14,2022,FY2023,Q3,9,September,Sep-2022,Wednesday,14,0,0
2022-09-15,2022,FY2023,Q3,9,September,Sep-2022,Thursday,15,0,0
2022-09-16,2022,FY2023,Q3,9,September,Sep-2022,Friday,16,0,0
2022-09-17,2022,FY2023,Q3,9,September,Sep-2022,Saturday,17,1,0
2022-09-18,2022,FY2023,Q3,9,September,Sep-2022,Sunday,18,1,0
2022-09-19,2022,FY2023,Q3,9,September,Sep-2022,Monday,19,0,0
2022-09-20,2022,FY2023,Q3,9,September,Sep-2022,Tuesday,20,0,0
2022-09-21,2022,FY2023,Q3,9,September,Sep-2022,Wednesday,21,0,0
2022-09-22,2022,FY2023,Q3,9,September,Sep-2022,Thursday,22,0,0
2022-09-23,2022,FY2023,Q3,9,September,Sep-2022,Friday,23,0,0
2022-09-24,2022,FY2023,Q3,9,September,Sep-2022,Saturday,24,1,0
2022-09-25,2022,FY2023,Q3,9,September,Sep-2022,Sunday,25,1,0
2022-09-26,2022,FY2023,Q3,9,September,Sep-2022,Monday,26,0,0
2022-09-27,2022,FY2023,Q3,9,September,Sep-2022,Tuesday,27,0,0
2022-09-28,2022,FY2023,Q3,9,September,Sep-2022,Wednesday,28,0,0
2022-09-29,2022,FY2023,Q3,9,September,Sep-2022,Thursday,29,0,0
2022-09-30,2022,FY2023,Q3,9,September,Sep-2022,Friday,30,0,0
2022-10-01,2022,FY2023,Q4,10,October,Oct-2022,Saturday,1,1,0
2022-10-02,2022,FY2023,Q4,10,October,Oct-2022,Sunday,2,1,0
2022-10-03,2022,FY2023,Q4,10,October,Oct-2022,Monday,3,0,0
2022-10-04,2022,FY2023,Q4,10,October,Oct-2022,Tuesday,4,0,0
2022-10-05,2022,FY2023,Q4,10,October,Oct-2022,Wednesday,5,0,0
2022-10-06,2022,FY2023,Q4,10,October,Oct-2022,Thursday,6,0,0
2022-10-07,2022,FY2023,Q4,10,October,Oct-2022,Friday,7,0,0
2022-10-08,2022,FY2023,Q4,10,October,Oct-2022,Saturday,8,1,0
2022-10-09,2022,FY2023,Q4,10,October,Oct-2022,Sunday,9,1,0
2022-10-10,2022,FY2023,Q4,10,October,Oct-2022,Monday,10,0,0
2022-10-11,2022,FY2023,Q4,10,October,Oct-2022,Tuesday,11,0,0
2022-10-12,2022,FY2023,Q4,10,October,Oct-2022,Wednesday,12,0,0
2022-10-13,2022,FY2023,Q4,10,October,Oct-2022,Thursday,13,0,0
2022-10-14,2022,FY2023,Q4,10,October,Oct-2022,Friday,14,0,0
2022-10-15,2022,FY2023,Q4,10,October,Oct-2022,Saturday,15,1,0
2022-10-16,2022,FY2023,Q4,10,October,Oct-2022,Sunday,16,1,0
2022-10-17,2022,FY2023,Q4,10,October,Oct-2022,Monday,17,0,0
2022-10-18,2022,FY2023,Q4,10,October,Oct-2022,Tuesday,18,0,0
2022-10-19,2022,FY2023,Q4,10,October,Oct-2022,Wednesday,19,0,0
2022-10-20,2022,FY2023,Q4,10,October,Oct-2022,Thursday,20,0,0
2022-10-21,2022,FY2023,Q4,10,October,Oct-2022,Friday,21,0,0
2022-10-22,2022,FY2023,Q4,10,October,Oct-2022,Saturday,22,1,0
2022-10-23,2022,FY2023,Q4,10,October,Oct-2022,Sunday,23,1,0
2022-10-24,2022,FY2023,Q4,10,October,Oct-2022,Monday,24,0,0
2022-10-25,2022,FY2023,Q4,10,October,Oct-2022,Tuesday,25,0,0
2022-10-26,2022,FY2023,Q4,10,October,Oct-2022,Wednesday,26,0,0
2022-10-27,2022,FY2023,Q4,10,October,Oct-2022,Thursday,27,0,0
2022-10-28,2022,FY2023,Q4,10,October,Oct-2022,Friday,28,0,0
2022-10-29,2022,FY2023,Q4,10,October,Oct-2022,Saturday,29,1,0
2022-10-30,2022,FY2023,Q4,10,October,Oct-2022,Sunday,30,1,0
2022-10-31,2022,FY2023,Q4,10,October,Oct-2022,Monday,31,0,0
2022-11-01,2022,FY2023,Q4,11,November,Nov-2022,Tuesday,1,0,0
2022-11-02,2022,FY2023,Q4,11,November,Nov-2022,Wednesday,2,0,0
2022-11-03,2022,FY2023,Q4,11,November,Nov-2022,Thursday,3,0,0
2022-11-04,2022,FY2023,Q4,11,November,Nov-2022,Friday,4,0,0
2022-11-05,2022,FY2023,Q4,11,November,Nov-2022,Saturday,5,1,0
2022-11-06,2022,FY2023,Q4,11,November,Nov-2022,Sunday,6,1,0
2022-11-07,2022,FY2023,Q4,11,November,Nov-2022,Monday,7,0,0
2022-11-08,2022,FY2023,Q4,11,November,Nov-2022,Tuesday,8,0,0
2022-11-09,2022,FY2023,Q4,11,November,Nov-2022,Wednesday,9,0,0
2022-11-10,2022,FY2023,Q4,11,November,Nov-2022,Thursday,10,0,0
2022-11-11,2022,FY2023,Q4,11,November,Nov-2022,Friday,11,0,0
2022-11-12,2022,FY2023,Q4,11,November,Nov-2022,Saturday,12,1,0
2022-11-13,2022,FY2023,Q4,11,November,Nov-2022,Sunday,13,1,0
2022-11-14,2022,FY2023,Q4,11,November,Nov-2022,Monday,14,0,0
2022-11-15,2022,FY2023,Q4,11,November,Nov-2022,Tuesday,15,0,0
2022-11-16,2022,FY2023,Q4,11,November,Nov-2022,Wednesday,16,0,0
2022-11-17,2022,FY2023,Q4,11,November,Nov-2022,Thursday,17,0,0
2022-11-18,2022,FY2023,Q4,11,November,Nov-2022,Friday,18,0,0
2022-11-19,2022,FY2023,Q4,11,November,Nov-2022,Saturday,19,1,0
2022-11-20,2022,FY2023,Q4,11,November,Nov-2022,Sunday,20,1,0
2022-11-21,2022,FY2023,Q4,11,November,Nov-2022,Monday,21,0,0
2022-11-22,2022,FY2023,Q4,11,November,Nov-2022,Tuesday,22,0,0
2022-11-23,2022,FY2023,Q4,11,November,Nov-2022,Wednesday,23,0,0
2022-11-24,2022,FY2023,Q4,11,November,Nov-2022,Thursday,24,0,0
2022-11-25,2022,FY2023,Q4,11,November,Nov-2022,Friday,25,0,0
2022-11-26,2022,FY2023,Q4,11,November,Nov-2022,Saturday,26,1,0
2022-11-27,2022,FY2023,Q4,11,November,Nov-2022,Sunday,27,1,0
2022-11-28,2022,FY2023,Q4,11,November,Nov-2022,Monday,28,0,0
2022-11-29,2022,FY2023,Q4,11,November,Nov-2022,Tuesday,29,0,0
2022-11-30,2022,FY2023,Q4,11,November,Nov-2022,Wednesday,30,0,0
2022-12-01,2022,FY2023,Q4,12,December,Dec-2022,Thursday,1,0,0
2022-12-02,2022,FY2023,Q4,12,December,Dec-2022,Friday,2,0,0
2022-12-03,2022,FY2023,Q4,12,December,Dec-2022,Saturday,3,1,0
2022-12-04,2022,FY2023,Q4,12,December,Dec-2022,Sunday,4,1,0
2022-12-05,2022,FY2023,Q4,12,December,Dec-2022,Monday,5,0,0
2022-12-06,2022,FY2023,Q4,12,December,Dec-2022,Tuesday,6,0,0
