sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO43750,BK-R93R-44,11591,20110111,20110118,20110123,3578,1,3578
SO43751,BK-R93R-52,11592,20110111,20110118,20110123,3578,1,3578
SO43752,BK-R93R-44,13265,20110111,20110118,20110123,3578,1,3578
SO43753,BK-R93R-62,16482,20110111,20110118,20110123,3578,1,3578
SO43754,BK-R93R-48,27617,20110112,20110119,20110124,3578,1,3578
SO43755,BK-R93R-44,27670,20110112,20110119,20110124,3578,1,3578
SO43756,BK-R50B-58,19941,20110112,20110119,20110124,699,1,699
SO43757,BK-M82B-44,11017,20110112,20110119,20110124,3375,1,3375
SO43758,BK-R93R-62,27646,20110113,20110120,20110125,3578,1,3578
SO43759,BK-R93R-62,13257,20110113,20110120,20110125,3578,1,3578
SO43760,BK-R93R-56,16352,20110113,20110120,20110125,3578,1,3578
SO43761,BK-R93R-62,16493,20110113,20110120,20110125,3578,1,3578
SO43762,BK-R93R-56,27578,20110114,20110121,20110126,3578,1,3578
SO43763,BK-R93R-52,16525,20110114,20110121,20110126,3578,1,3578
SO43764,BK-R93R-62,16612,20110114,20110121,20110126,3578,1,3578
SO43765,BK-M82S-44,11010,20110114,20110121,20110126,3400,1,3400
SO43766,BK-R93R-52,16518,20110115,20110122,20110127,3578,1,3578
SO43767,BK-M82B-44,11001,20110115,20110122,20110127,3375,1,3375
SO43768,BK-R93R-48,27649,20110116,20110123,20110128,3578,1,3578
SO43769,BK-R93R-48,21659,20110116,20110123,20110128,3578,1,3578
SO43770,BK-R93R-48,27614,20110116,20110123,20110128,3578,1,3578
SO43771,BK-R50R-52,14559,20110116,20110123,20110128,699,1,699
SO43772,BK-R93R-48,16524,20110116,20110123,20110128,3578,1,3578
SO43773,BK-R93R-56,16526,20110116,20110123,20110128,3578,1,3578
SO43774,BK-R93R-52,16348,20110116,20110123,20110128,3578,1,3578
SO43775,BK-M82S-48,11027,20110116,20110123,20110128,3400,1,3400
SO43776,BK-R93R-56,13260,20110117,20110124,20110129,3578,1,3578
SO43777,BK-R93R-44,16515,20110117,20110124,20110129,3578,1,3578
SO43778,BK-M82S-42,11018,20110117,20110124,20110129,3400,1,3400
SO43779,BK-R50R-44,25252,20110117,20110124,20110129,699,1,699
SO43780,BK-R93R-44,11599,20110118,20110125,20110130,3578,1,3578
SO43781,BK-R93R-48,16495,20110118,20110125,20110130,3578,1,3578
SO43782,BK-R93R-48,16516,20110118,20110125,20110130,3578,1,3578
SO43783,BK-R93R-48,16620,20110118,20110125,20110130,3578,1,3578
SO43784,BK-R93R-62,27667,20110119,20110126,20110131,3578,1,3578
SO43785,BK-R93R-44,11601,20110119,20110126,20110131,3578,1,3578
SO43786,BK-R93R-44,11607,20110119,20110126,20110131,3578,1,3578
SO43787,BK-M82S-38,29385,20110119,20110126,20110131,3400,1,3400
SO43788,BK-M82B-48,11239,20110119,20110126,20110131,3375,1,3375
SO43789,BK-M82B-48,25865,20110119,20110126,20110131,3375,1,3375
SO43790,BK-M82S-38,25857,20110119,20110126,20110131,3400,1,3400
SO43791,BK-R93R-56,16484,20110119,20110126,20110131,3578,1,3578
SO43792,BK-R93R-48,16623,20110119,20110126,20110131,3578,1,3578
SO43793,BK-M82S-38,11000,20110119,20110126,20110131,3400,1,3400
SO43794,BK-M82S-48,11029,20110119,20110126,20110131,3400,1,3400
SO43795,BK-R93R-48,27615,20110120,20110127,20110201,3578,1,3578
SO43796,BK-R50B-52,17956,20110120,20110127,20110201,699,1,699
SO43797,BK-R93R-48,16345,20110120,20110127,20110201,3578,1,3578
SO43798,BK-R93R-62,16521,20110120,20110127,20110201,3578,1,3578
SO43799,BK-R93R-48,16636,20110120,20110127,20110201,3578,1,3578
SO43800,BK-R93R-44,21710,20110121,20110128,20110202,3578,1,3578
SO43801,BK-R93R-44,13583,20110121,20110128,20110202,3578,1,3578
SO43802,BK-R93R-48,11593,20110121,20110128,20110202,3578,1,3578
SO43803,BK-R93R-56,21741,20110122,20110129,20110203,3578,1,3578
SO43804,BK-R93R-62,13585,20110122,20110129,20110203,3578,1,3578
SO43805,BK-R50R-48,14510,20110122,20110129,20110203,699,1,699
SO43806,BK-R93R-48,16523,20110122,20110129,20110203,3578,1,3578
SO43807,BK-R93R-48,11611,20110123,20110130,20110204,3578,1,3578
SO43808,BK-R93R-52,13259,20110123,20110130,20110204,3578,1,3578
SO43809,BK-R93R-62,16350,20110123,20110130,20110204,3578,1,3578
SO43810,BK-M82S-42,11004,20110123,20110130,20110204,3400,1,3400
SO43811,BK-M82S-44,11026,20110123,20110130,20110204,3400,1,3400
SO43812,BK-R93R-48,27662,20110124,20110131,20110205,3578,1,3578
SO43813,BK-M82B-44,28390,20110124,20110131,20110205,3375,1,3375
SO43814,BK-M82B-44,25866,20110124,20110131,20110205,3375,1,3375
SO43815,BK-R93R-44,16494,20110124,20110131,20110205,3578,1,3578
SO43816,BK-R93R-56,16496,20110124,20110131,20110205,3578,1,3578
SO43817,BK-R93R-62,16519,20110124,20110131,20110205,3578,1,3578
SO43818,BK-R93R-48,16528,20110124,20110131,20110205,3578,1,3578
SO43819,BK-M82S-44,11006,20110124,20110131,20110205,3400,1,3400
SO43820,BK-R93R-48,27651,20110125,20110201,20110206,3578,1,3578
SO43821,BK-R93R-62,27663,20110125,20110201,20110206,3578,1,3578
SO43822,BK-R93R-52,27669,20110125,20110201,20110206,3578,1,3578
SO43823,BK-R50B-52,19942,20110125,20110201,20110206,699,1,699
SO43824,BK-R50B-44,14558,20110125,20110201,20110206,699,1,699
SO43825,BK-R93R-52,16349,20110125,20110201,20110206,3578,1,3578
SO43826,BK-M82B-38,11008,20110125,20110201,20110206,3375,1,3375
SO43827,BK-R50B-44,25250,20110125,20110201,20110206,699,1,699
SO43828,BK-R93R-62,27605,20110126,20110202,20110207,3578,1,3578
SO43829,BK-R93R-62,27611,20110126,20110202,20110207,3578,1,3578
SO43830,BK-R93R-44,16347,20110126,20110202,20110207,3578,1,3578
SO43831,BK-M82B-42,11028,20110126,20110202,20110207,3375,1,3375
SO43832,BK-R93R-62,13584,20110126,20110202,20110207,3578,1,3578
SO43833,BK-R93R-62,21727,20110127,20110203,20110208,3578,1,3578
SO43834,BK-M82B-38,28393,20110127,20110203,20110208,3375,1,3375
SO43835,BK-M82B-38,19802,20110127,20110203,20110208,3375,1,3375
SO43836,BK-R50R-62,26620,20110127,20110203,20110208,699,1,699
SO43837,BK-M82B-44,11009,20110127,20110203,20110208,3375,1,3375
SO43838,BK-R93R-52,27641,20110128,20110204,20110209,3578,1,3578
SO43839,BK-R93R-44,27673,20110128,20110204,20110209,3578,1,3578
SO43840,BK-R50R-44,17957,20110128,20110204,20110209,699,1,699
SO43841,BK-R93R-56,13406,20110128,20110204,20110209,3578,1,3578
SO43842,BK-R93R-48,16630,20110128,20110204,20110209,3578,1,3578
SO43918,BK-R93R-52,22041,20110129,20110205,20110210,3578,1,3578
SO43919,BK-R93R-56,12124,20110129,20110205,20110210,3578,1,3578
SO43920,BK-R93R-52,28066,20110129,20110205,20110210,3578,1,3578
SO43921,BK-R93R-52,16743,20110129,20110205,20110210,3578,1,3578
SO43922,BK-R93R-62,13546,20110129,20110205,20110210,3578,1,3578
SO43923,BK-R93R-48,28018,20110130,20110206,20110211,3578,1,3578
SO43924,BK-R93R-62,12132,20110130,20110206,20110211,3578,1,3578
SO43925,BK-R93R-56,16661,20110130,20110206,20110211,3578,1,3578
SO43926,BK-M82B-48,11055,20110131,20110207,20110212,3375,1,3375
SO43927,BK-R93R-56,16662,20110131,20110207,20110212,3578,1,3578
SO43928,BK-R93R-52,16740,20110131,20110207,20110212,3578,1,3578
SO43929,BK-R50R-60,25270,20110131,20110207,20110212,699,1,699
SO43930,BK-R93R-48,28038,20110201,20110208,20110213,3578,1,3578
SO43931,BK-R93R-52,13548,20110201,20110208,20110213,3578,1,3578
SO43932,BK-R93R-56,16741,20110201,20110208,20110213,3578,1,3578
SO43933,BK-M82S-48,11031,20110201,20110208,20110213,3400,1,3400
SO43934,BK-M82S-44,11034,20110201,20110208,20110213,3400,1,3400
SO43935,BK-R50B-60,20048,20110202,20110209,20110214,699,1,699
SO43936,BK-R93R-44,28065,20110202,20110209,20110214,3578,1,3578
SO43937,BK-R93R-48,17047,20110202,20110209,20110214,3578,1,3578
SO43938,BK-R93R-62,16686,20110202,20110209,20110214,3578,1,3578
SO43939,BK-R93R-48,16659,20110202,20110209,20110214,3578,1,3578
SO43940,BK-R50B-62,25294,20110202,20110209,20110214,699,1,699
SO43941,BK-R93R-56,13600,20110203,20110210,20110215,3578,1,3578
SO43942,BK-R93R-62,17051,20110203,20110210,20110215,3578,1,3578
SO43943,BK-R50B-44,14565,20110203,20110210,20110215,699,1,699
SO43944,BK-M82S-38,11054,20110203,20110210,20110215,3400,1,3400
SO43945,BK-R93R-62,16675,20110203,20110210,20110215,3578,1,3578
SO43946,BK-R93R-52,16687,20110203,20110210,20110215,3578,1,3578
SO43947,BK-R93R-62,16712,20110203,20110210,20110215,3578,1,3578
SO43948,BK-M82S-42,11047,20110203,20110210,20110215,3400,1,3400
SO43949,BK-R93R-62,27726,20110204,20110211,20110216,3578,1,3578
SO43950,BK-R93R-44,28014,20110204,20110211,20110216,3578,1,3578
SO43951,BK-R93R-44,16696,20110204,20110211,20110216,3578,1,3578
SO43952,BK-R93R-48,16639,20110204,20110211,20110216,3578,1,3578
SO43953,BK-R50B-52,20049,20110205,20110212,20110217,699,1,699
SO43954,BK-R93R-44,13602,20110205,20110212,20110217,3578,1,3578
SO43955,BK-R93R-56,13661,20110205,20110212,20110217,3578,1,3578
SO43956,BK-M82S-38,11030,20110205,20110212,20110217,3400,1,3400
SO43957,BK-R93R-52,28068,20110206,20110213,20110218,3578,1,3578
SO43958,BK-R93R-48,16658,20110206,20110213,20110218,3578,1,3578
SO43959,BK-M82B-38,11035,20110206,20110213,20110218,3375,1,3375
SO43960,BK-M82B-42,11046,20110206,20110213,20110218,3375,1,3375
SO43961,BK-R93R-44,28031,20110207,20110214,20110219,3578,1,3578
SO43962,BK-R93R-48,28076,20110207,20110214,20110219,3578,1,3578
SO43963,BK-R93R-56,16685,20110207,20110214,20110219,3578,1,3578
SO43964,BK-R93R-48,16745,20110207,20110214,20110219,3578,1,3578
SO43965,BK-M82B-48,11038,20110207,20110214,20110219,3375,1,3375
SO43966,BK-M82S-48,11039,20110207,20110214,20110219,3400,1,3400
SO43967,BK-R93R-52,28040,20110208,20110215,20110220,3578,1,3578
SO43968,BK-R93R-52,28067,20110208,20110215,20110220,3578,1,3578
SO43969,BK-R93R-62,28071,20110208,20110215,20110220,3578,1,3578
SO43970,BK-R93R-44,16684,20110208,20110215,20110220,3578,1,3578
SO43971,BK-R93R-56,16657,20110208,20110215,20110220,3578,1,3578
SO43972,BK-R93R-56,21939,20110209,20110216,20110221,3578,1,3578
SO43973,BK-R93R-48,28039,20110209,20110216,20110221,3578,1,3578
SO43974,BK-R93R-48,13687,20110209,20110216,20110221,3578,1,3578
SO43975,BK-R93R-48,13540,20110209,20110216,20110221,3578,1,3578
SO43976,BK-R93R-62,28063,20110209,20110216,20110221,3578,1,3578
SO43977,BK-R93R-48,16703,20110209,20110216,20110221,3578,1,3578
SO43978,BK-R93R-62,28030,20110210,20110217,20110222,3578,1,3578
SO43979,BK-R50R-60,14576,20110210,20110217,20110222,699,1,699
SO43980,BK-M82B-48,11048,20110210,20110217,20110222,3375,1,3375
SO43981,BK-R93R-56,16664,20110210,20110217,20110222,3578,1,3578
SO43982,BK-R50B-52,25271,20110210,20110217,20110222,699,1,699
SO43983,BK-R93R-56,28017,20110211,20110218,20110223,3578,1,3578
SO43984,BK-R93R-44,13545,20110211,20110218,20110223,3578,1,3578
SO43985,BK-R93R-52,13515,20110211,20110218,20110223,3578,1,3578
SO43986,BK-R93R-62,28070,20110211,20110218,20110223,3578,1,3578
SO43987,BK-R93R-62,28042,20110212,20110219,20110224,3578,1,3578
SO43988,BK-M82S-38,11244,20110212,20110219,20110224,3400,1,3400
SO43989,BK-R93R-48,28083,20110212,20110219,20110224,3578,1,3578
SO43990,BK-M82S-38,25872,20110212,20110219,20110224,3400,1,3400
SO43991,BK-R93R-62,16660,20110212,20110219,20110224,3578,1,3578
SO43992,BK-R93R-44,16638,20110212,20110219,20110224,3578,1,3578
SO43993,BK-R93R-56,16929,20110214,20110221,20110226,3578,1,3578
SO43994,BK-R93R-56,27681,20110215,20110222,20110227,3578,1,3578
SO43995,BK-R93R-48,21813,20110215,20110222,20110227,3578,1,3578
SO43996,BK-R93R-62,27920,20110215,20110222,20110227,3578,1,3578
SO43997,BK-R93R-62,28022,20110215,20110222,20110227,3578,1,3578
SO43998,BK-M82B-38,11033,20110215,20110222,20110227,3375,1,3375
SO43999,BK-R93R-44,28047,20110215,20110222,20110227,3578,1,3578
SO44000,BK-R93R-44,27918,20110216,20110223,20110228,3578,1,3578
SO44001,BK-R93R-52,28044,20110216,20110223,20110228,3578,1,3578
SO44002,BK-R50B-62,14572,20110216,20110223,20110228,699,1,699
SO44003,BK-R50B-52,19325,20110216,20110223,20110228,699,1,699
SO44004,BK-R93R-62,28061,20110216,20110223,20110228,3578,1,3578
SO44005,BK-R50B-60,26629,20110216,20110223,20110228,699,1,699
SO44006,BK-R93R-62,16744,20110216,20110223,20110228,3578,1,3578
SO44007,BK-R50R-58,25555,20110216,20110223,20110228,699,1,699
SO44008,BK-R93R-48,27678,20110217,20110224,20110301,3578,1,3578
SO44009,BK-R93R-56,27759,20110217,20110224,20110301,3578,1,3578
SO44010,BK-R93R-62,13680,20110217,20110224,20110301,3578,1,3578
SO44011,BK-R93R-62,13514,20110217,20110224,20110301,3578,1,3578
SO44012,BK-M82B-42,11052,20110217,20110224,20110301,3375,1,3375
SO44013,BK-R93R-48,16928,20110217,20110224,20110301,3578,1,3578
SO44014,BK-R93R-52,27917,20110218,20110225,20110302,3578,1,3578
SO44015,BK-R93R-44,13693,20110218,20110225,20110302,3578,1,3578
SO44016,BK-M82B-44,11247,20110218,20110225,20110302,3375,1,3375
SO44017,BK-R93R-62,28078,20110218,20110225,20110302,3578,1,3578
SO44018,BK-M82B-44,25876,20110218,20110225,20110302,3375,1,3375
SO44019,BK-R93R-62,16701,20110218,20110225,20110302,3578,1,3578
SO44020,BK-R93R-44,16931,20110218,20110225,20110302,3578,1,3578
SO44021,BK-M82B-38,11032,20110218,20110225,20110302,3375,1,3375
SO44022,BK-R93R-52,22008,20110219,20110226,20110303,3578,1,3578
SO44023,BK-M82B-42,19830,20110219,20110226,20110303,3375,1,3375
SO44024,BK-R93R-56,16663,20110219,20110226,20110303,3578,1,3578
SO44025,BK-R93R-56,16708,20110219,20110226,20110303,3578,1,3578
SO44026,BK-R93R-62,17045,20110219,20110226,20110303,3578,1,3578
SO44027,BK-R93R-62,21921,20110220,20110227,20110304,3578,1,3578
SO44028,BK-R93R-48,17048,20110220,20110227,20110304,3578,1,3578
SO44029,BK-M82B-44,11050,20110220,20110227,20110304,3375,1,3375
SO44030,BK-R93R-44,12131,20110221,20110228,20110305,3578,1,3578
SO44031,BK-R93R-52,13689,20110221,20110228,20110305,3578,1,3578
SO44032,BK-M82S-38,11243,20110221,20110228,20110305,3400,1,3400
SO44033,BK-R93R-56,16693,20110221,20110228,20110305,3578,1,3578
SO44034,BK-R93R-52,16702,20110221,20110228,20110305,3578,1,3578
SO44035,BK-R93R-48,16707,20110221,20110228,20110305,3578,1,3578
SO44036,BK-R93R-62,17046,20110221,20110228,20110305,3578,1,3578
SO44037,BK-R50R-48,25272,20110221,20110228,20110305,699,1,699
SO44038,BK-M82S-38,25868,20110221,20110228,20110305,3400,1,3400
SO44039,BK-R50B-52,17971,20110222,20110301,20110306,699,1,699
SO44040,BK-M82B-48,11057,20110222,20110301,20110306,3375,1,3375
SO44041,BK-R93R-52,16742,20110222,20110301,20110306,3578,1,3578
SO44042,BK-R93R-52,13678,20110223,20110302,20110307,3578,1,3578
SO44043,BK-R93R-44,13679,20110223,20110302,20110307,3578,1,3578
SO44044,BK-R93R-56,13690,20110223,20110302,20110307,3578,1,3578
SO44045,BK-M82S-38,28394,20110223,20110302,20110307,3400,1,3400
SO44046,BK-R93R-52,28064,20110223,20110302,20110307,3578,1,3578
SO44047,BK-M82S-38,25878,20110223,20110302,20110307,3400,1,3400
SO44048,BK-R93R-56,16713,20110223,20110302,20110307,3578,1,3578
SO44049,BK-R93R-56,13538,20110224,20110303,20110308,3578,1,3578
SO44050,BK-R93R-62,17050,20110224,20110303,20110308,3578,1,3578
SO44051,BK-R93R-62,13691,20110225,20110304,20110309,3578,1,3578
SO44052,BK-R93R-56,16637,20110225,20110304,20110309,3578,1,3578
SO44053,BK-R50B-44,19329,20110226,20110305,20110310,699,1,699
SO44054,BK-R93R-56,13542,20110226,20110305,20110310,3578,1,3578
SO44055,BK-R93R-62,13543,20110226,20110305,20110310,3578,1,3578
SO44056,BK-R93R-56,13559,20110226,20110305,20110310,3578,1,3578
SO44057,BK-R50B-44,14577,20110226,20110305,20110310,699,1,699
SO44058,BK-M82B-44,11056,20110226,20110305,20110310,3375,1,3375
SO44059,BK-R93R-52,16688,20110226,20110305,20110310,3578,1,3578
SO44060,BK-R50B-52,25273,20110226,20110305,20110310,699,1,699
SO44061,BK-R93R-62,27919,20110227,20110306,20110311,3578,1,3578
SO44062,BK-R93R-62,28041,20110227,20110306,20110311,3578,1,3578
SO44063,BK-M82S-38,11240,20110227,20110306,20110311,3400,1,3400
SO44064,BK-R93R-62,22050,20110227,20110306,20110311,3578,1,3578
SO44065,BK-R93R-62,28062,20110227,20110306,20110311,3578,1,3578
SO44066,BK-M82S-38,25867,20110227,20110306,20110311,3400,1,3400
SO44067,BK-R93R-62,17049,20110227,20110306,20110311,3578,1,3578
SO44068,BK-R93R-52,13541,20110228,20110307,20110312,3578,1,3578
SO44069,BK-M82B-42,28395,20110228,20110307,20110312,3375,1,3375
SO44070,BK-M82B-42,19829,20110228,20110307,20110312,3375,1,3375
SO44071,BK-R93R-52,16691,20110228,20110307,20110312,3578,1,3578
SO44072,BK-R93R-44,16656,20110228,20110307,20110312,3578,1,3578
SO44073,BK-M82B-48,11044,20110228,20110307,20110312,3375,1,3375
SO44134,BK-R93R-62,13821,20110301,20110308,20110313,3578,1,3578
SO44135,BK-R93R-62,28156,20110301,20110308,20110313,3578,1,3578
SO44136,BK-R93R-44,22114,20110301,20110308,20110313,3578,1,3578
SO44137,BK-R93R-56,17328,20110301,20110308,20110313,3578,1,3578
SO44138,BK-R93R-62,13765,20110302,20110309,20110314,3578,1,3578
SO44139,BK-R93R-44,13792,20110302,20110309,20110314,3578,1,3578
SO44140,BK-R93R-44,12221,20110302,20110309,20110314,3578,1,3578
SO44141,BK-R93R-52,13572,20110302,20110309,20110314,3578,1,3578
SO44142,BK-R93R-52,22058,20110302,20110309,20110314,3578,1,3578
SO44143,BK-R93R-52,28145,20110302,20110309,20110314,3578,1,3578
SO44144,BK-R93R-48,17071,20110302,20110309,20110314,3578,1,3578
SO44145,BK-R93R-62,17309,20110302,20110309,20110314,3578,1,3578
SO44146,BK-R93R-52,17310,20110302,20110309,20110314,3578,1,3578
SO44147,BK-R93R-62,17320,20110302,20110309,20110314,3578,1,3578
SO44148,BK-R93R-62,28172,20110303,20110310,20110315,3578,1,3578
SO44149,BK-R93R-48,17242,20110303,20110310,20110315,3578,1,3578
SO44150,BK-R93R-48,17315,20110303,20110310,20110315,3578,1,3578
SO44151,BK-R50R-48,25558,20110303,20110310,20110315,699,1,699
SO44152,BK-M82S-44,11334,20110304,20110311,20110316,3400,1,3400
SO44153,BK-R93R-48,28168,20110304,20110311,20110316,3578,1,3578
SO44154,BK-R93R-44,28181,20110304,20110311,20110316,3578,1,3578
SO44155,BK-R93R-52,28131,20110304,20110311,20110316,3578,1,3578
SO44156,BK-M82S-44,25887,20110304,20110311,20110316,3400,1,3400
SO44157,BK-R93R-56,17055,20110304,20110311,20110316,3578,1,3578
SO44158,BK-R93R-44,13567,20110305,20110312,20110317,3578,1,3578
SO44159,BK-R93R-44,28182,20110305,20110312,20110317,3578,1,3578
SO44160,BK-R93R-48,28186,20110305,20110312,20110317,3578,1,3578
SO44161,BK-R93R-56,13772,20110306,20110313,20110318,3578,1,3578
SO44162,BK-R93R-44,28185,20110306,20110313,20110318,3578,1,3578
SO44163,BK-R93R-56,28193,20110306,20110313,20110318,3578,1,3578
SO44164,BK-R93R-62,28088,20110306,20110313,20110318,3578,1,3578
SO44165,BK-R93R-52,17065,20110306,20110313,20110318,3578,1,3578
SO44166,BK-R50B-44,14581,20110306,20110313,20110318,699,1,699
SO44167,BK-R93R-56,17308,20110306,20110313,20110318,3578,1,3578
SO44168,BK-R93R-52,12211,20110307,20110314,20110319,3578,1,3578
SO44169,BK-R93R-44,28179,20110307,20110314,20110319,3578,1,3578
SO44170,BK-R93R-56,28183,20110307,20110314,20110319,3578,1,3578
SO44171,BK-R93R-52,28112,20110307,20110314,20110319,3578,1,3578
SO44172,BK-R50B-44,14584,20110307,20110314,20110319,699,1,699
SO44173,BK-R93R-48,13784,20110308,20110315,20110320,3578,1,3578
SO44174,BK-R93R-44,17229,20110308,20110315,20110320,3578,1,3578
SO44175,BK-R93R-52,17246,20110308,20110315,20110320,3578,1,3578
SO44176,BK-R93R-56,12220,20110309,20110316,20110321,3578,1,3578
SO44177,BK-M82B-44,11337,20110309,20110316,20110321,3375,1,3375
SO44178,BK-R93R-48,28097,20110309,20110316,20110321,3578,1,3578
SO44179,BK-M82B-44,25888,20110309,20110316,20110321,3375,1,3375
SO44180,BK-M82S-48,11058,20110309,20110316,20110321,3400,1,3400
SO44181,BK-R93R-48,17294,20110309,20110316,20110321,3578,1,3578
SO44182,BK-R93R-62,17299,20110309,20110316,20110321,3578,1,3578
SO44183,BK-R93R-62,28158,20110310,20110317,20110322,3578,1,3578
SO44184,BK-R93R-56,17247,20110310,20110317,20110322,3578,1,3578
SO44185,BK-R93R-62,17280,20110310,20110317,20110322,3578,1,3578
SO44186,BK-M82S-48,25889,20110312,20110319,20110324,3400,1,3400
SO44187,BK-R93R-52,17069,20110312,20110319,20110324,3578,1,3578
SO44188,BK-R50B-60,20052,20110313,20110320,20110325,699,1,699
SO44189,BK-R50R-60,20054,20110313,20110320,20110325,699,1,699
SO44190,BK-M82B-38,11061,20110313,20110320,20110325,3375,1,3375
SO44191,BK-R93R-62,17248,20110313,20110320,20110325,3578,1,3578
SO44192,BK-R93R-48,13570,20110314,20110321,20110326,3578,1,3578
SO44193,BK-R93R-48,28164,20110314,20110321,20110326,3578,1,3578
SO44194,BK-R93R-62,17064,20110314,20110321,20110326,3578,1,3578
SO44195,BK-R93R-52,17249,20110314,20110321,20110326,3578,1,3578
SO44196,BK-R93R-56,17295,20110314,20110321,20110326,3578,1,3578
SO44197,BK-R93R-48,28096,20110315,20110322,20110327,3578,1,3578
SO44198,BK-R93R-62,28150,20110315,20110322,20110327,3578,1,3578
SO44199,BK-R93R-52,17259,20110315,20110322,20110327,3578,1,3578
SO44200,BK-R93R-44,17312,20110315,20110322,20110327,3578,1,3578
SO44201,BK-R93R-52,12254,20110316,20110323,20110328,3578,1,3578
SO44202,BK-R93R-44,28159,20110316,20110323,20110328,3578,1,3578
SO44203,BK-R93R-48,28149,20110316,20110323,20110328,3578,1,3578
SO44204,BK-R50B-62,14580,20110316,20110323,20110328,699,1,699
SO44205,BK-R93R-48,17285,20110316,20110323,20110328,3578,1,3578
SO44206,BK-M82S-48,11250,20110317,20110324,20110329,3400,1,3400
SO44207,BK-R93R-52,28162,20110317,20110324,20110329,3578,1,3578
