state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,utility customers,GHG emissions mtons CO2e,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,utility customers,occuped housing units,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,consumption (MWh),expenditures in Millions,utility customers,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,consumption (TcF),expenditures in Millions,utility customers,buildings,area (sq. ft.),consumption (gallons),consumption (gallons/capita),consumption (gallons),consumption (gallons/capita),vehicle miles traveled (miles),vehicle miles traveled (miles/capita),consumption (MWh),expenditures in Millions,consumption (MWh/capita),consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,establishments,consumption (MWh),expenditures in Millions
1,AL,"Chilton County, AL",1021,Chilton County,32.854051,-86.726607,,43817,7,15155,4,3,30704,"265,901","33,633",6,1,"18,757","132,083","137,267","1,810",3,0,"2,461","16,619","103,161","11,954",2,0,"104,801","11,722","2,454","133,447","1,321",3,0,"117,620","1,253",503,,,"27,667,822",631,"15,302,190",349,"842,746,706","19,233","62,094","3,752",1,"49,720",188,1,0,,"3,499",211
1,AL,"Choctaw County, AL",1023,Choctaw County,31.990997,-88.248908,,13287,4,4571,1,3,30401,"84,560","10,524",6,1,"7,052","42,004","30,309",461,2,0,307,"5,562","34,566","3,996",3,0,"37,060","4,145","1,008","61,517",657,5,0,"81,600",869,151,,,"8,539,258",643,"2,811,190",212,"233,453,773","17,570","29,610","1,789",2,"6,002,774","22,751",452,2,,790,48
1,AL,"Clarke County, AL",1025,Clarke County,31.685521,-87.818624,,24847,5,13550,4,3,30504,"143,136","17,997",6,1,"12,260","71,101","62,871","1,137",3,0,"2,478","9,554","90,186","10,445",4,0,"93,090","10,412","1,874","34,743",607,1,0,"179,918","1,916",160,,,"14,657,953",590,"4,548,839",183,"394,083,757","15,860","105,690","6,387",4,"3,681,439","13,953",148,1,,"2,358",143
1,AL,"Clay County, AL",1027,Clay County,33.2704,-85.863525,,13483,4,6496,2,3,30402,"80,064","10,113",6,1,"6,569","39,771","69,581",917,5,0,"2,858","5,363","28,316","3,280",2,0,"28,891","3,232",817,"105,003",980,8,0,11,0,137,,,"7,052,659",523,"2,304,054",171,"191,713,537","14,219","222,069","13,419",16,"490,485","1,859",36,0,,"1,323",80
1,AL,"Cleburne County, AL",1029,Cleburne County,33.671964,-85.516126,,14991,4,2803,1,3,30401,"86,909","10,996",6,1,"6,514","43,171","40,028",528,3,0,533,"5,834","25,472","2,952",2,0,"25,863","2,893",796,"34,690",343,2,0,"30,556",325,154,,,"16,960,160","1,131","11,023,083",735,"535,814,689","35,742","40,246","2,432",3,"92,408",350,6,0,,"1,998",121
1,AL,"Coffee County, AL",1031,Coffee County,31.402258,-85.989602,,50991,7,26771,6,3,30706,"304,293","39,400",6,1,"22,264","151,153","68,520","1,208",1,0,"1,935","19,375","168,078","19,797",3,0,"175,218","19,598","3,020","134,691","1,808",3,0,"211,794","2,256",581,,,"20,751,822",407,"5,904,859",116,"556,804,968","10,920","233,129","14,087",5,"425,063","1,611",8,0,,"5,456",330
1,AL,"Colbert County, AL",1033,Colbert County,34.703112,-87.801457,,54377,7,44941,7,3,30707,"344,526","35,739",6,1,"25,472","186,379","505,550","6,630",9,0,"22,279","22,105","409,476","44,790",8,1,"385,721","43,144","6,774","524,148","5,189",10,0,"97,429","1,038","2,293",,,"29,300,031",539,"8,683,198",160,"784,493,297","14,427","882,642","53,336",16,"13,205,283","50,048",243,1,,"5,538",335
1,AL,"Conecuh County, AL",1035,Conecuh County,31.430926,-86.988722,,12697,4,4823,1,3,30401,"74,379","9,328",6,1,"6,871","36,947","34,493",606,3,0,"3,768","5,090","29,795","3,362",2,0,"28,485","3,186",547,"22,855",302,2,0,"33,245",354,356,,,"17,957,563","1,414","10,714,405",844,"551,167,087","43,409","82,410","4,980",6,"155,690",590,12,0,,"2,718",164
1,AL,"Coosa County, AL",1037,Coosa County,32.931445,-86.243482,,10864,3,1725,1,3,30301,"64,136","8,112",6,1,"6,284","31,859","36,064",475,3,0,569,"4,206","15,854","1,837",1,0,"16,106","1,801",347,1,0,0,0,1,0,24,,,"8,903,759",820,"3,184,558",293,"243,656,679","22,428","16,230",981,1,"13,272",50,1,0,,"1,002",61
1,AL,"Covington County, AL",1039,Covington County,31.243987,-86.448721,,37729,6,19928,5,3,30605,"209,762","29,372",6,1,"18,292","104,197","74,744","1,320",2,0,"3,919","15,179","117,544","14,991",3,0,"128,161","14,335","2,294","103,178","1,385",3,0,"162,265","1,728",428,,,"21,650,150",574,"6,527,524",173,"574,180,943","15,219","746,851","45,130",20,"3,910,886","14,822",104,0,,"7,817",472
1,AL,"Crenshaw County, AL",1041,Crenshaw County,31.732826,-86.319222,,13896,4,6642,2,3,30402,"76,217","10,436",5,1,"6,524","37,860","25,154",413,2,0,"1,141","5,426","24,504","3,038",2,0,"27,927","3,124",814,"29,715",385,2,0,"43,949",468,157,,,"8,387,049",604,"2,801,480",202,"227,450,495","16,368","43,719","2,642",3,"5,247",20,0,0,,"3,338",202
1,AL,"Cullman County, AL",1043,Cullman County,34.131923,-86.869267,,81316,8,50511,7,3,30807,"489,423","59,294",6,1,"36,179","264,764","508,872","6,785",6,0,"12,031","31,081","398,736","46,647",5,1,"276,184","30,892","9,139","456,611","4,890",6,0,"87,425",931,"1,755",,,"42,561,339",523,"19,756,817",243,"1,240,689,479","15,258","630,151","38,078",8,"2,656,832","10,069",33,0,,"8,765",530
1,AL,"Dale County, AL",1045,Dale County,31.430654,-85.609476,,49607,7,18785,5,3,30705,"284,461","35,766",6,1,"22,242","141,302","44,375",782,1,0,"2,189","18,794","134,170","15,559",3,0,"139,297","15,581","2,534","112,879","1,515",2,0,"177,495","1,890",487,,,"26,347,845",531,"6,946,465",140,"700,021,934","14,111","45,370","2,742",1,"73,275",278,1,0,,"3,435",208
1,AL,"Dallas County, AL",1047,Dallas County,32.33354,-87.114356,,41426,7,20927,5,3,30705,"235,731","29,854",6,1,"19,713","117,096","355,255","4,691",9,0,"8,356","16,099","157,387","18,241",4,0,"159,865","17,881","3,001","166,776","1,656",4,0,"147,913","1,575",582,,,"21,747,546",525,"6,469,017",156,"586,211,049","14,151","240,398","14,527",6,"6,914,161","26,205",167,1,,"5,790",350
1,AL,"DeKalb County, AL",1049,DeKalb County,34.460929,-85.803992,,70937,8,35408,6,3,30806,"358,945","40,409",5,1,"30,256","194,179","144,307","2,289",2,0,"3,846","24,811","286,009","33,000",4,0,"201,864","22,579","7,687","451,556","4,703",6,0,"236,805","2,522","1,139",,,"37,906,729",534,"14,576,499",205,"1,056,419,466","14,892","440,418","26,613",6,"633,213","2,400",9,0,,"9,304",562
1,AL,"Elmore County, AL",1051,Elmore County,32.597229,-86.142735,,80957,8,27615,6,3,30806,"450,258","56,951",6,1,"32,451","223,660","320,818","4,248",4,0,"6,749","28,890","225,316","26,109",3,0,"228,899","25,603","4,144","229,522","2,279",3,0,"203,358","2,166",801,,,"34,815,173",430,"12,365,762",153,"967,232,582","11,947","120,651","7,291",1,"121,868",462,2,0,,"5,095",308
1,AL,"Escambia County, AL",1053,Escambia County,31.122287,-87.16841,,37875,6,20073,5,3,30605,"211,270","26,700",6,1,"15,992","104,946","62,563","1,277",2,0,"2,372","13,536","150,254","17,370",4,0,"151,737","16,972","2,719","77,781","1,176",2,0,"228,690","2,436",401,,,"25,841,013",682,"12,254,232",324,"746,532,061","19,710","338,962","20,483",9,"10,284,741","38,979",272,1,,"4,237",256
1,AL,"Etowah County, AL",1055,Etowah County,34.047641,-86.034263,,103363,9,61521,8,3,30908,"566,897","71,758",5,1,"46,262","306,675","884,896","11,667",9,0,"21,357","39,522","407,684","47,254",4,0,"407,854","45,619","7,618","532,820","5,276",5,0,"468,907","4,994","1,496",,,"50,400,132",488,"15,562,595",151,"1,357,473,152","13,133","583,517","35,260",6,"1,260,490","4,777",12,0,,"4,945",299
1,AL,"Fayette County, AL",1057,Fayette County,33.716157,-87.764292,,16783,4,6292,2,3,30402,"104,504","13,230",6,1,"8,192","51,911","83,498","1,140",5,0,"2,219","6,850","42,252","4,897",3,0,"42,938","4,803","1,057","28,153",282,2,0,"1,066",11,287,,,"8,268,750",493,"2,646,221",158,"223,147,595","13,296","133,556","8,070",8,"170,517",646,10,0,,"2,884",174
1,AL,"Franklin County, AL",1059,Franklin County,34.441989,-87.842814,,31573,6,19247,5,3,30605,"168,207","20,663",5,1,"13,683","90,995","195,225","2,694",6,0,"7,434","11,697","219,480","22,354",7,1,"94,160","10,532","2,848","98,318","1,024",3,0,"82,411",878,485,,,"14,583,721",462,"4,510,354",143,"393,904,861","12,476","246,756","14,911",8,"335,508","1,272",11,0,,"2,687",162
1,AL,"Geneva County, AL",1061,Geneva County,31.092393,-85.821011,,26765,6,7761,3,3,30603,"171,557","21,723",6,1,"12,313","85,219","29,167",453,1,0,"1,177","10,657","58,075","6,734",2,0,"59,411","6,645","1,600","32,464",439,1,0,"9,635",103,270,,,"13,452,734",503,"4,069,698",152,"356,501,944","13,320","71,850","4,342",3,"45,469",172,2,0,,"7,945",480
1,AL,"Greene County, AL",1063,Greene County,32.844497,-87.9642,,8587,3,2580,1,3,30301,"47,521","6,005",6,1,"4,865","23,606","38,363",506,4,0,561,"3,107","17,463","2,023",2,0,"17,908","2,003",335,"20,677",205,2,0,"18,213",194,65,,,"14,916,669","1,737","9,398,367","1,094","469,094,742","54,628","10,029",606,1,"26,040",99,3,0,,"1,796",109
1,AL,"Hale County, AL",1065,Hale County,32.752796,-87.623061,,15159,4,3626,1,3,30401,"94,024","11,882",6,1,"7,455","46,705","89,229","1,176",6,0,"1,411","5,948","29,500","3,417",2,0,"30,251","3,384",826,"37,613",372,2,0,"33,131",353,160,,,"7,675,642",506,"2,536,711",167,"209,735,830","13,836","204,505","12,358",13,"258,914",981,17,0,,"1,980",120
1,AL,"Henry County, AL",1067,Henry County,31.516978,-85.239971,,17187,5,4967,1,3,30501,"108,727","13,752",6,1,"8,716","54,009","14,250",251,1,0,519,"6,831","35,162","4,077",2,0,"36,028","4,030",820,"33,418",449,2,0,"52,549",560,158,,,"12,448,831",724,"3,788,176",220,"331,753,078","19,303","32,197","1,946",2,"10,098",38,1,0,,"3,866",234
1,AL,"Houston County, AL",1069,Houston County,31.158193,-85.296398,,103891,9,86388,9,3,30909,"602,675","72,556",6,1,"45,173","299,371","83,532","1,472",1,0,"2,877","39,363","600,750","64,183",6,1,"605,644","67,742","7,919","449,642","6,036",4,0,"707,037","7,530","1,523",,,"48,926,011",471,"11,856,988",114,"1,282,976,272","12,349","672,549","40,640",6,"1,260,783","4,778",12,0,,"6,378",385
1,AL,"Jackson County, AL",1071,Jackson County,34.764114,-85.980056,,52608,7,26437,6,3,30706,"292,690","31,846",6,1,"26,064","158,337","210,564","2,741",4,0,"4,708","19,945","292,305","31,994",6,1,"198,234","22,173","5,807","158,744","1,234",3,0,"45,429",484,196,,,"28,192,247",536,"7,841,565",149,"749,542,557","14,248","815,874","49,301",16,"4,595,260","17,416",87,0,,"10,686",646
1,AL,"Jefferson County, AL",1073,Jefferson County,33.553444,-86.896536,,659096,14,625483,13,3,31413,"3,562,272","450,040",5,1,"297,284","1,769,513","7,410,723","97,709",11,0,"186,697","261,773","4,842,168","559,735",7,1,"4,851,424","542,641","57,958","5,507,622","54,530",8,0,"4,849,810","51,650","12,279",,,"362,778,847",550,"128,173,761",194,"10,150,915,368","15,401","3,518,732","212,627",5,"10,367,671","39,293",16,0,,"3,498",211
1,AL,"Lamar County, AL",1075,Lamar County,33.787085,-88.087431,,14066,4,6266,2,3,30402,"86,619","10,967",6,1,"7,136","43,027","73,593","1,136",5,0,"2,113","6,010","36,403","4,220",3,0,"37,039","4,143","1,014","7,051",74,1,0,"9,741",104,47,,,"7,755,797",551,"2,434,513",173,"208,328,485","14,811","56,282","3,401",4,"439,111","1,664",31,0,,"2,569",155
1,AL,"Lauderdale County, AL",1077,Lauderdale County,34.904122,-87.650997,,92641,9,51119,7,3,30907,"606,098","60,829",7,1,"42,361","327,882","474,337","6,278",5,0,"17,280","38,361","452,004","47,608",5,1,"341,552","38,203","8,976","395,092","3,955",4,0,"344,910","3,673","2,001",,,"36,822,385",397,"10,050,201",108,"976,863,610","10,545","174,561","10,548",2,"733,896","2,781",8,0,,"11,168",675
1,AL,"Lawrence County, AL",1079,Lawrence County,34.529776,-87.321865,,33433,6,6106,2,3,30602,"222,687","25,391",7,1,"14,798","120,467","116,505","1,743",3,0,"3,203","13,321","78,750","9,365",2,0,"82,303","9,206","2,808","56,481",440,2,0,"36,472",388,307,,,"17,542,431",525,"6,126,485",183,"477,882,808","14,294","80,523","4,866",2,"52,962",201,2,0,,"9,962",602
1,AL,"Lee County, AL",1081,Lee County,32.604064,-85.353048,,153947,10,87890,9,3,31009,"783,577","99,080",5,1,"63,984","389,232","560,758","7,440",4,0,"13,278","57,901","494,746","57,315",3,0,"501,846","56,132","6,792","472,494","4,736",3,0,"427,558","4,553","1,317",,,"66,960,906",435,"20,533,109",133,"1,822,394,284","11,838","383,226","23,157",2,"1,000,410","3,792",6,0,,"4,834",292
1,AL,"Limestone County, AL",1083,Limestone County,34.810239,-86.981399,,90257,9,33875,6,3,30906,"532,880","51,872",6,1,"35,146","288,273","252,225","3,182",3,0,"8,784","32,073","376,746","37,610",4,0,"298,489","33,387","6,103","288,075","2,738",3,0,"111,815","1,191","1,075",,,"53,721,958",595,"20,309,676",225,"1,515,287,220","16,789","466,706","28,202",5,"782,238","2,965",9,0,,"17,955","1,085"
1,AL,"Lowndes County, AL",1085,Lowndes County,32.147888,-86.650586,,10565,3,3599,1,3,30301,"63,789","8,086",6,1,"4,948","31,686","34,640",463,3,0,383,"4,238","24,399","2,828",2,0,"24,850","2,780",581,"30,822",336,3,0,"33,206",354,112,,,"15,723,992","1,488","8,819,944",835,"478,652,588","45,305","197,067","11,908",19,"5,897,515","22,352",558,2,,"2,835",171
1,AL,"Macon County, AL",1087,Macon County,32.387027,-85.692887,,19684,5,8891,3,3,30503,"104,930","13,345",5,1,"9,955","52,123","113,339","1,497",6,0,"3,181","7,915","35,195","4,411",2,0,"356,821","39,911","1,238","410,078","4,064",21,0,"361,921","3,854",240,,,"24,902,819","1,265","14,598,290",742,"768,425,169","39,038","19,239","1,163",1,"24,101",91,1,0,,"4,913",297
1,AL,"Madison County, AL",1089,Madison County,34.764238,-86.55108,,349973,12,317160,12,3,31212,"2,189,561","211,792",6,1,"150,667","1,184,489","1,840,965","19,610",5,0,"55,455","139,949","2,166,169","204,262",6,1,"2,041,896","228,390","21,581","2,176,458","18,140",6,0,"1,189,741","12,671","5,469",,,"170,485,759",487,"42,320,154",121,"4,543,452,370","12,982","1,199,531","72,484",3,"3,265,425","12,376",9,0,,"17,477","1,056"
1,AL,"Marengo County, AL",1091,Marengo County,32.247591,-87.791091,,20066,5,11863,4,3,30504,"128,416","16,228",6,1,"9,941","63,789","115,666","1,533",6,0,"1,855","8,149","72,096","8,352",4,0,"73,932","8,269","1,524","74,199",737,4,0,"66,763",711,296,,,"13,898,896",693,"4,441,656",221,"378,113,766","18,844","311,265","18,809",16,"2,318,389","8,787",116,0,,"2,928",177
1,AL,"Marion County, AL",1093,Marion County,34.138219,-87.881551,,30239,6,15246,4,3,30604,"183,618","23,295",6,1,"14,318","99,332","194,240","2,889",6,0,"6,335","12,486","93,690","10,874",3,0,"96,222","10,763","2,301","74,548",766,2,0,"87,575",933,371,,,"21,314,889",705,"9,849,957",326,"618,852,440","20,465","306,977","18,550",10,"554,176","2,100",18,0,,"3,164",191
1,AL,"Marshall County, AL",1095,Marshall County,34.309564,-86.321668,,94534,9,61516,8,3,30908,"516,744","55,884",5,1,"39,297","279,543","432,451","5,420",5,0,"14,957","34,461","506,241","56,575",5,1,"317,953","35,564","12,114","633,023","6,328",7,0,"319,927","3,407","2,439",,,"37,199,108",393,"9,885,048",105,"974,941,163","10,313","720,627","43,546",8,"2,628,873","9,963",28,0,,"6,286",380
1,AL,"Mobile County, AL",1097,Mobile County,30.684572,-88.196568,,414291,12,303304,12,2,21212,"2,260,202","286,076",5,1,"176,865","1,122,726","2,353,372","50,032",6,0,"85,757","154,261","2,753,025","319,062",7,1,"2,799,009","313,074","31,110","1,831,816","22,756",4,0,"4,281,368","45,597","4,781",,,"184,729,397",446,"60,937,449",147,"5,090,935,711","12,288","4,068,774","245,865",10,"24,173,714","91,618",58,0,,"14,730",890
1,AL,"Monroe County, AL",1099,Monroe County,31.580332,-87.383266,,21975,5,10622,3,3,30503,"127,525","16,115",6,1,"10,980","63,346","32,468",672,1,0,"1,022","8,316","69,219","8,001",3,0,"70,035","7,834","1,527",0,0,0,0,0,0,0,,,"11,059,933",503,"3,485,552",159,"297,040,064","13,517","128,587","7,770",6,"3,636,055","13,781",165,1,,"4,426",267
1,AL,"Montgomery County, AL",1101,Montgomery County,32.202881,-86.204461,,227392,11,207764,11,3,31111,"1,251,966","158,323",6,1,"100,870","621,898","2,012,146","26,849",9,0,"54,760","90,281","1,616,102","187,305",7,1,"1,645,706","184,075","16,945","1,862,617","18,946",8,0,"1,739,462","18,525","3,287",,,"123,170,044",542,"40,061,673",176,"3,389,778,354","14,907","1,036,882","62,656",5,"1,889,854","7,163",8,0,,"4,930",298
1,AL,"Morgan County, AL",1103,Morgan County,34.454484,-86.846402,,119555,9,85474,9,3,30909,"749,041","81,687",6,1,"56,518","405,210","685,890","8,167",6,0,"23,504","46,164","585,051","63,713",5,1,"473,795","52,995","12,146","534,832","3,797",4,0,"107,634","1,146","2,265",,,"53,808,379",450,"17,340,246",145,"1,463,810,581","12,244","2,202,299","133,079",18,"13,885,124","52,625",116,0,,"6,301",381
1,AL,"Perry County, AL",1105,Perry County,32.639005,-87.293827,,9856,3,3111,1,3,30301,"48,915","6,181",5,1,"4,570","24,298","51,742",682,5,0,918,"3,198","25,130","2,911",3,0,"25,770","2,882",396,"21,424",212,2,0,"18,871",201,77,,,"6,032,497",612,"1,789,618",182,"162,260,749","16,463","9,654",583,1,"2,977",11,0,0,,"3,128",189
1,AL,"Pickens County, AL",1107,Pickens County,33.296793,-88.096863,,20042,5,5153,2,3,30502,"116,087","14,682",6,1,"9,202","57,665","101,114","1,333",5,0,"2,318","7,618","36,539","4,234",2,0,"37,284","4,170","1,017","39,728",393,2,0,"34,965",372,222,,,"11,343,384",566,"3,652,979",182,"309,260,089","15,431","71,474","4,319",4,"36,758",139,2,0,,"2,300",139
1,AL,"Pike County, AL",1109,Pike County,31.798651,-85.941604,,33277,6,22140,5,3,30605,"173,758","21,130",5,1,"15,323","86,312","66,273","1,127",2,0,"1,811","12,802","61,110","6,764",2,0,"111,876","12,514","1,960","87,582","1,169",3,0,"136,491","1,454",339,,,"20,044,974",602,"6,054,501",182,"539,461,587","16,211","391,705","23,670",12,"4,200,269","15,919",126,0,,"4,763",288
1,AL,"Randolph County, AL",1111,Randolph County,33.296475,-85.464068,,22615,5,7587,3,3,30503,"127,872","16,156",6,1,"11,625","63,519","74,994",990,3,0,"1,251","8,691","66,564","7,708",3,0,"67,534","7,554","1,327","8,094",83,0,0,"5,848",62,38,,,"9,963,924",441,"3,311,919",146,"270,664,707","11,968","165,372","9,993",7,"207,543",787,9,0,,"3,422",207
1,AL,"Russell County, AL",1113,Russell County,32.289811,-85.18698,,58636,8,22283,5,3,30805,"326,048","41,221",6,1,"26,021","161,960","198,133","2,638",3,0,"4,505","22,333","170,251","19,724",3,0,"172,818","19,330","2,795","179,197","1,814",3,0,"165,649","1,764",541,,,"26,428,708",451,"7,496,146",128,"706,208,641","12,044","273,660","16,537",5,"5,392,872","20,439",92,0,,"2,573",155
1,AL,"St. Clair County, AL",1115,St. Clair County,33.712963,-86.315663,,86576,9,33693,6,3,30906,"497,550","62,977",6,1,"34,907","247,151","402,505","5,306",5,0,"11,339","31,832","202,244","23,443",2,0,"205,726","23,011","3,987","244,353","2,420",3,0,"215,168","2,292",823,,,"51,764,523",598,"23,930,413",276,"1,516,864,995","17,521","276,639","16,717",3,"2,229,120","8,448",26,0,,"3,606",218
1,AL,"Shelby County, AL",1117,Shelby County,33.263043,-86.678089,,205951,11,164574,10,3,31110,"1,146,887","145,167",6,1,"81,436","569,702","1,522,551","20,071",7,0,"40,154","75,942","875,839","101,510",4,0,"889,690","99,513","12,828","929,222","9,202",5,0,"819,343","8,726","2,471",,,"95,019,395",461,"29,114,548",141,"2,598,959,574","12,619","546,342","33,014",3,"1,415,046","5,363",7,0,,"4,993",302
1,AL,"Sumter County, AL",1119,Sumter County,32.597481,-88.200057,,13285,4,4643,1,3,30401,"72,632","9,181",5,1,"6,590","36,079","44,761",610,3,0,733,"4,878","35,960","4,166",3,0,"36,849","4,122",888,5,0,0,0,8,0,88,,,"15,106,609","1,137","8,488,841",639,"464,220,494","34,943","16,851","1,018",1,"62,403",237,5,0,,"2,567",155
1,AL,"Talladega County, AL",1121,Talladega County,33.369314,-86.17593,,81057,8,47718,7,3,30807,"473,763","59,670",6,1,"36,225","235,336","410,792","5,412",5,0,"11,126","31,461","293,448","33,501",4,0,"329,347","36,838","5,348","537,690","5,323",7,0,"476,497","5,075","1,201",,,"46,541,220",574,"16,677,366",206,"1,291,933,416","15,939","350,745","21,195",4,"5,970,220","22,627",74,0,,"3,551",215
1,AL,"Tallapoosa County, AL",1123,Tallapoosa County,32.863369,-85.799553,,40958,7,21565,5,3,30705,"251,135","31,742",6,1,"21,481","124,748","173,516","2,287",4,0,"4,547","16,338","143,036","16,579",3,0,"145,528","16,278","2,823","144,025","1,426",4,0,"126,652","1,349",831,,,"23,041,738",563,"6,154,828",150,"604,301,464","14,754","127,737","7,719",3,"130,692",495,3,0,,"2,099",127
1,AL,"Tuscaloosa County, AL",1125,Tuscaloosa County,33.29022,-87.522783,,202471,11,156875,10,3,31110,"1,055,279","133,553",5,1,"85,625","524,197","1,065,750","14,048",5,0,"26,066","70,440","797,116","92,383",4,0,"809,840","90,582","12,758","863,829","8,553",4,0,"760,895","8,104","2,475",,,"102,749,820",507,"36,682,293",181,"2,872,627,267","14,188","1,950,010","117,834",10,"7,261,861","27,522",36,0,,"5,057",306
1,AL,"Walker County, AL",1127,Walker County,33.791558,-87.301094,,65593,8,29184,6,3,30806,"407,332","51,560",6,1,"29,905","202,337","230,413","3,038",4,0,"4,351","25,194","232,525","26,949",4,0,"236,130","26,412","4,338","267,985","2,654",4,0,"236,131","2,515",838,,,"34,253,316",522,"15,775,133",241,"999,513,137","15,238","354,272","21,408",5,"2,560,335","9,704",39,0,,"2,895",175
