seller_id;seller_zip_code_prefix;seller_city;seller_state
Seller 273;4102;sao paulo;SP
Seller 2756;7052;guarulhos;SP
Seller 207;16301;penapolis;SP
Seller 2838;24020;niteroi;RJ
Seller 42;89204;joinville;SC
Seller 68;83408;colombo;PR
Seller 593;11450;vicente de carvalho;SP
Seller 417;26562;mesquita;RJ
Seller 1457;86010;londrina;PR
Seller 2995;2051;sao pauo;SP
Seller 765;88056;florianopolis;SC
Seller 1061;30550;belo horizonte;MG
Seller 615;2820;sao paulo;SP
Seller 347;85802;cascavel;PR
Seller 1998;83830;fazenda rio grande;PR
Seller 2727;4508;sao paulo;SP
Seller 2403;6775;taboao da serra;SP
Seller 892;1550;sao paulo;SP
Seller 2843;22783;rio de janeiro;RJ
Seller 1215;81070;curitiba;PR
Seller 2161;4716;sao paulo;SP
Seller 674;12233;sao jose dos campos;SP
Seller 1125;7084;guarulhos;SP
Seller 2766;3384;sao paulo;SP
Seller 1554;85903;toledo;PR
Seller 958;82510;curitiba;PR
Seller 126;15081;sao jose do rio preto;SP
Seller 1179;8411;sao paulo;SP
Seller 2463;17047;bauru;SP
Seller 893;11045;santos;SP
Seller 1596;85960;marechal candido rondon;SP
Seller 1821;80010;curitiba;PR
Seller 2512;8710;mogi das cruzes;SP
Seller 2235;91130;porto alegre;RS
Seller 456;12238;sao jose dos campos;SP
Seller 1126;6236;osasco;SP
Seller 1257;13203;jundiai;SP
Seller 894;83800;mandirituba;PR
Seller 1671;3551;sao paulo;SP
Seller 2987;8655;suzano;SP
Seller 1581;33200;vespasiano;MG
Seller 2139;80040;curitiba;PR
Seller 2681;20735;rio de janeiro;RJ
Seller 3060;89031;blumenau;SC
Seller 2404;1417;sao paulo;SP
Seller 2590;98780;santa rosa;RS
Seller 2864;15015;sao jose do rio preto;SP
Seller 271;14600;sao joaquim da barra;SP
Seller 1235;5125;sao paulo;SP
Seller 1204;81050;curitiba;PR
Seller 1731;13830;santo antonio de posse;SP
Seller 23;1212;sao paulo;SP
Seller 2884;97502;uruguaiana;RS
Seller 61;80215;curitiba;PR
Seller 1167;6703;cotia;SP
Seller 855;13480;limeira;SP
Seller 2947;37400;campanha;MG
Seller 669;14940;ibitinga;SP
Seller 598;4811;sao paulo;SP
Seller 2131;75640;piracanjuba;GO
Seller 441;3306;sao paulo;SP
Seller 1879;95034;caxias do sul;RS
Seller 2923;30640;belo horizonte;MG
Seller 605;89701;concordia;SC
Seller 2883;2880;sao paulo;SP
Seller 2507;3688;sao paulo;SP
Seller 2543;74043;goiania;GO
Seller 2123;37540;santa rita do sapucai;MG
Seller 1969;81925;curitiba;PR
Seller 266;6246;osasco;SP
Seller 733;80510;curitiba;PR
Seller 2112;80240;curitiba;PR
Seller 2053;14780;barretos;SP
Seller 2174;13330;indaiatuba;SP
Seller 380;26525;nilopolis;RJ
Seller 2504;9380;maua;SP
Seller 2325;44895;barro alto;BA
Seller 1436;13840;mogi guacu;SP
Seller 3043;4557;são paulo;SP
Seller 1841;4311;sao paulo;SP
Seller 2142;11702;praia grande;SP
Seller 2153;14406;franca;SP
Seller 3041;22783;rio de janeiro;SP
Seller 1780;89128;luiz alves;SC
Seller 1327;2036;sao paulo;SP
Seller 2481;6038;osasco;SP
Seller 2862;88351;brusque;SC
Seller 2984;88804;criciuma;SC
Seller 123;5729;sao paulo;SP
Seller 2499;6519;santana de parnaiba;SP
Seller 2465;6016;osasco;SP
Seller 1576;89222;joinville;SC
Seller 157;2252;sao paulo;SP
Seller 2040;7179;guarulhos;SP
Seller 1935;31050;belo horizonte;MG
Seller 329;13480;limeira;SP
Seller 2581;15805;catanduva;SP
Seller 684;89052;blumenau;SC
Seller 172;31255;belo horizonte;MG
Seller 871;15704;jales;SP
Seller 65;20270;rio de janeiro;RJ
Seller 2081;86060;londrina;PR
Seller 2441;12944;atibaia;SP
Seller 1724;86046;londrina;PR
Seller 1022;27321;barra mansa;RJ
Seller 130;5632;sao paulo;SP
Seller 1025;3161;sao paulo;SP
Seller 36;4782;sao paulo;SP
Seller 2436;14403;franca;SP
Seller 1414;87013;maringa;PR
Seller 445;9405;ribeirao pires;SP
Seller 571;2310;sao paulo;SP
Seller 34;4363;sao paulo;SP
Seller 1611;1539;sao paulo;SP
Seller 2854;13560;sao carlos;SP
Seller 1517;2238;sao paulo;SP
Seller 375;15055;sao jose do rio preto;SP
Seller 2985;82220;curitiba;PR
Seller 2015;17520;marilia;SP
Seller 1454;3060;sao paulo;SP
Seller 2074;9443;ribeirao pires;SP
Seller 2115;14096;ribeirao preto;SP
Seller 2016;48602;bahia;BA
Seller 1598;91740;porto alegre;RS
Seller 1577;86047;londrina;PR
Seller 1428;85807;cascavel;PR
Seller 2337;12020;taubate;SP
Seller 2313;85802;cascavael;PR
Seller 2194;1320;sao paulo;SP
Seller 992;12250;monteiro lobato;SP
Seller 2718;81250;curitiba;PR
Seller 772;29138;viana;ES
Seller 1338;7145;guarulhos;SP
Seller 2827;88107;sao jose;SC
Seller 1152;25850;paraiba do sul;RJ
Seller 28;13730;mococa;SP
Seller 2682;18130;sao roque;SP
Seller 2409;37900;passos;MG
Seller 759;14940;ibitinga;SP
Seller 1017;85603;francisco beltrao;PR
Seller 433;3821;sao paulo;SP
Seller 1885;36512;tocantins;SP
Seller 1406;76400;uruacu;GO
Seller 237;87083;maringa;PR
Seller 1706;74473;goiania;GO
Seller 618;21931;rio de janeiro;RJ
Seller 2670;14055;ribeirao preto;SP
Seller 1953;88210;porto belo;SC
Seller 696;13105;campinas;SP
Seller 1154;26255;nova iguacu;RJ
Seller 1872;3343;sao paulo;SP
Seller 2946;17512;marilia;SP
Seller 183;88820;icara;SC
Seller 923;3543;sao paulo;SP
Seller 1157;95910;lajeado;RS
Seller 575;3694;sao paulo;SP
Seller 3039;3029;sao paulo;SP
Seller 533;37540;santa rita do sapucai;MG
Seller 2552;13042;campinas;SP
Seller 620;1201;sao paulo;SP
Seller 514;9230;santo andre;SP
Seller 251;88359;brusque;SC
Seller 2190;98920;horizontina;RS
Seller 2572;4364;sao paulo;SP
Seller 1832;3416;sao paulo;SP
Seller 1300;9350;maua;SP
Seller 1274;1214;sao paulo;SP
Seller 2778;2880;sao paulo;SP
Seller 1754;9220;santo andre;SP
Seller 497;18110;votorantim;SP
Seller 1160;35530;claudio;MG
Seller 1515;93700;campo bom;RS
Seller 2491;3659;sao paulo;SP
Seller 428;1123;sao paulo;SP
Seller 775;15910;monte alto;SP
Seller 2603;3103;sao paulo;SP
Seller 163;14078;ribeirao preto;SP
Seller 1199;15601;fernandopolis;SP
Seller 2247;89041;blumenau;SC
Seller 1539;17500;marilia;SP
Seller 2346;84010;ponta grossa;PR
Seller 1416;7093;guarulhos;SP
Seller 1351;31560;belo horizonte;MG
Seller 3028;13920;pedreira;SP
Seller 54;86800;apucarana;PR
Seller 1347;7062;guarulhos;SP
Seller 231;88351;brusque;SC
Seller 336;8550;poa;SP
Seller 1110;3471;sao paulo;SP
Seller 548;87047;maringa;PR
Seller 2063;82040;curitiba;PR
Seller 114;15025;sao jose do rio preto;SP
Seller 863;35500;divinopolis;MG
Seller 2693;13450;santa barbara d´oeste;SP
Seller 3020;92025;canoas;RS
Seller 860;13310;itu;SP
Seller 1189;89217;joinville;SC
Seller 1200;13375;mombuca;SP
Seller 50;9628;sao bernardo do campo;SP
Seller 2716;6539;santana de parnaiba;SP
Seller 1255;81350;curitiba;PR
Seller 2754;86040;londrina;PR
Seller 1613;14405;franca;SP
Seller 2328;35700;sete lagoas;MG
Seller 645;37165;campo do meio;MG
Seller 2813;85904;toledo;PR
Seller 2680;8780;mogi das cruzes;SP
Seller 2171;13219;jundiai;SP
Seller 1818;17509;marilia;SP
Seller 2334;60741;fortaleza;CE
Seller 2151;3311;sao paulo;SP
Seller 517;13490;cordeiropolis;SP
Seller 2539;38410;uberlandia;MG
Seller 946;75123;anapolis;GO
Seller 1144;14092;ribeirao preto;SP
Seller 2498;15085;sao jose do rio preto;SP
Seller 1354;4578;sao paulo;SP
Seller 2715;91310;porto alegre;RS
Seller 66;20756;rio de janeiro;RJ
Seller 78;1233;sao paulo;SP
Seller 2525;8223;sao paulo;SP
Seller 1711;4782;sao paulo;SP
Seller 107;83402;colombo;PR
Seller 2219;9920;diadema;SP
Seller 529;13419;piracicaba;SP
Seller 1177;20021;rio de janeiro;RJ
Seller 800;18072;sorocaba;SP
Seller 1729;13456;santa barbara d oeste;SP
Seller 342;86702;arapongas;PR
Seller 374;27277;volta redonda;SP
Seller 1263;13660;porto ferreira;SP
Seller 97;89030;blumenau;SC
Seller 2793;6787;taboao da serra;SP
Seller 1788;22790;04482255;RJ
Seller 2678;16072;aracatuba;SP
Seller 1985;81830;curitiba;PR
Seller 1032;74210;goiania;GO
Seller 2502;16200;birigui;SP
Seller 1809;18070;sorocaba;SP
Seller 580;37580;monte siao;MG
Seller 995;13073;campinas;SP
Seller 457;89248;garuva;SC
Seller 845;38650;bonfinopolis de minas;MG
Seller 201;13150;cosmopolis;SP
Seller 603;14092;ribeirao preto;SP
Seller 2694;15800;catanduva;SP
Seller 1899;1215;sao paulo;SP
Seller 53;24451;sao goncalo;RJ
Seller 2013;4386;sao paulo;SP
Seller 681;5547;sao paulo;SP
Seller 1480;21070;rio de janeiro;RJ
Seller 1659;37706;pocos de caldas;MG
Seller 3000;24725;sao goncalo;RJ
Seller 2735;13160;artur nogueira;SP
Seller 1433;11015;santos;SP
Seller 2981;4209;sao paulo;SP
Seller 1098;30575;belo horizonte;MG
Seller 2394;6513;santana de parnaiba;SP
Seller 1459;20520;rio de janeiro;RJ
Seller 1184;58030;joao pessoa;PB
Seller 2431;17300;dois corregos;SP
Seller 3014;89245;araquari;SC
Seller 1513;1220;sao paulo;SP
Seller 12;90230;porto alegre;RS
Seller 2278;83075;sao jose dos pinhais;PR
Seller 2;31570;belo horizonte;SP
Seller 148;36500;uba;MG
Seller 2767;93310;novo hamburgo, rio grande do sul, brasil;RS
Seller 2733;84035;ponta grossa;PR
Seller 960;80330;curitiba;PR
Seller 2179;89218;joinville;SC
Seller 1629;88056;floranopolis;SC
Seller 2184;15155;jaci;SP
Seller 248;13170;sumare;SP
Seller 1174;83070;sao jose dos pinhais;PR
Seller 1;9350;maua;SP
Seller 3046;85980;guaira;PR
Seller 2048;2118;sao paulo;SP
Seller 1477;12242;sao jose dos campos;SP
Seller 2587;29313;cachoeiro de itapemirim;ES
Seller 1100;14150;serrana;SP
Seller 1934;5108;sao paulo;SP
Seller 1253;86604;rolandia;PR
Seller 2395;4360;sao paulo;SP
Seller 1363;23062;rio de janeiro;RJ
Seller 964;3029;sao paulo;SP
Seller 2744;4054;sao paulo;SP
Seller 653;36415;congonhas;MG
Seller 1920;15046;sao jose do rio preto;SP
Seller 915;5537;sao paulo;SP
Seller 1666;12943;atibaia;SP
Seller 2929;6852;itapecerica da serra;SP
Seller 2427;83091;sao  jose dos pinhais;PR
Seller 2041;18035;sorocaba;SP
Seller 1286;18550;boituva;SP
Seller 117;13405;piracicaba;SP
Seller 980;3275;sao paulo;SP
Seller 626;14400;franca;SP
Seller 1782;88495;garopaba;SC
Seller 98;90010;porto alegre;RS
Seller 3038;17604;tupa;SP
Seller 1117;3612;sao paulo;SP
Seller 2962;5268;sao paulo;SP
Seller 83;13660;porto ferreira;SP
Seller 2124;3059;sao paulo;SP
Seller 1141;7600;mairipora;SP
Seller 378;1547;sao paulo;SP
Seller 785;13041;campinas;SP
Seller 2243;16480;guaimbe;SP
Seller 966;95360;parai;RS
Seller 2861;17700;osvaldo cruz;SP
Seller 2604;9862;sao bernardo do campo;SP
Seller 1826;37706;pocos de caldas;MG
Seller 730;28495;aperibe;RJ
Seller 2910;35500;divinopolis;MG
Seller 3002;1021;sao paulo;SP
Seller 2617;17605;tupa;SP
Seller 550;80610;curitiba;PR
Seller 1804;18053;sorocaba;SP
Seller 612;88715;jaguaruna;SC
Seller 1222;86707;arapongas;PR
Seller 2774;26210;nova iguacu;RJ
Seller 255;8250;sao paulo;SP
Seller 2725;29101;vila velha;SP
Seller 1965;14801;araraquara;SP
Seller 1273;9182;santo andre;SP
Seller 2493;89210;joinville;SC
Seller 1575;13085;campinas;SP
Seller 2595;21070;rio de janeiro;RJ
Seller 687;7194;guarulhos;SP
Seller 1880;36052;juiz de fora;MG
Seller 1120;23080;rio de janeiro;RJ
Seller 287;38230;fronteira;MG
Seller 643;14960;novo horizonte;SP
Seller 276;18185;pilar do sul;SP
Seller 725;15840;itajobi;SP
Seller 2089;87050;maringa;PR
Seller 3034;4815;sao paulo;SP
Seller 1897;29142;cariacica / es;ES
Seller 2979;36320;prados;MG
Seller 2850;88020;florianopolis;SC
Seller 2549;13560;sao carlos;SP
Seller 2740;11065;santos;SP
Seller 503;8598;itaquaquecetuba;SP
Seller 1049;62170;mucambo;CE
Seller 1259;83409;colombo;PR
Seller 2156;13504;rio claro;SP
Seller 56;14940;ibitinga;SP
Seller 49;95705;bento goncalves;RS
Seller 1579;4041;sao paulo;SP
Seller 1908;12080;taubate;SP
Seller 836;81210;curitiba;PR
Seller 1345;87050;maringa;PR
Seller 2983;86026;londrina;PR
Seller 3018;1244;sao paulo;SP
Seller 2937;39400;montes claros;MG
Seller 142;82810;curitiba;PR
Seller 1573;4613;sao paulo;SP
Seller 2932;9694;sao bernardo do campo;SP
Seller 44;11701;praia grande;SP
Seller 1261;7152;guarulhos;SP
Seller 2240;92310;canoas;RS
Seller 972;82510;curitiba;PR
Seller 848;36570;vicosa;MG
Seller 3004;13090;campinas;SP
Seller 1652;5201;sao paulo;SP
Seller 55;3126;sao paulo;SP
Seller 1362;21041;rio de janeiro;RJ
Seller 1314;82130;curitiba;PR
Seller 1735;76804;porto velho;RO
Seller 2878;40130;salvador;BA
Seller 999;13720;sao jose do rio pardo;SP
Seller 2082;32260;contagem;MG
Seller 2455;85501;pato branco;PR
Seller 755;36301;sao joao del rei;MG
Seller 1465;14091;ribeirao preto;SP
Seller 640;19042;presidente prudente;SP
Seller 2991;8743;mogi das cruzes;SP
Seller 2821;26600;paracambi;RJ
Seller 1684;13312;itu;SP
Seller 293;13930;serra negra;SP
Seller 1191;15052;sao jose do rio preto;SP
Seller 379;9541;sao caetano do sul;SP
Seller 2915;1420;sao paulo;SP
Seller 174;1239;sao paulo;SP
Seller 2316;13418;piracicaba;SP
Seller 2822;13820;jaguariuna;SP
Seller 2663;4001;sao paulo;SP
Seller 948;17051;bauru;SP
Seller 599;15081;sao jose do rio preto;SP
Seller 2622;9550;sao caetano do sul;SP
Seller 2157;89256;jaragua do sul;SC
Seller 2434;2523;sao paulo;SP
Seller 1828;5462;sao paulo;SP
Seller 2939;83411;colombo;PR
Seller 1385;89069;blumenau;SC
Seller 1944;36010;juiz de fora;SP
Seller 2833;4154;sao paulo;SP
Seller 1476;28660;bom jardim;RJ
Seller 2213;58385;serra redonda;PB
Seller 2076;82800;curitiba;PR
Seller 1343;4133;sao paulo;SP
Seller 1651;2851;sao paulo;SP
Seller 2921;89240;sao francisco do sul;SC
Seller 2747;7052;guarulhos;SP
Seller 1114;29104;vila velha;ES
Seller 2616;19010;presidente prudente;SP
Seller 2665;32672;betim;MG
Seller 858;1303;sao paulo;SP
Seller 109;4676;sao paulo;SP
Seller 132;3910;sao paulo;SP
Seller 541;81200;curitiba;PR
Seller 779;9411;ribeirao pires;SP
Seller 2802;81070;curitiba;PR
Seller 2175;84430;imbituva;PR
Seller 1358;83280;guaratuba;PR
Seller 1597;91520;porto alegre;SP
Seller 2215;5615;sao paulo;SP
Seller 882;64033;teresina;PI
Seller 2749;4164;sao paulo;SP
Seller 1297;91360;porto alegre;RS
Seller 1898;14406;franca;SP
Seller 2632;89900;sao miguel d'oeste;SC
Seller 1757;18550;boituva;SP
Seller 2317;12941;atibaia;SP
Seller 381;12230;sao jose dos campos;SP
Seller 2517;18132;sao roque;SP
Seller 1407;86820;california;PR
Seller 2377;8020;sao paulo;SP
Seller 662;14802;araraquara;SP
Seller 376;7135;guarulhos;SP
Seller 2535;17600;tupa;SP
Seller 2344;2562;sao paulo;SP
Seller 1791;84920;japira;PR
Seller 1418;20751;rio de janeiro;RJ
Seller 2901;70610;brasilia;DF
Seller 1005;9190;santo andre;SP
Seller 1675;85851;foz do iguacu;PR
Seller 1230;12080;taubate;SP
Seller 508;9780;sao bernardo do campo;SP
Seller 91;13483;limeira;SP
Seller 1871;13180;sumare;SP
Seller 724;2215;sao paulo;SP
Seller 773;8583;itaquaquecetuba;SP
Seller 2945;28633;nova friburgo;RJ
Seller 2265;21862;rio de janeiro;RJ
Seller 670;4438;sao paulo;SP
Seller 2102;3521;sao paulo;SP
Seller 2195;30120;belo horizonte;MG
Seller 187;37975;itau de minas;MG
Seller 1927;3654;sao paulo;SP
Seller 1055;36050;juiz de fora;MG
Seller 221;88085;florianopolis;SC
Seller 2784;5171;sao paulo;SP
Seller 2625;16200;birigui;SP
Seller 2869;35540;oliveira;MG
Seller 1708;34710;sabara;MG
Seller 2360;19865;pedrinhas paulista;SP
Seller 2170;9810;sao bernardo do campo;SP
Seller 1963;31510;belo horizonte;MG
Seller 2158;2515;sao paulo;SP
Seller 1881;15500;votuporanga;SP
Seller 644;19025;presidente prudente;SP
Seller 1709;13825;holambra;SP
Seller 2204;8752;mogi das cruzes;SP
Seller 2576;88901;ararangua;SC
Seller 1037;83324;pinhais;PR
Seller 2238;2117;sao paulo;SP
