product_id;product_category;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm
Product 23600;WATCHES_GIFTS;58;899;2;335;17;11;12
Product 16680;BED_BATH_TABLE;49;701;1;1300;50;12;12
Product 24123;FURNITURE_DECOR;47;1405;3;150;35;2;25
Product 27357;COMPUTERS_ACCESSORIES;59;504;3;367;16;4;11
Product 6225;WATCHES_GIFTS;57;276;4;250;16;2;11
Product 27712;FURNITURE_DECOR;46;287;1;8500;75;25;55
Product 19537;BABY;46;1039;1;2150;42;25;15
Product 15990;SPORTS_LEISURE;56;663;4;150;16;5;11
Product 7465;BED_BATH_TABLE;39;170;1;650;27;10;22
Product 27664;SMALL_APPLIANCES;53;794;4;2700;20;26;32
Product 10441;HOUSEWARES;56;414;1;1200;23;22;16
Product 26199;FURNITURE_LIVING_ROOM;36;312;2;6050;55;10;46
Product 17995;SPORTS_LEISURE;53;425;1;150;16;6;11
Product 3149;HOME_CONSTRUCTION;58;918;6;1050;16;20;16
Product 12987;PET_SHOP;36;617;1;1350;23;7;30
Product 5796;HOUSEWARES;41;270;1;600;36;6;19
Product 14635;FURNITURE_DECOR;22;275;1;1000;30;18;18
Product 19543;BED_BATH_TABLE;58;381;2;1550;43;8;33
Product 13801;BED_BATH_TABLE;58;223;1;2700;45;13;35
Product 26506;TELEPHONY;63;1930;9;200;19;5;11
Product 11823;LUGGAGE_ACCESSORIES;51;244;1;800;38;8;28
Product 28304;PERFUMERY;56;733;3;377;18;13;15
Product 23280;SPORTS_LEISURE;52;1049;3;400;45;22;43
Product 22529;SIGNALING_AND_SECURITY;51;1212;1;450;16;5;16
Product 5197;AIR_CONDITIONING;30;547;1;2000;32;51;16
Product 28712;FASHION_BAGS_ACCESSORIES;53;1398;1;300;16;2;11
Product 28190;FURNITURE_DECOR;34;160;1;250;26;14;14
Product 16264;SPORTS_LEISURE;57;245;2;1950;60;15;15
Product 23097;TELEPHONY;50;1254;2;500;16;15;11
Product 30289;#N/A;;;;300;16;7;20
Product 19496;ART;59;1431;6;7900;70;15;70
Product 29513;BED_BATH_TABLE;53;261;2;1800;41;9;34
Product 9431;GARDEN_TOOLS;60;884;1;900;37;3;23
Product 25648;FASHION_BAGS_ACCESSORIES;52;68;7;200;16;2;11
Product 21726;BABY;30;410;4;4500;80;70;28
Product 25538;CONSOLES_GAMES;48;303;3;250;21;7;15
Product 6156;HOUSEWARES;59;943;1;550;16;25;12
Product 28856;LUGGAGE_ACCESSORIES;49;540;4;1100;39;12;28
Product 4804;BED_BATH_TABLE;53;222;1;3600;40;20;40
Product 27648;CONSOLES_GAMES;56;235;1;100;16;3;11
Product 8135;SPORTS_LEISURE;50;329;2;150;16;18;16
Product 11273;SPORTS_LEISURE;55;144;1;3775;18;13;16
Product 308;COOL_STUFF;59;797;2;1400;25;20;20
Product 6817;CONSOLES_GAMES;53;439;5;900;22;7;18
Product 2295;WATCHES_GIFTS;60;438;2;250;20;12;20
Product 5917;TOYS;55;852;1;350;21;9;16
Product 21672;BABY;39;805;3;1800;18;32;27
Product 17919;FURNITURE_LIVING_ROOM;52;420;2;5050;50;8;50
Product 15588;AUTO;58;386;1;27100;50;50;50
Product 20953;HOME_APPLIANCES;50;273;1;1500;65;8;38
Product 28000;WATCHES_GIFTS;43;572;2;500;16;11;11
Product 8466;BED_BATH_TABLE;52;700;2;350;16;10;16
Product 14150;AUTO;47;1548;3;500;16;12;17
Product 1209;SPORTS_LEISURE;55;448;1;1000;20;20;20
Product 7132;#N/A;;;;18500;41;30;41
Product 13824;TOYS;51;410;2;300;24;11;24
Product 22041;HEALTH_BEAUTY;59;257;1;250;16;2;20
Product 26847;HEALTH_BEAUTY;51;863;1;10700;40;40;40
Product 19738;HOUSEWARES;29;290;1;1700;32;21;22
Product 30899;GARDEN_TOOLS;31;680;1;7700;39;28;25
Product 1314;SPORTS_LEISURE;57;785;4;5200;20;60;35
Product 66;TELEPHONY;51;244;1;125;17;10;14
Product 27505;OFFICE_FURNITURE;50;2220;1;15700;58;28;58
Product 30152;WATCHES_GIFTS;53;599;2;350;16;11;11
Product 29721;SPORTS_LEISURE;57;649;1;213;16;10;13
Product 21542;FASHION_BAGS_ACCESSORIES;30;401;3;150;16;11;11
Product 27183;AUTO;35;907;3;18200;56;15;15
Product 4238;HOUSEWARES;38;390;1;850;18;21;15
Product 26950;HOME_CONSTRUCTION;55;918;6;1050;16;20;16
Product 13618;FASHION_BAGS_ACCESSORIES;48;382;5;200;16;9;11
Product 13971;HOUSEWARES;32;42;1;300;16;15;11
Product 7842;COMPUTERS_ACCESSORIES;47;764;1;200;23;9;13
Product 28232;SPORTS_LEISURE;52;406;1;800;20;25;25
Product 338;STATIONERY;50;198;2;200;24;7;14
Product 15941;SPORTS_LEISURE;50;853;1;698;46;10;14
Product 2979;TELEPHONY;59;776;6;350;17;4;12
Product 20240;BOOKS_GENERAL_INTEREST;50;2913;3;1000;24;5;17
Product 13040;COMPUTERS_ACCESSORIES;53;585;1;783;21;13;28
Product 8083;PERFUMERY;48;1063;2;600;20;20;20
Product 9159;TOYS;47;181;1;11650;55;30;30
Product 7330;COSTRUCTION_TOOLS_TOOLS;42;369;1;400;16;2;11
Product 3331;TOYS;25;274;1;3050;40;10;40
Product 31193;TELEPHONY;50;744;1;100;16;3;11
Product 8307;GARDEN_TOOLS;44;2395;1;16500;40;25;26
Product 29699;HOUSEWARES;59;470;2;750;34;14;24
Product 8459;FASHION_UNDERWEAR_BEACH;39;422;1;250;36;4;20
Product 22096;LUGGAGE_ACCESSORIES;59;413;3;2300;84;14;20
Product 13792;ELECTRONICS;37;374;1;1350;33;12;26
Product 30917;HOUSEWARES;22;388;3;530;17;20;20
Product 20516;AUTO;59;162;1;1300;20;20;20
Product 30409;FASHION_SHOES;59;605;5;4000;57;14;36
Product 12163;SPORTS_LEISURE;52;234;4;8150;20;20;20
Product 1681;CONSTRUCTION_TOOLS_CONSTRUCTION;57;272;1;2200;16;2;11
Product 3223;HEALTH_BEAUTY;55;1029;1;1150;20;25;20
Product 2203;WATCHES_GIFTS;60;312;4;200;16;2;11
Product 21335;FURNITURE_DECOR;63;244;4;600;29;12;23
Product 22922;#N/A;;;;300;35;7;12
Product 1247;BED_BATH_TABLE;48;645;1;1200;16;10;16
Product 2568;COOL_STUFF;50;268;5;10664;61;63;35
Product 27389;HOUSEWARES;43;2148;2;1800;50;12;36
Product 6617;SPORTS_LEISURE;47;154;3;500;16;2;11
Product 299;STATIONERY;48;501;1;258;19;12;19
Product 14225;STATIONERY;59;209;1;1400;16;44;37
Product 11307;TOYS;59;640;1;400;35;7;35
Product 12546;AIR_CONDITIONING;58;655;5;1300;30;10;30
Product 18553;BED_BATH_TABLE;55;315;2;1000;30;10;25
Product 1369;PET_SHOP;52;1290;3;1300;30;10;18
Product 23329;BABY;55;224;2;6000;75;15;50
Product 12486;COMPUTERS_ACCESSORIES;50;281;4;300;35;5;25
Product 5583;BED_BATH_TABLE;57;74;1;250;20;2;15
Product 589;PERFUMERY;45;1003;2;400;18;11;11
Product 4219;ELECTRONICS;32;1274;1;250;16;10;30
Product 7051;TOYS;57;1532;2;1250;29;19;22
Product 31541;FASHION_MALE_CLOTHING;47;1026;2;950;40;6;40
Product 20323;PET_SHOP;54;261;6;2000;30;34;17
Product 16976;BABY;56;1395;7;13575;71;81;44
Product 30888;HEALTH_BEAUTY;60;537;1;667;17;16;16
Product 19760;WATCHES_GIFTS;55;457;2;267;17;11;12
Product 9535;BED_BATH_TABLE;60;609;2;1750;45;20;40
Product 14457;HEALTH_BEAUTY;52;1113;1;150;16;12;11
Product 11027;TOYS;48;135;1;10550;65;7;45
Product 22302;HOUSEWARES;57;1298;1;1725;100;35;16
Product 30145;LUGGAGE_ACCESSORIES;43;215;1;700;45;10;31
Product 10066;SPORTS_LEISURE;29;1318;1;400;34;16;16
Product 12106;STATIONERY;23;146;3;300;30;10;20
Product 27879;HOME_CONSTRUCTION;59;1582;1;5850;60;25;25
Product 16271;WATCHES_GIFTS;47;687;1;267;17;11;13
Product 17682;BED_BATH_TABLE;53;155;2;1500;39;12;25
Product 5043;COOL_STUFF;42;727;1;400;24;16;14
Product 12437;SPORTS_LEISURE;54;3830;1;1300;31;32;31
Product 6976;HOUSEWARES;58;172;1;400;16;10;14
Product 4998;ART;32;195;1;150;25;2;19
Product 8031;HEALTH_BEAUTY;40;654;1;650;25;13;14
Product 29713;CONSOLES_GAMES;44;421;1;706;32;8;38
Product 10782;FASHION_BAGS_ACCESSORIES;59;251;1;300;25;10;25
Product 29887;BED_BATH_TABLE;41;242;1;4850;75;5;50
Product 23532;AUTO;51;1741;1;825;20;24;15
Product 8849;COMPUTERS_ACCESSORIES;31;432;1;600;46;3;15
Product 26532;SPORTS_LEISURE;53;527;2;700;23;9;11
Product 26751;FURNITURE_DECOR;51;1442;1;300;40;10;27
Product 27368;HOUSEWARES;55;471;2;1270;17;14;17
Product 10964;COSTRUCTION_TOOLS_TOOLS;40;338;1;450;20;2;11
Product 23254;#N/A;;;;2200;16;2;11
Product 24570;HOME_APPLIANCES;56;173;1;150;18;8;13
Product 11739;GARDEN_TOOLS;49;192;1;200;16;3;11
Product 529;KITCHEN_DINING_LAUNDRY_GARDEN_FURNITURE;50;859;1;10893;33;88;44
Product 30267;TOYS;29;566;2;1220;20;33;22
Product 26166;HEALTH_BEAUTY;53;1368;6;360;30;19;22
Product 820;ELECTRONICS;52;424;1;175;22;11;15
Product 27476;PET_SHOP;50;852;1;1900;50;13;70
Product 21867;SPORTS_LEISURE;37;621;5;250;20;20;20
Product 17336;BABY;58;1261;3;6950;85;11;50
Product 20470;HOUSEWARES;57;1094;1;1100;55;5;40
Product 24348;BABY;64;882;5;300;17;7;24
Product 28227;OFFICE_FURNITURE;41;2261;1;16500;58;28;58
Product 21121;LUGGAGE_ACCESSORIES;28;453;1;300;16;23;19
Product 6618;ELECTRONICS;25;813;1;1836;61;6;24
Product 3929;HEALTH_BEAUTY;59;822;1;175;18;22;16
Product 7947;TOYS;53;579;1;675;22;24;21
Product 17439;SPORTS_LEISURE;58;568;4;200;26;5;20
Product 20808;INDUSTRY_COMMERCE_AND_BUSINESS;58;1058;1;1200;30;20;30
Product 6351;COMPUTERS_ACCESSORIES;32;1074;2;200;39;2;30
Product 23865;OFFICE_FURNITURE;46;1193;2;16100;63;61;24
Product 7572;TELEPHONY;51;443;1;117;19;4;12
Product 29770;FIXED_TELEPHONY;27;1217;1;455;36;18;27
Product 7798;BED_BATH_TABLE;55;613;1;550;16;10;16
Product 17862;FASHION_SHOES;54;404;4;750;22;12;33
Product 392;COOL_STUFF;43;447;2;586;18;11;13
Product 29318;CONSTRUCTION_TOOLS_LIGHTS;57;919;6;540;16;27;16
Product 19465;SPORTS_LEISURE;42;2819;1;3700;30;20;20
Product 31224;HOUSEWARES;57;623;4;3150;30;17;30
Product 9163;BED_BATH_TABLE;57;296;1;2100;53;27;40
Product 582;CONSTRUCTION_TOOLS_SAFETY;51;1006;3;314;20;19;18
Product 2834;BED_BATH_TABLE;49;153;1;550;23;15;23
Product 29813;AUTO;55;978;1;13825;70;35;49
Product 29172;BED_BATH_TABLE;42;431;1;850;40;6;50
Product 14131;BABY;19;200;1;250;21;4;13
Product 11426;TOYS;55;1475;1;400;20;20;20
Product 28780;PERFUMERY;48;606;2;400;16;20;15
Product 14609;CONSOLES_GAMES;25;211;1;200;16;2;16
Product 7425;AUTO;60;1023;5;250;20;20;20
Product 24394;COMPUTERS_ACCESSORIES;53;813;4;1950;17;11;12
Product 28734;WATCHES_GIFTS;54;364;1;1050;30;45;11
Product 2705;AUTO;53;1373;4;400;16;7;11
Product 17518;MUSICAL_INSTRUMENTS;40;234;1;1000;56;9;22
Product 1516;SPORTS_LEISURE;39;772;1;150;16;16;11
Product 7945;HEALTH_BEAUTY;60;876;1;700;16;16;16
Product 8805;CONSOLES_GAMES;47;358;3;450;17;7;17
Product 19212;HEALTH_BEAUTY;29;556;1;2000;30;12;16
Product 16546;CONSTRUCTION_TOOLS_CONSTRUCTION;57;954;4;21400;20;20;20
Product 17568;#N/A;;;;300;16;7;11
Product 1400;COMPUTERS_ACCESSORIES;52;2515;1;188;20;16;15
Product 21581;FURNITURE_DECOR;56;646;1;300;16;30;20
Product 19633;FASHION_BAGS_ACCESSORIES;38;487;2;13600;26;60;40
Product 6953;FURNITURE_DECOR;50;1342;3;800;25;25;25
Product 23402;#N/A;;;;300;18;8;14
Product 5357;FURNITURE_DECOR;49;600;2;1400;65;12;12
Product 6229;WATCHES_GIFTS;50;295;1;650;13;11;12
Product 19977;CONSTRUCTION_TOOLS_CONSTRUCTION;37;2457;1;600;26;17;17
Product 23096;FURNITURE_DECOR;58;1969;2;3000;69;11;11
Product 26279;LUGGAGE_ACCESSORIES;45;224;1;950;46;10;33
Product 27921;FURNITURE_DECOR;51;582;2;17400;42;35;42
Product 22007;FASHION_MALE_CLOTHING;36;940;2;300;16;2;11
Product 13416;COMPUTERS_ACCESSORIES;52;1224;2;700;20;20;20
Product 25256;PET_SHOP;56;1545;2;625;21;16;17
Product 3158;GARDEN_TOOLS;44;586;3;3250;32;14;22
Product 19037;FASHION_SHOES;57;404;2;1500;22;12;33
Product 31537;BED_BATH_TABLE;54;228;1;250;32;3;23
Product 20871;GARDEN_TOOLS;41;198;1;425;31;6;12
Product 30475;AIR_CONDITIONING;56;1161;1;150;20;8;13
Product 21847;FURNITURE_DECOR;56;2028;3;350;68;8;13
Product 19081;FASHION_SHOES;44;284;12;300;29;7;16
Product 16421;TELEPHONY;49;276;12;100;19;3;11
Product 15059;AUTO;55;1658;3;550;16;21;18
Product 23124;AUTO;60;1541;1;1000;26;40;20
Product 30740;HOUSEWARES;55;998;3;14850;35;102;35
Product 18064;BABY;46;726;3;850;42;25;15
Product 25856;CONSOLES_GAMES;56;3354;4;1850;28;14;19
Product 19887;FASHION_BAGS_ACCESSORIES;54;1399;1;300;16;2;11
Product 14042;TELEPHONY;61;212;1;200;19;4;11
Product 13433;HEALTH_BEAUTY;46;803;1;150;22;3;15
Product 2318;SPORTS_LEISURE;55;1392;1;900;16;16;16
Product 10043;GARDEN_TOOLS;52;497;1;1900;44;19;19
Product 14002;BED_BATH_TABLE;50;171;1;1450;45;10;15
Product 1040;BOOKS_TECHNICAL;54;1162;1;1100;29;3;21
Product 4079;SPORTS_LEISURE;54;1241;5;200;16;11;11
Product 25107;SPORTS_LEISURE;43;1440;1;12600;20;10;20
Product 3455;HEALTH_BEAUTY;21;1000;1;1450;25;25;16
Product 5162;COOL_STUFF;49;733;3;800;42;25;15
Product 23766;PERFUMERY;50;749;1;1300;22;14;14
Product 29029;HEALTH_BEAUTY;45;802;1;150;22;3;15
Product 1454;ELECTRONICS;40;549;1;200;20;20;20
Product 6251;GARDEN_TOOLS;60;1177;3;11450;23;43;35
Product 9509;FURNITURE_DECOR;54;220;2;2200;20;20;20
Product 18053;HOME_APPLIANCES_2;38;2030;2;13200;66;19;67
Product 3434;FASHION_BAGS_ACCESSORIES;59;119;3;200;16;2;11
Product 8639;CONSOLES_GAMES;53;310;1;150;19;11;11
Product 14132;MUSICAL_INSTRUMENTS;51;439;3;3350;30;30;30
Product 17490;BED_BATH_TABLE;64;702;1;2200;42;11;36
Product 25930;OFFICE_FURNITURE;48;489;2;30000;50;50;30
Product 28532;BABY;59;255;2;500;30;8;35
Product 16118;BED_BATH_TABLE;51;487;1;1800;45;10;34
Product 6116;#N/A;;;;200;22;14;14
Product 16651;PARTY_SUPPLIES;58;134;1;1300;70;11;11
Product 29661;FASHION_BAGS_ACCESSORIES;51;372;2;150;16;9;11
Product 17789;LUGGAGE_ACCESSORIES;39;278;1;700;19;48;35
Product 24759;LUGGAGE_ACCESSORIES;32;1064;5;2900;40;55;30
Product 1249;FASHION_BAGS_ACCESSORIES;34;426;4;200;16;9;11
Product 23646;HEALTH_BEAUTY;45;1886;1;300;16;18;16
Product 153;STATIONERY;41;552;2;200;23;7;15
Product 10202;BED_BATH_TABLE;55;166;1;700;49;4;50
Product 9266;TELEPHONY;52;819;4;200;17;13;16
Product 25013;AIR_CONDITIONING;51;2959;4;7800;105;10;40
Product 6373;STATIONERY;53;500;2;550;16;4;11
Product 8075;WATCHES_GIFTS;60;460;4;200;16;2;11
Product 6957;BED_BATH_TABLE;41;208;2;1000;30;7;24
Product 16097;STATIONERY;52;219;1;1000;26;8;33
Product 5289;CONSTRUCTION_TOOLS_LIGHTS;49;527;4;1450;60;5;30
Product 23167;OFFICE_FURNITURE;41;1071;1;5850;45;55;16
Product 12599;BABY;59;348;2;8300;45;25;45
Product 17487;SPORTS_LEISURE;28;663;1;1800;28;12;18
Product 1071;SPORTS_LEISURE;50;1212;5;900;26;6;13
Product 4310;SPORTS_LEISURE;57;1156;1;415;19;19;19
Product 22933;TELEPHONY;51;1015;1;103;21;6;14
Product 9972;AUTO;42;878;2;500;20;8;14
Product 16604;STATIONERY;62;621;1;600;16;6;11
Product 9825;COMPUTERS_ACCESSORIES;59;1238;5;4750;18;22;30
Product 6848;WATCHES_GIFTS;37;610;1;263;18;15;16
Product 5838;BABY;52;446;1;50;16;2;11
Product 25097;PERFUMERY;46;499;1;200;16;22;11
Product 9983;BED_BATH_TABLE;44;331;1;360;36;6;26
Product 3303;COOL_STUFF;47;1392;1;150;16;7;12
Product 7803;SPORTS_LEISURE;61;211;4;1100;32;5;30
Product 853;FASHION_BAGS_ACCESSORIES;60;1118;6;2250;22;15;20
Product 10352;AUTO;59;633;5;1475;68;9;35
Product 4105;SPORTS_LEISURE;29;347;1;1600;100;7;11
Product 13849;HEALTH_BEAUTY;51;1918;1;1650;25;30;20
Product 7021;TOYS;59;3492;3;650;35;10;15
Product 23783;HOUSEWARES;22;663;1;900;21;34;34
Product 1026;TELEPHONY;42;356;4;75;19;3;11
Product 15277;GARDEN_TOOLS;60;481;4;600;19;7;14
Product 10094;FURNITURE_DECOR;47;470;3;400;35;6;15
Product 791;HOUSEWARES;45;561;2;553;18;9;15
Product 11259;BOOKS_GENERAL_INTEREST;42;1109;1;900;18;25;16
Product 9449;HOUSEWARES;37;261;2;250;25;25;25
Product 28691;OFFICE_FURNITURE;38;2088;1;14900;58;28;58
Product 21134;BED_BATH_TABLE;52;701;1;1100;16;10;16
Product 1342;FURNITURE_DECOR;56;945;2;2050;30;22;18
Product 21894;FURNITURE_DECOR;58;1953;1;850;69;11;11
Product 1727;BED_BATH_TABLE;58;744;1;350;16;10;16
Product 3840;GARDEN_TOOLS;45;616;3;1400;20;20;30
Product 2711;COMPUTERS_ACCESSORIES;60;789;4;200;20;20;20
Product 16939;COMPUTERS_ACCESSORIES;18;389;2;617;17;14;17
Product 16843;HOUSEWARES;21;718;1;2600;16;41;41
Product 6836;DRINKS;57;497;1;200;20;9;14
Product 5507;BED_BATH_TABLE;44;305;1;2000;49;16;39
Product 15826;HEALTH_BEAUTY;42;167;2;266;20;8;18
Product 15587;TELEPHONY;54;409;1;200;19;4;11
Product 7490;BABY;52;1659;1;300;68;7;13
Product 17591;PET_SHOP;59;140;1;300;16;16;16
Product 26368;WATCHES_GIFTS;54;182;1;200;16;2;20
Product 5460;SMALL_APPLIANCES;58;613;1;1300;20;16;20
Product 11138;SPORTS_LEISURE;50;1530;4;482;18;11;16
Product 19382;BED_BATH_TABLE;54;223;1;550;16;10;16
Product 25217;HEALTH_BEAUTY;48;762;1;270;16;16;15
Product 9783;TELEPHONY;60;818;6;300;17;4;12
Product 24891;MARKET_PLACE;50;257;3;2150;40;25;30
Product 20049;AUTO;58;894;1;3300;35;20;20
Product 24271;PERFUMERY;45;416;1;200;16;16;16
Product 10631;SPORTS_LEISURE;41;128;1;200;21;9;13
Product 6002;PERFUMERY;40;1176;1;514;18;12;15
Product 12626;HOME_CONSTRUCTION;37;426;2;3100;38;28;28
Product 3322;HOUSEWARES;42;395;1;1200;27;18;23
Product 5879;SPORTS_LEISURE;56;813;2;250;16;10;16
Product 18504;TOYS;35;537;2;7400;45;29;53
Product 31455;LA_CUISINE;57;232;1;7600;55;15;55
Product 16718;SPORTS_LEISURE;50;844;1;875;40;26;20
Product 29461;FURNITURE_DECOR;58;1047;3;700;35;7;27
Product 25323;OFFICE_FURNITURE;58;869;2;900;17;10;15
Product 349;SPORTS_LEISURE;28;733;6;700;49;12;27
Product 28423;COOL_STUFF;34;443;7;1150;28;10;25
Product 5797;COOL_STUFF;53;304;1;900;25;10;25
Product 5018;#N/A;;;;1400;25;25;25
Product 17360;BOOKS_TECHNICAL;60;1265;1;2050;29;5;21
Product 23990;HEALTH_BEAUTY;57;1571;1;2150;28;32;11
Product 29337;HEALTH_BEAUTY;58;1690;4;490;30;5;25
Product 16586;TOYS;59;1272;5;1000;30;13;30
Product 7713;COMPUTERS_ACCESSORIES;57;991;4;200;16;4;14
Product 13991;HOUSEWARES;31;580;2;500;19;13;20
Product 29662;BED_BATH_TABLE;50;208;1;500;16;10;16
Product 17834;#N/A;;;;4300;30;10;48
Product 31156;PERFUMERY;46;483;1;1000;20;14;13
Product 15808;AUTO;60;651;5;4200;78;4;47
Product 21739;PERFUMERY;60;773;1;350;16;11;11
Product 12425;TELEPHONY;43;533;2;125;19;3;11
Product 10084;TELEPHONY;46;660;2;100;19;3;11
Product 13381;HOUSEWARES;60;1206;4;4100;51;31;31
Product 16861;ELECTRONICS;56;505;2;200;20;20;20
Product 2216;CONSOLES_GAMES;39;319;4;300;23;3;11
Product 17825;HOUSEWARES;55;871;7;8400;50;28;31
Product 31292;HOUSEWARES;60;314;1;1550;46;10;35
