customer_unique_id;customer_zip_code_prefix;customer_city;customer_state
Customer 204;54430;jaboatao dos guararapes;PE
Customer 205;5451;sao paulo;SP
Customer 206;29395;ibatiba;ES
Customer 207;13188;hortolandia;SP
Customer 208;2376;sao paulo;SP
Customer 209;6719;cotia;SP
Customer 210;27915;macae;RJ
Customer 211;89868;saudades;SC
Customer 212;22220;rio de janeiro;RJ
Customer 213;68908;macapa;AP
Customer 214;18160;salto de pirapora;SP
Customer 215;6764;taboao da serra;SP
Customer 216;75570;bom jesus;GO
Customer 217;95124;caxias do sul;RS
Customer 218;38415;uberlandia;MG
Customer 219;18900;santa cruz do rio pardo;SP
Customer 220;9950;diadema;SP
Customer 221;45320;santa ines;BA
Customer 222;23075;rio de janeiro;RJ
Customer 223;48700;serrinha;BA
Customer 224;18112;votorantim;SP
Customer 225;13185;hortolandia;SP
Customer 226;27580;itatiaia;RJ
Customer 227;25245;duque de caxias;RJ
Customer 228;28375;varre-sai;RJ
Customer 229;21615;rio de janeiro;RJ
Customer 230;95095;caxias do sul;RS
Customer 231;20250;rio de janeiro;RJ
Customer 232;29101;vila velha;ES
Customer 233;13053;campinas;SP
Customer 234;23860;mangaratiba;RJ
Customer 235;12942;atibaia;SP
Customer 236;5450;sao paulo;SP
Customer 237;41706;salvador;BA
Customer 238;57046;maceio;AL
Customer 239;91350;porto alegre;RS
Customer 240;22620;rio de janeiro;RJ
Customer 241;16204;birigui;SP
Customer 242;14401;franca;SP
Customer 243;25675;petropolis;RJ
Customer 244;24220;niteroi;RJ
Customer 245;90240;porto alegre;RS
Customer 246;13520;sao pedro;SP
Customer 247;84200;jaguariaiva;PR
Customer 248;21515;rio de janeiro;RJ
Customer 249;7847;franco da rocha;SP
Customer 250;3609;sao paulo;SP
Customer 251;72220;brasilia;DF
Customer 252;12280;cacapava;SP
Customer 253;13212;jundiai;SP
Customer 254;41480;salvador;BA
Customer 255;12420;pindamonhangaba;SP
Customer 256;84500;irati;PR
Customer 257;18380;ribeira;SP
Customer 258;35160;ipatinga;MG
Customer 259;4455;sao paulo;SP
Customer 260;36200;barbacena;MG
Customer 261;55700;limoeiro;PE
Customer 262;76974;espigao do oeste;RO
Customer 263;26155;belford roxo;RJ
Customer 264;12215;sao jose dos campos;SP
Customer 265;70770;brasilia;DF
Customer 266;35171;coronel fabriciano;MG
Customer 267;9960;diadema;SP
Customer 268;72331;brasilia;DF
Customer 269;72225;brasilia;DF
Customer 270;11740;itanhaem;SP
Customer 271;74825;goiania;GO
Customer 272;14709;bebedouro;SP
Customer 273;13465;americana;SP
Customer 274;41308;salvador;BA
Customer 275;36500;uba;MG
Customer 276;86700;arapongas;PR
Customer 277;13287;vinhedo;SP
Customer 278;88304;itajai;SC
Customer 279;79823;dourados;MS
Customer 280;17033;bauru;SP
Customer 281;14850;pradopolis;SP
Customer 282;5171;sao paulo;SP
Customer 283;78325;aripuana;MT
Customer 284;12900;braganca paulista;SP
Customer 285;4374;sao paulo;SP
Customer 286;45840;guaratinga;BA
Customer 287;4190;sao paulo;SP
Customer 288;79904;ponta pora;MS
Customer 289;16011;aracatuba;SP
Customer 290;27265;volta redonda;RJ
Customer 291;87025;maringa;PR
Customer 292;7197;guarulhos;SP
Customer 293;1527;sao paulo;SP
Customer 294;4845;sao paulo;SP
Customer 295;14802;araraquara;SP
Customer 296;35367;matipo;MG
Customer 297;24230;niteroi;RJ
Customer 298;36205;barbacena;MG
Customer 299;91130;porto alegre;RS
Customer 300;95500;santo antonio da patrulha;RS
Customer 301;1230;sao paulo;SP
Customer 302;91760;porto alegre;RS
Customer 303;27351;barra mansa;RJ
Customer 304;60181;fortaleza;CE
Customer 305;39100;diamantina;MG
Customer 306;30330;belo horizonte;MG
Customer 307;71505;brasilia;DF
Customer 308;87050;maringa;PR
Customer 309;41720;salvador;BA
Customer 310;4003;sao paulo;SP
Customer 311;27913;macae;RJ
Customer 312;5792;sao paulo;SP
Customer 313;18120;mairinque;SP
Customer 314;31615;belo horizonte;MG
Customer 315;85790;capitao leonidas marques;PR
Customer 316;20735;rio de janeiro;RJ
Customer 317;37950;sao sebastiao do paraiso;MG
Customer 318;22240;rio de janeiro;RJ
Customer 319;25645;petropolis;RJ
Customer 320;2802;sao paulo;SP
Customer 321;4744;sao paulo;SP
Customer 322;3704;sao paulo;SP
Customer 323;13416;piracicaba;SP
Customer 324;26115;belford roxo;RJ
Customer 325;73035;brasilia;DF
Customer 326;74580;goiania;GO
Customer 327;97590;rosario do sul;RS
Customer 328;23820;itaguai;RJ
Customer 329;3579;sao paulo;SP
Customer 330;11420;guaruja;SP
Customer 331;35774;paraopeba;MG
Customer 332;9271;santo andre;SP
Customer 333;13041;campinas;SP
Customer 334;1321;sao paulo;SP
Customer 335;20240;rio de janeiro;RJ
Customer 336;31555;belo horizonte;MG
Customer 337;85012;guarapuava;PR
Customer 338;39885;crisolita;MG
Customer 339;27175;pirai;RJ
Customer 340;57062;maceio;AL
Customer 341;29903;linhares;ES
Customer 342;17120;agudos;SP
Customer 343;2435;sao paulo;SP
Customer 344;4116;sao paulo;SP
Customer 345;21010;rio de janeiro;RJ
Customer 346;25545;sao joao de meriti;RJ
Customer 347;3105;sao paulo;SP
Customer 348;21616;rio de janeiro;RJ
Customer 349;88370;navegantes;SC
Customer 350;13641;pirassununga;SP
Customer 351;9686;sao bernardo do campo;SP
Customer 352;89694;faxinal dos guedes;SC
Customer 353;7251;guarulhos;SP
Customer 354;71908;brasilia;DF
Customer 355;72300;brasilia;DF
Customer 356;88805;criciuma;SC
Customer 357;29830;nova venecia;ES
Customer 358;99010;passo fundo;RS
Customer 359;2230;sao paulo;SP
Customer 360;38400;uberlandia;MG
Customer 361;6386;carapicuiba;SP
Customer 362;20780;rio de janeiro;RJ
Customer 363;38950;ibia;MG
Customer 364;74986;aparecida de goiania;GO
Customer 365;1310;sao paulo;SP
Customer 366;11045;santos;SP
Customer 367;36900;manhuacu;MG
Customer 368;13178;sumare;SP
Customer 369;68371;altamira;PA
Customer 370;74423;goiania;GO
Customer 371;22231;rio de janeiro;RJ
Customer 372;88110;sao jose;SC
Customer 373;3718;sao paulo;SP
Customer 374;28495;aperibe;RJ
Customer 375;11320;sao vicente;SP
Customer 376;16010;aracatuba;SP
Customer 377;78015;cuiaba;MT
Customer 378;92320;canoas;RS
Customer 379;32140;contagem;MG
Customer 380;31330;belo horizonte;MG
Customer 381;5093;sao paulo;SP
Customer 382;30441;belo horizonte;MG
Customer 383;11547;cubatao;SP
Customer 384;87030;maringa;PR
Customer 385;3923;sao paulo;SP
Customer 386;13232;campo limpo paulista;SP
Customer 387;86181;cambe;PR
Customer 388;8576;itaquaquecetuba;SP
Customer 389;9551;sao caetano do sul;SP
Customer 390;12243;sao jose dos campos;SP
Customer 391;5894;sao paulo;SP
Customer 392;3574;sao paulo;SP
Customer 393;39404;montes claros;MG
Customer 394;40323;salvador;BA
Customer 395;30240;belo horizonte;MG
Customer 396;24240;niteroi;RJ
Customer 397;22440;rio de janeiro;RJ
Customer 398;7020;guarulhos;SP
Customer 399;5596;sao paulo;SP
Customer 400;35935;sao goncalo do rio abaixo;MG
Customer 401;86600;rolandia;PR
Customer 402;37410;tres coracoes;MG
Customer 403;96570;cacapava do sul;RS
Customer 404;2435;sao paulo;SP
Customer 405;1424;sao paulo;SP
Customer 406;1537;sao paulo;SP
Customer 407;14050;ribeirao preto;SP
Customer 408;24722;sao goncalo;RJ
Customer 409;36680;sao joao nepomuceno;MG
Customer 410;6722;cotia;SP
Customer 411;24220;niteroi;RJ
Customer 412;92035;canoas;RS
Customer 413;22451;rio de janeiro;RJ
Customer 414;74160;goiania;GO
Customer 415;13610;leme;SP
Customer 416;13600;araras;SP
Customer 417;13201;jundiai;SP
Customer 418;55525;cortes;PE
Customer 419;35164;ipatinga;MG
Customer 420;3183;sao paulo;SP
Customer 421;14051;ribeirao preto;SP
Customer 422;88351;brusque;SC
Customer 423;60055;fortaleza;CE
Customer 424;95780;montenegro;RS
Customer 425;76630;itaberai;GO
Customer 426;12413;pindamonhangaba;SP
Customer 427;72620;brasilia;DF
Customer 428;14270;santa rosa de viterbo;SP
Customer 429;73780;agua fria de goias;GO
Customer 430;11065;santos;SP
Customer 431;99150;marau;RS
Customer 432;35790;curvelo;MG
Customer 433;24060;niteroi;RJ
Customer 434;36080;juiz de fora;MG
Customer 435;38408;uberlandia;MG
Customer 436;13843;mogi-guacu;SP
Customer 437;24350;niteroi;RJ
Customer 438;8150;sao paulo;SP
Customer 439;2559;sao paulo;SP
Customer 440;3755;sao paulo;SP
Customer 441;1227;sao paulo;SP
Customer 442;30575;belo horizonte;MG
Customer 443;6286;osasco;SP
Customer 444;4001;sao paulo;SP
Customer 445;12503;guaratingueta;SP
Customer 446;9895;sao bernardo do campo;SP
Customer 447;83209;paranagua;PR
Customer 448;16403;lins;SP
Customer 449;4401;sao paulo;SP
Customer 450;93700;campo bom;RS
Customer 451;14170;sertaozinho;SP
Customer 452;2846;sao paulo;SP
Customer 453;79640;tres lagoas;MS
Customer 454;6765;taboao da serra;SP
Customer 455;32044;contagem;MG
Customer 456;24230;niteroi;RJ
Customer 457;9250;santo andre;SP
Customer 458;4160;sao paulo;SP
Customer 459;17208;jau;SP
Customer 460;81250;curitiba;PR
Customer 461;95780;montenegro;RS
Customer 462;88106;sao jose;SC
Customer 463;78307;campos de julio;MT
Customer 464;28999;saquarema;RJ
Customer 465;9530;sao caetano do sul;SP
Customer 466;13160;artur nogueira;SP
Customer 467;48950;uaua;BA
Customer 468;4342;sao paulo;SP
Customer 469;6624;jandira;SP
Customer 470;30431;belo horizonte;MG
Customer 471;4182;sao paulo;SP
Customer 472;4862;sao paulo;SP
Customer 473;13275;valinhos;SP
Customer 474;89705;concordia;SC
Customer 475;28625;nova friburgo;RJ
Customer 476;18051;sorocaba;SP
Customer 477;20550;rio de janeiro;RJ
Customer 478;35430;ponte nova;MG
Customer 479;89245;araquari;SC
Customer 480;12233;sao jose dos campos;SP
Customer 481;36881;muriae;MG
Customer 482;2302;sao paulo;SP
Customer 483;6455;barueri;SP
Customer 484;9061;santo andre;SP
Customer 485;88372;navegantes;SC
Customer 486;34004;nova lima;MG
Customer 487;75400;inhumas;GO
Customer 488;28250;italva;RJ
Customer 489;2082;sao paulo;SP
Customer 490;25802;tres rios;RJ
Customer 491;26185;belford roxo;RJ
Customer 492;97030;santa maria;RS
Customer 493;45585;itagiba;BA
Customer 494;88054;florianopolis;SC
Customer 495;4717;sao paulo;SP
Customer 496;38600;paracatu;MG
Customer 497;22410;rio de janeiro;RJ
Customer 498;82310;curitiba;PR
Customer 499;22753;rio de janeiro;RJ
Customer 500;89825;xaxim;SC
Customer 501;20540;rio de janeiro;RJ
Customer 502;9250;santo andre;SP
Customer 503;85301;laranjeiras do sul;PR
Customer 504;4704;sao paulo;SP
Customer 505;8080;sao paulo;SP
Customer 506;62740;itapiuna;CE
Customer 507;8072;sao paulo;SP
Customer 508;7143;guarulhos;SP
Customer 509;13050;campinas;SP
Customer 510;52120;recife;PE
Customer 511;14055;ribeirao preto;SP
Customer 512;35500;divinopolis;MG
Customer 513;4772;sao paulo;SP
Customer 514;13403;piracicaba;SP
Customer 515;73808;formosa;GO
Customer 516;24220;niteroi;RJ
Customer 517;88058;florianopolis;SC
Customer 518;35430;ponte nova;MG
Customer 519;24315;niteroi;RJ
Customer 520;13400;piracicaba;SP
Customer 521;79130;rio brilhante;MS
Customer 522;2365;sao paulo;SP
Customer 523;3562;sao paulo;SP
Customer 524;4571;sao paulo;SP
Customer 525;16202;birigui;SP
Customer 526;93900;ivoti;RS
Customer 527;41820;salvador;BA
Customer 528;48903;juazeiro;BA
Customer 529;84025;ponta grossa;PR
Customer 530;29830;nova venecia;ES
Customer 531;58407;campina grande;PB
Customer 532;22280;rio de janeiro;RJ
Customer 533;6140;osasco;SP
Customer 534;6056;osasco;SP
Customer 535;18110;votorantim;SP
Customer 536;4561;sao paulo;SP
Customer 537;9321;maua;SP
Customer 538;56000;salgueiro;PE
Customer 539;12246;sao jose dos campos;SP
Customer 540;20011;rio de janeiro;RJ
Customer 541;12604;lorena;SP
Customer 542;3546;sao paulo;SP
Customer 543;24750;sao goncalo;RJ
Customer 544;11432;guaruja;SP
Customer 545;26083;nova iguacu;RJ
Customer 546;2114;sao paulo;SP
Customer 547;60834;fortaleza;CE
Customer 548;85910;toledo;PR
Customer 549;24360;niteroi;RJ
Customer 550;28943;sao pedro da aldeia;RJ
Customer 551;81670;curitiba;PR
Customer 552;9861;sao bernardo do campo;SP
Customer 553;22631;rio de janeiro;RJ
Customer 554;22783;rio de janeiro;RJ
Customer 555;75265;vianopolis;GO
Customer 556;57311;arapiraca;AL
Customer 557;45810;porto seguro;BA
Customer 558;27251;volta redonda;RJ
Customer 559;1536;sao paulo;SP
Customer 560;1455;sao paulo;SP
Customer 561;81540;curitiba;PR
Customer 562;24724;sao goncalo;RJ
Customer 563;6114;osasco;SP
Customer 564;1224;sao paulo;SP
Customer 565;26265;nova iguacu;RJ
Customer 566;6454;barueri;SP
Customer 567;76875;ariquemes;RO
Customer 568;89150;presidente getulio;SC
Customer 569;72548;brasilia;DF
Customer 570;31872;belo horizonte;MG
Customer 571;22440;rio de janeiro;RJ
Customer 572;88052;florianopolis;SC
Customer 573;83880;rio negro;PR
Customer 574;32260;contagem;MG
Customer 575;95050;caxias do sul;RS
Customer 576;91370;porto alegre;RS
Customer 577;60135;fortaleza;CE
Customer 578;20270;rio de janeiro;RJ
Customer 579;97110;santa maria;RS
Customer 580;21810;rio de janeiro;RJ
Customer 581;4649;sao paulo;SP
Customer 582;17209;jau;SP
Customer 583;51021;recife;PE
Customer 584;23059;rio de janeiro;RJ
Customer 585;9415;ribeirao pires;SP
Customer 586;55565;sao jose da coroa grande;PE
Customer 587;22631;rio de janeiro;RJ
Customer 588;29820;agua doce do norte;ES
Customer 589;9850;sao bernardo do campo;SP
Customer 590;75083;anapolis;GO
Customer 591;16700;guararapes;SP
Customer 592;25650;petropolis;RJ
Customer 593;3122;sao paulo;SP
Customer 594;8671;suzano;SP
Customer 595;95170;farroupilha;RS
Customer 596;9361;maua;SP
Customer 597;23076;rio de janeiro;RJ
Customer 598;12281;cacapava;SP
Customer 599;39900;almenara;MG
Customer 600;28893;rio das ostras;RJ
Customer 601;94080;gravatai;RS
Customer 602;51030;recife;PE
Customer 603;46100;brumado;BA
Customer 604;5577;sao paulo;SP
Customer 605;30380;belo horizonte;MG
Customer 606;8235;sao paulo;SP
Customer 607;22755;rio de janeiro;RJ
Customer 608;28051;campos dos goytacazes;RJ
Customer 609;17512;marilia;SP
Customer 610;35900;itabira;MG
Customer 611;18070;sorocaba;SP
Customer 612;23040;rio de janeiro;RJ
Customer 613;4617;sao paulo;SP
Customer 614;78540;claudia;MT
Customer 615;88045;florianopolis;SC
Customer 616;21240;rio de janeiro;RJ
Customer 617;7072;guarulhos;SP
Customer 618;9531;sao caetano do sul;SP
Customer 619;30881;belo horizonte;MG
Customer 620;22780;rio de janeiro;RJ
Customer 621;2452;sao paulo;SP
Customer 622;35660;para de minas;MG
Customer 623;24240;niteroi;RJ
Customer 624;14530;miguelopolis;SP
Customer 625;14745;terra roxa;SP
Customer 626;13140;paulinia;SP
Customer 627;38442;araguari;MG
Customer 628;32145;contagem;MG
Customer 629;22775;rio de janeiro;RJ
Customer 630;12288;cacapava;SP
Customer 631;88505;lages;SC
Customer 632;72210;brasilia;DF
Customer 633;23090;rio de janeiro;RJ
Customer 634;6824;embu das artes;SP
Customer 635;28997;saquarema;RJ
Customer 636;21550;rio de janeiro;RJ
Customer 637;13482;limeira;SP
Customer 638;92425;canoas;RS
Customer 639;3805;sao paulo;SP
Customer 640;15010;sao jose do rio preto;SP
Customer 641;12081;taubate;SP
Customer 642;60055;fortaleza;CE
Customer 643;15775;santa fe do sul;SP
Customer 644;7700;caieiras;SP
Customer 645;3575;sao paulo;SP
Customer 646;23810;itaguai;RJ
Customer 647;36800;carangola;MG
Customer 648;39648;chapada do norte;MG
Customer 649;13063;campinas;SP
Customer 650;87900;loanda;PR
Customer 651;14409;franca;SP
Customer 652;27470;passa tres;RJ
Customer 653;18190;aracoiaba da serra;SP
Customer 654;26022;nova iguacu;RJ
Customer 655;91751;porto alegre;RS
Customer 656;29305;cachoeiro de itapemirim;ES
Customer 657;24812;itaborai;RJ
Customer 658;36047;juiz de fora;MG
Customer 659;13486;limeira;SP
Customer 660;28495;aperibe;RJ
Customer 661;29090;vitoria;ES
Customer 662;20230;rio de janeiro;RJ
Customer 663;3429;sao paulo;SP
Customer 664;89280;sao bento do sul;SC
Customer 665;26013;nova iguacu;RJ
Customer 666;13339;indaiatuba;SP
Customer 667;96211;rio grande;RS
Customer 668;95097;caxias do sul;RS
Customer 669;18550;boituva;SP
Customer 670;25963;teresopolis;RJ
Customer 671;12995;pinhalzinho;SP
Customer 672;56312;petrolina;PE
Customer 673;3178;sao paulo;SP
Customer 674;59063;natal;RN
Customer 675;9950;diadema;SP
Customer 676;80230;curitiba;PR
Customer 677;1526;sao paulo;SP
Customer 678;9030;santo andre;SP
Customer 679;8431;sao paulo;SP
Customer 680;8686;suzano;SP
Customer 681;18900;santa cruz do rio pardo;SP
Customer 682;47800;barreiras;BA
Customer 683;13845;mogi-guacu;SP
Customer 684;4313;sao paulo;SP
Customer 685;88085;florianopolis;SC
Customer 686;39480;januaria;MG
Customer 687;27170;ipiabas;RJ
Customer 688;76105;firminopolis;GO
Customer 689;89227;joinville;SC
Customer 690;20530;rio de janeiro;RJ
Customer 691;6414;barueri;SP
Customer 692;13733;mococa;SP
Customer 693;30882;belo horizonte;MG
Customer 694;4297;sao paulo;SP
Customer 695;23058;rio de janeiro;RJ
Customer 696;85139;vitoria;PR
Customer 697;29057;vitoria;ES
Customer 698;27600;valenca;RJ
Customer 699;89900;sao miguel do oeste;SC
Customer 700;26210;nova iguacu;RJ
Customer 701;14405;franca;SP
Customer 702;40323;salvador;BA
Customer 703;74825;goiania;GO
Customer 704;3423;sao paulo;SP
Customer 705;20561;rio de janeiro;RJ
Customer 706;9614;sao bernardo do campo;SP
Customer 707;13840;mogi-guacu;SP
Customer 708;2410;sao paulo;SP
Customer 709;13346;indaiatuba;SP
Customer 710;5021;sao paulo;SP
Customer 711;1008;sao paulo;SP
Customer 712;12945;atibaia;SP
Customer 713;39401;montes claros;MG
Customer 714;71907;brasilia;DF
Customer 715;84061;ponta grossa;PR
Customer 716;13635;pirassununga;SP
Customer 717;13412;piracicaba;SP
Customer 718;15700;jales;SP
Customer 719;25585;sao joao de meriti;RJ
Customer 720;50960;recife;PE
Customer 721;2374;sao paulo;SP
Customer 722;11310;sao vicente;SP
Customer 723;55570;rio formoso;PE
Customer 724;31975;belo horizonte;MG
Customer 725;20040;rio de janeiro;RJ
Customer 726;2804;sao paulo;SP
Customer 727;20775;rio de janeiro;RJ
Customer 728;71720;brasilia;DF
Customer 729;23906;angra dos reis;RJ
Customer 730;29026;vitoria;ES
Customer 731;71915;brasilia;DF
Customer 732;5108;sao paulo;SP
Customer 733;29240;alfredo chaves;ES
Customer 734;29055;vitoria;ES
Customer 735;22461;rio de janeiro;RJ
Customer 736;3254;sao paulo;SP
Customer 737;12246;sao jose dos campos;SP
Customer 738;45700;itapetinga;BA
Customer 739;8081;sao paulo;SP
Customer 740;77440;gurupi;TO
Customer 741;31170;belo horizonte;MG
Customer 742;86188;cambe;PR
Customer 743;54315;jaboatao dos guararapes;PE
Customer 744;1044;sao paulo;SP
Customer 745;48967;nucleo residencial pilar;BA
Customer 746;11070;santos;SP
Customer 747;41630;salvador;BA
Customer 748;38550;coromandel;MG
Customer 749;13515;charqueada;SP
Customer 750;6283;osasco;SP
Customer 751;37975;itau de minas;MG
Customer 752;4809;sao paulo;SP
Customer 753;98200;ibiruba;RS
Customer 754;11250;bertioga;SP
Customer 755;71250;brasilia;DF
Customer 756;32115;contagem;MG
Customer 757;45570;ipiau;BA
Customer 758;13485;limeira;SP
Customer 759;2443;sao paulo;SP
Customer 760;17205;jau;SP
Customer 761;35720;matozinhos;MG
Customer 762;27213;volta redonda;RJ
Customer 763;80620;curitiba;PR
Customer 764;64053;teresina;PI
Customer 765;5782;sao paulo;SP
Customer 766;38408;uberlandia;MG
Customer 767;31748;belo horizonte;MG
Customer 768;48180;entre rios;BA
Customer 769;37500;itajuba;MG
