DateKey,Date,Year,Quarter,Month,Day,DayOfWeek,MonthName
20220216,2022-02-16,2022,1,2,16,3,February
20220217,2022-02-17,2022,1,2,17,4,February
20220218,2022-02-18,2022,1,2,18,5,February
20220219,2022-02-19,2022,1,2,19,6,February
20220220,2022-02-20,2022,1,2,20,7,February
20220221,2022-02-21,2022,1,2,21,1,February
20220222,2022-02-22,2022,1,2,22,2,February
20220223,2022-02-23,2022,1,2,23,3,February
20220224,2022-02-24,2022,1,2,24,4,February
20220225,2022-02-25,2022,1,2,25,5,February
20220226,2022-02-26,2022,1,2,26,6,February
20220227,2022-02-27,2022,1,2,27,7,February
20220228,2022-02-28,2022,1,2,28,1,February
20220301,2022-03-01,2022,1,3,1,2,March
20220302,2022-03-02,2022,1,3,2,3,March
20220303,2022-03-03,2022,1,3,3,4,March
20220304,2022-03-04,2022,1,3,4,5,March
20220305,2022-03-05,2022,1,3,5,6,March
20220306,2022-03-06,2022,1,3,6,7,March
20220307,2022-03-07,2022,1,3,7,1,March
20220308,2022-03-08,2022,1,3,8,2,March
20220309,2022-03-09,2022,1,3,9,3,March
20220310,2022-03-10,2022,1,3,10,4,March
20220311,2022-03-11,2022,1,3,11,5,March
20220312,2022-03-12,2022,1,3,12,6,March
20220313,2022-03-13,2022,1,3,13,7,March
20220314,2022-03-14,2022,1,3,14,1,March
20220315,2022-03-15,2022,1,3,15,2,March
20220316,2022-03-16,2022,1,3,16,3,March
20220317,2022-03-17,2022,1,3,17,4,March
20220318,2022-03-18,2022,1,3,18,5,March
20220319,2022-03-19,2022,1,3,19,6,March
20220320,2022-03-20,2022,1,3,20,7,March
20220321,2022-03-21,2022,1,3,21,1,March
20220322,2022-03-22,2022,1,3,22,2,March
20220323,2022-03-23,2022,1,3,23,3,March
20220324,2022-03-24,2022,1,3,24,4,March
20220325,2022-03-25,2022,1,3,25,5,March
20220326,2022-03-26,2022,1,3,26,6,March
20220327,2022-03-27,2022,1,3,27,7,March
20220328,2022-03-28,2022,1,3,28,1,March
20220329,2022-03-29,2022,1,3,29,2,March
20220330,2022-03-30,2022,1,3,30,3,March
20220331,2022-03-31,2022,1,3,31,4,March
20220401,2022-04-01,2022,2,4,1,5,April
20220402,2022-04-02,2022,2,4,2,6,April
20220403,2022-04-03,2022,2,4,3,7,April
20220404,2022-04-04,2022,2,4,4,1,April
20220405,2022-04-05,2022,2,4,5,2,April
20220406,2022-04-06,2022,2,4,6,3,April
20220407,2022-04-07,2022,2,4,7,4,April
20220408,2022-04-08,2022,2,4,8,5,April
20220409,2022-04-09,2022,2,4,9,6,April
20220410,2022-04-10,2022,2,4,10,7,April
20220411,2022-04-11,2022,2,4,11,1,April
20220412,2022-04-12,2022,2,4,12,2,April
20220413,2022-04-13,2022,2,4,13,3,April
20220414,2022-04-14,2022,2,4,14,4,April
20220415,2022-04-15,2022,2,4,15,5,April
20220416,2022-04-16,2022,2,4,16,6,April
20220417,2022-04-17,2022,2,4,17,7,April
20220418,2022-04-18,2022,2,4,18,1,April
20220419,2022-04-19,2022,2,4,19,2,April
20220420,2022-04-20,2022,2,4,20,3,April
20220421,2022-04-21,2022,2,4,21,4,April
20220422,2022-04-22,2022,2,4,22,5,April
20220423,2022-04-23,2022,2,4,23,6,April
20220424,2022-04-24,2022,2,4,24,7,April
20220425,2022-04-25,2022,2,4,25,1,April
20220426,2022-04-26,2022,2,4,26,2,April
20220427,2022-04-27,2022,2,4,27,3,April
20220428,2022-04-28,2022,2,4,28,4,April
20220429,2022-04-29,2022,2,4,29,5,April
20220430,2022-04-30,2022,2,4,30,6,April
20220501,2022-05-01,2022,2,5,1,7,May
20220502,2022-05-02,2022,2,5,2,1,May
20220503,2022-05-03,2022,2,5,3,2,May
20220504,2022-05-04,2022,2,5,4,3,May
20220505,2022-05-05,2022,2,5,5,4,May
20220506,2022-05-06,2022,2,5,6,5,May
20220507,2022-05-07,2022,2,5,7,6,May
20220508,2022-05-08,2022,2,5,8,7,May
20220509,2022-05-09,2022,2,5,9,1,May
20220510,2022-05-10,2022,2,5,10,2,May
20220511,2022-05-11,2022,2,5,11,3,May
20220512,2022-05-12,2022,2,5,12,4,May
20220513,2022-05-13,2022,2,5,13,5,May
20220514,2022-05-14,2022,2,5,14,6,May
20220515,2022-05-15,2022,2,5,15,7,May
20220516,2022-05-16,2022,2,5,16,1,May
20220517,2022-05-17,2022,2,5,17,2,May
20220518,2022-05-18,2022,2,5,18,3,May
20220519,2022-05-19,2022,2,5,19,4,May
20220520,2022-05-20,2022,2,5,20,5,May
20220521,2022-05-21,2022,2,5,21,6,May
20220522,2022-05-22,2022,2,5,22,7,May
20220523,2022-05-23,2022,2,5,23,1,May
20220524,2022-05-24,2022,2,5,24,2,May
20220525,2022-05-25,2022,2,5,25,3,May
20220526,2022-05-26,2022,2,5,26,4,May
20220527,2022-05-27,2022,2,5,27,5,May
20220528,2022-05-28,2022,2,5,28,6,May
20220529,2022-05-29,2022,2,5,29,7,May
20220530,2022-05-30,2022,2,5,30,1,May
20220531,2022-05-31,2022,2,5,31,2,May
20220601,2022-06-01,2022,2,6,1,3,June
20220602,2022-06-02,2022,2,6,2,4,June
20220603,2022-06-03,2022,2,6,3,5,June
20220604,2022-06-04,2022,2,6,4,6,June
20220605,2022-06-05,2022,2,6,5,7,June
20220606,2022-06-06,2022,2,6,6,1,June
20220607,2022-06-07,2022,2,6,7,2,June
20220608,2022-06-08,2022,2,6,8,3,June
20220609,2022-06-09,2022,2,6,9,4,June
20220610,2022-06-10,2022,2,6,10,5,June
20220611,2022-06-11,2022,2,6,11,6,June
20220612,2022-06-12,2022,2,6,12,7,June
20220613,2022-06-13,2022,2,6,13,1,June
20220614,2022-06-14,2022,2,6,14,2,June
20220615,2022-06-15,2022,2,6,15,3,June
20220616,2022-06-16,2022,2,6,16,4,June
20220617,2022-06-17,2022,2,6,17,5,June
20220618,2022-06-18,2022,2,6,18,6,June
20220619,2022-06-19,2022,2,6,19,7,June
20220620,2022-06-20,2022,2,6,20,1,June
20220621,2022-06-21,2022,2,6,21,2,June
20220622,2022-06-22,2022,2,6,22,3,June
20220623,2022-06-23,2022,2,6,23,4,June
20220624,2022-06-24,2022,2,6,24,5,June
20220625,2022-06-25,2022,2,6,25,6,June
20220626,2022-06-26,2022,2,6,26,7,June
20220627,2022-06-27,2022,2,6,27,1,June
20220628,2022-06-28,2022,2,6,28,2,June
20220629,2022-06-29,2022,2,6,29,3,June
20220630,2022-06-30,2022,2,6,30,4,June
20220701,2022-07-01,2022,3,7,1,5,July
20220702,2022-07-02,2022,3,7,2,6,July
20220703,2022-07-03,2022,3,7,3,7,July
20220704,2022-07-04,2022,3,7,4,1,July
20220705,2022-07-05,2022,3,7,5,2,July
20220706,2022-07-06,2022,3,7,6,3,July
20220707,2022-07-07,2022,3,7,7,4,July
20220708,2022-07-08,2022,3,7,8,5,July
20220709,2022-07-09,2022,3,7,9,6,July
20220710,2022-07-10,2022,3,7,10,7,July
20220711,2022-07-11,2022,3,7,11,1,July
20220712,2022-07-12,2022,3,7,12,2,July
20220713,2022-07-13,2022,3,7,13,3,July
20220714,2022-07-14,2022,3,7,14,4,July
20220715,2022-07-15,2022,3,7,15,5,July
20220716,2022-07-16,2022,3,7,16,6,July
20220717,2022-07-17,2022,3,7,17,7,July
20220718,2022-07-18,2022,3,7,18,1,July
20220719,2022-07-19,2022,3,7,19,2,July
20220720,2022-07-20,2022,3,7,20,3,July
20220721,2022-07-21,2022,3,7,21,4,July
20220722,2022-07-22,2022,3,7,22,5,July
20220723,2022-07-23,2022,3,7,23,6,July
20220724,2022-07-24,2022,3,7,24,7,July
20220725,2022-07-25,2022,3,7,25,1,July
20220726,2022-07-26,2022,3,7,26,2,July
20220727,2022-07-27,2022,3,7,27,3,July
20220728,2022-07-28,2022,3,7,28,4,July
20220729,2022-07-29,2022,3,7,29,5,July
20220730,2022-07-30,2022,3,7,30,6,July
20220731,2022-07-31,2022,3,7,31,7,July
20220801,2022-08-01,2022,3,8,1,1,August
20220802,2022-08-02,2022,3,8,2,2,August
20220803,2022-08-03,2022,3,8,3,3,August
20220804,2022-08-04,2022,3,8,4,4,August
20220805,2022-08-05,2022,3,8,5,5,August
20220806,2022-08-06,2022,3,8,6,6,August
20220807,2022-08-07,2022,3,8,7,7,August
20220808,2022-08-08,2022,3,8,8,1,August
20220809,2022-08-09,2022,3,8,9,2,August
20220810,2022-08-10,2022,3,8,10,3,August
20220811,2022-08-11,2022,3,8,11,4,August
20220812,2022-08-12,2022,3,8,12,5,August
20220813,2022-08-13,2022,3,8,13,6,August
20220814,2022-08-14,2022,3,8,14,7,August
20220815,2022-08-15,2022,3,8,15,1,August
20220816,2022-08-16,2022,3,8,16,2,August
20220817,2022-08-17,2022,3,8,17,3,August
20220818,2022-08-18,2022,3,8,18,4,August
20220819,2022-08-19,2022,3,8,19,5,August
20220820,2022-08-20,2022,3,8,20,6,August
20220821,2022-08-21,2022,3,8,21,7,August
20220822,2022-08-22,2022,3,8,22,1,August
20220823,2022-08-23,2022,3,8,23,2,August
20220824,2022-08-24,2022,3,8,24,3,August
20220825,2022-08-25,2022,3,8,25,4,August
20220826,2022-08-26,2022,3,8,26,5,August
20220827,2022-08-27,2022,3,8,27,6,August
20220828,2022-08-28,2022,3,8,28,7,August
20220829,2022-08-29,2022,3,8,29,1,August
20220830,2022-08-30,2022,3,8,30,2,August
20220831,2022-08-31,2022,3,8,31,3,August
20220901,2022-09-01,2022,3,9,1,4,September
20220902,2022-09-02,2022,3,9,2,5,September
20220903,2022-09-03,2022,3,9,3,6,September
20220904,2022-09-04,2022,3,9,4,7,September
20220905,2022-09-05,2022,3,9,5,1,September
20220906,2022-09-06,2022,3,9,6,2,September
20220907,2022-09-07,2022,3,9,7,3,September
20220908,2022-09-08,2022,3,9,8,4,September
20220909,2022-09-09,2022,3,9,9,5,September
20220910,2022-09-10,2022,3,9,10,6,September
20220911,2022-09-11,2022,3,9,11,7,September
20220912,2022-09-12,2022,3,9,12,1,September
20220913,2022-09-13,2022,3,9,13,2,September
20220914,2022-09-14,2022,3,9,14,3,September
20220915,2022-09-15,2022,3,9,15,4,September
20220916,2022-09-16,2022,3,9,16,5,September
20220917,2022-09-17,2022,3,9,17,6,September
20220918,2022-09-18,2022,3,9,18,7,September
20220919,2022-09-19,2022,3,9,19,1,September
20220920,2022-09-20,2022,3,9,20,2,September
20220921,2022-09-21,2022,3,9,21,3,September
20220922,2022-09-22,2022,3,9,22,4,September
20220923,2022-09-23,2022,3,9,23,5,September
20220924,2022-09-24,2022,3,9,24,6,September
20220925,2022-09-25,2022,3,9,25,7,September
20220926,2022-09-26,2022,3,9,26,1,September
20220927,2022-09-27,2022,3,9,27,2,September
20220928,2022-09-28,2022,3,9,28,3,September
20220929,2022-09-29,2022,3,9,29,4,September
20220930,2022-09-30,2022,3,9,30,5,September
20221001,2022-10-01,2022,4,10,1,6,October
20221002,2022-10-02,2022,4,10,2,7,October
20221003,2022-10-03,2022,4,10,3,1,October
20221004,2022-10-04,2022,4,10,4,2,October
20221005,2022-10-05,2022,4,10,5,3,October
20221006,2022-10-06,2022,4,10,6,4,October
20221007,2022-10-07,2022,4,10,7,5,October
20221008,2022-10-08,2022,4,10,8,6,October
20221009,2022-10-09,2022,4,10,9,7,October
20221010,2022-10-10,2022,4,10,10,1,October
20221011,2022-10-11,2022,4,10,11,2,October
20221012,2022-10-12,2022,4,10,12,3,October
20221013,2022-10-13,2022,4,10,13,4,October
20221014,2022-10-14,2022,4,10,14,5,October
20221015,2022-10-15,2022,4,10,15,6,October
20221016,2022-10-16,2022,4,10,16,7,October
20221017,2022-10-17,2022,4,10,17,1,October
20221018,2022-10-18,2022,4,10,18,2,October
20221019,2022-10-19,2022,4,10,19,3,October
20221020,2022-10-20,2022,4,10,20,4,October
20221021,2022-10-21,2022,4,10,21,5,October
20221022,2022-10-22,2022,4,10,22,6,October
20221023,2022-10-23,2022,4,10,23,7,October
20221024,2022-10-24,2022,4,10,24,1,October
20221025,2022-10-25,2022,4,10,25,2,October
20221026,2022-10-26,2022,4,10,26,3,October
20221027,2022-10-27,2022,4,10,27,4,October
20221028,2022-10-28,2022,4,10,28,5,October
20221029,2022-10-29,2022,4,10,29,6,October
20221030,2022-10-30,2022,4,10,30,7,October
20221031,2022-10-31,2022,4,10,31,1,October
20221101,2022-11-01,2022,4,11,1,2,November
20221102,2022-11-02,2022,4,11,2,3,November
20221103,2022-11-03,2022,4,11,3,4,November
20221104,2022-11-04,2022,4,11,4,5,November
20221105,2022-11-05,2022,4,11,5,6,November
20221106,2022-11-06,2022,4,11,6,7,November
20221107,2022-11-07,2022,4,11,7,1,November
20221108,2022-11-08,2022,4,11,8,2,November
20221109,2022-11-09,2022,4,11,9,3,November
20221110,2022-11-10,2022,4,11,10,4,November
20221111,2022-11-11,2022,4,11,11,5,November
20221112,2022-11-12,2022,4,11,12,6,November
20221113,2022-11-13,2022,4,11,13,7,November
20221114,2022-11-14,2022,4,11,14,1,November
20221115,2022-11-15,2022,4,11,15,2,November
20221116,2022-11-16,2022,4,11,16,3,November
20221117,2022-11-17,2022,4,11,17,4,November
20221118,2022-11-18,2022,4,11,18,5,November
20221119,2022-11-19,2022,4,11,19,6,November
20221120,2022-11-20,2022,4,11,20,7,November
20221121,2022-11-21,2022,4,11,21,1,November
20221122,2022-11-22,2022,4,11,22,2,November
20221123,2022-11-23,2022,4,11,23,3,November
20221124,2022-11-24,2022,4,11,24,4,November
20221125,2022-11-25,2022,4,11,25,5,November
20221126,2022-11-26,2022,4,11,26,6,November
20221127,2022-11-27,2022,4,11,27,7,November
20221128,2022-11-28,2022,4,11,28,1,November
20221129,2022-11-29,2022,4,11,29,2,November
20221130,2022-11-30,2022,4,11,30,3,November
20221201,2022-12-01,2022,4,12,1,4,December
20221202,2022-12-02,2022,4,12,2,5,December
20221203,2022-12-03,2022,4,12,3,6,December
20221204,2022-12-04,2022,4,12,4,7,December
20221205,2022-12-05,2022,4,12,5,1,December
20221206,2022-12-06,2022,4,12,6,2,December
20221207,2022-12-07,2022,4,12,7,3,December
20221208,2022-12-08,2022,4,12,8,4,December
20221209,2022-12-09,2022,4,12,9,5,December
20221210,2022-12-10,2022,4,12,10,6,December
20221211,2022-12-11,2022,4,12,11,7,December
20221212,2022-12-12,2022,4,12,12,1,December
20221213,2022-12-13,2022,4,12,13,2,December
20221214,2022-12-14,2022,4,12,14,3,December
20221215,2022-12-15,2022,4,12,15,4,December
20221216,2022-12-16,2022,4,12,16,5,December
20221217,2022-12-17,2022,4,12,17,6,December
20221218,2022-12-18,2022,4,12,18,7,December
20221219,2022-12-19,2022,4,12,19,1,December
20221220,2022-12-20,2022,4,12,20,2,December
20221221,2022-12-21,2022,4,12,21,3,December
20221222,2022-12-22,2022,4,12,22,4,December
20221223,2022-12-23,2022,4,12,23,5,December
20221224,2022-12-24,2022,4,12,24,6,December
20221225,2022-12-25,2022,4,12,25,7,December
20221226,2022-12-26,2022,4,12,26,1,December
20221227,2022-12-27,2022,4,12,27,2,December
20221228,2022-12-28,2022,4,12,28,3,December
20221229,2022-12-29,2022,4,12,29,4,December
20221230,2022-12-30,2022,4,12,30,5,December
20221231,2022-12-31,2022,4,12,31,6,December
20230101,2023-01-01,2023,1,1,1,7,January
20230102,2023-01-02,2023,1,1,2,1,January
20230103,2023-01-03,2023,1,1,3,2,January
20230104,2023-01-04,2023,1,1,4,3,January
20230105,2023-01-05,2023,1,1,5,4,January
20230106,2023-01-06,2023,1,1,6,5,January
20230107,2023-01-07,2023,1,1,7,6,January
20230108,2023-01-08,2023,1,1,8,7,January
20230109,2023-01-09,2023,1,1,9,1,January
20230110,2023-01-10,2023,1,1,10,2,January
20230111,2023-01-11,2023,1,1,11,3,January
20230112,2023-01-12,2023,1,1,12,4,January
20230113,2023-01-13,2023,1,1,13,5,January
20230114,2023-01-14,2023,1,1,14,6,January
20230115,2023-01-15,2023,1,1,15,7,January
20230116,2023-01-16,2023,1,1,16,1,January
20230117,2023-01-17,2023,1,1,17,2,January
20230118,2023-01-18,2023,1,1,18,3,January
20230119,2023-01-19,2023,1,1,19,4,January
20230120,2023-01-20,2023,1,1,20,5,January
20230121,2023-01-21,2023,1,1,21,6,January
20230122,2023-01-22,2023,1,1,22,7,January
20230123,2023-01-23,2023,1,1,23,1,January
20230124,2023-01-24,2023,1,1,24,2,January
20230125,2023-01-25,2023,1,1,25,3,January
20230126,2023-01-26,2023,1,1,26,4,January
20230127,2023-01-27,2023,1,1,27,5,January
20230128,2023-01-28,2023,1,1,28,6,January
20230129,2023-01-29,2023,1,1,29,7,January
20230130,2023-01-30,2023,1,1,30,1,January
20230131,2023-01-31,2023,1,1,31,2,January
20230201,2023-02-01,2023,1,2,1,3,February
20230202,2023-02-02,2023,1,2,2,4,February
20230203,2023-02-03,2023,1,2,3,5,February
20230204,2023-02-04,2023,1,2,4,6,February
20230205,2023-02-05,2023,1,2,5,7,February
20230206,2023-02-06,2023,1,2,6,1,February
20230207,2023-02-07,2023,1,2,7,2,February
20230208,2023-02-08,2023,1,2,8,3,February
20230209,2023-02-09,2023,1,2,9,4,February
20230210,2023-02-10,2023,1,2,10,5,February
20230211,2023-02-11,2023,1,2,11,6,February
20230212,2023-02-12,2023,1,2,12,7,February
20230213,2023-02-13,2023,1,2,13,1,February
20230214,2023-02-14,2023,1,2,14,2,February
20230215,2023-02-15,2023,1,2,15,3,February
20230216,2023-02-16,2023,1,2,16,4,February
20230217,2023-02-17,2023,1,2,17,5,February
20230218,2023-02-18,2023,1,2,18,6,February
20230219,2023-02-19,2023,1,2,19,7,February
20230220,2023-02-20,2023,1,2,20,1,February
20230221,2023-02-21,2023,1,2,21,2,February
20230222,2023-02-22,2023,1,2,22,3,February
20230223,2023-02-23,2023,1,2,23,4,February
20230224,2023-02-24,2023,1,2,24,5,February
20230225,2023-02-25,2023,1,2,25,6,February
20230226,2023-02-26,2023,1,2,26,7,February
20230227,2023-02-27,2023,1,2,27,1,February
20230228,2023-02-28,2023,1,2,28,2,February
20230301,2023-03-01,2023,1,3,1,3,March
20230302,2023-03-02,2023,1,3,2,4,March
20230303,2023-03-03,2023,1,3,3,5,March
20230304,2023-03-04,2023,1,3,4,6,March
20230305,2023-03-05,2023,1,3,5,7,March
20230306,2023-03-06,2023,1,3,6,1,March
20230307,2023-03-07,2023,1,3,7,2,March
20230308,2023-03-08,2023,1,3,8,3,March
20230309,2023-03-09,2023,1,3,9,4,March
20230310,2023-03-10,2023,1,3,10,5,March
20230311,2023-03-11,2023,1,3,11,6,March
20230312,2023-03-12,2023,1,3,12,7,March
20230313,2023-03-13,2023,1,3,13,1,March
20230314,2023-03-14,2023,1,3,14,2,March
20230315,2023-03-15,2023,1,3,15,3,March
20230316,2023-03-16,2023,1,3,16,4,March
20230317,2023-03-17,2023,1,3,17,5,March
20230318,2023-03-18,2023,1,3,18,6,March
20230319,2023-03-19,2023,1,3,19,7,March
20230320,2023-03-20,2023,1,3,20,1,March
20230321,2023-03-21,2023,1,3,21,2,March
20230322,2023-03-22,2023,1,3,22,3,March
20230323,2023-03-23,2023,1,3,23,4,March
20230324,2023-03-24,2023,1,3,24,5,March
20230325,2023-03-25,2023,1,3,25,6,March
20230326,2023-03-26,2023,1,3,26,7,March
20230327,2023-03-27,2023,1,3,27,1,March
20230328,2023-03-28,2023,1,3,28,2,March
20230329,2023-03-29,2023,1,3,29,3,March
20230330,2023-03-30,2023,1,3,30,4,March
20230331,2023-03-31,2023,1,3,31,5,March
20230401,2023-04-01,2023,2,4,1,6,April
20230402,2023-04-02,2023,2,4,2,7,April
20230403,2023-04-03,2023,2,4,3,1,April
20230404,2023-04-04,2023,2,4,4,2,April
20230405,2023-04-05,2023,2,4,5,3,April
20230406,2023-04-06,2023,2,4,6,4,April
20230407,2023-04-07,2023,2,4,7,5,April
20230408,2023-04-08,2023,2,4,8,6,April
20230409,2023-04-09,2023,2,4,9,7,April
20230410,2023-04-10,2023,2,4,10,1,April
20230411,2023-04-11,2023,2,4,11,2,April
20230412,2023-04-12,2023,2,4,12,3,April
20230413,2023-04-13,2023,2,4,13,4,April
20230414,2023-04-14,2023,2,4,14,5,April
20230415,2023-04-15,2023,2,4,15,6,April
20230416,2023-04-16,2023,2,4,16,7,April
20230417,2023-04-17,2023,2,4,17,1,April
20230418,2023-04-18,2023,2,4,18,2,April
20230419,2023-04-19,2023,2,4,19,3,April
20230420,2023-04-20,2023,2,4,20,4,April
20230421,2023-04-21,2023,2,4,21,5,April
20230422,2023-04-22,2023,2,4,22,6,April
20230423,2023-04-23,2023,2,4,23,7,April
20230424,2023-04-24,2023,2,4,24,1,April
20230425,2023-04-25,2023,2,4,25,2,April
20230426,2023-04-26,2023,2,4,26,3,April
20230427,2023-04-27,2023,2,4,27,4,April
20230428,2023-04-28,2023,2,4,28,5,April
20230429,2023-04-29,2023,2,4,29,6,April
20230430,2023-04-30,2023,2,4,30,7,April
20230501,2023-05-01,2023,2,5,1,1,May
20230502,2023-05-02,2023,2,5,2,2,May
20230503,2023-05-03,2023,2,5,3,3,May
20230504,2023-05-04,2023,2,5,4,4,May
20230505,2023-05-05,2023,2,5,5,5,May
20230506,2023-05-06,2023,2,5,6,6,May
20230507,2023-05-07,2023,2,5,7,7,May
20230508,2023-05-08,2023,2,5,8,1,May
20230509,2023-05-09,2023,2,5,9,2,May
20230510,2023-05-10,2023,2,5,10,3,May
20230511,2023-05-11,2023,2,5,11,4,May
20230512,2023-05-12,2023,2,5,12,5,May
20230513,2023-05-13,2023,2,5,13,6,May
20230514,2023-05-14,2023,2,5,14,7,May
20230515,2023-05-15,2023,2,5,15,1,May
20230516,2023-05-16,2023,2,5,16,2,May
20230517,2023-05-17,2023,2,5,17,3,May
20230518,2023-05-18,2023,2,5,18,4,May
20230519,2023-05-19,2023,2,5,19,5,May
20230520,2023-05-20,2023,2,5,20,6,May
20230521,2023-05-21,2023,2,5,21,7,May
20230522,2023-05-22,2023,2,5,22,1,May
20230523,2023-05-23,2023,2,5,23,2,May
20230524,2023-05-24,2023,2,5,24,3,May
20230525,2023-05-25,2023,2,5,25,4,May
20230526,2023-05-26,2023,2,5,26,5,May
20230527,2023-05-27,2023,2,5,27,6,May
20230528,2023-05-28,2023,2,5,28,7,May
20230529,2023-05-29,2023,2,5,29,1,May
20230530,2023-05-30,2023,2,5,30,2,May
20230531,2023-05-31,2023,2,5,31,3,May
20230601,2023-06-01,2023,2,6,1,4,June
20230602,2023-06-02,2023,2,6,2,5,June
20230603,2023-06-03,2023,2,6,3,6,June
20230604,2023-06-04,2023,2,6,4,7,June
20230605,2023-06-05,2023,2,6,5,1,June
20230606,2023-06-06,2023,2,6,6,2,June
20230607,2023-06-07,2023,2,6,7,3,June
20230608,2023-06-08,2023,2,6,8,4,June
20230609,2023-06-09,2023,2,6,9,5,June
20230610,2023-06-10,2023,2,6,10,6,June
20230611,2023-06-11,2023,2,6,11,7,June
20230612,2023-06-12,2023,2,6,12,1,June
20230613,2023-06-13,2023,2,6,13,2,June
20230614,2023-06-14,2023,2,6,14,3,June
20230615,2023-06-15,2023,2,6,15,4,June
20230616,2023-06-16,2023,2,6,16,5,June
20230617,2023-06-17,2023,2,6,17,6,June
20230618,2023-06-18,2023,2,6,18,7,June
20230619,2023-06-19,2023,2,6,19,1,June
20230620,2023-06-20,2023,2,6,20,2,June
20230621,2023-06-21,2023,2,6,21,3,June
20230622,2023-06-22,2023,2,6,22,4,June
20230623,2023-06-23,2023,2,6,23,5,June
20230624,2023-06-24,2023,2,6,24,6,June
20230625,2023-06-25,2023,2,6,25,7,June
20230626,2023-06-26,2023,2,6,26,1,June
20230627,2023-06-27,2023,2,6,27,2,June
20230628,2023-06-28,2023,2,6,28,3,June
20230629,2023-06-29,2023,2,6,29,4,June
20230630,2023-06-30,2023,2,6,30,5,June
20230701,2023-07-01,2023,3,7,1,6,July
20230702,2023-07-02,2023,3,7,2,7,July
20230703,2023-07-03,2023,3,7,3,1,July
20230704,2023-07-04,2023,3,7,4,2,July
20230705,2023-07-05,2023,3,7,5,3,July
20230706,2023-07-06,2023,3,7,6,4,July
20230707,2023-07-07,2023,3,7,7,5,July
20230708,2023-07-08,2023,3,7,8,6,July
20230709,2023-07-09,2023,3,7,9,7,July
20230710,2023-07-10,2023,3,7,10,1,July
20230711,2023-07-11,2023,3,7,11,2,July
20230712,2023-07-12,2023,3,7,12,3,July
20230713,2023-07-13,2023,3,7,13,4,July
20230714,2023-07-14,2023,3,7,14,5,July
20230715,2023-07-15,2023,3,7,15,6,July
20230716,2023-07-16,2023,3,7,16,7,July
20230717,2023-07-17,2023,3,7,17,1,July
20230718,2023-07-18,2023,3,7,18,2,July
20230719,2023-07-19,2023,3,7,19,3,July
20230720,2023-07-20,2023,3,7,20,4,July
20230721,2023-07-21,2023,3,7,21,5,July
20230722,2023-07-22,2023,3,7,22,6,July
20230723,2023-07-23,2023,3,7,23,7,July
20230724,2023-07-24,2023,3,7,24,1,July
20230725,2023-07-25,2023,3,7,25,2,July
20230726,2023-07-26,2023,3,7,26,3,July
20230727,2023-07-27,2023,3,7,27,4,July
20230728,2023-07-28,2023,3,7,28,5,July
20230729,2023-07-29,2023,3,7,29,6,July
20230730,2023-07-30,2023,3,7,30,7,July
20230731,2023-07-31,2023,3,7,31,1,July
20230801,2023-08-01,2023,3,8,1,2,August
20230802,2023-08-02,2023,3,8,2,3,August
20230803,2023-08-03,2023,3,8,3,4,August
