ProductID,ProductCode,ProductName,Category,Subcategory
1107,P1107,Clothin 1107,Clothing,Women
1108,P1108,Electronic 1108,Electronics,Phones
1109,P1109,Office Supplie 1109,Office Supplies,Paper
1110,P1110,Office Supplie 1110,Office Supplies,Paper
1111,P1111,Electronic 1111,Electronics,Phones
1112,P1112,Clothin 1112,Clothing,Women
1113,P1113,Clothin 1113,Clothing,Kids
1114,P1114,Office Supplie 1114,Office Supplies,Binders
1115,P1115,Electronic 1115,Electronics,Accessories
1116,P1116,Office Supplie 1116,Office Supplies,Writing
1117,P1117,OFFICE SUPPLIE 1117,Office Supplies,Paper
1118,P1118,Office Supplie 1118,Office Supplies,Writing
1119,P1119,Electronic 1119,Electronics,Accessories
1120,P1120,Clothin 1120,Clothing,Kids
1121,P1121,office supplie 1121,Office Supplies,Binders
1122,P1122,Office Supplie 1122,Office Supplies,Binders
1123,P1123,Electronic 1123,Electronics,Laptops
1124,P1124,Office Supplie 1124,Office Supplies,Writing
1125,P1125,Electronic 1125,Electronics,Laptops
1126,P1126,clothin 1126,Clothing,Men
1127,P1127,Furnitur 1127,Furniture,Tables
1128,P1128,Electronic 1128,Electronics,Accessories
1129,P1129,Clothin 1129,Clothing,Kids
1130,P1130,Office Supplie 1130,Office Supplies,Paper
1131,P1131,Electronic 1131,Electronics,Accessories
1132,P1132,Electronic 1132,Electronics,Accessories
1133,P1133,Furnitur 1133,Furniture,Desks
1134,P1134,Office Supplie 1134,Office Supplies,Writing
1135,P1135,Furnitur 1135,Furniture,Chairs
1136,P1136,Electronic 1136,Electronics,Phones
1137,P1137,Office Supplie 1137,Office Supplies,Paper
1138,P1138,Furnitur 1138,Furniture,Chairs
1139,P1139,Electronic 1139,Electronics,Phones
1140,P1140,Office Supplie 1140,Office Supplies,Paper
1141,P1141,Office Supplie 1141,Office Supplies,Paper
1142,P1142,Office Supplie 1142,Office Supplies,Writing
1143,P1143,OFFICE SUPPLIE 1143,Office Supplies,Paper
1144,P1144,Electronic 1144,Electronics,Phones
1145,P1145,Clothin 1145,Clothing,Men
1146,P1146,clothin 1146,Clothing,Men
1147,P1147,Electronic 1147,Electronics,Phones
1148,P1148,CLOTHIN 1148,Clothing,Men
1149,P1149,Office Supplie 1149,Office Supplies,Writing
1150,P1150,CLOTHIN 1150,Clothing,Kids
1151,P1151,Furnitur 1151,Furniture,Chairs
1152,P1152,Office Supplie 1152,Office Supplies,Writing
1153,P1153,Furnitur 1153,Furniture,Chairs
1154,P1154,Electronic 1154,Electronics,Phones
1155,P1155,office supplie 1155,Office Supplies,Binders
1156,P1156,electronic 1156,Electronics,Laptops
1157,P1157,Electronic 1157,Electronics,Accessories
1158,P1158,Furnitur 1158,Furniture,Chairs
1159,P1159,Office Supplie 1159,Office Supplies,Binders
1160,P1160,Clothin 1160,Clothing,Women
1161,P1161,Office Supplie 1161,Office Supplies,Paper
1162,P1162,Furnitur 1162,Furniture,Tables
1163,P1163,Furnitur 1163,Furniture,Tables
1164,P1164,Electronic 1164,Electronics,Phones
1165,P1165,Electronic 1165,Electronics,Phones
1166,P1166,Furnitur 1166,Furniture,Tables
1167,P1167,Clothin 1167,Clothing,Men
1168,P1168,Clothin 1168,Clothing,Men
1169,P1169,Electronic 1169,Electronics,Phones
1170,P1170,Office Supplie 1170,Office Supplies,Writing
1171,P1171,Office Supplie 1171,Office Supplies,Paper
1172,P1172,Electronic 1172,Electronics,Laptops
1173,P1173,Clothin 1173,Clothing,Women
1174,P1174,Electronic 1174,Electronics,Accessories
1175,P1175,Furnitur 1175,Furniture,Desks
1176,P1176,FURNITUR 1176,Furniture,Tables
1177,P1177,clothin 1177,Clothing,Kids
1178,P1178,Electronic 1178,Electronics,Phones
1179,P1179,OFFICE SUPPLIE 1179,Office Supplies,Paper
1180,P1180,Furnitur 1180,Furniture,Desks
1181,P1181,Office Supplie 1181,Office Supplies,Paper
1182,P1182,Office Supplie 1182,Office Supplies,Binders
1183,P1183,Furnitur 1183,Furniture,Desks
1184,P1184,Electronic 1184,Electronics,Accessories
1185,P1185,Furnitur 1185,Furniture,Chairs
1186,P1186,Furnitur 1186,Furniture,Chairs
1187,P1187,Clothin 1187,Clothing,Kids
1188,P1188,Clothin 1188,Clothing,Kids
1189,P1189,clothin 1189,Clothing,Women
1190,P1190,Clothin 1190,Clothing,Kids
1191,P1191,Clothin 1191,Clothing,Men
1192,P1192,Clothin 1192,Clothing,Men
1193,P1193,Electronic 1193,Electronics,Laptops
1194,P1194,Electronic 1194,Electronics,Phones
1195,P1195,Clothin 1195,Clothing,Women
1196,P1196,clothin 1196,Clothing,Kids
1197,P1197,Office Supplie 1197,Office Supplies,Binders
1198,P1198,Clothin 1198,Clothing,Kids
1199,P1199,Office Supplie 1199,Office Supplies,Writing
1059,P1059,Furnitur 1059,Furniture,Desks
1169,P1169,Electronic 1169,Electronics,Phones
1076,P1076,Furnitur 1076,Furniture,Chairs
1023,P1023,clothin 1023,Clothing,Men
1115,P1115,Electronic 1115,Electronics,Accessories
