cycle_id,truck_id,excavator_id,site_id,load_time,dump_time,tonnes,distance_km,fuel_litres
CYC000030,TRK008,EXC001,NSW001,2024-06-03 22:27:00,2024-06-03 22:50:18,261.86,7.6km,-106.79
CYC000031,TRK007,EXC004,NSW001,2024-03-03 19:20:00,2024-03-03 20:17:06,321.17,5.2km,247.04
CYC000032,TRK003,EXC004,QLD001,2024-08-24 10:11:00,2024-08-24 10:56:22,323.39,1.79,246.87
CYC000033,TRK009,EXC001,QLD001,2024-09-10 18:03:00,2024-09-10 18:45:01,378.92,6.3km,232.26
CYC000034,TRK001,EXC003,NSW001,2024-10-31 01:51:00,2024-10-31 02:13:43,387.75,1.6km,202.8
CYC000035,TRK004,EXC003,WA001,2024-07-05 12:36:00,2024-07-05 12:57:18,286.53,4.5km,130.9
CYC000036,TRK002,EXC006,QLD001,2024-05-24 12:35:00,2024-05-24 13:10:10,336.08,6.44,-221.59
CYC000037,TRK012,EXC005,QLD001,2024-08-16 00:53:00,2024-08-16 01:24:45,315.36,7.52,197.4
CYC000038,TRK006,EXC002,NSW001,2024-03-13 10:35:00,2024-03-13 11:13:07,385.55,5.1,104.92
CYC000039,TRK001,EXC002,WA001,2024-03-07 04:53:00,2024-03-07 05:18:10,275.59,6.5km,185.95
CYC000040,TRK007,EXC001,WA001,2024-06-22 10:35:00,2024-06-22 11:01:51,293.35,6.62,141.45
CYC000041,TRK008,EXC001,WA001,2024-02-29 04:41:00,2024-02-29 05:17:04,337.67,6.28,221.83
CYC000042,TRK003,EXC003,NSW001,2024-12-04 15:07:00,2024-12-04 15:33:45,381.0,2.97,-200.63
CYC000043,TRK005,EXC005,QLD001,2024-11-10 19:08:00,2024-11-10 19:59:46,278.22,7.18,193.87
CYC000044,TRK009,EXC006,WA001,2024-02-01 07:27:00,2024-02-01 08:16:47,214.31,6.2km,87.9
CYC000045,TRK010,EXC006,NSW001,2024-03-30 14:58:00,2024-03-30 15:31:45,254.51,2.53,185.88
CYC000046,TRK012,EXC006,QLD001,2024-03-23 16:10:00,2024-03-23 16:42:26,217.12,8.13,241.23
CYC000047,TRK002,EXC006,QLD001,2024-10-12 10:10:00,2024-10-12 11:04:04,326.78,8.11,178.85
CYC000048,TRK004,EXC002,QLD001,2024-05-16 15:18:00,2024-05-16 16:02:48,347.74,4.4,234.52
CYC000049,TRK002,EXC002,WA001,2024-04-15 17:02:00,2024-04-15 17:42:10,316.57,4.43,152.42
CYC000050,TRK006,EXC006,NSW001,2024-10-10 17:48:00,2024-10-10 18:40:37,392.25,7.63,162.84
CYC000051,TRK007,EXC004,QLD001,2024-11-03 11:59:00,2024-11-03 12:28:30,343.43,2.61,163.54
CYC000052,TRK013,EXC002,WA001,2024-05-30 21:45:00,2024-05-30 22:10:43,350.38,8.3,185.85
CYC000053,TRK010,EXC004,QLD001,2024-07-06 05:57:00,2024-07-06 06:49:16,301.64,1.93,183.26
CYC000054,TRK014,EXC003,WA001,2024-05-07 12:25:00,2024-05-07 13:04:13,337.68,7.06,144.57
CYC000055,TRK015,EXC006,QLD001,2024-10-01 11:52:00,2024-10-01 12:19:47,272.23,4.43,214.01
CYC000056,TRK014,EXC005,WA001,2024-12-10 18:31:00,2024-12-10 19:09:25,357.00,5.67,-91.46
CYC000057,TRK005,EXC001,QLD001,2024-10-28 16:09:00,2024-10-28 16:54:31,346.07,5.89,133.56
CYC000058,TRK011,EXC002,QLD001,2024-05-01 22:50:00,2024-05-01 23:23:16,231.13,1.93,150.19
CYC000059,TRK002,EXC004,NSW001,2024-01-15 08:37:00,2024-01-15 09:27:48,268.73,5.3km,229.64
CYC000060,TRK013,EXC005,QLD001,2024-02-24 20:58:00,2024-02-24 21:57:23,285.13,8.36,192.65
CYC000061,TRK008,EXC005,WA001,2024-05-27 12:22:00,2024-05-27 13:06:21,272.83,4.04,112.92
CYC000062,TRK011,EXC003,WA001,2024-01-10 19:44:00,2024-01-10 20:40:06,343.9,5.15,243.34
CYC000063,TRK001,EXC005,QLD001,2024-08-31 12:18:00,2024-08-31 12:43:36,322.66,5.13,114.23
CYC000064,TRK009,EXC002,NSW001,2024-02-27 19:56:00,2024-02-27 20:27:37,298.09,4.3km,-127.4
CYC000065,TRK001,EXC004,NSW001,2024-12-25 17:25:00,2024-12-25 18:01:02,318.29,6.3km,192.7
CYC000066,TRK014,EXC003,QLD001,2024-05-05 13:40:00,2024-05-05 14:29:49,330.06,7.02,-111.55
CYC000067,TRK010,EXC002,WA001,2024-10-25 11:08:00,2024-10-25 11:36:11,221.74,7.55,131.3
CYC000068,TRK010,EXC003,NSW001,2024-05-03 02:00:00,2024-05-03 02:21:32,201.03,6.2km,249.63
CYC000069,TRK012,EXC002,NSW001,2024-12-10 21:02:00,2024-12-10 21:36:05,338.19,8.4km,184.24
CYC000070,TRK009,EXC001,NSW001,2024-08-23 15:20:00,2024-08-23 16:16:20,372.71,3.41,96.61
CYC000071,TRK009,EXC004,NSW001,2024-12-28 15:16:00,2024-12-28 15:52:36,213.83,8.0km,237.86
CYC000072,TRK004,EXC003,NSW001,2024-09-14 12:33:00,2024-09-14 12:54:48,328.31,7.2km,122.63
CYC000073,TRK006,EXC001,QLD001,2024-02-01 23:11:00,2024-02-01 23:33:17,267.36,3.0km,-247.4
CYC000074,TRK012,EXC001,QLD001,2024-12-29 08:07:00,2024-12-29 09:01:26,335.15,7.5km,92.8
CYC000075,TRK013,EXC006,NSW001,2024-08-18 15:37:00,2024-08-18 16:15:20,310.66,2.3km,150.13
CYC000076,TRK006,EXC002,WA001,2024-05-25 14:44:00,2024-05-25 15:36:09,300.79,3.14,233.57
CYC000077,TRK014,EXC004,WA001,2024-12-05 14:32:00,2024-12-05 15:13:08,315.93,2.1,229.42
CYC000078,TRK015,EXC003,NSW001,2024-01-02 02:34:00,2024-01-02 03:29:36,383.95,5.1km,239.51
CYC000079,TRK012,EXC003,QLD001,2024-08-10 06:57:00,2024-08-10 07:47:09,258.41,4.3km,183.13
CYC000080,TRK015,EXC002,NSW001,2024-10-21 03:03:00,2024-10-21 04:00:40,237.08,6.25,100.14
CYC000081,TRK004,EXC001,NSW001,2024-08-27 22:07:00,2024-08-27 22:50:23,224.72,7.0km,112.27
CYC000082,TRK003,EXC004,NSW001,2024-06-28 22:09:00,2024-06-28 22:34:24,244.74,3.6km,94.31
CYC000083,TRK008,EXC003,WA001,2024-03-05 15:49:00,2024-03-05 16:22:25,379.71,5.41,132.1
CYC000084,TRK014,EXC005,WA001,2024-07-13 23:24:00,2024-07-14 00:10:30,334.37,3.75,161.2
CYC000085,TRK005,EXC003,NSW001,2024-05-28 02:44:00,2024-05-28 03:24:59,312.83,8.07,181.63
CYC000086,TRK014,EXC001,NSW001,2024-05-19 07:08:00,2024-05-19 07:49:31,353.57,5.1km,182.06
CYC000087,TRK008,EXC005,NSW001,2024-03-22 17:14:00,2024-03-22 17:44:53,280.48,1.93,196.62
CYC000088,TRK002,EXC002,NSW001,2024-07-18 18:37:00,2024-07-18 18:59:24,285.53,7.1km,186.82
CYC000089,TRK015,EXC005,QLD001,2024-09-15 06:35:00,2024-09-15 07:02:25,287.15,3.08,208.23
CYC000090,TRK012,EXC001,QLD001,2024-05-07 13:18:00,2024-05-07 14:02:51,391.77,5.9km,-95.75
CYC000091,TRK008,EXC003,QLD001,2024-04-05 05:23:00,2024-04-05 05:56:33,201.46,7.45,124.12
CYC000092,TRK001,EXC004,NSW001,2024-10-14 17:09:00,2024-10-14 18:06:19,366.06,7.69,-128.61
CYC000093,TRK009,EXC003,NSW001,2024-07-11 00:36:00,2024-07-11 01:25:41,219.95,7.35,140.11
CYC000094,TRK005,EXC005,QLD001,2024-01-20 14:17:00,2024-01-20 14:38:08,349.73,7.76,197.89
CYC000095,TRK008,EXC002,QLD001,2024-05-03 04:01:00,2024-05-03 04:27:12,234.09,3.35,192.47
CYC000096,TRK008,EXC002,NSW001,2024-08-20 14:40:00,2024-08-20 15:27:20,390.86,4.3km,-135.71
CYC000097,TRK003,EXC006,WA001,2024-02-22 14:23:00,2024-02-22 14:55:49,373.15,5.08,130.05
CYC000098,TRK001,EXC006,WA001,2024-08-05 09:30:00,2024-08-05 10:21:04,327.51,8.06,240.79
CYC000099,TRK010,EXC004,QLD001,2024-09-21 09:56:00,2024-09-21 10:46:25,279.72,3.78,229.53
CYC000100,TRK004,EXC005,NSW001,2024-08-29 12:27:00,2024-08-29 13:07:30,308.6,4.6km,94.2
CYC000101,TRK010,EXC006,NSW001,2024-03-18 08:15:00,,387.15,6.3km,246.28
CYC000102,TRK014,EXC003,QLD001,2024-09-16 11:39:00,2024-09-16 12:18:43,386.44,2.65,146.64
CYC000103,TRK006,EXC003,WA001,2024-06-01 21:20:00,2024-06-01 21:55:45,237.86,3.1km,145.08
CYC000104,TRK008,EXC006,QLD001,2024-11-14 16:25:00,2024-11-14 17:01:54,207.27,2.85,206.9
CYC000105,TRK013,EXC006,WA001,2024-12-16 20:59:00,2024-12-16 21:20:53,377.74,4.1km,164.03
CYC000106,TRK012,EXC005,WA001,2024-07-07 15:08:00,2024-07-07 15:32:45,237.88,3.6km,179.6
CYC000107,TRK014,EXC002,WA001,2024-10-31 08:55:00,2024-10-31 09:17:16,219.43,6.61,213.94
CYC000108,TRK005,EXC004,NSW001,2024-05-27 07:32:00,2024-05-27 07:52:57,232.36,6.9,218.31
CYC000109,TRK014,EXC002,WA001,2024-10-31 02:35:00,2024-10-31 03:16:55,383.12,3.26,206.59
CYC000110,TRK012,EXC006,QLD001,2024-03-13 04:41:00,2024-03-13 05:17:41,364.4,7.52,135.3
CYC000111,TRK012,EXC005,NSW001,2024-10-11 19:40:00,2024-10-11 20:27:14,334.87,3.2km,129.26
CYC000112,TRK013,EXC004,QLD001,2024-11-02 19:53:00,2024-11-02 20:36:50,200.4,1.77,82.01
CYC000113,TRK008,EXC001,WA001,2024-01-10 10:57:00,2024-01-10 11:43:27,235.35,4.3,176.98
CYC000114,TRK013,EXC006,NSW001,2024-09-11 11:05:00,2024-09-11 11:37:15,345.52,6.13,170.07
CYC000115,TRK002,EXC003,WA001,2024-12-10 17:39:00,2024-12-10 18:21:17,391.27,1.91,169.11
CYC000116,TRK014,EXC001,NSW001,2024-08-15 00:48:00,2024-08-15 01:38:05,318.45,6.33,162.19
CYC000117,TRK013,EXC003,QLD001,2024-02-13 19:32:00,2024-02-13 20:15:57,214.45,7.97,222.73
CYC000118,TRK014,EXC004,NSW001,2024-04-09 00:02:00,2024-04-09 00:22:14,358.41,5.94,-150.56
CYC000119,TRK004,EXC006,QLD001,2024-07-08 13:12:00,2024-07-08 13:59:05,381.22,6.92,103.59
CYC000120,TRK003,EXC006,NSW001,2024-04-10 03:30:00,,204.49,4.34,88.15
CYC000121,TRK008,EXC002,WA001,2024-11-25 19:16:00,2024-11-25 19:40:33,230.05,8.5,198.61
CYC000122,TRK005,EXC003,WA001,2024-03-19 14:39:00,2024-03-19 15:34:55,336.68,4.69,146.58
CYC000123,TRK011,EXC001,WA001,2024-04-04 08:53:00,2024-04-04 09:47:00,347.04,7.37,88.61
CYC000124,TRK003,EXC004,WA001,2024-05-13 16:54:00,2024-05-13 17:24:33,369.27,7.22,82.71
CYC000125,TRK011,EXC006,WA001,2024-01-26 10:22:00,2024-01-26 10:49:49,247.77,7.51,111.7
CYC000126,TRK013,EXC006,NSW001,2024-11-20 06:29:00,2024-11-20 06:55:19,381.34,2.83,193.61
CYC000127,TRK015,EXC005,WA001,2024-02-21 13:05:00,2024-02-21 13:37:23,300.19,2.9,100.08
CYC000128,TRK013,EXC001,WA001,2024-09-22 06:22:00,2024-09-22 07:16:17,272.51,6.49,138.26
CYC000129,TRK005,EXC002,QLD001,2024-12-19 18:16:00,2024-12-19 18:50:11,314.78,2.23,176.01
CYC000130,TRK001,EXC001,QLD001,2024-04-27 12:57:00,,263.95,3.1km,210.81
CYC000131,TRK014,EXC004,QLD001,2024-09-07 20:01:00,2024-09-07 20:59:31,250.75,6.5,239.96
CYC000132,TRK001,EXC002,QLD001,2024-10-30 12:04:00,2024-10-30 12:48:56,311.93,5.59,145.22
CYC000133,TRK003,EXC006,WA001,2024-12-20 14:02:00,2024-12-20 14:45:04,345.13,6.24,124.22
CYC000134,TRK002,EXC002,WA001,2024-05-29 23:48:00,2024-05-30 00:24:37,399.50,3.89,111.65
CYC000135,TRK005,EXC005,NSW001,2024-11-28 07:35:00,2024-11-28 08:25:04,357.24,7.92,149.26
CYC000136,TRK010,EXC004,NSW001,2024-12-03 23:44:00,2024-12-04 00:27:49,310.32,4.05,93.15
CYC000137,TRK012,EXC005,WA001,2024-03-25 06:54:00,2024-03-25 07:33:17,301.54,3.26,242.54
CYC000138,TRK004,EXC004,QLD001,2024-02-15 13:15:00,2024-02-15 13:42:19,334.45,6.21,139.26
CYC000139,TRK004,EXC003,QLD001,2024-11-02 13:46:00,2024-11-02 14:43:39,209.87,7.7km,98.21
CYC000140,TRK008,EXC005,QLD001,2024-05-20 21:36:00,2024-05-20 22:18:33,283.47,4.7,126.12
CYC000141,TRK001,EXC001,QLD001,2024-01-22 23:33:00,2024-01-23 00:12:42,384.38,6.19,102.04
CYC000142,TRK002,EXC001,QLD001,2024-11-28 02:10:00,2024-11-28 02:50:53,214.13,4.58,245.54
CYC000143,TRK010,EXC002,NSW001,2024-03-25 12:10:00,2024-03-25 12:34:53,222.48,6.3km,216.52
CYC000144,TRK007,EXC001,NSW001,2024-08-10 10:11:00,2024-08-10 11:00:02,343.64,2.1km,177.03
CYC000145,TRK002,EXC005,QLD001,2024-08-23 05:45:00,2024-08-23 06:43:49,344.78,6.38,155.94
CYC000146,TRK010,EXC001,NSW001,2024-06-18 01:12:00,2024-06-18 02:09:23,250.54,1.95,84.84
CYC000147,TRK012,EXC001,NSW001,2024-08-21 10:25:00,2024-08-21 11:21:27,268.0,5.71,129.99
CYC000148,TRK014,EXC003,NSW001,2024-07-24 04:29:00,2024-07-24 05:23:14,248.41,8.31,179.14
CYC000149,TRK010,EXC003,QLD001,2024-03-08 04:00:00,2024-03-08 04:34:55,381.95,6.78,222.15
CYC000150,TRK001,EXC005,WA001,2024-12-12 19:26:00,2024-12-12 20:21:42,349.15,2.84,246.05
CYC000151,TRK013,EXC004,NSW001,2024-11-12 15:08:00,,252.80,1.57,100.2
CYC000152,TRK015,EXC005,QLD001,2024-08-18 01:20:00,2024-08-18 01:41:57,343.46,2.32,152.35
CYC000153,TRK004,EXC002,QLD001,2024-04-16 00:37:00,2024-04-16 01:08:16,367.44,4.8km,98.29
CYC000154,TRK005,EXC001,WA001,2024-07-26 22:40:00,2024-07-26 23:03:55,222.5,2.5km,193.98
CYC000155,TRK014,EXC004,NSW001,2024-07-09 03:42:00,2024-07-09 04:21:04,200.33,6.1km,98.11
CYC000156,TRK008,EXC004,NSW001,2024-10-18 00:32:00,2024-10-18 01:01:03,363.53,4.9km,226.7
CYC000157,TRK009,EXC006,NSW001,2024-08-03 00:40:00,2024-08-03 01:18:13,347.95,5.06,188.28
CYC000158,TRK011,EXC004,QLD001,2024-08-12 13:45:00,2024-08-12 14:43:34,226.41,5.92,171.45
CYC000159,TRK006,EXC006,WA001,2024-11-21 23:25:00,2024-11-22 00:00:34,379.73,8.49,193.71
CYC000160,TRK002,EXC001,NSW001,2024-07-11 12:28:00,2024-07-11 13:05:23,316.82,2.1,238.94
CYC000161,TRK012,EXC003,NSW001,2024-08-22 17:48:00,2024-08-22 18:27:26,239.14,3.83,206.97
CYC000162,TRK009,EXC004,WA001,2024-07-25 20:08:00,2024-07-25 21:07:45,341.52,6.16,169.84
CYC000163,TRK013,EXC002,QLD001,2024-01-05 23:14:00,2024-01-05 23:39:27,360.0,8.17,197.89
CYC000164,TRK009,EXC002,NSW001,2024-11-10 05:32:00,2024-11-10 06:28:41,391.70,5.3km,223.99
CYC000165,TRK014,EXC001,NSW001,2024-10-14 03:11:00,2024-10-14 03:49:39,247.88,4.62,241.04
CYC000166,TRK009,EXC002,NSW001,2024-10-14 18:23:00,2024-10-14 19:10:20,305.17,6.03,118.75
CYC000167,TRK014,EXC002,WA001,2024-08-18 08:23:00,2024-08-18 09:10:13,396.31,2.79,191.32
CYC000168,TRK015,EXC005,WA001,2024-12-30 11:41:00,2024-12-30 12:25:25,230.33,7.62,227.3
CYC000169,TRK015,EXC002,WA001,2024-08-20 17:40:00,2024-08-20 18:34:19,349.53,6.98,140.98
CYC000170,TRK004,EXC002,QLD001,2024-07-16 18:03:00,2024-07-16 18:32:46,306.84,4.5km,99.11
CYC000171,TRK009,EXC002,NSW001,2024-02-25 13:16:00,2024-02-25 14:08:39,247.89,7.37,139.6
CYC000172,TRK005,EXC001,NSW001,2024-12-13 05:17:00,2024-12-13 06:10:49,315.37,2.2km,127.66
CYC000173,TRK011,EXC005,QLD001,2024-03-30 05:29:00,2024-03-30 06:19:51,395.58,2.3km,167.27
CYC000174,TRK008,EXC001,NSW001,2024-03-28 23:10:00,2024-03-28 23:35:14,383.77,1.75,164.48
CYC000175,TRK008,EXC001,WA001,2024-05-04 03:59:00,2024-05-04 04:57:03,332.50,7.85,220.42
CYC000176,TRK009,EXC004,WA001,2024-08-01 18:40:00,2024-08-01 19:18:10,378.26,6.7km,207.83
CYC000177,TRK002,EXC001,WA001,2024-08-15 21:24:00,2024-08-15 21:58:25,239.04,5.6km,155.86
CYC000178,TRK003,EXC001,NSW001,2024-09-23 00:35:00,2024-09-23 01:17:14,352.02,1.89,127.37
CYC000179,TRK007,EXC001,WA001,2024-09-23 00:01:00,2024-09-23 00:47:05,355.01,7.63,103.79
CYC000180,TRK005,EXC001,NSW001,2024-06-09 05:43:00,2024-06-09 06:35:12,208.21,4.67,200.41
CYC000181,TRK015,EXC001,NSW001,2024-11-13 23:20:00,2024-11-14 00:16:18,301.24,4.82,119.49
CYC000182,TRK012,EXC002,WA001,2024-08-11 11:05:00,2024-08-11 11:56:55,336.74,6.44,132.06
CYC000183,TRK003,EXC004,QLD001,2024-04-28 04:39:00,,250.94,4.45,113.2
CYC000184,TRK003,EXC006,WA001,2024-04-29 15:58:00,2024-04-29 16:52:39,234.05,7.55,108.9
CYC000185,TRK006,EXC006,WA001,2024-05-28 08:39:00,2024-05-28 09:28:41,363.49,1.63,161.53
CYC000186,TRK011,EXC003,NSW001,2024-01-04 23:31:00,2024-01-05 00:10:57,309.80,4.11,120.55
CYC000187,TRK002,EXC006,WA001,2024-03-17 14:39:00,2024-03-17 15:20:40,277.48,3.83,186.3
CYC000188,TRK001,EXC002,WA001,2024-08-07 13:30:00,2024-08-07 14:02:32,301.2,6.9km,225.82
CYC000189,TRK013,EXC005,WA001,2024-07-13 19:26:00,2024-07-13 20:09:45,324.76,8.49,102.76
CYC000190,TRK011,EXC004,WA001,2024-01-28 20:29:00,2024-01-28 21:08:17,391.99,2.49,147.4
CYC000191,TRK013,EXC003,WA001,2024-08-08 05:29:00,2024-08-08 06:05:50,329.37,4.3km,159.33
CYC000192,TRK012,EXC002,WA001,2024-08-22 00:37:00,2024-08-22 01:25:27,303.67,5.7km,171.25
CYC000193,TRK007,EXC001,WA001,2024-10-07 09:17:00,2024-10-07 09:44:29,234.40,6.42,192.55
CYC000194,TRK009,EXC002,QLD001,2024-04-25 11:13:00,2024-04-25 11:58:17,246.11,1.6km,156.19
CYC000195,TRK007,EXC005,QLD001,2024-12-11 19:22:00,2024-12-11 19:55:41,390.61,7.74,168.37
CYC000196,TRK003,EXC003,NSW001,2024-08-21 19:31:00,2024-08-21 19:54:55,352.79,4.09,173.4
CYC000197,TRK012,EXC003,WA001,2024-03-07 08:04:00,2024-03-07 08:33:17,257.74,4.09,197.02
CYC000198,TRK005,EXC004,QLD001,2024-05-25 14:14:00,2024-05-25 15:03:16,226.44,2.6km,236.22
CYC000199,TRK008,EXC006,QLD001,2024-02-15 04:09:00,2024-02-15 04:34:10,364.09,3.06,115.18
CYC000200,TRK006,EXC003,NSW001,2024-06-29 20:28:00,2024-06-29 20:51:33,245.08,1.83,102.29
CYC000201,TRK008,EXC002,WA001,2024-04-09 15:31:00,2024-04-09 16:00:10,210.59,1.54,159.86
CYC000202,TRK008,EXC001,QLD001,2024-06-25 06:59:00,2024-06-25 07:34:41,331.88,1.57,249.28
CYC000203,TRK015,EXC002,WA001,2024-12-05 09:13:00,2024-12-05 10:12:19,398.26,3.9,234.97
CYC000204,TRK013,EXC003,WA001,2024-01-15 11:08:00,2024-01-15 12:06:29,231.16,6.37,218.25
CYC000205,TRK012,EXC001,QLD001,2024-03-27 20:34:00,2024-03-27 21:33:09,213.43,2.5km,173.17
CYC000206,TRK004,EXC006,NSW001,2024-09-11 04:13:00,2024-09-11 04:56:07,398.88,3.16,111.68
CYC000207,TRK008,EXC001,WA001,2024-10-25 22:07:00,2024-10-25 22:28:08,206.48,7.8,89.42
CYC000208,TRK005,EXC003,QLD001,2024-02-26 21:40:00,2024-02-26 22:22:09,295.73,1.51,227.9
CYC000209,TRK003,EXC003,WA001,2024-12-09 15:28:00,2024-12-09 16:26:35,232.17,2.37,172.04
CYC000210,TRK012,EXC006,QLD001,2024-03-14 17:12:00,2024-03-14 17:53:06,369.83,8.3km,186.4
CYC000211,TRK011,EXC004,QLD001,2024-03-13 19:15:00,2024-03-13 19:59:58,282.23,3.85,127.79
CYC000212,TRK004,EXC005,NSW001,2024-01-23 11:28:00,2024-01-23 12:00:51,236.49,4.59,138.18
CYC000213,TRK003,EXC003,NSW001,2024-06-14 00:44:00,2024-06-14 01:15:53,267.96,2.3km,82.8
CYC000214,TRK003,EXC001,QLD001,2024-10-12 17:46:00,2024-10-12 18:31:00,324.61,1.76,187.59
CYC000215,TRK009,EXC001,NSW001,2024-06-16 21:13:00,2024-06-16 21:38:53,222.20,3.6km,107.27
CYC000216,TRK010,EXC006,QLD001,2024-11-18 06:48:00,2024-11-18 07:08:16,265.83,5.35,120.0
CYC000217,TRK004,EXC001,NSW001,2024-10-11 10:30:00,2024-10-11 10:54:57,224.8,2.42,122.07
CYC000218,TRK014,EXC006,WA001,2024-02-13 09:36:00,2024-02-13 10:03:59,303.14,5.5km,183.45
CYC000219,TRK009,EXC002,QLD001,2024-05-12 06:16:00,2024-05-12 06:50:37,316.4,6.53,203.9
CYC000220,TRK014,EXC004,WA001,2024-03-20 08:43:00,2024-03-20 09:12:23,211.84,3.49,148.49
CYC000221,TRK012,EXC002,WA001,2024-01-20 19:57:00,2024-01-20 20:50:08,349.89,3.28,-154.36
CYC000222,TRK006,EXC006,NSW001,2024-03-11 09:50:00,2024-03-11 10:22:56,261.55,4.83,209.97
CYC000223,TRK001,EXC006,NSW001,2024-06-29 16:07:00,2024-06-29 17:03:06,376.88,7.5km,82.59
CYC000224,TRK010,EXC006,QLD001,2024-04-25 23:59:00,2024-04-26 00:33:03,273.97,5.46,91.27
CYC000225,TRK014,EXC001,NSW001,2024-07-08 08:20:00,2024-07-08 08:42:08,337.07,8.27,-145.95
CYC000226,TRK009,EXC003,WA001,2024-07-03 14:17:00,2024-07-03 15:12:48,216.29,3.5km,164.38
CYC000227,TRK005,EXC002,QLD001,2024-07-04 18:14:00,2024-07-04 19:05:11,236.75,8.23,128.1
CYC000228,TRK010,EXC003,NSW001,2024-01-11 17:28:00,2024-01-11 18:18:46,200.99,4.85,216.04
CYC000229,TRK002,EXC004,WA001,2024-06-01 15:36:00,2024-06-01 16:13:58,261.23,7.0,148.17
CYC000230,TRK010,EXC001,NSW001,2024-01-30 16:31:00,2024-01-30 17:24:37,326.50,3.39,87.58
CYC000231,TRK011,EXC006,QLD001,2024-04-26 05:59:00,2024-04-26 06:40:09,201.63,1.79,243.0
CYC000232,TRK011,EXC005,WA001,2024-03-29 01:27:00,,203.37,4.82,117.84
CYC000233,TRK013,EXC004,WA001,2024-01-15 05:36:00,2024-01-15 06:17:26,375.54,4.18,146.09
CYC000234,TRK003,EXC004,NSW001,2024-04-02 00:50:00,2024-04-02 01:24:41,261.55,3.2km,131.04
CYC000235,TRK014,EXC002,QLD001,2024-06-23 16:00:00,2024-06-23 16:35:41,318.16,2.66,125.07
CYC000236,TRK011,EXC006,WA001,2024-11-30 02:13:00,2024-11-30 03:08:16,236.07,6.4,211.42
CYC000237,TRK002,EXC002,QLD001,2024-06-13 07:23:00,2024-06-13 08:04:57,344.54,6.09,89.25
