date,site_id,ore_tonnes,waste_tonnes,plan_tonnes,recovery_pct
2024-04-08,WA001,8298.57,12713.82,8749.13,89.46
2024-04-08,QLD001,12577.97,17637.2,12803.73,82.18
2024-04-08,NSW001,8080.31,20610.29,8155.75,93.48
2024-04-09,WA001,12022.91,13171.71,12401.99,89.47
2024-04-09,QLD001,14953.01,19395.25,"14,296.51",87.59
2024-04-09,NSW001,14952.01,"13,991.81","14,680.88",89.66
2024-04-10,WA001,11643.42,17679.29,11776.66,90.65
2024-04-10,QLD001,14270.23,14068.8,0,86.05
2024-04-10,NSW001,11725.49,19409.31,11915.31,93.91
2024-04-11,WA001,8612.12,"14,491.65","9,239.36",89.52
2024-04-11,QLD001,"14,562.93",14158.49,14716.5,89.95
2024-04-11,NSW001,10022.06,17426.57,10596.76,90.39
2024-04-12,WA001,"10,780.95",23784.21,"11,086.37",91.45
2024-04-12,QLD001,"10,719.20",24036.06,10685.54,84.15
2024-04-12,NSW001,12112.21,17449.27,"12,989.75",84.75
2024-04-13,WA001,9977.11,12818.71,10119.98,84.14
2024-04-13,QLD001,8043.74,20686.34,"7,953.22",90.9
2024-04-13,NSW001,8223.94,21820.28,8006.72,92.38
2024-04-14,WA001,9384.98,20859.72,"9,291.06",88.12
2024-04-14,QLD001,8670.12,24633.38,0,85.71
2024-04-14,NSW001,12691.54,21066.85,"12,892.36",89.75
2024-04-15,WA001,10187.55,17905.7,10375.55,82.45
2024-04-15,QLD001,10020.5,"24,356.79",0,83.17
2024-04-15,NSW001,"8,812.77",15701.24,9025.7,86.03
2024-04-16,WA001,10068.26,20152.23,10708.48,92.47
2024-04-16,QLD001,12886.35,22370.91,12709.24,87.44
2024-04-16,NSW001,8292.67,22231.41,8173.15,88.99
2024-04-17,WA001,"14,199.64",22166.18,"14,182.44",87.85
2024-04-17,QLD001,12464.22,23742.27,13084.41,87.69
2024-04-17,NSW001,10221.45,14711.39,9838.11,93.7
2024-04-18,WA001,11780.52,23081.48,11478.24,92.53
2024-04-18,QLD001,13356.34,22697.11,"14,185.52",82.92
2024-04-18,NSW001,13509.69,19850.17,13151.22,85.22
2024-04-19,WA001,12612.89,24153.96,13181.46,83.96
2024-04-19,QLD001,9583.65,15861.3,9613.3,85.32
2024-04-19,NSW001,11055.98,24835.72,10960.49,84.88
2024-04-20,WA001,"9,175.32",16418.72,0,87.05
2024-04-20,QLD001,12461.13,"12,684.95","13,692.71",86.98
2024-04-20,NSW001,"10,299.11",15695.64,10024.92,91.76
2024-04-21,WA001,10423.11,21437.07,"11,320.15",83.73
2024-04-21,QLD001,12449.45,18564.49,12644.74,82.4
2024-04-21,NSW001,14564.32,15346.34,14806.39,87.11
2024-04-22,WA001,10909.66,13456.42,11779.36,87.24
2024-04-22,QLD001,8896.57,16378.42,0,88.36
2024-04-22,NSW001,11934.66,24422.27,"12,792.30",90.06
2024-04-23,WA001,9761.36,21225.17,9724.34,83.97
2024-04-23,QLD001,"8,765.78","15,051.44",9159.13,91.56
2024-04-23,NSW001,13638.68,15725.61,13598.2,89.79
2024-04-24,WA001,"10,851.70","19,643.67",10695.37,90.24
2024-04-24,QLD001,8260.8,23397.46,8148.94,84.9
2024-04-24,NSW001,14124.51,16224.29,"13,604.98",92.78
2024-04-25,WA001,9341.32,16298.76,9238.78,91.27
2024-04-25,QLD001,9893.67,14783.55,9774.38,90.21
2024-04-25,NSW001,13113.55,"13,014.12","13,239.43",84.04
2024-04-26,WA001,11882.17,14376.1,13004.24,88.29
2024-04-26,QLD001,"10,264.28","15,656.76","10,264.57",92.79
2024-04-26,NSW001,11240.38,16939.6,11488.3,84.26
2024-04-27,WA001,12749.9,22923.63,13186.14,85.03
2024-04-27,QLD001,8069.48,20698.14,"8,079.37",82.08
2024-04-27,NSW001,"14,221.26",17006.33,13607.28,84.03
2024-04-28,WA001,13728.63,16235.75,15087.08,82.25
2024-04-28,QLD001,11879.31,12753.27,11871.04,83.84
2024-04-28,NSW001,"10,696.42","22,049.85",11454.96,91.86
2024-04-29,WA001,13494.54,22412.6,14296.87,87.25
2024-04-29,QLD001,12382.93,"12,535.17",11988.3,93.77
2024-04-29,NSW001,9911.24,"21,307.17",10389.06,85.58
2024-04-30,WA001,"9,648.17",18332.87,10088.6,82.31
2024-04-30,QLD001,13798.55,23159.45,14730.0,88.32
2024-04-30,NSW001,14146.44,16983.98,13914.56,85.14
2024-05-01,WA001,"13,403.36",17226.02,13424.28,93.05
2024-05-01,QLD001,10989.54,13235.78,11319.33,90.95
2024-05-01,NSW001,9288.46,22183.12,9508.14,89.31
2024-05-02,WA001,13495.74,14727.62,13730.43,86.28
2024-05-02,QLD001,"8,841.66",17468.96,9230.92,92.78
2024-05-02,NSW001,13541.85,20667.34,13637.07,92.56
2024-05-03,WA001,8367.97,22126.61,8520.17,90.21
2024-05-03,QLD001,"14,074.83","19,327.75",14042.54,89.61
2024-05-03,NSW001,9835.44,16268.57,"10,528.81",87.15
2024-05-04,WA001,"13,687.97",17924.25,14195.85,86.52
2024-05-04,QLD001,13101.37,13762.59,14161.03,84.92
2024-05-04,NSW001,11459.66,21811.65,11976.96,83.59
2024-05-05,WA001,14934.18,22800.66,0,84.36
2024-05-05,QLD001,13578.37,20942.0,"13,701.91",87.95
2024-05-05,NSW001,"11,453.23",17984.71,12423.02,84.14
2024-05-06,WA001,10016.87,13714.85,10896.71,86.75
2024-05-06,QLD001,"14,119.65","23,670.95",14527.06,82.51
2024-05-06,NSW001,"11,115.83","23,698.64",10666.91,90.46
2024-05-07,WA001,11616.89,15623.83,12106.52,88.9
2024-05-07,QLD001,13255.97,17222.46,0,87.58
2024-05-07,NSW001,"14,782.13",22386.61,"14,500.54",83.71
2024-05-08,WA001,8446.6,20176.85,8714.99,92.69
2024-05-08,QLD001,"10,947.05",14001.75,10480.48,83.91
2024-05-08,NSW001,10630.12,16752.05,11610.48,91.75
2024-05-09,WA001,"13,551.63",18782.79,"14,268.17",82.84
2024-05-09,QLD001,10654.41,16507.5,0,83.14
2024-05-09,NSW001,"10,538.54","12,417.35","10,742.84",82.09
2024-05-10,WA001,"12,494.57",19304.71,13026.76,93.93
2024-05-10,QLD001,"13,902.00",23774.02,15216.11,88.98
2024-05-10,NSW001,"12,371.26",13588.47,11796.71,93.49
2024-05-11,WA001,8349.54,-12645.29,8934.98,84.86
2024-05-11,QLD001,10964.64,"16,912.85",11607.87,88.79
2024-05-11,NSW001,"14,955.69",16768.54,14541.78,92.91
2024-05-12,WA001,9125.41,20929.27,9911.99,84.06
2024-05-12,QLD001,9275.37,17013.53,"9,766.79",83.59
2024-05-12,NSW001,10899.04,24425.01,10809.1,88.4
2024-05-13,WA001,11282.01,13807.75,11417.17,92.76
2024-05-13,QLD001,10819.61,23104.59,0,86.84
2024-05-13,NSW001,13980.59,19417.77,13829.03,93.2
2024-05-14,WA001,"14,711.91",22028.41,16015.77,93.1
2024-05-14,QLD001,8913.12,15645.15,"8,496.24",89.94
2024-05-14,NSW001,"12,975.15",16890.01,13149.5,93.09
2024-05-15,WA001,8632.02,"18,216.93",8532.27,82.55
2024-05-15,QLD001,10882.7,17070.15,10631.89,91.33
2024-05-15,NSW001,12729.64,14173.87,12911.91,92.14
2024-05-16,WA001,"14,838.11",13145.67,15336.34,88.89
2024-05-16,QLD001,10259.64,-20008.47,"10,526.12",89.91
2024-05-16,NSW001,"9,922.75",12045.33,10608.97,90.51
2024-05-17,WA001,8239.93,22365.91,8253.03,82.36
2024-05-17,QLD001,"13,383.54",19540.0,"13,042.99",85.21
2024-05-17,NSW001,9144.63,19086.25,9320.11,87.05
2024-05-18,WA001,"11,928.61","24,331.16",11332.78,83.02
2024-05-18,QLD001,10525.26,24535.9,"10,560.89",93.96
2024-05-18,NSW001,"12,834.35",14575.36,13964.51,82.47
2024-05-19,WA001,13452.19,23523.38,13805.1,92.06
2024-05-19,QLD001,12760.41,17218.02,12443.19,87.25
2024-05-19,NSW001,8298.09,24516.1,8666.75,93.73
2024-05-20,WA001,8697.61,12068.03,9509.31,91.62
2024-05-20,QLD001,13378.18,22070.79,13907.74,82.91
2024-05-20,NSW001,"13,766.52",-12925.13,13275.68,85.49
2024-05-21,WA001,"10,292.06",18161.26,0.00,88.0
2024-05-21,QLD001,9715.5,16781.49,"9,231.57",88.77
2024-05-21,NSW001,13175.75,23990.61,"13,709.72",91.32
2024-05-22,WA001,10003.31,21308.27,10713.26,90.63
2024-05-22,QLD001,"14,229.85",23941.45,13807.86,82.33
2024-05-22,NSW001,9999.24,13061.57,10023.46,84.59
2024-05-23,WA001,9586.14,19091.5,9598.14,93.41
2024-05-23,QLD001,11758.85,16297.8,12131.41,88.1
2024-05-23,NSW001,10726.23,19618.37,"11,049.29",91.33
2024-05-24,WA001,9550.68,24911.05,9254.76,82.94
2024-05-24,QLD001,"14,042.77","23,990.01",14010.53,88.65
2024-05-24,NSW001,12510.41,18925.1,"12,314.20",87.84
2024-05-25,WA001,9087.49,14058.96,"9,512.34",85.64
