work_order_id,equipment_id,site_id,open_time,close_time,failure_type,parts_cost_aud,labor_hours,priority
WO00119,TRK010,QLD001,2024-12-17 19:00:00,,Tire Damage,23149.78,22.2,high
WO00120,CRU002,WA001,2024-10-23 05:00:00,2024-10-23 23:54:32,Transmission Issue,42203.99,12.94,LOW
WO00121,TRK002,NSW001,2024-12-11 12:00:00,2024-12-13 10:31:20,Engine Failure,19225.66,64.95,MEDIUM
WO00122,CRU003,QLD001,2024-04-07 18:00:00,2024-04-09 13:33:19,Brake System,34861.01,28.49,HIGH
WO00123,TRK014,WA001,2024-04-19 07:00:00,2024-04-20 00:11:03,engine failure,44625.04,12.61,MEDIUM
WO00124,CRU003,WA001,2024-06-18 13:00:00,2024-06-19 05:25:09,Brake System,45051.41,19.8,Medium
WO00125,TRK014,WA001,2024-05-10 11:00:00,,transmission issue,5438.63,22.38,Medium
WO00126,TRK011,QLD001,2024-09-28 07:00:00,2024-09-29 22:23:45,Bearing Failure,41629.10,54.18,Medium
WO00127,EXC006,QLD001,2024-05-04 17:00:00,,brake system,17735.99,36.63,Medium
WO00128,TRK006,WA001,2024-11-27 09:00:00,2024-11-27 22:24:50,Sensor Malfunction,26132.91,9.32,Medium
WO00129,CNV003,NSW001,2024-01-25 12:00:00,2024-01-26 12:06:21,tire damage,"$26,739.27",34.51,LOW
WO00130,TRK002,NSW001,2024-04-26 17:00:00,2024-04-28 08:43:53,COOLANT SYSTEM,21040.73,45.79,high
WO00131,EXC005,NSW001,2024-02-18 04:00:00,2024-02-18 20:30:29,Bearing Failure,25608.29,17.75,MEDIUM
WO00132,TRK013,NSW001,2024-02-29 16:00:00,2024-03-01 01:51:26,Hydraulic Leak,"$19,282.03",10.74,MEDIUM
WO00133,TRK006,NSW001,2024-09-12 06:00:00,2024-09-13 06:00:03,Hydraulic Leak,49412.67,21.4,Medium
WO00134,CNV002,QLD001,2024-05-22 02:00:00,2024-05-23 14:17:42,Belt Replacement,15576.27,39.95,LOW
WO00135,TRK003,NSW001,2024-07-04 09:00:00,2024-07-05 13:31:27,Coolant System,20455.90,28.72,HIGH
WO00136,TRK004,WA001,2024-07-01 18:00:00,2024-07-03 05:34:22,Belt Replacement,29590.28,37.65,Medium
WO00137,EXC004,NSW001,2024-01-07 19:00:00,,transmission issue,"$155,214.00",60.68,MEDIUM
WO00138,TRK010,NSW001,2024-03-09 02:00:00,2024-03-09 20:08:22,Tire Damage,48535.57,16.28,high
WO00139,CRU002,NSW001,2024-01-25 20:00:00,2024-01-27 18:07:30,SENSOR MALFUNCTION,"$42,301.04",65.63,Medium
WO00140,TRK008,WA001,2024-10-26 06:00:00,2024-10-27 17:58:41,tire damage,49385.03,23.64,Medium
WO00141,TRK001,WA001,2024-09-15 10:00:00,2024-09-16 08:30:48,Coolant System,16666.48,13.47,high
WO00142,TRK003,QLD001,2024-10-04 00:00:00,,Transmission Issue,28530.46,8.81,HIGH
WO00143,CRU002,NSW001,2024-04-07 16:00:00,2024-04-08 09:27:10,tire damage,16025.89,25.36,LOW
WO00144,EXC004,QLD001,2024-11-02 19:00:00,,Hydraulic Leak,1141.25,7.82,Medium
WO00145,TRK003,WA001,2024-12-17 13:00:00,2024-12-19 01:52:43,TIRE DAMAGE,"$117,463.00",26.05,LOW
WO00146,TRK002,QLD001,2024-07-24 23:00:00,2024-07-25 21:55:18,BRAKE SYSTEM,4896.89,34.34,high
WO00147,EXC001,NSW001,2024-05-27 01:00:00,2024-05-28 08:28:29,coolant system,35172.07,17.46,high
WO00148,EXC006,QLD001,2024-06-09 13:00:00,2024-06-09 20:33:34,Sensor Malfunction,21660.79,6.55,high
WO00149,EXC006,QLD001,2024-10-02 15:00:00,2024-10-02 23:53:09,coolant system,31599.60,11.56,LOW
WO00150,TRK011,QLD001,2024-10-13 15:00:00,2024-10-14 20:00:47,Sensor Malfunction,"$49,774.26",22.76,high
WO00151,TRK011,NSW001,2024-01-22 07:00:00,2024-01-23 16:31:34,Tire Damage,12762.11,26.79,LOW
WO00152,TRK011,QLD001,2024-10-26 09:00:00,,Belt Replacement,"$178,920.00",61.01,high
WO00153,TRK004,WA001,2024-07-19 01:00:00,2024-07-19 11:28:05,Hydraulic Leak,40438.36,7.67,Medium
WO00154,TRK012,WA001,2024-11-13 18:00:00,2024-11-14 19:58:16,Electrical Fault,"$137,641.00",32.61,LOW
WO00155,TRK005,QLD001,2024-09-16 16:00:00,2024-09-16 22:19:10,Brake System,45825.53,3.67,LOW
WO00156,EXC002,WA001,2024-03-25 12:00:00,2024-03-26 15:21:15,Coolant System,13238.10,29.85,LOW
WO00157,TRK009,QLD001,2024-10-16 10:00:00,2024-10-17 12:10:05,Tire Damage,46139.16,18.14,high
WO00158,TRK003,QLD001,2024-07-20 16:00:00,2024-07-20 23:12:55,sensor malfunction,"$41,590.12",4.96,Medium
WO00159,EXC003,NSW001,2024-08-24 21:00:00,2024-08-26 11:30:49,sensor malfunction,"$24,465.98",33.23,MEDIUM
WO00160,EXC002,WA001,2024-03-12 13:00:00,2024-03-12 22:34:49,Hydraulic Leak,"$154,264.00",10.11,high
WO00161,CRU003,WA001,2024-03-27 23:00:00,2024-03-28 22:08:55,Brake System,19164.72,31.19,HIGH
WO00162,TRK003,QLD001,2024-01-03 14:00:00,2024-01-04 06:15:44,Brake System,17436.38,19.78,Medium
WO00163,TRK005,QLD001,2024-06-09 13:00:00,2024-06-11 01:10:22,Transmission Issue,9121.40,31.29,LOW
WO00164,TRK009,NSW001,2024-01-09 00:00:00,2024-01-09 20:58:41,Electrical Fault,"$33,224.77",13.34,MEDIUM
WO00165,TRK015,QLD001,2024-11-25 00:00:00,2024-11-26 05:58:18,BELT REPLACEMENT,"$36,527.59",30.14,MEDIUM
WO00166,TRK015,QLD001,2024-10-19 17:00:00,2024-10-19 21:19:33,bearing failure,"$9,285.07",4.02,MEDIUM
WO00167,CRU003,NSW001,2024-12-07 16:00:00,2024-12-08 09:49:00,transmission issue,39221.23,25.52,LOW
WO00168,EXC006,NSW001,2024-12-14 17:00:00,2024-12-16 16:54:02,tire damage,20250.53,65.4,Medium
WO00169,TRK007,WA001,2024-02-08 21:00:00,2024-02-09 10:35:39,Sensor Malfunction,29391.69,18.38,LOW
WO00170,CRU001,NSW001,2024-06-25 01:00:00,2024-06-25 16:56:56,Belt Replacement,12392.50,18.99,Medium
WO00171,CRU003,WA001,2024-07-23 06:00:00,2024-07-23 14:20:22,COOLANT SYSTEM,"$25,582.49",7.22,Medium
WO00172,TRK011,NSW001,2024-08-24 07:00:00,,Electrical Fault,9962.68,7.0,HIGH
WO00173,CNV003,NSW001,2024-05-20 11:00:00,2024-05-20 16:30:14,Coolant System,45918.55,3.09,MEDIUM
WO00174,TRK011,NSW001,2024-10-22 21:00:00,2024-10-24 04:52:24,Coolant System,20961.19,25.65,MEDIUM
WO00175,TRK011,NSW001,2024-10-29 02:00:00,2024-10-29 20:35:47,sensor malfunction,35527.25,19.88,MEDIUM
WO00176,TRK003,QLD001,2024-01-07 22:00:00,2024-01-09 13:40:50,Electrical Fault,4104.34,36.27,LOW
WO00177,TRK002,WA001,2024-01-06 11:00:00,2024-01-08 01:11:54,Bearing Failure,9248.39,35.91,LOW
WO00178,CNV001,QLD001,2024-09-03 20:00:00,2024-09-05 15:32:14,Sensor Malfunction,48899.14,51.0,HIGH
WO00179,CRU002,WA001,2024-07-31 00:00:00,2024-07-31 19:11:36,Tire Damage,19058.37,24.78,high
WO00180,CNV001,NSW001,2024-07-12 10:00:00,2024-07-12 18:15:05,engine failure,"$13,673.84",10.1,MEDIUM
WO00181,EXC003,NSW001,2024-12-22 20:00:00,2024-12-23 15:54:02,Engine Failure,"$20,363.99",21.24,Medium
WO00182,EXC006,QLD001,2024-03-07 12:00:00,,belt replacement,32292.29,16.54,HIGH
WO00183,EXC002,NSW001,2024-07-05 16:00:00,2024-07-06 22:49:49,belt replacement,23343.52,28.68,high
WO00184,EXC002,WA001,2024-04-23 10:00:00,2024-04-24 01:00:54,hydraulic leak,35693.41,21.75,LOW
WO00185,CNV002,QLD001,2024-10-07 05:00:00,2024-10-09 02:16:41,sensor malfunction,39657.72,28.3,LOW
WO00186,TRK014,WA001,2024-12-13 16:00:00,2024-12-15 15:16:24,Coolant System,2638.96,34.12,HIGH
WO00187,TRK015,QLD001,2024-05-04 11:00:00,2024-05-04 16:13:23,Belt Replacement,6045.84,2.97,Medium
WO00188,CRU003,WA001,2024-05-30 18:00:00,2024-06-01 05:29:55,Coolant System,21679.22,18.64,LOW
WO00189,CNV002,NSW001,2024-06-03 12:00:00,2024-06-03 15:34:10,Brake System,49976.74,2.6,MEDIUM
WO00190,CNV001,QLD001,2024-05-22 01:00:00,2024-05-22 19:12:42,Hydraulic Leak,47611.56,12.39,Medium
WO00191,EXC004,NSW001,2024-10-24 21:00:00,2024-10-26 17:50:47,Coolant System,"$10,315.61",35.41,LOW
WO00192,TRK002,WA001,2024-10-03 07:00:00,2024-10-04 21:50:24,COOLANT SYSTEM,"$46,508.11",46.82,HIGH
WO00193,TRK008,WA001,2024-02-02 15:00:00,2024-02-03 01:23:41,transmission issue,4126.79,13.98,Medium
WO00194,TRK008,NSW001,2024-01-09 15:00:00,2024-01-10 16:33:13,coolant system,44773.93,27.3,LOW
WO00195,TRK015,WA001,2024-08-24 11:00:00,2024-08-25 17:44:51,Sensor Malfunction,39498.01,26.86,Medium
WO00196,TRK012,WA001,2024-02-22 17:00:00,2024-02-24 00:47:13,belt replacement,20578.78,25.51,MEDIUM
WO00197,EXC001,NSW001,2024-10-10 10:00:00,2024-10-10 16:18:41,brake system,28811.34,3.95,MEDIUM
WO00198,TRK015,NSW001,2024-04-23 14:00:00,,Electrical Fault,21738.60,39.63,HIGH
WO00199,EXC002,QLD001,2024-04-21 11:00:00,2024-04-21 19:13:43,tire damage,46895.70,7.2,MEDIUM
WO00200,EXC002,QLD001,2024-12-02 09:00:00,,Hydraulic Leak,40559.92,58.16,high
WO00201,TRK011,NSW001,2024-01-22 08:00:00,2024-01-22 14:59:34,Hydraulic Leak,6344.35,9.3,MEDIUM
WO00202,EXC004,NSW001,2024-08-12 16:00:00,,Transmission Issue,29054.54,21.68,LOW
WO00203,CNV001,NSW001,2024-12-01 03:00:00,2024-12-02 08:51:10,tire damage,15213.39,15.73,Medium
WO00204,TRK014,QLD001,2024-12-01 17:00:00,2024-12-02 10:07:52,Hydraulic Leak,24003.05,9.47,MEDIUM
WO00205,TRK012,WA001,2024-02-19 21:00:00,2024-02-21 06:22:48,coolant system,"$5,736.13",17.64,LOW
WO00206,TRK013,QLD001,2024-09-02 08:00:00,,Sensor Malfunction,46998.35,41.79,LOW
WO00207,EXC003,WA001,2024-08-22 13:00:00,2024-08-23 08:54:13,Tire Damage,35194.51,16.12,Medium
WO00208,TRK008,NSW001,2024-07-24 07:00:00,,Hydraulic Leak,23381.79,2.37,high
WO00209,CRU003,WA001,2024-06-10 09:00:00,2024-06-10 20:53:04,bearing failure,45151.97,12.13,MEDIUM
WO00210,TRK009,NSW001,2024-11-30 20:00:00,2024-12-01 02:26:50,coolant system,4387.08,3.43,MEDIUM
WO00211,CRU003,NSW001,2024-01-31 01:00:00,2024-01-31 21:38:05,tire damage,42734.78,29.42,Medium
WO00212,CNV001,WA001,2024-10-17 07:00:00,2024-10-18 08:32:51,Electrical Fault,"$35,437.27",24.65,HIGH
WO00213,TRK014,WA001,2024-09-10 13:00:00,2024-09-11 04:34:45,SENSOR MALFUNCTION,33160.96,20.74,MEDIUM
WO00214,CNV002,NSW001,2024-09-01 06:00:00,,engine failure,6001.83,14.43,LOW
WO00215,TRK007,NSW001,2024-09-29 08:00:00,2024-09-29 11:58:53,Bearing Failure,"$23,723.64",5.08,LOW
WO00216,TRK007,QLD001,2024-07-23 14:00:00,2024-07-23 16:34:33,transmission issue,5353.53,3.01,MEDIUM
WO00217,EXC002,QLD001,2024-12-25 05:00:00,2024-12-25 08:47:07,Hydraulic Leak,"$18,167.51",2.59,HIGH
WO00218,CRU002,WA001,2024-08-27 13:00:00,2024-08-27 15:22:48,TIRE DAMAGE,"$18,208.82",2.46,high
WO00219,EXC005,NSW001,2024-12-21 17:00:00,2024-12-22 15:15:46,Sensor Malfunction,19645.77,19.52,high
WO00220,TRK013,NSW001,2024-05-31 10:00:00,2024-06-01 02:25:27,coolant system,33535.16,12.2,MEDIUM
WO00221,EXC003,NSW001,2024-12-11 02:00:00,2024-12-11 21:21:58,Brake System,"$5,317.50",11.35,high
WO00222,TRK007,NSW001,2024-12-23 01:00:00,,Engine Failure,29722.64,23.96,HIGH
WO00223,TRK009,WA001,2024-07-24 16:00:00,,Electrical Fault,46593.92,8.09,LOW
WO00224,TRK004,QLD001,2024-08-04 21:00:00,2024-08-06 00:41:59,belt replacement,23397.69,33.58,HIGH
WO00225,TRK012,QLD001,2024-10-02 14:00:00,2024-10-04 05:31:58,Hydraulic Leak,33246.70,37.87,LOW
WO00226,TRK003,NSW001,2024-12-03 08:00:00,2024-12-04 10:03:57,sensor malfunction,"$47,945.71",24.43,high
WO00227,TRK001,WA001,2024-08-20 06:00:00,2024-08-21 04:44:16,Tire Damage,27898.28,17.49,HIGH
