order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO54561,290,5296,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54561,286,5296,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54561,244,5296,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54561,250,5296,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54561,234,5296,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54562,289,2765,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54562,284,2765,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54562,246,2765,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54563,286,3812,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54563,290,3812,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54563,168,3812,2013-03-17,2013-03-24,2013-03-29,8,1,8
SO54564,285,16002,2013-03-17,2013-03-24,2013-03-29,21,1,21
SO54564,166,16002,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54565,288,3536,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54566,291,16837,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54567,291,16927,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54568,291,17424,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54568,288,17424,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54569,291,15842,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54569,288,15842,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54569,166,15842,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54569,244,15842,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54570,288,1569,2013-03-17,2013-03-24,2013-03-29,29,1,29
SO54570,291,1569,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54570,234,1569,2013-03-17,2013-03-24,2013-03-29,24,1,24
SO54571,108,4861,2013-03-17,2013-03-24,2013-03-29,540,1,540
SO54572,117,2939,2013-03-17,2013-03-24,2013-03-29,769,1,769
SO54572,283,2939,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54572,289,2939,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54572,246,2939,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54572,250,2939,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54573,120,1190,2013-03-17,2013-03-24,2013-03-29,2295,1,2295
SO54573,174,1190,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54573,247,1190,2013-03-17,2013-03-24,2013-03-29,55,1,55
SO54574,125,1711,2013-03-17,2013-03-24,2013-03-29,2320,1,2320
SO54574,245,1711,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54575,137,7740,2013-03-17,2013-03-24,2013-03-29,1701,1,1701
SO54575,290,7740,2013-03-17,2013-03-24,2013-03-29,4,1,4
SO54575,286,7740,2013-03-17,2013-03-24,2013-03-29,25,1,25
SO54575,293,7740,2013-03-17,2013-03-24,2013-03-29,64,1,64
SO54576,127,15775,2013-03-17,2013-03-24,2013-03-29,540,1,540
SO54576,280,15775,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54577,142,7738,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54578,143,7748,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54578,105,7748,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54578,295,7748,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54578,277,7748,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54579,140,7711,2013-03-17,2013-03-24,2013-03-29,2443,1,2443
SO54579,105,7711,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54579,295,7711,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54579,278,7711,2013-03-17,2013-03-24,2013-03-29,54,1,54
SO54579,166,7711,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54580,149,17842,2013-03-17,2013-03-24,2013-03-29,742,1,742
SO54580,105,17842,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54580,295,17842,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54581,150,5755,2013-03-17,2013-03-24,2013-03-29,742,1,742
SO54581,105,5755,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54581,295,5755,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54582,125,907,2013-03-17,2013-03-24,2013-03-29,2320,1,2320
SO54582,174,907,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54582,104,907,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54582,295,907,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54582,245,907,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54583,159,13735,2013-03-17,2013-03-24,2013-03-29,2384,1,2384
SO54583,295,13735,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54583,105,13735,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54583,244,13735,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54583,248,13735,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54583,166,13735,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54584,128,10904,2013-03-17,2013-03-24,2013-03-29,540,1,540
SO54584,166,10904,2013-03-17,2013-03-24,2013-03-29,9,1,9
SO54585,139,7496,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54586,143,7497,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54586,290,7497,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54586,294,7497,2013-03-18,2013-03-25,2013-03-30,64,1,64
SO54586,287,7497,2013-03-18,2013-03-25,2013-03-30,33,1,33
SO54587,133,5516,2013-03-18,2013-03-25,2013-03-30,1120,1,1120
SO54587,246,5516,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54588,132,13890,2013-03-18,2013-03-25,2013-03-30,1120,1,1120
SO54588,286,13890,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54588,290,13890,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54588,260,13890,2013-03-18,2013-03-25,2013-03-30,120,1,120
SO54589,120,576,2013-03-18,2013-03-25,2013-03-30,2295,1,2295
SO54590,123,565,2013-03-18,2013-03-25,2013-03-30,2320,1,2320
SO54591,289,11007,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54591,284,11007,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54591,259,11007,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54592,289,10407,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54592,284,10407,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54592,244,10407,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54593,104,72,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54593,295,72,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54594,168,115,2013-03-18,2013-03-25,2013-03-30,8,1,8
SO54595,290,15785,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54595,244,15785,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54595,248,15785,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54596,259,1037,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54597,281,3313,2013-03-18,2013-03-25,2013-03-30,159,1,159
SO54598,136,10104,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54598,295,10104,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54598,105,10104,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54598,166,10104,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54599,135,6636,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54599,166,6636,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54600,107,3957,2013-03-18,2013-03-25,2013-03-30,540,1,540
SO54600,282,3957,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54600,259,3957,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54601,142,16938,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54601,287,16938,2013-03-18,2013-03-25,2013-03-30,33,1,33
SO54601,290,16938,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54601,259,16938,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54601,281,16938,2013-03-18,2013-03-25,2013-03-30,159,1,159
SO54602,141,1324,2013-03-18,2013-03-25,2013-03-30,2443,1,2443
SO54602,105,1324,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54602,295,1324,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54602,245,1324,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54602,166,1324,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54603,125,604,2013-03-18,2013-03-25,2013-03-30,2320,1,2320
SO54604,124,2561,2013-03-18,2013-03-25,2013-03-30,2320,1,2320
SO54604,104,2561,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54604,295,2561,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54605,290,200,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54605,259,200,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54606,166,17144,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54606,291,17144,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54607,249,1065,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54607,235,1065,2013-03-18,2013-03-25,2013-03-30,24,1,24
SO54608,286,17982,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54608,259,17982,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54609,285,8224,2013-03-18,2013-03-25,2013-03-30,21,1,21
SO54610,290,503,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54610,286,503,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54610,244,503,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54610,277,503,2013-03-18,2013-03-25,2013-03-30,54,1,54
SO54611,283,8837,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54611,279,8837,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54612,289,825,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54612,283,825,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54612,244,825,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54613,104,11010,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54614,289,8016,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54614,283,8016,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54614,245,8016,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54614,235,8016,2013-03-18,2013-03-25,2013-03-30,24,1,24
SO54615,289,11227,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54615,283,11227,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54616,283,12052,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54616,289,12052,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54617,295,3503,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54617,104,3503,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54618,104,3726,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54618,295,3726,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54618,247,3726,2013-03-18,2013-03-25,2013-03-30,55,1,55
SO54619,274,9309,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54620,274,9122,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54621,273,7522,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54621,250,7522,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54622,273,7602,2013-03-18,2013-03-25,2013-03-30,70,1,70
SO54623,295,12799,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54623,247,12799,2013-03-18,2013-03-25,2013-03-30,55,1,55
SO54623,168,12799,2013-03-18,2013-03-25,2013-03-30,8,1,8
SO54624,295,5966,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54624,245,5966,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54625,289,4407,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54625,259,4407,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54626,289,16301,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54626,259,16301,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54627,174,7920,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54627,244,7920,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54627,248,7920,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54628,289,5060,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54628,174,5060,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54628,260,5060,2013-03-18,2013-03-25,2013-03-30,120,1,120
SO54629,174,9087,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54629,244,9087,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54630,290,6632,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54630,244,6632,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54630,249,6632,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54630,166,6632,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54631,295,1491,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54631,276,1491,2013-03-18,2013-03-25,2013-03-30,54,1,54
SO54632,290,15897,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54632,279,15897,2013-03-18,2013-03-25,2013-03-30,9,1,9
SO54633,288,3547,2013-03-18,2013-03-25,2013-03-30,29,1,29
SO54634,291,5191,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54634,259,5191,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54635,291,1829,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54635,249,1829,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54636,289,846,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54636,284,846,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54636,259,846,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54637,174,1532,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54638,174,2071,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54638,244,2071,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54639,138,9665,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54639,286,9665,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54639,290,9665,2013-03-18,2013-03-25,2013-03-30,4,1,4
SO54639,245,9665,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54640,135,1766,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54640,250,1766,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO54641,106,2067,2013-03-18,2013-03-25,2013-03-30,540,1,540
SO54641,295,2067,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54641,104,2067,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54641,245,2067,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54642,114,8022,2013-03-18,2013-03-25,2013-03-30,565,1,565
SO54642,104,8022,2013-03-18,2013-03-25,2013-03-30,10,1,10
SO54642,295,8022,2013-03-18,2013-03-25,2013-03-30,5,1,5
