product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,cost,product_line,start_date
111,591,BK-M18S-40,Mountain-500 Silver- 40,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
112,592,BK-M18S-42,Mountain-500 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
113,593,BK-M18S-44,Mountain-500 Silver- 44,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
114,594,BK-M18S-48,Mountain-500 Silver- 48,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
115,595,BK-M18S-52,Mountain-500 Silver- 52,BI_MB,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
116,587,BK-M38S-38,Mountain-400-W Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
117,588,BK-M38S-40,Mountain-400-W Silver- 40,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
118,589,BK-M38S-42,Mountain-400-W Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
119,590,BK-M38S-46,Mountain-400-W Silver- 46,BI_MB,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
120,359,BK-M68B-38,Mountain-200 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01
121,361,BK-M68B-42,Mountain-200 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01
122,363,BK-M68B-46,Mountain-200 Black- 46,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01
123,353,BK-M68S-38,Mountain-200 Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01
124,355,BK-M68S-42,Mountain-200 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01
125,357,BK-M68S-46,Mountain-200 Silver- 46,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01
126,604,BK-R19B-44,Road-750 Black- 44,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01
127,605,BK-R19B-48,Road-750 Black- 48,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01
128,606,BK-R19B-52,Road-750 Black- 52,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01
129,584,BK-R19B-58,Road-750 Black- 58,BI_RB,Bikes,Road Bikes,Yes,344,Road,2013-07-01
130,382,BK-R64Y-38,Road-550-W Yellow- 38,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01
131,384,BK-R64Y-40,Road-550-W Yellow- 40,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01
132,386,BK-R64Y-42,Road-550-W Yellow- 42,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01
133,388,BK-R64Y-44,Road-550-W Yellow- 44,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01
134,390,BK-R64Y-48,Road-550-W Yellow- 48,BI_RB,Bikes,Road Bikes,Yes,713,Road,2013-07-01
135,580,BK-R79Y-40,Road-350-W Yellow- 40,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
136,581,BK-R79Y-42,Road-350-W Yellow- 42,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
137,582,BK-R79Y-44,Road-350-W Yellow- 44,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
138,583,BK-R79Y-48,Road-350-W Yellow- 48,BI_RB,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
139,374,BK-R89B-44,Road-250 Black- 44,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
140,376,BK-R89B-48,Road-250 Black- 48,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
141,378,BK-R89B-52,Road-250 Black- 52,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
142,380,BK-R89B-58,Road-250 Black- 58,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
143,372,BK-R89R-58,Road-250 Red- 58,BI_RB,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
144,585,BK-T18U-44,Touring-3000 Blue- 44,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
145,586,BK-T18U-50,Touring-3000 Blue- 50,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
146,565,BK-T18U-54,Touring-3000 Blue- 54,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
147,566,BK-T18U-58,Touring-3000 Blue- 58,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
148,567,BK-T18U-62,Touring-3000 Blue- 62,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
149,568,BK-T18Y-44,Touring-3000 Yellow- 44,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
150,569,BK-T18Y-50,Touring-3000 Yellow- 50,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
151,570,BK-T18Y-54,Touring-3000 Yellow- 54,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
152,571,BK-T18Y-58,Touring-3000 Yellow- 58,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
153,572,BK-T18Y-62,Touring-3000 Yellow- 62,BI_TB,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
154,577,BK-T44U-46,Touring-2000 Blue- 46,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
155,578,BK-T44U-50,Touring-2000 Blue- 50,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
156,579,BK-T44U-54,Touring-2000 Blue- 54,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
157,560,BK-T44U-60,Touring-2000 Blue- 60,BI_TB,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
158,573,BK-T79U-46,Touring-1000 Blue- 46,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
159,574,BK-T79U-50,Touring-1000 Blue- 50,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
160,575,BK-T79U-54,Touring-1000 Blue- 54,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
161,576,BK-T79U-60,Touring-1000 Blue- 60,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
162,561,BK-T79Y-46,Touring-1000 Yellow- 46,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
163,562,BK-T79Y-50,Touring-1000 Yellow- 50,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
164,563,BK-T79Y-54,Touring-1000 Yellow- 54,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
165,564,BK-T79Y-60,Touring-1000 Yellow- 60,BI_TB,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
166,225,CA-1098,AWC Logo Cap,CL_CA,Clothing,Caps,No,7,Other Sales,2013-07-01
167,559,CH-0234,Chain,CO_CH,Components,Chains,Yes,9,n/a,2013-07-01
168,484,CL-9009,Bike Wash - Dissolver,AC_CL,Accessories,Cleaners,Yes,3,Other Sales,2013-07-01
169,556,CS-4759,LL Crankset,CO_CS,Components,Cranksets,Yes,78,n/a,2013-07-01
170,557,CS-6583,ML Crankset,CO_CS,Components,Cranksets,Yes,114,n/a,2013-07-01
171,558,CS-9183,HL Crankset,CO_CS,Components,Cranksets,Yes,180,n/a,2013-07-01
172,555,FB-9873,Front Brakes,CO_BR,Components,Brakes,Yes,47,n/a,2013-07-01
173,552,FD-2342,Front Derailleur,CO_DE,Components,Derailleurs,Yes,41,n/a,2013-07-01
174,485,FE-6654,Fender Set - Mountain,AC_FE,Accessories,Fenders,No,8,Mountain,2013-07-01
175,550,FR-M21B-40,LL Mountain Frame - Black- 40,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
176,531,FR-M21B-42,LL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
177,532,FR-M21B-44,LL Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
178,533,FR-M21B-48,LL Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
179,534,FR-M21B-52,LL Mountain Frame - Black- 52,CO_MF,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
180,551,FR-M21S-40,LL Mountain Frame - Silver- 40,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
181,524,FR-M21S-42,LL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
182,525,FR-M21S-44,LL Mountain Frame - Silver- 44,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
183,526,FR-M21S-48,LL Mountain Frame - Silver- 48,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
184,527,FR-M21S-52,LL Mountain Frame - Silver- 52,CO_MF,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
185,549,FR-M63S-38,ML Mountain Frame-W - Silver- 38,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
186,511,FR-M63S-40,ML Mountain Frame-W - Silver- 40,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
187,512,FR-M63S-42,ML Mountain Frame-W - Silver- 42,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
188,513,FR-M63S-46,ML Mountain Frame-W - Silver- 46,CO_MF,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
189,306,FR-M94B-38,HL Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,739,Mountain,2013-07-01
190,298,FR-M94B-42,HL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,739,Mountain,2013-07-01
191,303,FR-M94B-46,HL Mountain Frame - Black- 46,CO_MF,Components,Mountain Frames,Yes,739,Mountain,2013-07-01
192,309,FR-M94S-38,HL Mountain Frame - Silver- 38,CO_MF,Components,Mountain Frames,Yes,747,Mountain,2013-07-01
193,290,FR-M94S-42,HL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,747,Mountain,2013-07-01
194,295,FR-M94S-46,HL Mountain Frame - Silver- 46,CO_MF,Components,Mountain Frames,Yes,747,Mountain,2013-07-01
195,281,FR-R38B-44,LL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01
196,284,FR-R38B-48,LL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01
197,287,FR-R38B-52,LL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01
198,255,FR-R38B-58,LL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01
199,258,FR-R38B-60,LL Road Frame - Black- 60,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01
200,261,FR-R38B-62,LL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,205,Road,2013-07-01
201,418,FR-R72Y-38,ML Road Frame-W - Yellow- 38,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01
202,430,FR-R72Y-40,ML Road Frame-W - Yellow- 40,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01
203,432,FR-R72Y-42,ML Road Frame-W - Yellow- 42,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01
204,434,FR-R72Y-44,ML Road Frame-W - Yellow- 44,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01
205,436,FR-R72Y-48,ML Road Frame-W - Yellow- 48,CO_RF,Components,Road Frames,Yes,361,Road,2013-07-01
206,440,FR-R92B-44,HL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
207,442,FR-R92B-48,HL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
208,444,FR-R92B-52,HL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
209,438,FR-R92B-62,HL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
210,243,FR-R92R-44,HL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
211,246,FR-R92R-48,HL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
212,249,FR-R92R-52,HL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
213,252,FR-R92R-56,HL Road Frame - Red- 56,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
214,240,FR-R92R-62,HL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,869,Road,2013-07-01
215,510,FR-T67U-44,LL Touring Frame - Blue- 44,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
216,502,FR-T67U-50,LL Touring Frame - Blue- 50,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
217,503,FR-T67U-54,LL Touring Frame - Blue- 54,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
218,504,FR-T67U-58,LL Touring Frame - Blue- 58,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
219,505,FR-T67U-62,LL Touring Frame - Blue- 62,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
220,506,FR-T67Y-44,LL Touring Frame - Yellow- 44,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
221,507,FR-T67Y-50,LL Touring Frame - Yellow- 50,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
222,508,FR-T67Y-54,LL Touring Frame - Yellow- 54,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
223,509,FR-T67Y-58,LL Touring Frame - Yellow- 58,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
224,493,FR-T67Y-62,LL Touring Frame - Yellow- 62,CO_TF,Components,Touring Frames,Yes,200,Touring,2013-07-01
225,497,FR-T98U-46,HL Touring Frame - Blue- 46,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
226,498,FR-T98U-50,HL Touring Frame - Blue- 50,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
227,499,FR-T98U-54,HL Touring Frame - Blue- 54,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
228,500,FR-T98U-60,HL Touring Frame - Blue- 60,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
229,494,FR-T98Y-46,HL Touring Frame - Yellow- 46,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
230,495,FR-T98Y-50,HL Touring Frame - Yellow- 50,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
231,496,FR-T98Y-54,HL Touring Frame - Yellow- 54,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
232,492,FR-T98Y-60,HL Touring Frame - Yellow- 60,CO_TF,Components,Touring Frames,Yes,602,Touring,2013-07-01
