id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
807239,Appartment @ Kypriadou district,4248171,Natasha,,ΑΝΩ ΠΑΤΗΣΙΑ,38.02081,23.74098,Entire home/apt,30,3,5,2019-06-03,0.06,1,351,0,
2266094,Luxurious flat with Acropolis & Lycabettus view,3519983,Alexandra,,ΓΚΥΖΗ,37.99214,23.74923,Entire home/apt,70,7,50,2022-03-31,0.54,2,47,3,00001095564
2305770,"Acropolis walk, 100 Mbps in Koukaki",11777249,Maria,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96427,23.72065,Entire home/apt,69,4,547,2022-06-16,5.39,2,218,9,00000512664
2322698,1869 Athens,9679915,Tassos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97924,23.72469,Entire home/apt,90,2,99,2022-06-13,1.37,1,135,10,00000068589
49489,3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,150,2,127,2022-06-14,0.97,1,49,6,00000876484
2362698,Beautiful penthouse maisonette,12068199,Kika,,ΒΟΤΑΝΙΚΟΣ,37.97952,23.70288,Entire home/apt,109,2,149,2022-05-29,1.50,1,303,14,00000148160
2411465,Kolonaki Studio Apartment,12324240,Alice,,ΚΟΛΩΝΑΚΙ,37.97982,23.74541,Entire home/apt,28,2,57,2019-10-06,0.57,1,290,0,00000281770
2463267,Apartment in the heart of Kolonaki,8747413,Marina,,ΚΟΛΩΝΑΚΙ,37.97989,23.73916,Entire home/apt,90,1,52,2019-02-02,0.53,4,259,0,00000261991
2487816,"a BEST double room in shared apartment in Athens, walk Acropolis",2089542,Tia & Mike,,ΠΑΓΚΡΑΤΙ,37.96454,23.74705,Private room,45,24,344,2019-10-21,3.47,55,77,0,00000164182
2513822,Apartment in the sky!,12867392,Theodore,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9577,23.72516,Entire home/apt,80,1,408,2022-06-01,4.31,9,290,50,00000153782
2534822,"Athens center, artist's apt. for 4",12981170,Manolis,,ΛΥΚΑΒΗΤΤΟΣ,37.98554,23.74768,Entire home/apt,57,3,95,2019-12-12,0.97,6,164,0,00000407966
2551382,Eclectic central 3suites apartment,13062322,Evi,,ΙΛΙΣΙΑ,37.97513,23.75287,Entire home/apt,150,2,139,2022-05-30,1.40,1,335,9,00000263988
809874,Wonderfull Penthouse!!,4259738,George,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96215,23.72179,Entire home/apt,280,3,79,2022-06-11,0.71,1,334,5,
814119,Athens Greece. Kolonaki City Centre,4277991,Lietta,,ΚΟΛΩΝΑΚΙ,37.97999,23.75133,Entire home/apt,135,1,3,2021-09-20,0.06,1,363,1,00000178989
868095,Amazing Loft for 3 / Athens Center,4570845,Michail,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98785,23.73236,Entire home/apt,88,4,31,2022-06-01,0.41,1,347,3,Exempt
878526,Hilton Apartment with Roof Garden,4544938,Nikos,,ΙΛΙΣΙΑ,37.97868,23.75424,Entire home/apt,80,3,25,2022-05-30,0.26,1,336,2,00001580366
886724,Luxury Boutique Appartment -Athens,4700824,Athina,,ΚΥΨΕΛΗ,37.99745,23.73973,Entire home/apt,65,3,21,2022-05-31,0.22,1,363,2,00000052101
891184,live@the historic center,4723074,Ilias,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98248,23.72045,Private room,40,2,46,2018-08-30,0.41,2,352,0,00000146072
896212,Living like in a cottage in the center of Athens,4777984,Romanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98844,23.73845,Entire home/apt,50,2,380,2022-06-16,3.35,19,252,57,00000206136
905315,Dream Studio hidden by Μulti level Garden,4777984,Romanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98841,23.73713,Entire home/apt,50,2,386,2022-06-08,3.45,19,263,34,00000206001
54637,Penthouse Parthenon view in Athens,256676,Angeliki,,ΠΑΓΚΡΑΤΙ,37.96919,23.74354,Entire home/apt,70,10,3,2018-02-01,0.03,1,363,0,
912287,New cozy  economic great location,4895067,Marinos,,ΑΝΩ ΚΥΨΕΛΗ,38.00319,23.74494,Entire home/apt,25,30,118,2022-04-16,1.05,1,109,4,00000492486
912425,Sunny big flat in Central Athens @ metro station,4895605,Isabelle,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99374,23.73083,Entire home/apt,57,3,58,2022-06-08,0.95,1,321,3,00000348986
918776,Athens Soul Apartments Psiri,4935030,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97805,23.72581,Entire home/apt,40,3,419,2022-06-04,3.71,3,218,58,ΑΜΑ 00000023535
918812,Athens Soul Apartments Plaka,4935030,Dimitris,,ΑΚΡΟΠΟΛΗ,37.97109,23.72954,Entire home/apt,32,2,363,2020-10-15,3.23,3,0,0,ΑΜΑ 00000004460
940213,3 apts in 1 building. Roof terrace. Next to Plaka.,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,278,2,24,2022-06-02,0.22,40,281,1,Exempt
2579525,Loft apartment with Acropolis view,13211592,Jul,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98784,23.73431,Entire home/apt,45,1,553,2022-06-02,5.66,2,110,62,00000245131
2610077,Design Loft with splendid view,13367120,Ria & Jason,,ΚΟΛΩΝΑΚΙ,37.98281,23.75282,Entire home/apt,78,1,327,2019-12-30,3.30,1,0,0,00000762105
2612931,"30sec to Metro,Central Location!",13380558,Aris BnB,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99428,23.72803,Entire home/apt,50,28,194,2019-12-30,1.95,6,320,0,00000511729
2618140,Historic House of 1924 next to Acropolis,5903928,Katerina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96519,23.72328,Entire home/apt,103,2,327,2022-06-10,3.36,1,321,31,00001435763
59663,"4 Bedroom spacious Apt, 4 stops from Syntagma!",286911,Nely,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99018,23.72185,Entire home/apt,100,2,352,2022-06-12,2.51,1,270,20,00001354528
2630315,"Probably,the finest loft in Athens!",13473499,James,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97727,23.72542,Entire home/apt,225,3,199,2022-06-08,2.01,1,313,29,00000248904
2655090,Athens Quality Apartments No9 1-bedroom apartment,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98886,23.76467,Entire home/apt,75,1,33,2022-01-12,0.41,7,166,8,00001043275
2693342,Cozy flat close to Kallimarmaro stadium,13657232,Yan,,ΠΑΓΚΡΑΤΙ,37.97088,23.74184,Entire home/apt,35,4,133,2022-06-01,1.93,1,98,21,00000512879
947552,"Smart, simple and comfy in Kolonaki",5136160,Vasileios,,ΚΟΛΩΝΑΚΙ,37.97911,23.74553,Entire home/apt,60,4,41,2022-06-04,0.37,1,107,9,00000243065
956127,Dream Penthouse in Athens-Kolonaki,5044938,"Nicoletta, Christina, Alexandra",,ΚΟΛΩΝΑΚΙ,37.97686,23.74639,Entire home/apt,251,2,191,2022-05-29,1.73,2,178,16,11587840100
956538,Colors in the heart of Athens,5198545,Maro,,ΚΕΡΑΜΕΙΚΟΣ,37.98058,23.72337,Entire home/apt,90,7,11,2016-04-13,0.10,1,260,0,00000254190
60394,Cosy 1 bedroom apt! Great central Athens location!,290864,Mika,,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,31,6,12,2022-02-05,0.14,1,204,3,01039140005
974442,7th floor apartment with great view,3349638,Stefanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98857,23.7464,Entire home/apt,42,3,5,2018-07-31,0.07,1,332,0,00001331116
2725897,Room and private bathroom in Athens,13948712,Nick,,ΠΑΓΚΡΑΤΙ,37.97186,23.74679,Private room,24,2,312,2022-05-30,3.14,2,27,31,00000233294
2739623,Acropolis Appartment and Terrace with view,14018047,Barbara,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97312,23.73227,Entire home/apt,85,2,397,2022-06-15,4.04,1,188,54,00000252502
83097,House In Centre,452494,Aris,,ΣΤΑΔΙΟ,37.96519,23.74549,Entire home/apt,45,4,21,2015-07-25,0.16,1,167,0,
2751269,Room with privet bathroom in Athens,13948712,Nick,,ΠΑΓΚΡΑΤΙ,37.97159,23.74666,Private room,22,2,293,2022-05-28,2.97,2,27,29,00000233319
1004858,Academia Loft - Apartment with Pool,5527135,George,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98599,23.71586,Entire home/apt,150,2,32,2020-10-17,0.29,1,0,0,
1046994,4 apts over 2 levels. Roof top. Next to Plaka!,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,404,2,28,2022-05-15,0.30,40,268,7,Exempt
85400,Plaka area Close to Acropolis  Museum,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.72832,Entire home/apt,47,2,68,2022-06-12,0.73,2,262,8,
1085660,Stylish Apartment w/Acropolis Views,4382275,Tzeli (Angeliki),,ΝΕΟΣ ΚΟΣΜΟΣ,37.96345,23.73121,Entire home/apt,50,3,33,2014-06-13,0.30,1,68,0,
2753388,Shiny Happy Apartment People,14083527,Sofia,,ΝΙΡΒΑΝΑ,38.01193,23.72585,Entire home/apt,32,2,192,2022-06-13,1.96,2,133,1,00000094718
85539,The Heart Of Athens,468541,Xanthippi,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99128,23.72965,Entire home/apt,75,4,0,,,1,365,0,
2767564,Safe & Central in Athens,150427,Antonios,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99225,23.76889,Entire home/apt,200,4,75,2019-11-12,0.76,1,365,0,
131133,"Amazing view  2-4/p, Athens center",640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,75,2,36,2022-06-12,0.29,6,360,5,00000173007
1090225,"Center 3, (3-bedr) Metro 50m,Center",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99463,23.72933,Entire home/apt,99,2,22,2022-05-31,0.20,6,362,1,00000173233
133835,Studio in upscale/central location,656936,Elena,,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,42,3,9,2022-02-14,0.07,1,316,4,00001227000
1094063,Modern apartment under Acropolis,6010917,Ilias & Danae,,ΑΚΡΟΠΟΛΗ,37.96703,23.72434,Entire home/apt,65,1,344,2021-09-28,3.12,7,12,3,00001352444
2816920,Wonderful apartment under Acropolis (new entry),12303025,Orestis,,ΘΗΣΕΙΟ,37.97467,23.71731,Entire home/apt,43,3,108,2022-05-30,1.74,3,251,15,00000738422
2820880,Your home in Athens. Large terrace. Views,1418201,D & Y Boutique Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97866,23.72512,Entire home/apt,84,3,120,2022-06-06,1.25,40,251,31,Exempt
133906,Amazing view -2 bedr. sleep 4-7/p,640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,84,2,51,2022-05-10,0.38,6,343,10,00000172988
138386,"Apartment Dora , Service with style",675611,Yavor,,ΠΑΓΚΡΑΤΙ,37.96783,23.7497,Entire home/apt,58,3,59,2020-01-20,0.45,1,228,0,00000208960
2822037,Amazing terrace | gorgeous loft apartment,14437066,Miltos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99516,23.76532,Entire home/apt,70,3,56,2022-05-05,0.58,1,324,7,00000041608
1116076,Central Location,6125356,Lenka & Greg,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97723,23.72841,Entire home/apt,70,3,68,2022-05-23,0.62,1,318,7,00000375739
155654,"Acropolis Cosy Apartment, Koukaki",712602,Nikos,,ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire home/apt,60,2,32,2022-03-27,0.33,2,37,5,00000429243
1122600,Terrace loft in historic Athens,6158911,Maria,,ΘΗΣΕΙΟ,37.97713,23.72158,Entire home/apt,55,2,202,2019-10-14,2.12,1,277,0,ΑΜΑ 00000444873
2841806,THE ULTIMATE VIEW,14536309,Athenian Life Collection,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97472,23.73228,Entire home/apt,76,2,305,2022-06-16,3.08,7,271,76,00000122460
157869,Kallimarmaro 2B/R Apartment,650923,AthensApart,,ΣΤΑΔΙΟ,37.966,23.74443,Entire home/apt,99,1,173,2021-10-01,1.33,8,1,2,00001411142
2843975,Hera Historical Center apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97801,23.72792,Entire home/apt,100,1,210,2021-10-19,2.14,5,1,1,00800835933
1154316,Filopappos hill garden house,6325987,Persefoni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96387,23.72075,Entire home/apt,60,2,108,2019-11-08,0.99,1,260,0,
167416,"Apartment in Central Athens, Greece",797823,George,,ΠΑΤΗΣΙΑ,38.00876,23.73967,Entire home/apt,74,14,0,,,1,0,0,
1177492,Trad Studio Appt -  Central Athens,6442400,Rio,,ΖΑΠΠΕΙΟ,37.967319,23.735407,Entire home/apt,36,1,778,2022-06-13,7.07,1,270,57,00001119575
2844923,PENTHOUSE UNDER ACROPOLIS,14090897,Andreas,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97025,23.73092,Entire home/apt,105,2,216,2022-05-30,2.21,1,71,25,00000083894
179705,Great Central location - Athens,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97436,23.73366,Entire home/apt,45,2,122,2022-05-29,0.99,2,207,10,Exempt
2883333,Sunny apt 10' away Acropolis,14273342,Effie,,ΚΟΛΩΝΟΣ,38.00135,23.71638,Entire home/apt,28,1,404,2020-09-02,4.14,3,290,0,00000195596
1208210,LIVE IN STYLE UNDER THE ACROPOLIS RUINS,594546,Magda,,ΑΚΡΟΠΟΛΗ,37.96845,23.72873,Entire home/apt,70,2,298,2022-06-17,2.72,2,152,32,00001417606
185936,New apartmenrt in Athens!,885156,E,,ΓΚΑΖΙ,37.97858,23.70967,Private room,30,7,0,,,1,0,0,
1214643,Sweet Apartment near metro Panormou,6630475,Ageliki,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99527,23.76651,Entire home/apt,52,2,171,2020-09-11,1.59,1,155,0,00000293367
2912133,Top roof loft with acropolis view,10996020,Lida,,ΓΟΥΒΑ,37.9607,23.73917,Entire home/apt,78,3,189,2022-04-19,1.94,1,334,5,00000037761
196935,Large living space near Syntagma,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.73174,Entire home/apt,42,2,55,2022-06-11,0.43,2,222,8,
2920545,Unique Plaka Annex,570423,Despoina,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97296,23.72936,Entire home/apt,72,2,209,2022-06-16,2.13,2,306,74,00000230384
1215055,House at the Foothills of Acropolis,13115279,Greece You Around,,ΑΚΡΟΠΟΛΗ,37.97065,23.72931,Entire home/apt,280,2,245,2022-06-12,2.38,7,277,23,00001477714
251361,A relaxing house overlooking Athens,592616,Andreas,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01873,23.74465,Entire home/apt,143,5,1,2013-05-23,0.01,1,364,0,
1216176,The Breathtaking View of Acropolis,4549583,Panos,,ΑΚΡΟΠΟΛΗ,37.97039,23.7288,Entire home/apt,250,3,211,2022-06-06,1.94,1,307,29,00000105150
2932956,Small appartment in athens,14974084,Kostis,,ΚΟΛΩΝΑΚΙ,37.97895,23.75002,Entire home/apt,60,4,8,2022-06-06,0.18,1,293,2,00001535170
270611,An Oasis in the Heart of Athens,1416651,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,50,3,44,2022-05-23,0.37,1,349,12,00000040022
2953049,Studio with Acropolis view,9711207,Aemilia,,ΠΑΓΚΡΑΤΙ,37.97141,23.74302,Entire home/apt,81,3,126,2022-06-09,1.28,1,310,8,00000328438
1222185,LUXURIOUS PENTHOUSE UNIQUE ACROPOLIS VIEW,6667386,Yorgo,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.9917,23.70878,Entire home/apt,144,3,58,2019-09-22,0.55,1,0,0,00000110670
270954,"Apt next to Plaka, roof top with views!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,99,2,24,2021-10-17,0.20,40,270,4,Exempt
2973483,Acropolis view-150 metres from Metro Monastiraki!,15167857,Makis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97809,23.72315,Private room,35,1,190,2020-01-03,1.93,2,230,0,00000477435
270973,Central Athens apt with balconies & green roof top,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,102,2,17,2022-04-14,0.18,40,267,10,Exempt
1223199,Athens1-Feel it like your own space,5222732,Orchidea Monika,,ΚΥΨΕΛΗ,37.99834,23.73764,Private room,30,3,151,2019-10-30,1.38,5,361,0,00000189436
281973,cosy classy apartment in Kolonaki,1469713,Angeliki,,ΚΟΛΩΝΑΚΙ,37.97607,23.74075,Entire home/apt,80,25,34,2022-06-07,0.34,1,329,1,00001547390
1245373,Amazing  loft  apt  in the heart of Athens,6786657,Eleni,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98394,23.73451,Entire home/apt,92,1,64,2022-03-28,0.59,1,347,2,00000497327
306234,Athens AVATON - Parthenon Suite,1574876,Agis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,321,2,522,2022-06-12,4.44,3,211,78,00001465616
1259830,Exotic Athens loft in downtown-Gazi,3622853,Anna&Teo,,ΚΕΡΑΜΕΙΚΟΣ,37.98103,23.71538,Entire home/apt,60,1,229,2022-05-30,2.12,5,268,49,00001312535
308157,#AH32 GREY STUDIO,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,65,4,2,2016-04-05,0.02,17,335,0,00001218523
1272844,Small hostel with garden in Mets,2717857,Aikaterini,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96525,23.73991,Entire home/apt,26,3,163,2021-08-23,1.51,1,159,2,00000092067
340237,Artistic 2 bedroom apt in Athens centre,1365030,Lida,,ΚΕΡΑΜΕΙΚΟΣ,37.98023,23.722,Entire home/apt,82,3,67,2022-06-13,0.54,1,85,4,Exempt
1274262,Central Athens/Victoria sq flat,6936206,Elena,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99172,23.73036,Entire home/apt,53,2,13,2016-08-28,0.12,1,0,0,
1286210,Zen space near center of Athens,372161,Peter,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98828,23.75706,Entire home/apt,48,5,8,2018-07-31,0.08,1,230,0,
360940,Vintage Design Flat downtown!,1824707,Dimitrios,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.0061,23.73453,Entire home/apt,58,2,21,2017-07-22,0.20,1,352,0,
1315027,Penthouse -Hilton area -great view!,6993996,Thaleia,,ΙΛΙΣΙΑ,37.97277,23.75443,Entire home/apt,69,444,12,2014-06-26,0.11,1,365,0,
2987837,Magical apartment in Pangrati with Acropolis View!,15235096,Nikos,,ΠΑΓΚΡΑΤΙ,37.97004,23.74462,Entire home/apt,30,2,113,2020-08-31,1.18,1,0,0,00000169522
361393,Hermes Historical Center apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,62,1,198,2022-06-02,1.61,5,54,3,00800835933
401423,Apartment with Leafy Backyard Steps from the Acropolis,745805,Ralou,,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,70,2,462,2022-06-15,3.76,1,277,31,00000492384
3107136,"#10 #11 | Psyrri ""Spiti Mas"" Apartments",2289590,Live In Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97811,23.72375,Entire home/apt,133,2,2,2021-11-01,0.23,9,128,2,0206Κ124Κ0294301
1368303,ROOFGARDEN CENTRAL APARTMENT NEXT TO METRO,7327234,Rita,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99436,23.76666,Entire home/apt,52,1,272,2021-08-30,2.55,2,0,1,00000220015 A.Μ.Α
408907,Downtown 70m² top floor apartment,2035514,Ranina,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98395,23.72165,Entire home/apt,50,2,171,2022-06-05,1.40,1,168,2,00000040427
1372935,ATHENS CENTER  SYNTAGMA SQUARE,6330438,Stratos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97587,23.73311,Entire home/apt,130,2,46,2022-03-20,0.43,1,299,1,01118486987
469140,Our first love #01 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97665,23.7185,Entire home/apt,158,2,66,2022-06-05,0.54,9,94,6,00000546911
1374299,Casavathel2 Athens Center Apartment,3756353,Thelma,,ΝΙΡΒΑΝΑ,38.01501,23.72582,Entire home/apt,35,2,426,2022-06-10,3.99,2,236,58,00000241750
470219,Our Playground #02 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97525,23.71957,Entire home/apt,94,1000,16,2020-10-12,0.14,9,94,0,00001176980
1426453,Green Penthouse Athens/ Keramikos !,7672336,Lefteris,,ΚΕΡΑΜΕΙΚΟΣ,37.980503,23.717009,Entire home/apt,50,2,80,2021-08-12,0.75,2,83,5,00000484180
474719,Artemis Historical Center cosy apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97952,23.72999,Entire home/apt,50,1,249,2021-10-13,2.10,5,43,2,00800835933
1447443,your home in the arms of Akropolis,652941,Eleni,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97054,23.73163,Entire home/apt,83,1,341,2022-05-29,3.25,2,201,32,00000448700
478626,Studio for 3 in the heart of Athens,2370772,Sofia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97843,23.72564,Entire home/apt,120,1,1,2015-06-12,0.01,9,365,0,0206K24000344201
1470809,Filopapos Hill Apartment,6993450,Sofia,,ΑΚΡΟΠΟΛΗ,37.96694,23.7211,Entire home/apt,100,3,3,2015-04-05,0.03,2,364,0,
484852,Cool apartment for urban lovers,408081,Dimitrios,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99534,23.74058,Entire home/apt,38,7,54,2022-06-06,0.44,1,277,3,00028740000
