"Continent","Country","Year","Life Expectancy","Gender","BMI","Blood Pressure","Cholesterol","Lung Cancer","Liver Cancer","Stomach Cancer","Population","Population Growth"
"Americas","Jamaica",1990,69.9,"women",25.4,126,4.81,66.8,41.4,105,1225.843,0.83721977447356
"Asia","Japan",1990,75.9,"women",21.6,128,5.12,13700,8500,36700,63147.967,0.366529614484668
"Asia","Jordan",1990,68.6,"women",28.6,126,5.26,30,13.3,33.3,1697.858,5.49869305913687
"Asia","Kazakhstan",1990,61.8,"women",25.7,132,5.23,919,485,1660,8432.202,-0.0777258419568232
"Africa","Kenya",1990,55.2,"women",21.7,125,4.53,142,155,444,11904.523,3.38789718832078
"Oceania","Kiribati",1990,57.6,"women",27.3,119,4.57,0.96,1.49,0.82,36.582,1.75769504127713
"Asia","Kuwait",1990,71.3,"women",28.7,131,5.46,19,6.9,10.3,904.753,-3.42889164224932
"Europe","Latvia",1990,63.7,"women",25.4,134,5.54,202,42.1,424,1423.015,-0.491702476783454
"Asia","Lebanon",1990,68.7,"women",25.3,131,5.02,82.3,28.3,88,1419.64,4.09167112789158
"Africa","Lesotho",1990,57.3,"women",25.6,127,4.37,23.5,20.3,28.7,926.21,1.25705833450297
"Africa","Liberia",1990,45.1,"women",22,129,4.45,13.5,74.7,46.1,1044.075,-1.721906951129
"Africa","Libya",1990,67,"women",27.5,134,5.13,33.2,34.7,36.2,2097.728,2.60496117704488
"Europe","Lithuania",1990,65.6,"women",26.3,135,5.8,215,45.4,487,1947.083,0.0689749743590719
"Europe","Luxembourg",1990,71.5,"women",24.8,130,5.9,41.9,11.8,42.2,194.98,1.09806133962459
"Africa","Madagascar",1990,49.8,"women",20.5,128,4.49,62.2,141,142,5807.517,3.00861796874638
"Africa","Malawi",1990,44.6,"women",21.2,127,4.37,43.3,71,49.9,4742.117,2.08735887368447
"Asia","Malaysia",1990,68.9,"women",23.3,125,4.91,553,206,336,8857.746,2.66384924562073
"Asia","Maldives",1990,61.8,"women",23.6,122,4.65,1.34,1,2.6,108.761,3.2787488162117
"Africa","Mali",1990,45,"women",20.2,125,4.36,71.3,493,309,4278.783,2.22245437546143
"Europe","Malta",1990,74.3,"women",26.1,131,5.68,13.3,3.88,18.2,183.756,0.780382681381831
"Africa","Mauritania",1990,57.1,"women",23.9,128,4.62,21.1,62.1,42.8,1024.376,2.67841105219179
"Africa","Mauritius",1990,65.7,"women",24.3,131,4.94,20.7,10.1,33.6,529.326,1.14938620056448
"Americas","Mexico",1990,67.9,"women",26.2,126,4.87,1630,1610,2250,42402.745,1.97009415310258
"Asia","Mongolia",1990,57.8,"women",25,130,5.1,79.1,182,217,1105.887,1.50684473187586
"Europe","Montenegro",1990,71.3,"women",25.8,133,5.28,64.2,14.8,14.7,308.777,0.0641239470556537
"Africa","Morocco",1990,63.1,"women",24.6,127,4.78,202,80.3,388,12431.573,1.85701358951116
"Africa","Mozambique",1990,41.3,"women",21.1,130,4.46,73.1,370,278,6782.356,2.83097790797181
"Asia","Myanmar",1990,56.5,"women",20.5,119,4.31,600,586,1670,21211.417,1.3525404738401
"Africa","Namibia",1990,58.5,"women",23.3,133,4.73,10.2,4.11,8.79,742.85,2.9711247223531
"Asia","Nepal",1990,53.6,"women",19.2,122,4.44,279,86.4,540,9509.543,2.34825164574156
"Europe","Netherlands",1990,73.8,"women",24.3,128,5.64,1410,147,1300,7563.336,0.643168570059555
"Oceania","New Zealand",1990,72.4,"women",25.3,125,5.86,443,28.2,210,1725.635,1.42399754293348
"Americas","Nicaragua",1990,61.3,"women",25.4,124,4.71,31.8,58,82,2103.182,2.31092696685309
"Africa","Niger",1990,42.8,"women",20.6,130,4.33,53.8,192,135,4101.582,3.17545766487174
"Africa","Nigeria",1990,44.7,"women",22.3,132,4.3,643,2970,937,47315.567,2.56186087762617
"Europe","Norway",1990,73.6,"women",24.4,132,5.7,485,43.2,373,2147.362,0.520685380480796
"Asia","Oman",1990,65.4,"women",25.8,131,5.12,8.98,9.58,23.9,803.462,2.45773913389805
"Asia","Pakistan",1990,59.4,"women",22.4,125,4.67,834,915,1110,51827.158,2.98727165398495
"Americas","Panama",1990,70.2,"women",25.2,125,4.92,45.7,34.3,68,1221.972,2.15635055467719
"Oceania","Papua New Guinea",1990,56.2,"women",22.7,114,4.54,70,44,102,2267.409,2.40261020398172
"Americas","Paraguay",1990,65.8,"women",24.4,127,4.86,71.3,35.6,85,2084.025,2.61623540984392
"Americas","Peru",1990,63.2,"women",25.5,124,4.9,558,441,1190,11093.042,2.04599423674768
"Asia","Philippines",1990,62.6,"women",22,122,4.74,1330,267,780,30627.289,2.54606276121925
"Europe","Poland",1990,66.5,"women",25.6,133,5.33,3460,887,2540,19475.582,0.342562291591596
"Europe","Portugal",1990,70.9,"women",25.2,133,5.37,498,231,1490,5132.345,0.206065648353726
"Asia","Qatar",1990,74.1,"women",27.3,133,5.35,2.44,2.77,3.53,157.468,2.78850306093938
"Europe","Romania",1990,66.3,"women",25.3,133,5.25,1140,380,1310,11909.651,-0.0976434993770934
"Africa","Rwanda",1990,32.5,"women",21,131,4.39,39.4,105,127,3693.696,-2.64112152164119
"Oceania","Samoa",1990,61.8,"women",29.3,123,4.66,1.33,0.93,2.43,77.816,0.792896062506431
"Africa","Sao Tome and Principe",1990,60,"women",22.6,132,4.53,1.7,0.49,3.78,60.327,2.26266845690984
"Asia","Saudi Arabia",1990,67.5,"women",27.3,131,5.23,128,227,107,7146.665,3.29019199864552
"Africa","Senegal",1990,55.6,"women",22.3,129,4.52,56.1,195,136,3780.19,3.08698769109489
"Europe","Serbia",1990,68.7,"women",26.1,135,5.07,718,254,405,4819.625,0.922042690043319
"Africa","Seychelles",1990,66.5,"women",25.7,131,5.3,1.58,0.4,1.89,35.366,1.25827065543177
"Africa","Sierra Leone",1990,36.9,"women",22.1,132,4.42,25.9,116,79.6,2186.548,0.627015734390466
"Asia","Singapore",1990,73.9,"women",23.5,127,4.95,220,71.7,151,1497.134,2.89259344854903
"Europe","Slovenia",1990,69.1,"women",26.3,134,5.39,144,35.5,213,1031.194,0.126649301683295
"Oceania","Solomon Islands",1990,56.3,"women",25.6,120,4.64,4.52,3.2,6.19,151.63,2.89124843368727
"Africa","Somalia",1990,43.9,"women",21.4,128,4.51,38.1,105,120,3594.693,0.738672259355663
"Africa","South Africa",1990,58.5,"women",27.4,132,4.75,1190,508,568,18514.6,2.62729953658195
"Europe","Spain",1990,73.7,"women",25.5,128,5.39,1650,1490,3850,19998.51,0.273045341877986
"Asia","Sri Lanka",1990,66.3,"women",21.8,123,4.56,183,69.5,305,8577.728,1.3224364307192
"Africa","Sudan",1990,54,"women",21.4,126,4.56,304,207,448,10044.406,3.68574308923792
"Americas","Suriname",1990,64.2,"women",25.5,126,4.84,10,8.35,8.47,199.219,1.94609951862022
"Europe","Sweden",1990,74.8,"women",24.6,129,5.78,973,262,703,4335.221,0.665018000235763
"Europe","Switzerland",1990,74.1,"women",23.9,127,5.73,598,106,590,3405.339,0.971474499308289
"Asia","Tajikistan",1990,59.8,"women",24.4,130,4.97,109,68.8,281,2664.66,2.11347789211382
"Asia","Thailand",1990,67.2,"women",22.5,119,4.83,3530,2710,1130,28539.798,1.17614357326566
"Asia","Timor-Leste",1990,46.9,"women",20.3,119,4.37,10.7,5.72,17.2,365.133,2.9824748790167
"Africa","Togo",1990,54.6,"women",20.9,128,4.4,34.7,102,74.6,1912.57,2.41632985982213
"Oceania","Tonga",1990,68.1,"women",29.9,122,4.71,3.4,3.18,3.11,46.84,0.16438941076003
"Americas","Trinidad and Tobago",1990,65.2,"women",26.6,125,4.85,22.6,25.8,34.1,612.551,0.640599721492574
"Africa","Tunisia",1990,66.8,"women",25.8,130,4.71,73.5,29.6,123,4090.996,2.1718671932214
"Asia","Turkey",1990,60.7,"women",27,128,4.91,1580,530,2350,27291.494,1.73395417634521
"Asia","Turkmenistan",1990,59.1,"women",24.3,131,5.07,58.4,42.8,153,1873.505,2.80196743536846
"Africa","Uganda",1990,42.8,"women",20.9,129,4.33,99.4,267,226,8735.854,3.54950987047174
"Europe","Ukraine",1990,65.1,"women",26.3,134,5.41,4840,700,8700,27530.065,-0.0848817465559873
"Asia","United Arab Emirates",1990,70.6,"women",27.9,129,5.47,7.65,6.36,12.5,630.117,5.36440057957491
"Europe","United Kingdom",1990,72.8,"women",25.2,132,5.85,13300,721,4840,29362.277,0.27464831831673
"Americas","United States",1990,71.7,"women",26.3,122,5.54,64900,3590,9920,128570.956,0.933820543420388
"Americas","Uruguay",1990,68.9,"women",24.2,127,5.16,182,26.6,253,1601.316,0.760999078258128
"Asia","Uzbekistan",1990,63.4,"women",24.6,125,4.93,455,226,870,10307.414,2.2848893039515
"Oceania","Vanuatu",1990,61.8,"women",24.9,128,4.69,2.51,1.37,2.7,71.194,2.93423603112622
"Asia","Yemen",1990,56.3,"women",24.5,125,4.68,145,93.8,289,5928.214,4.56721029301574
"Africa","Zambia",1990,42.7,"women",21.8,128,4.59,38.4,113,100,4031.146,2.66886885267861
"Africa","Zimbabwe",1990,55,"women",24.9,130,4.55,218,312,278,5241.466,2.47039664093976
"Asia","Afghanistan",1991,49.6,"women",20.7,124,4.53,204,114,430,6477.343,6.75131277219977
"Europe","Albania",1991,69,"women",25.1,131,4.97,94.8,78.2,98.3,1611.474,0.509008534203854
"Africa","Algeria",1991,65.4,"women",24.8,131,4.94,186,132,299,13035.547,2.4605213422166
"Africa","Angola",1991,39.7,"women",21,130,4.64,130,169,204,6116.458,3.46469117357997
"Americas","Antigua and Barbuda",1991,68.9,"women",25.8,126,5.01,1.48,1.58,2.65,32.696,1.48049287687388
"Americas","Argentina",1991,68.3,"women",25.1,121,5.24,1650,691,1630,16975.913,1.44736539375746
"Asia","Armenia",1991,64.7,"women",26.2,134,5.12,140,119,217,1812.579,-0.590834901873041
"Oceania","Australia",1991,74.2,"women",25,125,5.58,1950,121,780,8624.557,1.39956219004678
"Europe","Austria",1991,72.3,"women",24.3,130,5.63,907,213,1090,4048.295,0.471845735333065
"Asia","Azerbaijan",1991,60.5,"women",26.7,131,5.08,193,174,452,3761.632,1.62971984791335
"Americas","Bahamas",1991,67.4,"women",27.3,129,5.35,6.31,4.46,8.41,131.534,1.89088486594936
"Asia","Bahrain",1991,71.7,"women",26.4,136,5.24,12.8,3.2,7.16,215.313,2.64780057113163
"Asia","Bangladesh",1991,58.7,"women",18.8,123,4.47,2310,417,2220,51151.005,2.39248809818307
"Americas","Barbados",1991,69.2,"women",27.5,127,5.09,8.2,8.79,18.6,135.833,0.324238887986168
"Europe","Belarus",1991,64.9,"women",26.1,133,5.4,544,121,1810,5394.357,0.0748192501972118
"Europe","Belgium",1991,72.7,"women",25,128,5.77,1050,249,986,5126.841,0.316318294550136
"Americas","Belize",1991,68.8,"women",27.1,121,4.84,2.64,4.51,4.73,94.769,1.92187735260589
"Africa","Benin",1991,52.4,"women",22,128,4.45,43.9,148,97.8,2639.316,3.30210113783092
"Asia","Bhutan",1991,53.3,"women",21.1,123,4.47,4.48,2.37,10.9,259.986,0.773673398193721
"Europe","Bosnia and Herzegovina",1991,67,"women",25.3,133,4.91,266,79.3,205,2208.31,-1.98061903333078
"Africa","Botswana",1991,58.5,"women",24.5,132,4.76,25,13,14.6,691.56,2.99224981681927
"Americas","Brazil",1991,62,"women",24.7,130,4.85,4280,2020,4360,76278.923,1.80642897190283
"Europe","Bulgaria",1991,67.9,"women",25.6,133,5.32,500,312,824,4452.115,-0.711393853810455
"Africa","Burkina Faso",1991,48.2,"women",20.3,127,4.28,58.1,260,227,4625.886,2.67555655584937
"Africa","Burundi",1991,46.1,"women",20.2,130,4.29,41.1,104,143,2838.645,2.31910250707744
"Asia","Cambodia",1991,51.5,"women",20.2,116,4.36,225,102,311,4796.44,3.35112651228193
"Africa","Cameroon",1991,50.5,"women",22.8,126,4.57,147,412,253,6102.088,3.01092436875487
"Americas","Canada",1991,74.3,"women",25.2,123,5.45,5150,298,1800,14064.709,1.29664549560184
"Africa","Central African Republic",1991,46.3,"women",20.6,129,4.49,43.1,59.9,85.9,1460.652,2.53902465734962
"Africa","Chad",1991,45.9,"women",20,125,4.35,45,158,118,3102.008,3.20926072814577
"Americas","Chile",1991,71,"women",25.3,128,5.11,510,247,977,6865.678,1.6433507163557
"Asia","China",1991,67.8,"women",22.1,123,4.25,81000,75700,108000,580819.408,1.36036172964045
"Americas","Colombia",1991,64.5,"women",24.8,125,5.01,905,618,1860,17129.704,2.03988583487375
"Africa","Comoros",1991,55.6,"women",21.6,129,4.51,2.51,5.57,5.03,211.251,2.94281036196714
"Americas","Costa Rica",1991,73.3,"women",24.7,123,4.86,54.8,51.2,211,1589.484,2.68203391932773
"Europe","Croatia",1991,68.8,"women",24.9,134,5.32,456,104,616,2452.292,-0.335818545003055
"Americas","Cuba",1991,72.8,"women",25.1,126,4.96,883,303,266,5328.142,0.727285307536131
"Asia","Cyprus",1991,74.7,"women",24.8,128,5.42,20.4,6.45,20.9,386.288,2.19664801513287
"Europe","Denmark",1991,72.3,"women",24,126,5.68,1260,116,346,2611.562,0.240202295010479
"Africa","Djibouti",1991,55.3,"women",22.9,130,4.88,2.24,6.72,4.82,301.62,2.78972443547782
"Americas","Dominican Republic",1991,65.9,"women",24.1,128,4.59,140,95.4,107,3613.474,1.95535037369791
"Americas","Ecuador",1991,67,"women",25.7,126,4.89,141,206,626,5207.887,2.37184272922021
"Africa","Egypt",1991,62.6,"women",27.3,125,4.77,608,1050,800,28559.739,2.26238619714436
"Americas","El Salvador",1991,60.2,"women",25.1,121,4.7,76.9,75.6,210,2738.337,1.45370679115261
"Africa","Equatorial Guinea",1991,47.1,"women",21,131,4.58,5.91,8.61,11.5,217.473,2.98577435975148
"Africa","Eritrea",1991,48.4,"women",19.5,121,4.25,14.3,37,45.5,1133.719,0.408108680191757
"Europe","Estonia",1991,63.8,"women",25.1,133,5.57,131,27.3,270,825.174,-0.973495294532726
"Africa","Ethiopia",1991,46,"women",19.3,120,4.28,308,775,1010,24869.13,3.5890681593678
"Oceania","Fiji",1991,63.8,"women",25.7,126,4.86,7.82,9.02,9.34,361.723,0.902682663527545
"Europe","Finland",1991,71.5,"women",25.3,134,5.77,482,117,558,2581.831,0.398509400629886
"Europe","France",1991,72.8,"women",24.4,128,5.7,3170,1020,3910,29224.017,0.46100173833458
"Africa","Gabon",1991,59.7,"women",23.1,136,5.09,21.5,31.9,24.3,496.896,2.6801618429264
"Africa","Gambia",1991,51.3,"women",21.7,128,4.45,4.82,36,6.12,497.435,3.8974466085322
"Asia","Georgia",1991,66.2,"women",26,134,5.15,220,146,382,2819.357,-0.666286622686796
"Europe","Germany",1991,72.3,"women",25.2,132,5.83,9270,1680,11900,41083.21,0.427266541838256
"Africa","Ghana",1991,56.1,"women",21.8,128,4.39,81.9,361,265,7547.614,2.89831441541688
"Europe","Greece",1991,74.1,"women",24.4,128,5.25,875,724,785,5199.332,0.840868762603101
"Americas","Grenada",1991,66.4,"women",25.3,125,4.78,2.88,3.07,4.45,48.799,-0.0430151577222466
"Americas","Guatemala",1991,59.9,"women",24.3,121,4.62,121,176,454,4777.563,2.50879868996449
"Africa","Guinea",1991,49.7,"women",21.1,130,4.35,48,257,129,3396.702,2.82641547817117
"Africa","Guinea-Bissau",1991,47.2,"women",21.6,129,4.33,10,36.9,32.8,515.385,2.25669677844332
"Americas","Guyana",1991,60.2,"women",24.4,123,4.48,9.4,11.7,17.9,377.935,0.361416348446783
"Americas","Haiti",1991,53.4,"women",21.6,124,4.47,206,118,417,3647.645,1.98649777609772
"Americas","Honduras",1991,64.9,"women",24.5,123,4.62,59.8,78.9,204,2566.138,2.88924404128499
"Europe","Hungary",1991,65,"women",25.5,133,5.28,1510,388,1120,5391.013,-0.0436276714764039
"Europe","Iceland",1991,75.9,"women",24.9,125,5.95,40.5,2.28,17.9,128.292,1.02766424909637
"Asia","India",1991,58,"women",20.6,124,4.53,7560,3680,30400,428576.053,2.03695644130827
"Asia","Indonesia",1991,62.2,"women",21.2,125,4.54,1950,2010,4840,91929.575,1.78542401852373
"Asia","Iraq",1991,63.6,"women",27,128,4.95,222,140,171,8868.358,2.71465923864732
"Europe","Ireland",1991,72.3,"women",25.3,128,5.58,473,40,215,1768.599,0.262874143547307
"Asia","Israel",1991,75,"women",25.5,128,5.61,324,65.1,220,2303.15,3.35934127184295
"Europe","Italy",1991,73.8,"women",24.9,130,5.37,5840,2820,8920,29342.656,0.0922785012377698
"Americas","Jamaica",1991,69.7,"women",25.5,126,4.81,68.9,41.6,105,1236.106,0.83721977447356
"Asia","Japan",1991,76.1,"women",21.7,128,5.14,14600,9020,36900,63379.423,0.366529614484668
"Asia","Jordan",1991,68.8,"women",28.6,126,5.27,31.6,13.8,34.1,1791.218,5.49869305913687
"Asia","Kazakhstan",1991,61.4,"women",25.7,132,5.21,905,490,1600,8425.648,-0.0777258419568232
"Africa","Kenya",1991,54.5,"women",21.8,125,4.53,147,159,454,12307.836,3.38789718832078
"Oceania","Kiribati",1991,58,"women",27.5,119,4.57,0.98,1.51,0.83,37.225,1.75769504127713
"Asia","Kuwait",1991,71.5,"women",28.7,130,5.45,18,7.26,9.29,873.73,-3.42889164224932
"Europe","Latvia",1991,63,"women",25.4,133,5.53,202,43.7,417,1416.018,-0.491702476783454
"Asia","Lebanon",1991,69.1,"women",25.4,131,5.01,84.1,28.8,87.4,1477.727,4.09167112789158
"Africa","Lesotho",1991,57.5,"women",25.7,128,4.35,24,20.6,28.5,937.853,1.25705833450297
"Africa","Liberia",1991,45.4,"women",22,129,4.42,12.8,73.8,45.4,1026.097,-1.721906951129
"Africa","Libya",1991,67.3,"women",27.6,134,5.11,34.4,35.8,37.2,2152.373,2.60496117704488
"Europe","Lithuania",1991,65.1,"women",26.3,135,5.79,223,47.7,498,1948.426,0.0689749743590719
"Europe","Luxembourg",1991,71.8,"women",24.9,129,5.88,43.5,12,41.6,197.121,1.09806133962459
"Africa","Madagascar",1991,50.4,"women",20.5,129,4.48,63.8,144,145,5982.243,3.00861796874638
"Africa","Malawi",1991,44.6,"women",21.2,127,4.36,44.6,72.5,51.1,4841.102,2.08735887368447
"Asia","Malaysia",1991,69.2,"women",23.4,125,4.92,565,212,335,9093.703,2.66384924562073
"Asia","Maldives",1991,62.4,"women",23.7,122,4.65,1.37,1.01,2.59,112.327,3.2787488162117
"Africa","Mali",1991,45.3,"women",20.4,125,4.34,69.7,479,316,4373.877,2.22245437546143
"Europe","Malta",1991,74.5,"women",26.2,131,5.64,13.5,3.9,18.4,185.19,0.780382681381831
"Africa","Mauritania",1991,57.3,"women",24,128,4.59,21.4,64.2,42.4,1051.813,2.67841105219179
"Africa","Mauritius",1991,66,"women",24.4,131,4.94,21.2,10.7,33,535.41,1.14938620056448
"Americas","Mexico",1991,68.4,"women",26.4,125,4.86,1670,1660,2270,43238.119,1.97009415310258
"Asia","Mongolia",1991,58,"women",25,130,5.08,82.5,185,223,1122.551,1.50684473187586
"Europe","Montenegro",1991,71.3,"women",25.8,133,5.27,64.9,15.1,15,308.975,0.0641239470556537
"Africa","Morocco",1991,63.6,"women",24.7,127,4.78,210,83,396,12662.429,1.85701358951116
"Africa","Mozambique",1991,41.6,"women",21.2,130,4.46,74.9,377,281,6974.363,2.83097790797181
"Asia","Myanmar",1991,56.9,"women",20.5,119,4.3,610,601,1690,21498.31,1.3525404738401
"Africa","Namibia",1991,58.6,"women",23.4,132,4.71,10.4,4.23,8.93,764.921,2.9711247223531
"Asia","Nepal",1991,54.4,"women",19.3,123,4.43,283,88.7,549,9732.851,2.34825164574156
"Europe","Netherlands",1991,74,"women",24.4,128,5.62,1500,155,1330,7611.981,0.643168570059555
"Oceania","New Zealand",1991,72.8,"women",25.4,125,5.83,467,30.6,213,1750.208,1.42399754293348
"Americas","Nicaragua",1991,62.1,"women",25.5,124,4.68,32.6,60.2,86.8,2151.785,2.31092696685309
"Africa","Niger",1991,43.4,"women",20.7,130,4.31,55.3,199,136,4231.826,3.17545766487174
"Africa","Nigeria",1991,44.6,"women",22.4,132,4.27,641,3080,963,48527.726,2.56186087762617
"Europe","Norway",1991,73.8,"women",24.4,132,5.67,513,43.4,367,2158.543,0.520685380480796
