id,city,state,amount,share_under25
115,"DURHAM","NC",0,.5311326
116,"BOCA RATON","FL",0,.3923365
117,"NEW YORK","NY",0,.477233
119,"Bethel","OH",0,.4519207
120,"BEACHWOOD","OH",0,.4401636
121,"Hillsborough","NH",0,.4022934
122,"PORTLAND","OR",0,.4743172
123,"OAKLAND","CA",720,.4778767
124,"Portland","ME",0,.4439363
125,"WASHINGTON","DC",250,.5195411
126,"INCLINE VILLAGE","NV",588.08,.4435646
127,"SALEM","NJ",420,.430521
128,"Austin","TX",0,.5566342
129,"Los Angeles","CA",0,.5352823
130,"LOS ANGELES","CA",385,.5352823
131,"ASHEVILLE","NC",0,.4380134
132,"HINSDALE","IL",400,.4822353
133,"TORRANCE","CA",0,.4332934
134,"Springfield","MO",456,.4988168
135,"Grand Junction","CO",0,.4666918
136,"WAKE FOREST","NC",250,.4791312
137,"MADISON","MS",400,.4670858
138,"SAN RAMON","CA",0,.4590964
139,"OMAHA","NE",0,.5261874
140,"MARTINSBURG","WV",0,.4483873
141,"VASHON","WA",250,.4650477
142,"CHAPEL HILL","NC",376.43,.4791312
143,"BOISE","ID",215,.4926254
144,"MADISON","WI",350,.555514
145,"Ouray","CO",0,.4014407
146,"CHARLOTTE","NC",285,.5258363
147,"OTTSVILLE","PA",0,.3987547
148,"CRYSTAL BEACH","FL",475,.3584583
149,"HATFIELD","PA",0,.4397087
150,"FORT WORTH","TX",235,.5341563
151,"SAINT SIMONS ISLAND","GA",550,.4761379
152,"SUNNYVALE","CA",0,.4402437
153,"SOUTH DENNIS","MA",0,.3059919
154,"LAFAYETTE","IN",250,.5246167
155,"HANOVER","NH",337.39,.4255926
156,"SAINT GEORGE","UT",325,.5403067
157,"Charlestown","MA",1131,.5174821
158,"LANGLEY","WA",0,.4644603
159,"CLIFTON PARK","NY",517.95,.4134029
160,"ROCKVILLE","MD",500,.4435954
161,"ALEXANDRIA","VA",0,.4743382
162,"PHILADELPHIA","PA",500,.5200281
163,"BERKELEY","CA",345,.5246695
165,"WHITTIER","CA",259.09,.5019037
166,"CANTON","MI",250,.460889
167,"ELK GROVE","CA",1000,.4751711
168,"LEXINGTON","KY",500,.5186065
169,"NORFOLK","VA",0,.5774599
170,"WASHINGTON","DC",500,.5195411
171,"New York","NY",0,.477233
172,"NANUET","NY",250,.4849277
173,"DES MOINES","IA",455,.5007284
174,"WAUSAU","WI",400,.4362096
175,"NEW CANAAN","CT",0,.4268852
176,"CHESTER","CA",1405,.4185865
177,"ALBUQUERQUE","NM",0,.4932771
178,"MYSTIC","CT",516.5,.4366401
179,"CARROLLTON","OH",0,.4421945
180,"LOS OSOS","CA",400,.4875372
181,"SARASOTA","FL",0,.337309
182,"CRANFORD","NJ",297.8,.4573098
183,"Fort Worth","TX",450,.5341563
184,"HOUSTON","TX",500,.548726
185,"Los Angeles","CA",0,.5352823
186,"JACKSONVILLE","FL",500,.4874956
187,"Sykesville","MD",0,.4416475
188,"MADISON","WI",0,.555514
189,"HOUSTON","TX",0,.548726
190,"BEND","OR",0,.4236024
191,"BRANCHBURG","NJ",650,.4375436
192,"LONG ISLAND CITY","NY",380,.5099675
193,"NEW YORK","NY",0,.477233
194,"WEST BLOOMFIELD","MI",0,.4291991
195,"MERCER ISLAND","WA",0,.4650477
196,"Savage","MN",275,.4713001
197,"SAINT PAUL","MN",0,.4917763
198,"BERLIN","MA",325,.4167195
199,"WEED","CA",0,.4185865
200,"ESCONDIDO","CA",0,.4887954
201,"BELLINGHAM","WA",0,.4644603
202,"Lynn","MA",0,.4106115
203,"SALEM","NH",766,.4249431
204,"SAINT HELENA ISLAN","SC",350,.4463269
205,"BEAVERTON","OR",245,.4673465
206,"COLUMBUS","OH",350,.5344034
207,"Clearfield","UT",0,.6004
208,"San Carlos","CA",0,.4402437
209,"CAMBRIDGE","MA",317.95,.5174821
210,"Ashland","OR",436,.4052518
211,"PORTLAND","OR",0,.4743172
212,"STANFORD","CA",0,.5186713
213,"WASHINGTON","DC",295,.5195411
214,"THE SEA RANCH","CA",0,.4264379
215,"KATONAH","NY",0,.420808
216,"MOUNTAIN VIEW","CA",0,.4402437
218,"EDINA","MN",450,.5006417
219,"SAN CLEMENTE","CA",700,.448464
220,"YELLVILLE","AR",0,.3737555
221,"SANTA FE","NM",0,.4049562
222,"MAUMEE","OH",789,.4320438
224,"NAPLES","ME",0,.4013654
225,"RALEIGH","NC",450,.5281892
226,"MYSTIC","CT",725,.4366401
227,"BAR HARBOR","ME",685,.3598596
228,"Cape May","NJ",0,.4101691
229,"BELLEVUE","WA",1000,.4650477
230,"HOLLYWOOD","FL",350,.4524897
231,"ALEXANDRIA","VA",404.68,.4743382
232,"HUNTSVILLE","TX",0,.4934856
233,"SAN DIEGO","CA",350,.520797
234,"ARLINGTON","VA",0,.5314384
235,"CHICAGO","IL",500,.5333298
236,"CARMICHAEL","CA",500,.4593699
237,"BERKELEY","CA",320,.5246695
238,"MILTON","MA",1300,.5174821
239,"PORTLAND","OR",0,.4743172
240,"MADISON","WI",0,.555514
241,"ATLANTA","GA",750,.5335559
242,"HOUSTON","TX",250,.548726
243,"SAN FRANCISCO","CA",0,.4387415
244,"LA JOLLA","CA",225,.4887954
245,"FORESTVILLE","CA",0,.4264379
247,"HALF MOON BAY","CA",300,.4402437
248,"Pickerington","OH",0,.4642476
249,"Bellevue","WA",0,.4650477
250,"NORTH EASTON","MA",0,.4365521
251,"ITHACA","NY",500,.469061
252,"UPPER SADDLE RIVER","NJ",900,.4099351
253,"DALY CITY","CA",216.98,.4402437
254,"PITTSFORD","NY",0,.4065893
255,"FORT LAUDERDALE","FL",780,.4322133
256,"BEND","OR",0,.4236024
257,"FORT WORTH","TX",0,.5233899
258,"BELLEVUE","IA",205,.441826
259,"SYLACAUGA","AL",1000,.4460346
260,"ATLANTA","GA",900,.5335559
261,"MALIBU","CA",500,.5116389
263,"STANTON","CA",400,.5019037
264,"NATICK","MA",219.18,.4164453
265,"VIENNA","VA",340,.4798569
266,"OAKLAND","CA",1300,.4778767
268,"POWAY","CA",368.63,.4887954
269,"MESA","AZ",285,.4831868
270,"MENLO PARK","CA",0,.4402437
271,"PAINESVILLE","OH",410.95,.4190239
272,"New York","NY",1781,.477233
273,"HOUSTON","TX",220,.548726
276,"WESTBROOK","ME",0,.4013654
277,"ARLINGTON","VA",0,.5314384
278,"ELMA","WA",0,.437393
279,"SILVER SPRING","MD",0,.4731771
280,"AUSTIN","TX",0,.5566342
281,"OAK PARK","IL",400,.4410785
282,"EAST HAMPTON","NY",260,.4160329
283,"Cambria","CA",0,.4875372
285,"Lake Ozark","MO",0,.4071018
286,"LOS ANGELES","CA",350,.5352823
287,"SAUKVILLE","WI",1000,.4160614
288,"SHERMAN OAKS","CA",0,.5056244
289,"ROUND LAKE","IL",755,.4493886
290,"BEND","OR",900,.4236024
291,"SAN BERNARDINO","CA",0,.6008789
292,"ALLEN","TX",0,.5117252
293,"ELK GROVE","CA",450,.4751711
294,"WASHINGTON","DC",300,.5195411
296,"Hockley","TX",0,.5032269
297,"RIDGEFIELD","CT",654.14,.4268852
298,"OTTAWA HILLS","OH",0,.4943589
299,"CHARLOTTE","NC",256.32,.5258363
300,"Seattle","WA",0,.4679543
301,"WILMETTE","IL",275,.4493886
302,"ROCHESTER","NY",0,.4885501
303,"NEW YORK","NY",500,.477233
304,"ANNAPOLIS","MD",450,.4512518
305,"Albuquerque","NM",206,.4932771
306,"Chicago","IL",0,.5333298
307,"SOLANA BEACH","CA",0,.4887954
308,"ARLINGTON","VA",0,.5314384
309,"PLEASANTON","CA",700,.4590964
310,"NEW YORK","NY",500,.477233
311,"Edmonds","WA",0,.4650477
312,"Seattle","WA",0,.4679543
313,"Sebastopol","CA",0,.4264379
314,"Delafield","WI",500,.4160614
315,"ALEXANDRIA","VA",0,.4743382
316,"KAPOLEI","HI",1600,.4707951
318,"PEORIA","IL",0,.481851
320,"GLEN ALLEN","VA",220,.419202
321,"NEW YORK","NY",358.44,.477233
323,"Woodbury","NJ",0,.430521
324,"SAN DIEGO","CA",0,.520797
325,"ROSLYN HEIGHTS","NY",0,.4384138
326,"WOODINVILLE","WA",950,.4650477
327,"ALEXANDRIA","VA",419,.4743382
328,"GLENDALE","CA",247,.4146762
329,"CHANHASSEN","MN",350,.4713001
330,"ELLENWOOD","GA",0,.4906479
331,"PETALUMA","CA",270,.3973311
332,"BATAVIA","IL",260,.4822353
333,"CORONA DEL MAR","CA",275,.448464
334,"HIGHLANDS RANCH","CO",655,.448189
335,"CHICAGO","IL",500,.5333298
336,"DALY CITY","CA",0,.4402437
337,"SAINT PAUL","MN",595,.4917763
338,"Atlanta","GA",0,.5335559
339,"REDDING","CT",300,.4268852
341,"ROUND ROCK","TX",275,.5018783
342,"NEW MILFORD","CT",600,.4262478
344,"Paducah","KY",547,.4243197
345,"WILLIAMSBURG","VA",0,.4238136
346,"Pinehurst","NC",0,.5063825
347,"CHICAGO","IL",635,.5333298
348,"MADISON","WI",750,.555514
349,"LOUISVILLE","CO",250,.4962959
350,"PHILADELPHIA","PA",500,.5200281
352,"Minneapolis","MN",0,.5006417
353,"SCARSDALE","NY",250,.420808
354,"WOODLAND","CA",668.45,.4593699
355,"JONESBORO","GA",0,.4906479
356,"LAS VEGAS","NV",0,.4974553
357,"YARMOUTH","ME",0,.4013654
358,"OAK PARK","IL",0,.4410785
359,"EL CENTRO","CA",478.77,.4799049
360,"SAINT LOUIS","MO",230,.4732347
361,"BOCA RATON","FL",0,.3923365
362,"MEDINA","WA",250,.4650477
363,"WORCESTER","MA",232.88,.5174998
364,"SCHWENKSVILLE","PA",0,.4397087
365,"NEW YORK","NY",210,.477233
366,"ALLENTOWN","PA",0,.4825236
367,"Bethesda","MD",0,.4435954
368,"ODENTON","MD",0,.446264
369,"STUART","FL",895,.3943123
371,"Lafayette","CA",0,.4590964
372,"MORRIS","IL",345,.4750154
373,"BROOKLYN","NY",0,.5131685
375,"LEANDER","TX",250,.5018783
376,"FREEPORT","ME",350,.4013654
377,"NORTHFIELD","IL",0,.4493886
378,"MERCER ISLAND","WA",1400,.4650477
379,"WILMINGTON","DE",0,.4404992
380,"RESTON","VA",0,.4958435
381,"CUPERTINO","CA",0,.4732465
382,"HIGHLAND PARK","IL",438.57,.4493886
383,"ENCINITAS","CA",450,.4887954
384,"BOULDER","CO",0,.5435534
385,"BEND","OR",0,.4236024
386,"EVANSTON","IL",250,.5017276
387,"Boynton Beach","FL",0,.3923365
388,"DUNEDIN","FL",690,.3584583
389,"Oxnard","CA",0,.4987158
390,"MIDDLETON","WI",275,.4441077
391,"ITHACA","NY",1081.6,.469061
393,"NAPLES","FL",235,.3541788
394,"Plano","TX",0,.5117252
395,"SAN FRANCISCO","CA",320.05,.4387415
396,"NEW YORK","NY",500,.477233
397,"ASHEVILLE","NC",700,.4380134
399,"CHINO HILLS","CA",315,.5043881
400,"CHICAGO","IL",275,.5333298
401,"COFFEEVILLE","MS",435,.4685024
402,"PRINCETON","NJ",0,.4305483
403,"Canoga Park","CA",0,.4808716
404,"MINNEAPOLIS","MN",566.94,.5006417
405,"Palm Desert","CA",0,.4799049
406,"Los Angeles","CA",0,.5352823
407,"HOBBS","NM",600,.5081787
408,"DEERING","NH",400,.4022934
409,"BRISBANE","CA",250,.4402437
410,"SILVER SPRING","MD",1000,.4731771
411,"BURLINGAME","CA",250,.4402437
412,"PASO ROBLES","CA",1000,.4875372
413,"SUGAR LAND","TX",602.86,.5032269
414,"NORFOLK","VA",1041.3,.5774599
415,"PHILADELPHIA","PA",210,.5200281
416,"LITTLETON","CO",0,.448189
417,"DETROIT","MI",1025,.4930004
418,"PERRYSBURG","OH",252,.4320438
419,"VAN NUYS","CA",305,.5056244
420,"NEW YORK","NY",250,.477233
421,"BOISE","ID",206.23,.4926254
422,"WILMINGTON","MA",661,.4513606
423,"EAST CHICAGO","IN",395,.4587907
424,"DUVALL","WA",1000,.4650477
425,"AUBURNDALE","FL",250,.4301059
426,"LOS ANGELES","CA",0,.5352823
427,"DILLSBURG","PA",300,.4234625
428,"BROOKLYN","NY",674,.5131685
429,"HYDE PARK","MA",250,.5174821
430,"CRANFORD","NJ",650,.4573098
431,"Bainbridge Island","WA",550,.4679543
432,"GLENDALE","CA",0,.4146762
433,"HOMER GLEN","IL",1100,.4750154
434,"YAKIMA","WA",319.87,.5345102
435,"TACOMA","WA",0,.5109156
436,"WESTERVILLE","OH",300,.473918
437,"CANTON","OH",1000,.4309172
438,"FOND DU LAC","WI",206.65,.4500547
439,"WOODBURY","MN",400,.4917763
440,"SAN FRANCISCO","CA",325,.4387415
441,"HUNTINGTON","NY",700,.4341284
442,"PEACHTREE CITY","GA",1556.94,.4906479
443,"San Mateo","CA",500,.4298374
444,"CANONSBURG","PA",300,.394942
445,"HENDERSON","NV",0,.4752689
446,"Nashville","TN",0,.5177658
447,"SANTA BARBARA","CA",724,.5105435
448,"MARGATE","FL",202.36,.4524897
449,"PHOENIX","AZ",400,.5434535
450,"BROOKLYN","NY",0,.5131685
451,"MIAMI","FL",450,.4463278
452,"WASHINGTON","DC",225,.5195411
453,"PHOENIX","AZ",0,.5434535
454,"INDIANAPOLIS","IN",590,.5148932
455,"NEW YORK","NY",269.58,.477233
456,"LOWELL","MI",300,.4664363
457,"HONOLULU","HI",0,.4193506
458,"FORT WAYNE","IN",1050,.4995596
459,"JONESBORO","LA",300,.5011128
460,"CINCINNATI","OH",505.9,.4760331
461,"Seattle","WA",0,.4679543
462,"NEW YORK","NY",405,.477233
463,"MONROE","NC",300,.4500323
464,"SPRINGFIELD","OH",322.8,.4433249
465,"SEATTLE","WA",0,.4679543
466,"DETROIT","MI",250,.4930004
467,"Taylor","TX",450,.5561231
468,"Springfield","MA",0,.5191874
469,"BROOKLYN","NY",275,.5131685
470,"AUBURN","AL",400,.5163181
471,"Dallas","TX",445,.5500803
472,"SEATTLE","WA",0,.4679543
473,"HANOVER","NH",300,.4255926
474,"HADDONFIELD","NJ",0,.430521
475,"Alexandria","VA",250,.4743382
476,"MANSFIELD","OH",250,.4243803
477,"BEVERLY HILLS","MI",0,.4307068
478,"WARNER","NH",225,.4022934
479,"GLEN COVE","NY",0,.4384138
480,"BALA CYNWYD","PA",361.2,.4378969
481,"FORT WORTH","TX",322,.5341563
482,"ATLANTA","GA",0,.5335559
483,"NEW YORK","NY",0,.477233
484,"Half Moon Bay","CA",0,.4402437
485,"WALNUT CREEK","CA",300,.4590964
486,"KENTFIELD","CA",0,.3973311
487,"BROOKLYN","NY",250,.5131685
488,"LOS ANGELES","CA",455,.5352823
489,"MIDDLETOWN","NY",0,.4849277
490,"CABOT","AR",350,.4874519
491,"ANCHORAGE","AK",250,.5246117
492,"SAN MATEO","CA",0,.4298374
493,"LEWISVILLE","NC",500,.4040239
495,"EAST STROUDSBURG","PA",224.78,.4282033
496,"MEDIA","PA",0,.4378969
497,"Minneapolis","MN",0,.5006417
498,"CUPERTINO","CA",0,.4732465
499,"PHILADELPHIA","PA",677.99,.5200281
500,"BURLINGAME","CA",0,.4402437
501,"SAN DIEGO","CA",0,.520797
502,"SYRACUSE","NY",0,.5124561
503,"SYRACUSE","NY",0,.5124561
504,"MCKINNEY","TX",0,.5117252
505,"SAINT LOUIS","MO",787.15,.4732347
506,"SCAPPOOSE","OR",0,.4673465
507,"INDIANAPOLIS","IN",341.37,.5148932
508,"NEW YORK","NY",0,.477233
509,"Kingston","WA",0,.4442257
510,"LOS ANGELES","CA",235,.5352823
511,"NEW YORK","NY",257.7,.477233
512,"SAN RAFAEL","CA",350,.3973311
513,"ORANGE","NJ",250,.4573098
514,"NASHVILLE","TN",0,.5177658
515,"STAMFORD","CT",1000,.4679229
516,"COLUMBUS","OH",0,.5344034
517,"HANOVER PARK","IL",275,.4846078
518,"SUNNYVALE","CA",250,.4402437
519,"Cleveland","OH",0,.4401636
520,"CHICAGO","IL",0,.5333298
521,"KENAI","AK",600,.4933264
522,"MIDDLETOWN","NY",0,.4849277
523,"BAINBRIDGE ISLAND","WA",0,.4679543
524,"Shelby Township","MI",0,.4291991
525,"LITTLETON","MA",0,.4354522
526,"LARKSPUR","CA",600,.3973311
527,"EDISTO ISLAND","SC",400,.4891635
528,"LEAVENWORTH","WA",0,.4709616
529,"DRIPPING SPRINGS","TX",389,.5018783
530,"FARMINGTON","NM",625,.5258348
531,"DENVER","CO",298.74,.5182149
532,"WASHINGTON","DC",231,.5195411
533,"SAN MARCOS","CA",425,.4887954
534,"CULVER CITY","CA",0,.5116389
535,"BOUNTIFUL","UT",400,.6004
537,"ROCHESTER","NY",617.75,.4885501
538,"NORFOLK","CT",241,.4174982
539,"New Bedford","MA",255,.4320377
540,"WESTFIELD","NJ",0,.4573098
541,"SCOTTSDALE","AZ",315,.4831868
542,"Colorado Springs","CO",0,.5112923
543,"Beachwood","OH",0,.4401636
545,"Michiana Shores","IN",700,.4587907
546,"LA PLACE","LA",230,.4736821
547,"YONKERS","NY",232.38,.4556417
548,"FAIRFIELD","CT",290,.4268852
549,"PETALUMA","CA",300,.3973311
550,"GREEN VALLEY","AZ",1247,.4304103
551,"PHILADELPHIA","PA",950,.5200281
552,"Lancaster","PA",0,.4659044
553,"SAN ANTONIO","TX",0,.5311785
554,"FORT WORTH","TX",0,.5233899
555,"SEATTLE","WA",0,.4679543
556,"SAN FRANCISCO","CA",1664.6,.4387415
557,"LA CANADA","CA",381,.4120456
558,"Foster City","CA",700,.4298374
559,"PLYMOUTH MEETING","PA",365.01,.4397087
560,"NOVI","MI",279.4,.4291991
562,"CEDAR RAPIDS","IA",450,.4873427
563,"WAKE FOREST","NC",350,.4791312
564,"TAKOMA PARK","MD",1573.99,.4731771
565,"LITTLETON","CO",0,.448189
566,"COLLEGE PARK","GA",372.91,.5335559
567,"Longmont","CO",835,.4855731
568,"CHIMACUM","WA",0,.4442257
569,"WASHINGTON","DC",250,.5195411
570,"CHICAGO","IL",600,.5333298
571,"EVANSTON","IL",217.9,.5017276
572,"NEW YORK","NY",0,.477233
573,"UPPER MONTCLAIR","NJ",311,.4573098
574,"CUSHING","OK",580,.4816862
575,"ENGLEWOOD","FL",500,.337309
577,"OTIS ORCHARDS","WA",239.28,.4567137
578,"CROZET","VA",328.62,.4685583
579,"MC LEAN","VA",0,.4798569
580,"SOUTH LAKE TAHOE","CA",225,.4413235
581,"MARLBORO","NJ",214.6,.4220611
582,"WATERBURY","VT",500,.4124142
584,"Willow Spring","NC",0,.4791312
585,"SMYRNA","GA",395,.4951164
586,"SAN DIEGO","CA",0,.520797
587,"WASHINGTON","DC",1000,.5195411
588,"CHARLOTTESVILLE","VA",0,.4685583
589,"NEW YORK","NY",0,.477233
590,"BIRMINGHAM","AL",201.46,.4856624
591,"HARPSWELL","ME",500,.4013654
592,"NORTH HOLLYWOOD","CA",0,.4961229
593,"NEWPORT","NH",0,.4255926
594,"WEST BLOOMFIELD","MI",0,.4291991
595,"BEND","OR",0,.4236024
596,"PURCELL","OK",258.01,.4923141
597,"KINGWOOD","TX",0,.4934856
598,"LOGAN","UT",550,.6193155
599,"INDIANAPOLIS","IN",1950.59,.5148932
600,"Lincoln","NE",0,.538033
601,"WEST POINT","VA",0,.4238136
602,"FOUNTAIN HILLS","AZ",0,.4831868
603,"LEXINGTON","MA",1000,.4494399
604,"WEST HOLLYWOOD","CA",350,.5352823
605,"PHILADELPHIA","PA",270,.5200281
606,"Las Cruces","NM",0,.5080315
607,"Gaithersburg","MD",400,.4435954
608,"COLORADO SPRINGS","CO",575,.5112923
609,"AUSTIN","TX",0,.5566342
610,"DOUGLASVILLE","GA",0,.4938683
611,"NEW HAVEN","CT",0,.511386
612,"Asheville","NC",300,.4380134
613,"BILLINGS","MT",362,.4665444
614,"PHOENIX","AZ",457,.5434535
615,"PALO ALTO","CA",250,.5186713
616,"STAFFORD","VA",250,.4585948
617,"NEW YORK","NY",450,.477233
618,"PITTSBURGH","PA",300,.4520847
619,"KEY WEST","FL",251.68,.4524897
620,"CHESTNUT HILL","MA",0,.4494399
621,"SEATTLE","WA",300,.4679543
622,"INDIANAPOLIS","IN",0,.5148932
623,"WEST LINN","OR",620,.4673465
624,"NAPERVILLE","IL",300,.4822353
625,"NEW YORK","NY",0,.477233
627,"Sarasota","FL",0,.337309
628,"HILLSBORO","OR",400,.4805841
629,"LINCOLNWOOD","IL",325,.4016855
630,"WALNUT CREEK","CA",215,.4590964
631,"CAPE ELIZABETH","ME",0,.4439363
632,"SAN FRANCISCO","CA",0,.4387415
633,"SUN VALLEY","CA",465,.4808716
634,"Jackson","MS",288,.5398824
636,"WHITE PLAINS","NY",250,.4340113
637,"Owings Mills","MD",1133,.446264
638,"MOUNT RAINIER","MD",0,.499497
639,"ATLANTA","GA",1082,.5335559
640,"HILLSBORO","OR",250,.4805841
641,"VENTURA","CA",0,.4987158
642,"BRUNSWICK","GA",274.98,.4761379
643,"CHICAGO","IL",300,.5333298
644,"ALEXANDRIA","VA",900,.4743382
645,"RIVERSIDE","CT",1450,.4268852
646,"GAITHERSBURG","MD",500,.4435954
647,"LOUISBURG","KS",0,.5135395
648,"CINCINNATI","OH",0,.4760331
649,"LA GRANGE","IL",273.36,.4822353
650,"CHULA VISTA","CA",252.75,.5035136
651,"Washington","DC",0,.5195411
653,"TUCSON","AZ",491.33,.4749739
654,"CALIFORNIA","CA",775,.448464
655,"Webster","MA",0,.4167195
656,"SAN LUIS OBISPO","CA",250,.4875372
657,"ATLANTA","GA",0,.5335559
658,"NAPERVILLE","IL",990,.4822353
659,"BRYANS ROAD","MD",236.48,.4669195
660,"SPRINGFIELD","VT",0,.3697922
661,"ATLANTA","GA",0,.5335559
663,"PRINCETON","NJ",0,.4305483
664,"SEATTLE","WA",260,.4679543
665,"IRVINE","CA",0,.448464
666,"Syracuse","NY",0,.5124561
667,"GARDEN GROVE","CA",450,.508081
668,"KANSAS CITY","MO",341.45,.4927863
669,"BETHESDA","MD",258.83,.4435954
670,"SAN BERNARDINO","CA",0,.6008789
671,"Nipomo","CA",0,.4875372
672,"BERKELEY","CA",0,.5246695
673,"Green Valley","AZ",575,.4304103
674,"Columbus","OH",250,.5344034
675,"FORT MONMOUTH","NJ",250,.4220611
676,"PORTLAND","OR",0,.4743172
677,"LEES SUMMIT","MO",0,.4701618
678,"BROOKLYN","NY",0,.5131685
679,"SPRINGFIELD","MO",250,.4988168
680,"KANSAS CITY","MO",206.23,.4927863
681,"Victor","NY",0,.4065893
682,"GENESEO","NY",225,.4326457
683,"San Mateo","CA",0,.4298374
684,"VALLEY VILLAGE","CA",0,.4961229
685,"Rockville","MD",705,.4435954
687,"MONROE","WI",940,.4441077
688,"SUMMIT","NJ",0,.4085009
689,"ENCINITAS","CA",500,.4887954
690,"Lafayette","CO",210,.4962959
691,"LAGUNA BEACH","CA",550,.448464
692,"ROSLINDALE","MA",0,.5174821
693,"YOUNGSTOWN","OH",265,.4187242
694,"FOUNTAIN","CO",357,.4822966
695,"LONGMONT","CO",0,.4855731
696,"COLUMBUS","OH",250,.5344034
697,"TARRYTOWN","NY",856.34,.420808
698,"HUXLEY","IA",660.91,.4540588
699,"YARMOUTH","ME",230,.4013654
700,"Dover","NH",255,.412813
701,"Bloomington","IN",1590,.5108438
702,"CENTENNIAL","CO",0,.4962959
703,"ATLANTA","GA",500,.5335559
