state,year,robbery_rate,assault_rate,burglary_rate,black,income,age,female
"Connecticut",2004,120.5045,142.5675,444.3995,.1025419,55100,37.73249,.5143105
"Connecticut",2005,112.9819,138.5923,437.0855,.1035434,56835,37.8902,.5138553
"Connecticut",2006,121.0052,138.5525,419.2525,.1047941,62404,38.06029,.5139149
"Connecticut",2007,102.9892,131.1706,432.9144,.1060296,64141,38.23646,.5136032
"Connecticut",2008,111.5887,163.4558,428.7324,.1071179,64682,38.41413,.5135266
"Connecticut",2009,113.4074,163.716,428.4186,.1086086,64851,38.60323,.5134413
"Connecticut",2010,99.40972,162.0269,424.4988,.1098549,65998,38.7805,.5131595
"Delaware",2000,177.8969,449.2088,665.6458,.1963521,50365,36.29627,.5143195
"Delaware",2001,145.196,410.5933,646.0972,.1988591,49602,36.47397,.5144521
"Delaware",2002,142.9306,408.4792,663.2524,.2011762,49650,36.67574,.5143487
"Delaware",2003,169.9101,441.9621,729.7939,.2032022,49019,36.85773,.514426
"Delaware",2004,146.6827,378.1474,648.2699,.2049824,48049,37.05055,.5143458
"Delaware",2005,154.8267,428.2036,688.8956,.2079146,51235,37.23411,.5149701
"Delaware",2006,203.2863,426.4912,725.1522,.2104431,52438,37.46796,.5152828
"Delaware",2007,197.2793,448.793,733.2637,.2131187,54589,37.65109,.5155131
"Delaware",2008,210.5162,444.3976,774.2598,.2154074,50702,37.86212,.5153235
"Delaware",2009,188.7875,405.0289,783.1689,.2172182,52114,38.04006,.5156213
"Delaware",2010,203.6898,377.0879,836.9212,.2186984,55214,38.23334,.5154623
"Florida",2000,199.0255,563.1703,1081.804,.152014,38856,39.04044,.5120615
"Florida",2001,200.4511,550.9158,1073.716,.1533495,36421,39.08156,.5118783
"Florida",2002,194.9423,529.3796,1060.494,.1544655,38024,39.13038,.5118068
"Florida",2003,185.2217,500.0626,1002.664,.1555811,38972,39.20068,.511499
"Florida",2004,172.4247,495.4774,956.087,.1565436,40535,39.25305,.5111849
"Florida",2005,169.4279,496.5805,926.2747,.1578124,42990,39.29877,.5110375
"Florida",2006,188.7629,481.1749,944.5775,.159454,45676,39.31917,.510821
"Florida",2007,209.0926,473.2061,996.2773,.1606546,45794,39.44798,.5105982
"Florida",2008,197.9066,452.0431,1028.282,.1620517,44857,39.64343,.5108827
"Florida",2009,166.7443,410.5736,981.1431,.1631701,45631,39.86864,.5111495
"Florida",2010,138.7457,369.7774,899.5065,.163715,44066,40.05765,.5111266
"Georgia",2000,161.8528,310.8795,836.6016,.289861,41901,34.01447,.5080928
"Georgia",2001,171.7813,292.1189,856.3899,.2912213,42576,34.10257,.5080748
"Georgia",2002,156.9102,270.1421,863.6603,.2927397,42939,34.23536,.5086746
"Georgia",2003,161.8361,258.8225,909.1951,.2941629,42438,34.39511,.50969
"Georgia",2004,154.6654,266.8476,939.9525,.2961064,40984,34.50772,.5089971
"Georgia",2005,154.7631,264.28,930.9705,.2980109,45926,34.67633,.5103409
"Georgia",2006,165.6247,275.7813,908.9869,.3013571,49344,34.82181,.5101247
"Georgia",2007,181.6705,281.1912,950.1558,.303789,48641,34.94816,.510971
"Georgia",2008,179.2015,270.4594,1038.939,.3058026,46227,35.1216,.511001
"Georgia",2009,148.5674,248.3414,1000.711,.3079062,43340,35.34646,.5111563
"Georgia",2010,127.7193,248.2335,998.4152,.3092763,44117,35.56776,.5117391
"Hawaii",2000,92.69218,119.6827,880.2868,.0189021,51546,36.58439,.4973091
"Hawaii",2001,93.27032,125.2861,911.6317,.0203646,47439,36.81882,.4969126
"Hawaii",2002,97.19672,133.0229,1021.931,.0211639,47303,37.02817,.4970842
"Hawaii",2003,92.87473,146.548,907.1984,.0203652,51834,37.24495,.4985422
"Hawaii",2004,74.75214,150.6921,857.3533,.0192459,56242,37.41835,.5000624
"Hawaii",2005,78.49786,147.8206,767.8832,.0193884,59586,37.6032,.4987998
"Hawaii",2006,88.91496,163.0497,677.4807,.01891,60470,37.76069,.4980801
"Hawaii",2007,86.10023,159.5776,708.827,.0177582,64022,37.99283,.4995041
"Hawaii",2008,84.30381,158.0502,728.0713,.0173996,61521,38.1523,.4994044
"Hawaii",2009,79.83459,162.9892,708.6285,.0170749,55649,38.31611,.4997895
"Hawaii",2010,77.48285,156.6565,636.8444,.0166131,59539,38.5768,.4992069
"Idaho",2000,17.23401,204.3351,566.4811,.0045628,37611,34.3106,.4986679
"Idaho",2001,18.54647,190.0824,568.2791,.0049865,38241,34.46006,.4985318
"Idaho",2002,17.89534,197.2962,554.8302,.0052955,37715,34.62451,.4988809
"Idaho",2003,17.85803,185.826,570.2128,.0055575,42372,34.78233,.4986702
"Idaho",2004,17.22576,184.6028,547.3486,.0058722,44358,34.91935,.4980493
"Idaho",2005,18.61316,195.3683,564.4127,.0061838,44176,35.03815,.4985034
"Idaho",2006,20.52555,184.1844,513.2069,.0064725,46213,35.1848,.4984813
"Idaho",2007,15.53953,182.0059,465.3188,.0067603,49184,35.26284,.4983885
"Idaho",2008,15.81556,175.0868,439.7513,.006889,47420,35.37322,.4984567
"Idaho",2009,15.84939,175.3783,424.2461,.0071434,46778,35.56236,.4988282
"Idaho",2010,13.6516,172.5588,414.7789,.0069923,47050,35.7441,.4989296
"Illinois",2000,207.4031,409.2664,659.5625,.1531322,46064,35.35158,.5103101
"Illinois",2001,199.2181,398.2679,631.6464,.152566,46171,35.47396,.510107
"Illinois",2002,200.5616,378.5131,643.8016,.1520735,42710,35.61377,.5099891
"Illinois",2003,188.1607,328.6352,618.7042,.1514959,45153,35.77656,.5099439
"Illinois",2004,177.2271,326.437,597.343,.151035,46077,35.93073,.5094777
"Illinois",2005,181.6683,330.1792,606.9086,.1505849,48398,36.0988,.5094275
"Illinois",2006,185.334,318.4078,602.0822,.1501728,48671,36.26198,.5093361
"Illinois",2007,179.7309,315.6806,587.6189,.1495498,52506,36.42347,.5094239
"Illinois",2008,186.4425,300.8783,612.0809,.1489994,53254,36.58767,.5094154
"Illinois",2009,177.5544,283.3992,603.0018,.1485737,52870,36.77212,.5095598
"Illinois",2010,156.2978,249.7305,587.6484,.1484452,50728,36.94748,.5094824
"Indiana",2000,103.3141,211.118,676.0645,.0850825,40865,35.65403,.5093955
"Indiana",2001,117.2739,219.6985,699.2606,.0859652,40379,35.76522,.5091841
"Indiana",2002,107.3539,214.0584,691.7443,.0867173,41047,35.91157,.5089927
"Indiana",2003,103.3468,216.1519,671.1329,.0874908,42425,36.05088,.508722
"Indiana",2004,102.1712,189.2083,676.0326,.0882996,42329,36.17829,.5084146
"Indiana",2005,108.5623,179.8637,697.6433,.089068,42437,36.30977,.5083097
"Indiana",2006,114.7221,165.1852,731.2561,.0900382,45407,36.44825,.5081906
"Indiana",2007,124.0605,176.4301,739.4305,.0908534,47453,36.59024,.5080968
"Indiana",2008,118.1158,183.5406,762.8444,.0916792,46520,36.73156,.5080252
"Indiana",2009,114.4616,188.4133,761.4688,.0924891,44305,36.89748,.5080217
"Indiana",2010,95.91595,186.8811,726.657,.0932641,46139,37.06454,.5079613
"Iowa",2000,36.59882,205.1379,558.4481,.0217397,40991,37.07814,.5093004
"Iowa",2001,39.47757,205.6665,577.6246,.0223537,40976,37.21364,.5089661
"Iowa",2002,39.80577,217.1781,634.8152,.0229566,41049,37.34416,.5082928
"Iowa",2003,38.14458,206.7891,595.9793,.0236023,41384,37.46447,.5077864
"Iowa",2004,38.04429,204.5388,615.1396,.0243344,43391,37.5884,.5074723
"Iowa",2005,38.90324,223.2722,606.3713,.0251992,46500,37.7014,.5070138
"Iowa",2006,43.52659,210.3897,604.1746,.0261788,48126,37.79589,.5066391
"Iowa",2007,43.94176,219.2403,566.9592,.0273108,48908,37.89487,.5061406
"Iowa",2008,41.5646,210.0877,547.8668,.0284404,50142,37.96736,.5056922
"Iowa",2009,39.72929,209.9502,539.3875,.0294358,50721,38.05574,.5053757
"Iowa",2010,33.1872,211.63,546.7518,.0301339,49016,38.1636,.5047849
"Kansas",2000,76.17863,268.9686,799.1317,.0585726,41059,35.76182,.5058134
"Kansas",2001,89.91921,276.4376,761.2888,.0586538,41415,35.88272,.5055085
"Kansas",2002,79.71622,255.9388,724.5891,.0587982,42619,35.98336,.505576
"Kansas",2003,82.4672,270.2398,803.6329,.058694,44232,36.10623,.5058439
"Kansas",2004,66.27668,263.3886,731.0907,.0588899,41066,36.25074,.5055624
"Kansas",2005,65.32621,279.9591,689.2225,.0587564,42027,36.39376,.5055763
"Kansas",2006,67.90698,307.734,723.28,.0593384,45552,36.50768,.5045699
"Kansas",2007,72.62256,331.8447,729.936,.0596116,48497,36.59163,.5049618
"Kansas",2008,60.09705,303.9826,699.8951,.0602737,47877,36.63778,.5041043
"Kansas",2009,63.36149,293.6411,690.697,.0604539,44717,36.70907,.5041611
"Kansas",2010,54.11623,272.6841,680.0981,.0608107,46054,36.78568,.5037992
"Kentucky",2000,80.55878,182.1727,626.1614,.0740707,36265,36.2067,.5111645
"Kentucky",2001,80.67777,143.7688,651.9404,.0747333,38437,36.33701,.510522
"Kentucky",2002,74.83707,173.0562,680.5703,.0751615,36762,36.48506,.5103391
"Kentucky",2003,77.61375,153.9404,671.6164,.0752745,36936,36.64117,.5106197
"Kentucky",2004,78.82445,130.4897,624.7585,.0760097,35610,36.78452,.5094066
"Kentucky",2005,88.41702,139.766,633.9667,.076441,36699,36.9488,.5091535
"Kentucky",2006,86.20866,141.9851,644.8293,.0767252,39485,37.1373,.5093563
"Kentucky",2007,95.93363,161.7126,652.6741,.0774366,39452,37.25952,.5084277
"Kentucky",2008,93.78707,164.8067,675.5059,.0776717,41148,37.40902,.5089963
"Kentucky",2009,84.11926,135.4392,688.4614,.0785101,42664,37.55812,.5080144
"Kentucky",2010,86.37205,120.1097,698.512,.0791311,41104,37.70944,.5079328
"Louisiana",2000,168.5397,466.5722,1035.785,.326484,30718,34.8078,.5158849
"Louisiana",2001,176.1085,468.264,1040.236,.3269895,33322,35.00792,.5154371
"Louisiana",2002,158.9017,456.0922,1011.679,.3274696,34008,35.19426,.5148736
"Louisiana",2003,157.217,434.9766,998.0798,.3279308,33507,35.37369,.5147382
"Louisiana",2004,145.3573,444.8854,1004.458,.3283253,36429,35.52778,.513759
"Louisiana",2005,117.9805,435.0711,870.5844,.3287364,37236,35.70819,.5133563
"Louisiana",2006,133.6126,515.373,1049.171,.3144765,36488,36.23589,.5122574
"Louisiana",2007,141.6891,541.1576,1038.898,.3184485,41313,36.25411,.511732
"Louisiana",2008,135.8938,480.4348,982.1357,.3212239,39563,36.33537,.5116866
"Louisiana",2009,135.906,442.0005,1029.502,.3223111,45433,36.4498,.5109926
"Louisiana",2010,114.9475,395.5555,1002.234,.3230615,39300,36.58111,.5103558
"Maine",2000,19.37372,63.92543,531.4047,.0056622,37266,38.05941,.5133188
"Maine",2001,20.51808,64.19672,536.1126,.0063693,36612,38.29128,.5130755
"Maine",2002,20.85805,56.78026,538.0605,.0070743,36853,38.50724,.5125359
"Maine",2003,22.13325,58.43483,503.8568,.0080007,37113,38.70397,.5118051
"Maine",2004,21.9396,56.32935,481.3806,.0087167,41329,38.93728,.5114319
"Maine",2005,24.44183,61.67211,478.4696,.0095216,43923,39.17666,.5111546
"Maine",2006,29.05626,59.02053,512.949,.0102303,45642,39.4634,.5108396
"Maine",2007,26.49546,60.20314,506.83,.0109002,47894,39.73622,.5107585
"Maine",2008,25.29519,61.37691,495.4211,.0115798,47228,40.01955,.5106414
"Maine",2009,30.26623,59.01535,510.3539,.0121466,47502,40.31217,.5104536
"Maine",2010,31.16623,59.77291,553.991,.0122322,47931,40.59129,.510543
"Maryland",2000,256.0188,493.346,744.3803,.2833245,54535,35.74551,.5170426
"Maryland",2001,251.6206,496.1344,773.0566,.2853412,53530,35.89843,.5172138
"Maryland",2002,245.8165,489.4527,728.5453,.2872306,56407,36.04582,.5174624
"Maryland",2003,241.4634,428.2699,701.4274,.2891421,52314,36.19771,.5174141
"Maryland",2004,229.5946,437.8148,659.9787,.291477,57103,36.35103,.5174106
"Maryland",2005,256.7322,413.7749,641.4199,.2937632,60512,36.49791,.5170896
"Maryland",2006,255.9775,391.9528,667.0018,.2958517,63668,36.65775,.5167537
"Maryland",2007,235.977,375.0571,660.2479,.2973394,65630,36.839,.5165219
"Maryland",2008,234.3618,365.1308,689.595,.2982662,63711,37.03769,.5164127
"Maryland",2009,210.6684,351.2953,649.7437,.2993551,64186,37.24179,.5165446
"Maryland",2010,191.4593,327.5107,632.9206,.3001117,64201,37.41,.5163538
"Massachusetts",2000,91.58783,355.8616,481.9583,.0641956,46753,36.92583,.5181876
"Massachusetts",2001,101.5158,346.5895,508.3627,.0656424,52253,37.02363,.51778
"Massachusetts",2002,111.5311,342.5433,517.1753,.0670859,49855,37.16724,.5172712
"Massachusetts",2003,124.1175,315.0889,539.7128,.0684831,50955,37.32913,.5170546
"Massachusetts",2004,116.3718,311.7273,537.1927,.0696886,52019,37.5145,.5169196
"Massachusetts",2005,119.0078,308.1074,541.1063,.0710188,56017,37.6991,.5167671
"Massachusetts",2006,125.0079,292.0528,546.527,.0723884,55330,37.86159,.5165588
"Massachusetts",2007,108.6243,294.7089,552.9202,.0736528,58463,38.03605,.5164616
"Massachusetts",2008,108.7879,310.8972,555.4661,.0749659,60320,38.19242,.516424
"Massachusetts",2009,112.6397,316.004,525.7381,.0761871,59373,38.35344,.5164251
"Massachusetts",2010,104.9846,331.7842,576.8042,.0771764,60934,38.52062,.5162774
"Michigan",2000,137.9693,359.7444,702.2226,.1436698,45512,35.73155,.5096415
"Michigan",2001,129.4889,365.8459,721.0421,.1437923,45047,35.89599,.5093812
"Michigan",2002,117.8754,362.3421,706.1378,.1437141,42715,36.08826,.5092171
"Michigan",2003,111.6768,339.2763,677.1835,.1436149,45022,36.2894,.5089576
"Michigan",2004,111.9393,317.702,636.7687,.1435479,42256,36.50032,.5089775
"Michigan",2005,131.8267,362.8743,696.7689,.1434506,45933,36.72575,.50883
"Michigan",2006,140.734,362.4138,753.8599,.1434343,48647,36.98757,.5088262
"Michigan",2007,133.1835,350.6714,748.9012,.1433908,49370,37.27273,.5090382
"Michigan",2008,129.5957,321.47,741.5063,.1432139,49788,37.57598,.5092948
"Michigan",2009,123.6744,321.734,760.4521,.1430823,45994,37.87805,.5094472
"Michigan",2010,116.2831,321.0052,747.3765,.1434813,46276,38.13104,.5093974
"Minnesota",2000,75.47547,156.7036,530.8692,.0367232,54251,35.57854,.5048191
"Minnesota",2001,75.5788,141.4237,512.7613,.0385442,52681,35.72604,.5045659
"Minnesota",2002,78.43067,141.5617,558.4774,.0402004,54622,35.90224,.5043311
"Minnesota",2003,77.16368,141.7764,547.4194,.041905,52823,36.08307,.5039998
"Minnesota",2004,79.78893,145.953,549.8575,.0436729,56104,36.251,.5039665
"Minnesota",2005,92.03555,158.7048,578.9434,.0453809,54215,36.41846,.5038571
"Minnesota",2006,105.146,172.6306,583.9445,.0474117,56211,36.59118,.5037133
"Minnesota",2007,91.77276,158.611,570.8381,.0493234,58058,36.75359,.5036391
"Minnesota",2008,80.01313,146.081,505.9006,.0509133,54925,36.93379,.5036522
"Minnesota",2009,68.7211,139.7589,483.991,.0521909,56090,37.13415,.5036651
"Minnesota",2010,63.87722,136.3707,460.3195,.0530358,52321,37.3268,.5036423
"Mississippi",2000,95.02021,221.1162,946.2649,.3643309,34299,34.92707,.516984
"Mississippi",2001,115.2543,184.8477,1043.411,.3645802,30161,35.08911,.5164701
"Mississippi",2002,116.8612,177.9731,1030.475,.3646125,30882,35.27714,.5161163
"Mississippi",2003,104.7798,174.0892,1035.616,.3647563,32728,35.45324,.5158473
"Mississippi",2004,86.22216,161.1111,952.853,.3649759,34755,35.60321,.5157874
"Mississippi",2005,82.33234,149.4306,919.7258,.3652566,32875,35.78758,.5154822
"Mississippi",2006,107.1279,149.4568,935.8745,.368608,34733,35.98254,.5150858
"Mississippi",2007,98.19154,150.3365,957.8986,.3695344,37279,36.088,.5146485
"Mississippi",2008,102.6333,143.9452,885.5864,.3705094,36446,36.23242,.5146047
"Mississippi",2009,100.4405,142.6154,987.874,.3707634,35078,36.39202,.5144023
"Mississippi",2010,93.65426,137.8022,1025.984,.3721393,38160,36.57331,.5141988
"Missouri",2000,135.7947,323.902,745.0121,.1136258,45097,36.41772,.5135795
"Missouri",2001,138.0356,372.062,763.3967,.1141469,41339,36.54787,.5132784
"Missouri",2002,123.8237,383.1943,753.1143,.1145819,42776,36.67548,.512875
"Missouri",2003,108.739,334.5263,717.1201,.114953,43762,36.81508,.5125853
"Missouri",2004,115.2118,343.4285,703.296,.1153853,42137,36.93492,.5119724
"Missouri",2005,124.0623,366.4287,738.2709,.1156947,42986,37.0677,.5116954
"Missouri",2006,129.8541,379.293,764.1484,.1160641,44579,37.2078,.5113323
"Missouri",2007,121.8866,347.3385,739.0768,.1161792,46005,37.33675,.5108171
"Missouri",2008,125.0084,344.3904,774.5443,.1163607,46038,37.48478,.5106145
"Missouri",2009,124.4576,334.0582,731.2971,.1166505,48769,37.64665,.510313
"Missouri",2010,102.389,321.7271,735.4072,.117079,45817,37.81541,.5101094
"Montana",2000,27.59936,177.8995,437.3777,.0030948,32777,36.93467,.5017023
"Montana",2001,25.4303,302.3994,405.7791,.0034775,32126,37.18571,.5013258
"Montana",2002,31.11761,292.5934,361.646,.0036987,34835,37.42162,.5009636
"Montana",2003,32.47528,302.6304,405.6141,.0039353,34108,37.61738,.5003273
"Montana",2004,25.1385,235.9567,379.2354,.0041537,33956,37.82851,.4999952
"Montana",2005,18.91693,228.4994,389.2398,.0041474,37313,38.02719,.4997117
"Montana",2006,17.36126,206.112,310.703,.0043109,41105,38.24509,.4989451
"Montana",2007,19.94026,235.838,316.0166,.0043454,43655,38.43351,.4985343
"Montana",2008,17.77888,207.5581,344.4141,.0043854,42900,38.59383,.4982277
"Montana",2009,22.1541,198.4638,347.286,.0044249,40437,38.80055,.4981006
"Montana",2010,15.86796,221.2419,369.3091,.0042436,41280,38.97974,.4979281
"Nebraska",2000,67.02652,231.408,592.0189,.0410189,41750,35.9812,.5070428
"Nebraska",2001,65.84035,210.8292,569.6825,.0417168,43611,36.1077,.5065646
"Nebraska",2002,78.59216,205.7044,597.3351,.042163,42796,36.20498,.5061662
"Nebraska",2003,66.80883,190.4799,579.0865,.0428006,43974,36.28311,.5057749
"Nebraska",2004,65.13226,205.7561,562.381,.0433545,43786,36.37223,.5053156
"Nebraska",2005,59.13166,192.4622,532.3555,.0439024,47923,36.49543,.50495
"Nebraska",2006,63.84551,184.1284,534.5153,.0446716,48145,36.62157,.504705
"Nebraska",2007,62.43763,206.4724,509.757,.0452177,49174,36.73741,.5047022
"Nebraska",2008,72.83709,194.3444,492.0288,.0461501,50728,36.81331,.5042446
"Nebraska",2009,67.84966,178.3906,484.2986,.0467175,49595,36.9079,.5040148
"Nebraska",2010,56.12315,183.5911,455.8842,.0471157,52504,36.99829,.5036612
"Nevada",2000,227.3481,247.3155,877.0644,.0701913,45758,35.26665,.4905607
"Nevada",2001,234.1798,302.1736,840.9486,.0717766,45403,35.43526,.4912555
"Nevada",2002,235.4737,351.0021,871.9153,.0732656,44958,35.61353,.4921191
"Nevada",2003,230.3278,336.0769,980.6109,.0745047,45184,35.78986,.4927563
"Nevada",2004,210.0848,357.5511,991.1893,.0762537,47204,35.88366,.4929568
"Nevada",2005,194.7153,361.5196,972.3759,.0783202,48209,35.89582,.4929176
"Nevada",2006,281.5836,407.8494,994.5787,.0804873,52282,35.87904,.4931279
"Nevada",2007,270.2132,430.2283,968.2769,.0821792,54058,35.91928,.4936626
"Nevada",2008,248.9455,426.8572,929.0173,.0837969,54744,36.0463,.4938899
"Nevada",2009,227.802,429.8008,832.1337,.0849491,51434,36.27357,.4945191
"Nevada",2010,196.1822,422.8767,823.0172,.0856354,51200,36.51908,.4949753
"New Hampshire",2000,36.65683,94.67659,403.9534,.0080492,50926,36.42249,.5082024
"New Hampshire",2001,35.34043,97.20604,388.2682,.008786,51331,36.58232,.5076889
"New Hampshire",2002,32.39074,92.9371,379.4343,.0092854,55321,36.78413,.5071985
"New Hampshire",2003,37.12082,77.11501,353.502,.0097614,55567,37.02606,.5067141
"New Hampshire",2004,38.47634,91.80454,382.147,.0102502,56815,37.33783,.5068091
"New Hampshire",2005,27.40584,72.29339,317.0374,.0106955,56984,37.5809,.5066893
"New Hampshire",2006,32.16987,79.39797,331.4333,.0112635,61970,37.89876,.5065565
"New Hampshire",2007,32.83104,78.04971,378.9249,.0115204,67576,38.23653,.5066413
"New Hampshire",2008,31.84353,94.6946,325.7312,.0119606,66176,38.56697,.5065529
"New Hampshire",2009,34.35064,94.2944,372.0439,.0122392,64131,38.89682,.5067046
"New Hampshire",2010,34.25828,100.4201,413.3022,.0124176,66633,39.17138,.5066402
"New Jersey",2000,161.0701,203.2124,522.013,.1440937,50405,36.72798,.5148033
"New Jersey",2001,166.3046,204.7279,551.74,.144311,51771,36.82778,.5145533
"New Jersey",2002,161.8686,192.9967,511.0182,.1444104,54568,36.92932,.5143207
"New Jersey",2003,154.7278,191.0193,503.0216,.1446136,56045,37.03155,.514098
"New Jersey",2004,150.3182,185.5871,471.67,.1448096,55275,37.14703,.513861
"New Jersey",2005,151.5842,184.4361,447.1248,.1449091,63368,37.28305,.5135874
"New Jersey",2006,153.0965,179.3787,451.977,.1450747,68059,37.46409,.5135377
"New Jersey",2007,144.4752,168.3414,431.526,.1451959,60508,37.63323,.513391
"New Jersey",2008,146.28,162.9915,465.3067,.1451961,65306,37.79237,.5131276
"New Jersey",2009,133.6627,162.1776,427.9182,.1455139,64777,37.96461,.5132149
"New Jersey",2010,134.4193,157.9296,440.5422,.145925,62968,38.12375,.5131362
"New Mexico",2000,137.3797,562.3827,1173.087,.0210053,35093,34.94249,.5082484
"New Mexico",2001,147.3365,581.9109,1068.914,.0214228,33124,35.21833,.5079391
"New Mexico",2002,118.9181,557.0712,1058.403,.0218185,35457,35.42281,.5076545
