id,earnings,height,weight,male,age
181,8.405475,168,59,0,46
182,4.415216016,157,54,0,39
183,1.608158789,175,59,0,26
184,2.336287305,178,100,0,32
185,8.405475,168,68,0,43
186,1.717126367,152,57,0,33
187,8.405475,178,68,0,47
188,4.415216016,160,62,0,30
189,1.923719531,178,61,0,28
190,8.405475,165,55,0,43
191,8.405475,157,136,0,38
192,8.405475,173,73,0,57
193,8.405475,152,48,0,46
194,4.943010938,173,86,0,47
195,8.405475,155,50,0,36
196,8.405475,168,71,0,41
197,8.405475,152,66,0,33
198,8.405475,160,54,0,32
199,4.415216016,157,48,0,33
200,8.405475,168,61,0,41
201,8.405475,163,54,0,33
202,8.405475,157,54,0,49
203,3.892533594,163,73,0,45
204,8.405475,173,77,0,34
205,8.405475,152,54,0,46
206,8.405475,160,59,0,49
207,3.892533594,152,59,0,48
208,2.856038672,155,61,0,28
209,4.415216016,168,59,0,38
210,2.030550977,168,64,0,28
211,8.405475,168,91,0,42
212,8.405475,170,75,0,39
213,4.415216016,170,64,0,51
214,8.405475,173,84,0,39
215,4.943010938,163,69,0,53
216,3.371296875,155,66,0,28
217,2.030550977,160,48,0,41
218,3.892533594,168,68,0,34
219,8.405475,150,57,0,32
220,4.943010938,163,114,0,47
221,4.415216016,165,95,0,65
222,8.405475,160,66,0,41
223,2.856038672,173,68,0,30
224,1.81688418,165,73,0,26
225,8.405475,180,100,0,29
226,8.405475,163,54,0,27
227,4.943010938,155,45,0,29
228,8.405475,163,59,0,37
229,0.7782854,150,81,0,32
230,4.943010938,178,61,0,38
231,4.943010938,163,61,0,35
232,8.405475,165,68,0,46
233,2.030550977,168,64,0,43
234,8.405475,163,50,0,34
235,8.405475,165,51,0,37
236,3.892533594,170,77,0,47
237,8.405475,157,50,0,46
238,8.405475,168,61,0,49
239,3.371296875,152,61,0,27
240,4.943010938,163,57,0,38
241,3.371296875,170,64,0,48
242,4.943010938,160,57,0,41
243,8.405475,150,43,0,25
244,3.371296875,170,91,0,42
245,8.405475,168,61,0,44
246,3.371296875,168,136,0,59
247,8.405475,173,68,0,35
248,2.336287305,157,82,0,55
249,4.943010938,160,59,0,34
250,8.405475,165,57,0,27
251,2.336287305,157,52,0,49
252,2.856038672,157,66,0,59
253,3.371296875,165,73,0,39
254,1.195345508,170,75,0,54
255,8.405475,163,59,0,50
256,4.415216016,163,54,0,37
257,3.892533594,173,100,0,34
258,8.405475,150,54,0,44
259,8.405475,170,227,0,27
260,2.856038672,157,52,0,36
261,4.943010938,160,54,0,31
262,1.295476563,160,82,0,44
263,8.405475,165,52,0,29
264,8.405475,178,68,0,43
265,2.856038672,155,55,0,29
266,8.405475,163,63,0,37
267,8.405475,175,54,0,26
268,8.405475,160,82,0,46
269,8.405475,165,68,0,54
270,8.405475,173,61,0,30
271,3.371296875,160,57,0,26
272,2.336287305,160,68,0,50
273,3.371296875,170,66,0,41
274,8.405475,155,75,0,48
275,1.295476563,163,59,0,25
276,8.405475,155,45,0,35
277,8.405475,163,51,0,36
278,8.405475,163,227,0,49
279,8.405475,163,68,0,56
280,3.892533594,173,59,0,37
281,3.371296875,152,52,0,44
282,8.405475,165,63,0,46
283,8.405475,173,64,0,45
284,3.892533594,168,64,0,48
285,8.405475,152,82,0,46
286,8.405475,163,64,0,53
287,8.405475,160,52,0,43
288,4.943010938,155,77,0,31
289,3.892533594,173,58,0,27
290,3.371296875,170,100,0,54
291,8.405475,168,84,0,30
292,8.405475,175,82,0,42
293,8.405475,170,114,0,43
294,4.943010938,163,131,0,55
295,3.371296875,157,73,0,25
296,8.405475,157,57,0,49
297,8.405475,175,75,0,39
298,4.943010938,165,66,0,40
299,8.405475,170,64,0,41
300,3.371296875,155,58,0,33
301,2.856038672,170,94,0,28
302,2.856038672,160,52,0,54
303,2.856038672,160,68,0,31
304,8.405475,163,50,0,52
305,4.943010938,170,73,0,40
306,2.856038672,173,91,0,34
307,8.405475,170,68,0,38
308,3.371296875,165,64,0,33
309,3.371296875,170,54,0,32
310,4.415216016,168,69,0,42
311,2.336287305,165,77,0,37
312,8.405475,168,77,0,46
313,2.336287305,173,59,0,26
314,1.81688418,157,57,0,32
315,4.415216016,178,68,0,37
316,2.336287305,163,64,0,41
317,0.7782854,155,48,0,27
318,2.856038672,170,59,0,25
319,8.405475,163,79,0,56
320,8.405475,175,68,0,50
321,2.336287305,165,67,0,54
322,3.371296875,173,63,0,29
323,4.415216016,170,75,0,30
324,8.405475,175,77,0,38
325,3.892533594,170,105,0,34
326,3.892533594,155,62,0,42
327,0.882665137,152,55,0,33
328,8.405475,152,59,0,51
329,8.405475,163,68,0,33
330,8.405475,170,57,0,32
331,3.892533594,173,66,0,57
332,8.405475,157,84,0,39
333,8.405475,163,70,0,51
334,8.405475,160,78,0,39
335,4.415216016,157,51,0,30
336,8.405475,165,63,0,33
337,4.943010938,152,58,0,45
338,1.508197559,170,68,0,38
339,8.405475,163,73,0,48
340,8.405475,168,63,0,45
341,1.923719531,168,57,0,54
342,1.81688418,168,70,0,27
343,3.892533594,150,75,0,44
344,8.405475,163,73,0,56
345,2.856038672,163,79,0,44
346,2.336287305,168,54,0,36
347,8.405475,165,59,0,35
348,2.336287305,160,68,0,35
349,8.405475,165,54,0,56
350,3.371296875,163,109,0,30
351,2.030550977,160,73,0,36
352,2.336287305,152,67,0,42
353,8.405475,152,43,0,29
354,4.415216016,160,64,0,54
355,8.405475,170,59,0,47
356,4.415216016,160,58,0,42
357,8.405475,160,61,0,46
358,8.405475,160,70,0,58
359,4.415216016,173,76,0,52
360,8.405475,168,82,0,54
361,2.856038672,152,59,0,36
362,2.856038672,170,61,0,30
363,0.985750586,165,82,0,28
364,4.415216016,160,89,0,30
365,2.856038672,165,82,0,49
366,1.508197559,160,68,0,36
367,3.892533594,163,82,0,30
368,2.336287305,157,50,0,34
369,3.892533594,168,79,0,42
370,4.415216016,160,73,0,40
371,8.405475,155,61,0,46
372,4.943010938,175,57,0,32
373,3.371296875,168,64,0,47
374,8.405475,165,59,0,29
375,4.415216016,170,95,0,51
376,3.892533594,178,86,0,44
377,0.882665137,160,102,0,41
378,8.405475,175,61,0,38
379,4.415216016,178,63,0,42
380,4.415216016,160,54,0,36
381,8.405475,163,66,0,38
382,3.892533594,173,68,0,30
383,3.371296875,157,56,0,55
384,1.923719531,157,64,0,25
385,8.405475,160,54,0,36
386,1.295476563,160,58,0,34
387,3.892533594,163,75,0,60
388,8.405475,163,57,0,26
389,4.415216016,168,67,0,33
390,8.405475,173,61,0,27
391,4.415216016,173,82,0,31
392,1.717126367,157,61,0,54
393,2.856038672,163,86,0,40
394,8.405475,157,70,0,44
395,2.336287305,168,61,0,58
396,4.943010938,168,56,0,28
397,4.415216016,155,57,0,36
398,4.415216016,170,91,0,32
399,8.405475,165,59,0,33
400,8.405475,163,70,0,32
401,1.923719531,165,98,0,48
402,8.405475,173,70,0,36
403,8.405475,170,69,0,49
404,4.415216016,155,63,0,39
405,8.405475,165,66,0,47
406,8.405475,157,59,0,32
407,2.336287305,155,50,0,39
408,4.415216016,168,86,0,62
409,2.336287305,173,89,0,25
410,3.371296875,170,70,0,27
411,8.405475,157,59,0,51
412,2.856038672,163,82,0,62
413,8.405475,155,50,0,39
414,8.405475,170,68,0,42
415,8.405475,160,45,0,29
416,8.405475,157,57,0,38
417,8.405475,160,58,0,37
418,8.405475,155,58,0,32
419,2.030550977,155,52,0,41
420,2.856038672,155,63,0,39
421,4.415216016,168,58,0,35
422,8.405475,157,66,0,31
423,8.405475,175,75,0,60
424,8.405475,157,57,0,41
425,8.405475,157,66,0,57
426,4.943010938,168,52,0,25
427,8.405475,170,61,0,35
428,3.892533594,165,61,0,49
429,2.030550977,168,61,0,49
430,2.336287305,168,54,0,36
431,2.030550977,165,114,0,31
432,3.371296875,165,62,0,48
433,8.405475,168,61,0,42
434,8.405475,155,74,0,44
435,3.892533594,152,52,0,27
436,8.405475,170,66,0,37
437,1.81688418,170,57,0,25
438,3.892533594,170,89,0,41
439,4.415216016,168,57,0,44
440,4.415216016,160,70,0,38
441,8.405475,173,91,0,58
442,2.336287305,163,54,0,46
443,4.415216016,165,58,0,56
444,8.405475,155,48,0,26
445,8.405475,168,70,0,52
446,8.405475,160,66,0,60
447,2.856038672,165,64,0,55
448,4.415216016,168,71,0,46
449,4.415216016,163,89,0,40
450,1.608158789,175,95,0,37
451,4.943010938,152,52,0,59
452,2.336287305,152,52,0,28
453,8.405475,157,66,0,56
454,8.405475,168,68,0,35
455,8.405475,175,60,0,28
456,3.371296875,170,59,0,35
457,3.892533594,173,69,0,49
458,8.405475,160,58,0,34
459,8.405475,160,57,0,59
460,3.892533594,168,66,0,35
461,8.405475,152,57,0,47
462,3.371296875,168,64,0,38
463,8.405475,178,91,0,37
464,8.405475,168,66,0,41
465,8.405475,163,59,0,36
466,3.371296875,157,59,0,46
467,8.405475,170,59,0,26
468,4.943010938,160,73,0,35
469,8.405475,163,68,0,50
470,8.405475,160,54,0,38
471,8.405475,168,79,0,57
472,8.405475,168,64,0,44
473,8.405475,160,67,0,55
474,2.336287305,165,64,0,44
475,4.415216016,160,84,0,37
476,3.892533594,152,54,0,58
477,4.943010938,165,71,0,48
478,3.371296875,168,77,0,25
479,2.856038672,170,74,0,54
480,1.508197559,157,227,0,40
481,4.415216016,155,61,0,31
482,4.943010938,168,75,0,33
483,3.892533594,165,59,0,46
484,4.415216016,157,54,0,42
485,8.405475,150,45,0,36
486,8.405475,160,90,0,48
487,8.405475,163,59,0,45
488,4.943010938,163,57,0,31
489,2.336287305,173,52,0,32
490,8.405475,163,50,0,26
491,8.405475,170,64,0,30
492,2.336287305,173,55,0,50
493,8.405475,152,45,0,34
494,4.415216016,160,51,0,39
495,3.371296875,170,59,0,47
496,2.336287305,168,64,0,39
497,8.405475,173,64,0,26
498,3.371296875,170,61,0,53
499,8.405475,163,64,0,46
500,8.405475,152,50,0,48
501,2.336287305,155,54,0,44
502,2.856038672,168,100,0,45
503,8.405475,165,57,0,43
504,2.336287305,165,70,0,62
505,8.405475,157,66,0,62
506,4.415216016,165,51,0,49
507,2.336287305,165,54,0,51
508,4.415216016,175,102,0,50
509,8.405475,168,64,0,51
510,4.415216016,163,59,0,36
511,2.336287305,155,54,0,32
512,4.943010938,163,91,0,53
513,8.405475,170,54,0,35
514,4.943010938,170,57,0,44
515,8.405475,163,86,0,38
516,2.336287305,170,79,0,43
517,2.336287305,165,50,0,30
518,2.336287305,160,77,0,57
519,8.405475,163,59,0,46
520,8.405475,160,79,0,47
521,8.405475,157,54,0,42
522,2.856038672,170,52,0,25
523,8.405475,170,59,0,37
524,4.943010938,180,64,0,32
525,8.405475,168,86,0,60
526,8.405475,178,64,0,28
527,8.405475,170,73,0,40
528,8.405475,173,70,0,49
529,2.336287305,163,52,0,61
530,8.405475,160,59,0,27
531,4.943010938,163,59,0,35
532,8.405475,165,68,0,33
533,8.405475,170,64,0,33
534,8.405475,160,75,0,38
535,3.371296875,157,75,0,46
536,4.943010938,173,64,0,26
537,3.371296875,160,54,0,59
538,2.336287305,163,59,0,32
539,2.856038672,183,102,0,32
540,2.336287305,173,73,0,44
541,8.405475,152,61,0,62
542,8.405475,173,57,0,32
543,3.892533594,178,66,0,26
544,1.402139453,168,60,0,50
545,8.405475,165,57,0,33
546,2.856038672,152,73,0,31
547,3.371296875,157,68,0,47
548,3.371296875,163,54,0,48
549,8.405475,163,104,0,34
550,3.371296875,165,61,0,26
551,2.336287305,170,68,0,60
552,4.415216016,157,57,0,32
553,4.415216016,165,72,0,25
554,8.405475,152,227,0,48
555,3.892533594,163,64,0,30
556,8.405475,168,66,0,27
557,8.405475,157,68,0,33
558,8.405475,155,52,0,25
559,8.405475,160,227,0,37
560,8.405475,165,59,0,40
561,8.405475,165,227,0,44
562,2.030550977,168,116,0,42
563,8.405475,165,68,0,39
564,4.943010938,163,50,0,50
565,8.405475,160,53,0,47
566,8.405475,155,48,0,26
567,3.371296875,173,64,0,37
568,3.892533594,178,73,0,40
569,8.405475,160,52,0,45
570,2.336287305,170,59,0,39
571,8.405475,165,64,0,28
572,3.892533594,165,59,0,25
573,1.608158789,173,91,0,53
574,8.405475,165,54,0,35
575,1.608158789,168,64,0,48
576,8.405475,155,66,0,53
577,8.405475,157,73,0,37
578,4.943010938,155,79,0,46
579,8.405475,160,64,0,30
580,8.405475,168,53,0,35
581,8.405475,168,64,0,39
582,8.405475,163,59,0,37
583,4.943010938,165,54,0,28
584,2.030550977,170,54,0,36
585,2.336287305,170,48,0,30
586,4.943010938,173,84,0,58
587,8.405475,165,64,0,41
588,4.415216016,165,86,0,32
589,8.405475,152,114,0,47
590,4.415216016,165,52,0,28
591,2.856038672,168,95,0,29
592,0.985750586,157,63,0,34
593,2.336287305,163,50,0,27
594,8.405475,160,62,0,58
595,2.856038672,165,114,0,47
596,2.856038672,163,50,0,34
597,8.405475,163,75,0,25
598,8.405475,168,79,0,61
599,2.336287305,155,50,0,27
600,2.336287305,163,66,0,45
601,1.402139453,160,73,0,52
602,8.405475,160,61,0,42
603,8.405475,160,57,0,59
604,3.892533594,157,70,0,46
605,8.405475,160,64,0,45
606,8.405475,160,66,0,49
607,1.508197559,168,68,0,26
608,3.892533594,160,54,0,31
609,8.405475,163,82,0,47
610,2.030550977,175,61,0,27
611,3.892533594,163,57,0,38
612,3.892533594,175,70,0,29
613,8.405475,163,104,0,44
614,8.405475,163,53,0,28
615,8.405475,173,75,0,34
616,3.892533594,157,61,0,52
617,3.371296875,163,61,0,55
618,8.405475,168,76,0,54
619,8.405475,157,64,0,29
620,8.405475,157,58,0,34
621,8.405475,165,57,0,25
622,8.405475,165,109,0,36
623,4.943010938,155,64,0,52
624,8.405475,163,57,0,46
625,2.030550977,165,51,0,28
626,8.405475,165,68,0,41
627,8.405475,157,79,0,29
628,4.943010938,160,50,0,38
629,8.405475,160,73,0,40
630,4.415216016,168,73,0,60
631,2.336287305,163,62,0,25
632,8.405475,163,59,0,43
633,8.405475,157,68,0,47
634,8.405475,168,55,0,45
635,8.405475,173,60,0,49
636,2.856038672,155,64,0,48
637,8.405475,160,73,0,50
638,4.943010938,163,52,0,26
639,3.371296875,168,61,0,38
640,8.405475,168,91,0,49
641,4.415216016,175,64,0,35
642,4.415216016,168,227,0,48
643,8.405475,163,227,0,36
644,8.405475,168,72,0,46
645,8.405475,170,68,0,41
646,8.405475,178,70,0,42
647,3.371296875,170,61,0,25
648,8.405475,173,73,0,53
649,3.892533594,160,84,0,31
650,8.405475,165,54,0,46
651,8.405475,165,82,0,60
652,8.405475,163,54,0,26
653,4.943010938,170,64,0,25
654,2.336287305,173,64,0,29
655,3.371296875,163,68,0,30
656,1.608158789,152,51,0,27
657,2.856038672,165,52,0,41
658,8.405475,165,54,0,53
659,8.405475,157,57,0,37
660,8.405475,160,75,0,50
661,8.405475,168,82,0,33
662,4.415216016,165,64,0,49
663,8.405475,173,80,0,32
664,8.405475,170,66,0,25
665,8.405475,183,70,0,34
666,8.405475,165,52,0,54
667,2.856038672,163,57,0,27
668,8.405475,163,68,0,62
669,4.943010938,152,67,0,31
670,8.405475,168,57,0,29
671,3.371296875,160,73,0,40
672,1.608158789,163,68,0,44
673,8.405475,173,57,0,28
674,8.405475,155,61,0,27
675,2.856038672,168,79,0,49
676,4.415216016,170,79,0,58
677,4.415216016,160,66,0,50
678,8.405475,160,59,0,31
679,1.608158789,165,59,0,25
680,8.405475,163,50,0,36
681,8.405475,157,57,0,31
682,3.892533594,157,54,0,31
683,4.415216016,173,66,0,38
684,4.943010938,173,64,0,43
685,3.892533594,163,50,0,30
686,1.086542871,155,52,0,30
687,8.405475,155,54,0,39
688,3.371296875,163,55,0,40
689,4.943010938,147,82,0,29
690,4.415216016,160,47,0,28
691,2.336287305,163,54,0,38
692,8.405475,168,67,0,55
693,4.415216016,165,59,0,32
694,2.856038672,170,57,0,43
695,8.405475,173,54,0,48
696,2.336287305,157,97,0,37
697,8.405475,163,60,0,44
698,8.405475,173,73,0,47
699,8.405475,168,73,0,57
700,8.405475,170,86,0,49
701,3.371296875,157,50,0,26
702,8.405475,170,64,0,46
703,8.405475,168,104,0,51
704,8.405475,170,75,0,32
705,2.856038672,155,54,0,37
706,8.405475,175,72,0,40
707,8.405475,163,64,0,43
708,8.405475,173,57,0,39
709,8.405475,168,65,0,29
710,2.336287305,160,64,0,36
711,8.405475,173,67,0,36
712,3.892533594,170,63,0,41
713,4.943010938,168,67,0,28
714,3.371296875,157,45,0,44
715,8.405475,157,75,0,30
716,3.892533594,165,64,0,37
717,1.508197559,168,82,0,44
718,4.415216016,157,77,0,61
719,8.405475,168,66,0,47
720,4.943010938,168,61,0,35
721,8.405475,163,95,0,35
722,3.892533594,160,64,0,28
723,8.405475,168,59,0,40
724,8.405475,155,50,0,33
725,3.892533594,168,227,0,48
726,2.336287305,160,84,0,32
727,8.405475,157,59,0,42
728,3.371296875,175,68,0,52
729,8.405475,173,67,0,44
730,8.405475,163,82,0,47
731,8.405475,157,73,0,39
732,8.405475,165,59,0,44
733,4.415216016,160,66,0,39
734,2.856038672,170,57,0,34
735,3.892533594,163,64,0,43
736,8.405475,173,68,0,37
737,3.892533594,160,68,0,37
738,4.415216016,168,84,0,44
739,4.415216016,160,52,0,48
740,8.405475,165,52,0,37
741,2.336287305,173,74,0,37
742,8.405475,163,77,0,34
743,8.405475,163,84,0,52
744,8.405475,170,58,0,36
745,8.405475,173,61,0,35
746,8.405475,163,52,0,30
747,3.892533594,173,70,0,31
748,8.405475,170,86,0,37
749,8.405475,157,79,0,44
750,8.405475,157,48,0,30
751,8.405475,168,79,0,34
752,3.892533594,152,50,0,34
753,8.405475,160,64,0,52
754,4.415216016,168,68,0,60
755,8.405475,150,54,0,43
756,2.030550977,180,66,0,29
757,2.856038672,163,61,0,46
758,8.405475,157,54,0,34
759,8.405475,165,59,0,36
760,2.030550977,170,70,0,43
761,8.405475,168,66,0,42
762,3.371296875,178,75,0,36
763,4.415216016,163,61,0,25
764,8.405475,173,62,0,36
765,8.405475,168,72,0,39
766,1.81688418,165,66,0,62
767,8.405475,160,64,0,36
768,3.371296875,168,57,0,47
769,4.943010938,157,51,0,50
770,8.405475,160,52,0,40
771,4.943010938,163,59,0,47
772,1.086542871,165,54,0,59
773,8.405475,168,53,0,46
774,4.943010938,168,84,0,50
775,3.371296875,155,81,0,60
776,2.336287305,173,68,0,25
777,4.943010938,160,52,0,31
778,3.371296875,157,120,0,45
779,0.472639111,155,66,0,57
780,8.405475,160,64,0,57
781,4.415216016,157,73,0,39
782,8.405475,165,81,0,46
783,8.405475,160,52,0,46
784,4.415216016,175,58,0,36
785,8.405475,160,57,0,43
786,3.892533594,170,61,0,52
787,8.405475,175,79,0,45
788,8.405475,160,61,0,37
789,1.81688418,160,48,0,26
790,4.943010938,170,59,0,26
791,3.892533594,170,68,0,29
792,3.892533594,165,57,0,33
793,8.405475,163,58,0,27
794,8.405475,170,70,0,46
795,8.405475,170,64,0,41
796,8.405475,163,64,0,43
797,8.405475,160,82,0,55
798,8.405475,157,61,0,52
799,3.892533594,170,77,0,52
800,4.943010938,157,59,0,42
801,4.415216016,163,54,0,46
802,8.405475,168,59,0,49
803,2.856038672,168,73,0,37
804,8.405475,157,61,0,41
805,8.405475,165,68,0,51
806,1.608158789,155,64,0,27
807,8.405475,157,68,0,56
808,8.405475,152,57,0,60
809,4.415216016,152,77,0,37
810,4.943010938,163,56,0,56
811,1.608158789,163,75,0,55
812,3.892533594,178,68,0,26
813,2.336287305,168,91,0,34
814,8.405475,168,82,0,42
815,2.856038672,170,56,0,59
816,8.405475,175,75,0,46
817,4.943010938,155,52,0,52
818,8.405475,165,75,0,36
819,8.405475,157,64,0,37
820,4.943010938,160,227,0,43
821,3.892533594,173,64,0,49
822,4.415216016,170,81,0,34
823,8.405475,165,58,0,51
824,4.415216016,157,45,0,39
825,0.985750586,157,88,0,30
826,2.856038672,157,51,0,34
827,3.892533594,178,70,0,30
828,3.892533594,168,64,0,61
829,2.336287305,168,59,0,48
830,8.405475,168,61,0,41
831,8.405475,168,61,0,39
832,4.415216016,168,91,0,39
833,8.405475,178,59,0,46
834,4.415216016,168,50,0,28
835,4.415216016,152,82,0,48
836,8.405475,163,64,0,58
837,2.336287305,173,54,0,29
838,2.336287305,175,64,0,34
839,8.405475,165,79,0,39
840,8.405475,155,59,0,26
841,2.856038672,155,64,0,57
842,8.405475,168,58,0,29
843,3.371296875,160,47,0,59
844,2.030550977,168,55,0,33
845,8.405475,163,75,0,39
846,8.405475,168,77,0,48
847,4.943010938,165,64,0,55
848,8.405475,165,79,0,35
849,8.405475,180,91,0,41
850,8.405475,160,50,0,37
851,8.405475,152,60,0,46
852,8.405475,163,61,0,38
853,3.371296875,173,68,0,53
854,8.405475,165,64,0,45
855,8.405475,165,73,0,43
856,4.943010938,170,68,0,53
857,4.415216016,170,54,0,54
858,4.943010938,165,57,0,35
859,4.943010938,163,66,0,32
860,3.371296875,163,59,0,27
861,8.405475,160,84,0,28
862,8.405475,163,68,0,36
863,4.943010938,170,59,0,48
864,4.943010938,163,54,0,47
865,3.892533594,168,79,0,32
866,8.405475,165,68,0,41
867,8.405475,163,54,0,38
868,8.405475,170,86,0,50
869,8.405475,163,68,0,47
870,8.405475,157,76,0,46
871,8.405475,157,68,0,33
872,3.892533594,160,79,0,47
873,4.415216016,157,62,0,38
874,8.405475,152,89,0,44
875,3.371296875,168,59,0,25
876,8.405475,175,57,0,49
877,8.405475,160,91,0,39
878,8.405475,173,61,0,41
879,8.405475,160,61,0,41
880,8.405475,163,71,0,41
881,8.405475,170,58,0,29
882,8.405475,168,59,0,34
883,8.405475,160,57,0,42
884,8.405475,170,70,0,45
885,8.405475,157,64,0,43
886,8.405475,175,66,0,38
887,8.405475,173,64,0,51
888,4.415216016,170,91,0,36
889,8.405475,170,107,0,63
890,4.415216016,168,77,0,50
891,8.405475,168,54,0,33
892,4.943010938,168,61,0,33
893,8.405475,165,91,0,45
894,3.892533594,163,77,0,33
895,3.892533594,163,59,0,30
896,8.405475,152,62,0,47
897,8.405475,168,66,0,36
898,2.856038672,157,54,0,44
899,3.371296875,160,84,0,35
