OrderID,OrderDate,CustomerID,ProductID,Quantity,TotalAmount,PaymentMethod
ORD1065,2022-01-24 17:35:23.507835945,CUST162,PROD242,3,58.07,Debit Card
ORD1066,2022-01-25 02:21:10.023341113,CUST199,PROD211,4,284.68,PayPal
ORD1067,2022-01-25 11:06:56.538846282,CUST120,PROD231,2,387.3,Debit Card
ORD1068,2022-01-25 19:52:43.054351450,CUST192,PROD209,3,247.14,Credit Card
ORD1069,2022-01-26 04:38:29.569856619,CUST152,PROD221,4,299.72,PayPal
ORD1070,2022-01-26 13:24:16.085361787,CUST130,PROD232,2,293.93,Debit Card
ORD1071,2022-01-26 22:10:02.600866955,CUST133,PROD242,2,316.57,Credit Card
ORD1072,2022-01-27 06:55:49.116372124,CUST116,PROD225,1,306.44,Debit Card
ORD1073,2022-01-27 15:41:35.631877292,CUST144,PROD229,1,418.56,PayPal
ORD1074,2022-01-28 00:27:22.147382461,CUST132,PROD224,1,101.85,Debit Card
ORD1075,2022-01-28 09:13:08.662887629,CUST177,PROD229,1,386.97,Credit Card
ORD1076,2022-01-28 17:58:55.178392797,CUST116,PROD206,4,46.31,PayPal
ORD1077,2022-01-29 02:44:41.693897966,CUST162,PROD229,2,356.41,Debit Card
ORD1078,2022-01-29 11:30:28.209403134,CUST189,PROD225,4,91.25,Credit Card
ORD1079,2022-01-29 20:16:14.724908303,CUST146,PROD230,3,399.76,Debit Card
ORD1080,2022-01-30 05:02:01.240413471,CUST163,PROD236,3,440.54,PayPal
ORD1081,2022-01-30 13:47:47.755918639,CUST158,PROD223,4,314.6,Debit Card
ORD1082,2022-01-30 22:33:34.271423808,CUST112,PROD215,1,154.76,PayPal
ORD1083,2022-01-31 07:19:20.786928976,CUST142,PROD213,2,32.05,Credit Card
ORD1084,2022-01-31 16:05:07.302434145,CUST146,PROD201,4,483.08,Debit Card
ORD1085,2022-02-01 00:50:53.817939313,CUST190,PROD247,4,105.08,Credit Card
ORD1086,2022-02-01 09:36:40.333444481,CUST197,PROD223,3,303.4,PayPal
ORD1087,2022-02-01 18:22:26.848949650,CUST171,PROD216,2,435.23,Debit Card
ORD1088,2022-02-02 03:08:13.364454818,CUST106,PROD240,4,370.55,Credit Card
ORD1089,2022-02-02 11:53:59.879959987,CUST169,PROD232,2,56.36,Debit Card
ORD1090,2022-02-02 20:39:46.395465155,CUST100,PROD240,4,129.54,PayPal
ORD1091,2022-02-03 05:25:32.910970323,CUST128,PROD206,1,22.53,Debit Card
ORD1092,2022-02-03 14:11:19.426475492,CUST140,PROD248,3,55.77,Credit Card
ORD1093,2022-02-03 22:57:05.941980660,CUST160,PROD244,2,288.84,Debit Card
ORD1094,2022-02-04 07:42:52.457485828,CUST129,PROD247,1,188.13,Debit Card
ORD1095,2022-02-04 16:28:38.972990997,CUST115,PROD238,3,497.41,Credit Card
ORD1096,2022-02-05 01:14:25.488496165,CUST176,PROD239,3,245.97,PayPal
ORD1097,2022-02-05 10:00:12.004001334,CUST173,PROD200,2,309.9,Credit Card
ORD1098,2022-02-05 18:45:58.519506502,CUST198,PROD211,4,410.83,Debit Card
ORD1099,2022-02-06 03:31:45.035011670,CUST193,PROD220,4,109.49,Credit Card
ORD1100,2022-02-06 12:17:31.550516839,CUST161,PROD215,4,420.73,PayPal
ORD1101,2022-02-06 21:03:18.066022007,CUST191,PROD223,1,462.92,Debit Card
ORD1102,2022-02-07 05:49:04.581527176,CUST155,PROD227,3,472.72,Credit Card
ORD1103,2022-02-07 14:34:51.097032344,CUST182,PROD210,1,289.96,Credit Card
ORD1104,2022-02-07 23:20:37.612537512,CUST164,PROD244,3,460.79,PayPal
ORD1105,2022-02-08 08:06:24.128042681,CUST132,PROD245,4,371.8,PayPal
ORD1106,2022-02-08 16:52:10.643547849,CUST150,PROD201,3,166.73,Debit Card
ORD1107,2022-02-09 01:37:57.159053018,CUST173,PROD248,4,304.2,Credit Card
ORD1108,2022-02-09 10:23:43.674558186,CUST126,PROD249,3,35.94,PayPal
ORD1109,2022-02-09 19:09:30.190063354,CUST108,PROD235,1,45.3,Debit Card
ORD1110,2022-02-10 03:55:16.705568523,CUST113,PROD232,3,188.48,PayPal
ORD1111,2022-02-10 12:41:03.221073691,CUST166,PROD241,2,353.14,Credit Card
ORD1112,2022-02-10 21:26:49.736578860,CUST115,PROD246,4,107.26,Credit Card
ORD1113,2022-02-11 06:12:36.252084028,CUST146,PROD206,3,255.15,Debit Card
ORD1114,2022-02-11 14:58:22.767589196,CUST111,PROD250,2,324.64,Credit Card
ORD1115,2022-02-11 23:44:09.283094365,CUST192,PROD200,4,71.74,Credit Card
ORD1116,2022-02-12 08:29:55.798599533,CUST102,PROD213,2,222.62,Debit Card
ORD1117,2022-02-12 17:15:42.314104701,CUST153,PROD207,4,144.95,PayPal
ORD1118,2022-02-13 02:01:28.829609870,CUST121,PROD214,2,295.56,Credit Card
ORD1119,2022-02-13 10:47:15.345115038,CUST117,PROD211,1,225.79,Debit Card
ORD1120,2022-02-13 19:33:01.860620207,CUST126,PROD225,3,370.13,Credit Card
ORD1121,2022-02-14 04:18:48.376125375,CUST163,PROD238,1,271.07,Credit Card
ORD1122,2022-02-14 13:04:34.891630543,CUST110,PROD202,3,336.56,PayPal
ORD1123,2022-02-14 21:50:21.407135712,CUST182,PROD239,3,467.37,Credit Card
ORD1124,2022-02-15 06:36:07.922640880,CUST131,PROD229,4,123.92,PayPal
ORD1125,2022-02-15 15:21:54.438146049,CUST159,PROD245,2,106.92,Credit Card
ORD1126,2022-02-16 00:07:40.953651217,CUST103,PROD242,3,40.07,Debit Card
ORD1127,2022-02-16 08:53:27.469156385,CUST162,PROD247,2,48.88,Credit Card
ORD1128,2022-02-16 17:39:13.984661554,CUST195,PROD225,3,44.3,PayPal
ORD1129,2022-02-17 02:25:00.500166722,CUST142,PROD243,2,69.43,Credit Card
ORD1130,2022-02-17 11:10:47.015671891,CUST138,PROD209,1,56.19,Credit Card
ORD1131,2022-02-17 19:56:33.531177059,CUST153,PROD217,1,474.86,Credit Card
ORD1132,2022-02-18 04:42:20.046682227,CUST101,PROD248,1,187.17,PayPal
ORD1133,2022-02-18 13:28:06.562187396,CUST176,PROD234,3,101.59,Debit Card
ORD1134,2022-02-18 22:13:53.077692564,CUST171,PROD205,3,219.96,Credit Card
ORD1135,2022-02-19 06:59:39.593197732,CUST126,PROD205,2,96.39,PayPal
ORD1136,2022-02-19 15:45:26.108702901,CUST165,PROD203,2,499.68,Credit Card
ORD1137,2022-02-20 00:31:12.624208069,CUST116,PROD211,4,152.68,Debit Card
ORD1138,2022-02-20 09:16:59.139713238,CUST179,PROD210,4,398.32,Debit Card
ORD1139,2022-02-20 18:02:45.655218406,CUST137,PROD229,1,250.45,Debit Card
ORD1140,2022-02-21 02:48:32.170723574,CUST121,PROD233,4,323.14,PayPal
ORD1141,2022-02-21 11:34:18.686228743,CUST180,PROD220,3,396.57,PayPal
ORD1142,2022-02-21 20:20:05.201733911,CUST146,PROD223,3,398.94,Debit Card
ORD1143,2022-02-22 05:05:51.717239080,CUST136,PROD234,2,284.02,Debit Card
ORD1144,2022-02-22 13:51:38.232744248,CUST117,PROD203,2,447.52,Credit Card
ORD1145,2022-02-22 22:37:24.748249417,CUST119,PROD224,3,152.15,Credit Card
ORD1146,2022-02-23 07:23:11.263754585,CUST111,PROD237,1,94.17,Credit Card
ORD1147,2022-02-23 16:08:57.779259753,CUST108,PROD212,3,292.95,Debit Card
ORD1148,2022-02-24 00:54:44.294764922,CUST187,PROD216,3,228.27,Debit Card
ORD1149,2022-02-24 09:40:30.810270090,CUST151,PROD225,3,81.15,Debit Card
ORD1150,2022-02-24 18:26:17.325775259,CUST134,PROD210,1,271.44,PayPal
ORD1151,2022-02-25 03:12:03.841280427,CUST166,PROD232,3,170.04,Debit Card
ORD1152,2022-02-25 11:57:50.356785595,CUST108,PROD215,3,337.14,Credit Card
ORD1153,2022-02-25 20:43:36.872290764,CUST195,PROD235,4,297.85,Debit Card
ORD1154,2022-02-26 05:29:23.387795932,CUST114,PROD248,1,373.89,Debit Card
ORD1155,2022-02-26 14:15:09.903301101,CUST153,PROD222,2,34.13,PayPal
ORD1156,2022-02-26 23:00:56.418806269,CUST126,PROD229,2,96.25,PayPal
ORD1157,2022-02-27 07:46:42.934311437,CUST131,PROD204,2,204.87,PayPal
ORD1158,2022-02-27 16:32:29.449816606,CUST183,PROD234,3,479.78,Credit Card
ORD1159,2022-02-28 01:18:15.965321774,CUST131,PROD211,3,407.43,Credit Card
ORD1160,2022-02-28 10:04:02.480826942,CUST143,PROD211,3,184.72,Debit Card
ORD1161,2022-02-28 18:49:48.996332111,CUST197,PROD224,2,342.25,Credit Card
ORD1162,2022-03-01 03:35:35.511837279,CUST175,PROD223,4,35.96,PayPal
ORD1163,2022-03-01 12:21:22.027342448,CUST130,PROD229,1,337.05,Debit Card
ORD1164,2022-03-01 21:07:08.542847616,CUST103,PROD231,3,455.07,Debit Card
ORD1165,2022-03-02 05:52:55.058352784,CUST181,PROD207,2,212.23,Credit Card
ORD1166,2022-03-02 14:38:41.573857953,CUST154,PROD200,4,113.29,Debit Card
ORD1167,2022-03-02 23:24:28.089363121,CUST177,PROD235,2,339.7,Debit Card
ORD1168,2022-03-03 08:10:14.604868290,CUST197,PROD239,2,267.31,Debit Card
ORD1169,2022-03-03 16:56:01.120373458,CUST177,PROD246,4,74.34,PayPal
ORD1170,2022-03-04 01:41:47.635878626,CUST148,PROD211,1,208.17,Debit Card
ORD1171,2022-03-04 10:27:34.151383795,CUST169,PROD243,2,245.81,Credit Card
ORD1172,2022-03-04 19:13:20.666888963,CUST140,PROD225,3,115.59,PayPal
ORD1173,2022-03-05 03:59:07.182394132,CUST105,PROD250,2,105.33,Debit Card
ORD1174,2022-03-05 12:44:53.697899300,CUST119,PROD227,4,439.27,Credit Card
ORD1175,2022-03-05 21:30:40.213404468,CUST163,PROD242,3,215.88,Debit Card
ORD1176,2022-03-06 06:16:26.728909637,CUST143,PROD212,3,138.17,Credit Card
ORD1177,2022-03-06 15:02:13.244414805,CUST177,PROD234,3,218.04,Debit Card
ORD1178,2022-03-06 23:47:59.759919974,CUST166,PROD236,1,158.32,Credit Card
ORD1179,2022-03-07 08:33:46.275425142,CUST100,PROD225,2,95.59,PayPal
ORD1180,2022-03-07 17:19:32.790930310,CUST159,PROD209,2,32.22,PayPal
ORD1181,2022-03-08 02:05:19.306435479,CUST161,PROD224,2,151.94,Credit Card
ORD1182,2022-03-08 10:51:05.821940647,CUST171,PROD226,2,66.18,Credit Card
ORD1183,2022-03-08 19:36:52.337445815,CUST108,PROD225,2,411.47,PayPal
ORD1184,2022-03-09 04:22:38.852950984,CUST147,PROD244,3,433.82,Debit Card
ORD1185,2022-03-09 13:08:25.368456152,CUST147,PROD234,1,64.59,Debit Card
ORD1186,2022-03-09 21:54:11.883961321,CUST171,PROD230,1,175.08,Debit Card
ORD1187,2022-03-10 06:39:58.399466489,CUST170,PROD200,2,23.01,Credit Card
ORD1188,2022-03-10 15:25:44.914971657,CUST144,PROD220,2,386.53,Credit Card
ORD1189,2022-03-11 00:11:31.430476826,CUST177,PROD204,2,367.08,Debit Card
ORD1190,2022-03-11 08:57:17.945981994,CUST179,PROD239,1,315.19,Debit Card
ORD1191,2022-03-11 17:43:04.461487163,CUST160,PROD232,2,76.45,Credit Card
ORD1192,2022-03-12 02:28:50.976992331,CUST170,PROD207,2,434.95,PayPal
ORD1193,2022-03-12 11:14:37.492497499,CUST161,PROD236,2,457.21,Debit Card
ORD1194,2022-03-12 20:00:24.008002668,CUST159,PROD246,4,94.45,Credit Card
ORD1195,2022-03-13 04:46:10.523507836,CUST116,PROD224,4,470.03,Credit Card
ORD1196,2022-03-13 13:31:57.039013005,CUST133,PROD201,2,78.45,PayPal
ORD1197,2022-03-13 22:17:43.554518173,CUST129,PROD229,1,275.7,Debit Card
ORD1198,2022-03-14 07:03:30.070023341,CUST117,PROD209,2,372.64,Credit Card
ORD1199,2022-03-14 15:49:16.585528510,CUST198,PROD224,4,376.92,Credit Card
ORD1200,2022-03-15 00:35:03.101033678,CUST178,PROD205,4,297.57,Debit Card
ORD1201,2022-03-15 09:20:49.616538847,CUST129,PROD208,2,390.26,PayPal
ORD1202,2022-03-15 18:06:36.132044015,CUST102,PROD209,1,364.21,Credit Card
ORD1203,2022-03-16 02:52:22.647549183,CUST120,PROD221,2,384.64,Debit Card
ORD1204,2022-03-16 11:38:09.163054352,CUST175,PROD239,1,329.47,Debit Card
ORD1205,2022-03-16 20:23:55.678559520,CUST123,PROD238,2,89.37,Debit Card
ORD1206,2022-03-17 05:09:42.194064688,CUST167,PROD211,1,64.19,Debit Card
ORD1207,2022-03-17 13:55:28.709569857,CUST158,PROD223,3,235.7,PayPal
ORD1208,2022-03-17 22:41:15.225075025,CUST108,PROD249,4,160.49,PayPal
ORD1209,2022-03-18 07:27:01.740580194,CUST197,PROD235,2,271.31,Debit Card
ORD1210,2022-03-18 16:12:48.256085362,CUST156,PROD240,4,144.25,Credit Card
ORD1211,2022-03-19 00:58:34.771590530,CUST109,PROD212,2,143.31,PayPal
ORD1212,2022-03-19 09:44:21.287095699,CUST182,PROD203,3,494.06,Credit Card
ORD1213,2022-03-19 18:30:07.802600867,CUST147,PROD208,2,60.76,Debit Card
ORD1214,2022-03-20 03:15:54.318106036,CUST128,PROD213,3,414.85,Debit Card
ORD1215,2022-03-20 12:01:40.833611204,CUST100,PROD238,2,411.5,PayPal
ORD1216,2022-03-20 20:47:27.349116372,CUST181,PROD238,1,101.89,Debit Card
ORD1217,2022-03-21 05:33:13.864621541,CUST100,PROD212,1,450.41,PayPal
ORD1218,2022-03-21 14:19:00.380126709,CUST179,PROD237,3,265.6,Credit Card
ORD1219,2022-03-21 23:04:46.895631878,CUST124,PROD232,1,285.67,PayPal
ORD1220,2022-03-22 07:50:33.411137046,CUST107,PROD241,3,455.78,Credit Card
ORD1221,2022-03-22 16:36:19.926642214,CUST179,PROD216,4,246.86,Credit Card
ORD1222,2022-03-23 01:22:06.442147383,CUST188,PROD202,1,52.67,Debit Card
ORD1223,2022-03-23 10:07:52.957652551,CUST178,PROD235,1,471.66,Debit Card
ORD1224,2022-03-23 18:53:39.473157720,CUST106,PROD241,2,96.83,Debit Card
ORD1225,2022-03-24 03:39:25.988662888,CUST170,PROD200,1,346.77,PayPal
ORD1226,2022-03-24 12:25:12.504168056,CUST183,PROD233,1,337.5,Debit Card
ORD1227,2022-03-24 21:10:59.019673225,CUST114,PROD217,4,50.95,PayPal
ORD1228,2022-03-25 05:56:45.535178393,CUST145,PROD241,4,353.69,Credit Card
ORD1229,2022-03-25 14:42:32.050683561,CUST188,PROD212,4,355.95,Debit Card
ORD1230,2022-03-25 23:28:18.566188730,CUST150,PROD240,1,458.2,Credit Card
ORD1231,2022-03-26 08:14:05.081693898,CUST155,PROD234,1,215.64,Debit Card
ORD1232,2022-03-26 16:59:51.597199067,CUST161,PROD200,1,189.01,Debit Card
ORD1233,2022-03-27 01:45:38.112704235,CUST127,PROD219,1,416.79,Credit Card
ORD1234,2022-03-27 10:31:24.628209403,CUST107,PROD200,1,403.45,PayPal
ORD1235,2022-03-27 19:17:11.143714572,CUST103,PROD217,2,48.22,PayPal
ORD1236,2022-03-28 04:02:57.659219740,CUST140,PROD240,3,145.72,Credit Card
ORD1237,2022-03-28 12:48:44.174724909,CUST107,PROD203,1,68.08,Debit Card
ORD1238,2022-03-28 21:34:30.690230077,CUST193,PROD212,1,171.89,Credit Card
ORD1239,2022-03-29 06:20:17.205735245,CUST132,PROD213,3,424.45,PayPal
ORD1240,2022-03-29 15:06:03.721240414,CUST141,PROD213,3,380.56,PayPal
ORD1241,2022-03-29 23:51:50.236745582,CUST173,PROD238,1,448.76,PayPal
ORD1242,2022-03-30 08:37:36.752250751,CUST165,PROD214,1,253.8,Debit Card
ORD1243,2022-03-30 17:23:23.267755919,CUST111,PROD205,4,244.48,PayPal
ORD1244,2022-03-31 02:09:09.783261087,CUST179,PROD241,3,432.23,PayPal
ORD1245,2022-03-31 10:54:56.298766256,CUST100,PROD206,4,364.05,Debit Card
ORD1246,2022-03-31 19:40:42.814271424,CUST106,PROD250,3,128.95,Credit Card
ORD1247,2022-04-01 04:26:29.329776592,CUST196,PROD248,1,414.36,Debit Card
ORD1248,2022-04-01 13:12:15.845281761,CUST181,PROD239,2,33.89,PayPal
ORD1249,2022-04-01 21:58:02.360786929,CUST138,PROD203,4,435.78,PayPal
ORD1250,2022-04-02 06:43:48.876292098,CUST154,PROD224,1,40.47,PayPal
ORD1251,2022-04-02 15:29:35.391797266,CUST140,PROD203,2,215.76,Credit Card
ORD1252,2022-04-03 00:15:21.907302434,CUST137,PROD230,4,52.4,Debit Card
ORD1253,2022-04-03 09:01:08.422807603,CUST187,PROD215,4,315.71,Credit Card
ORD1254,2022-04-03 17:46:54.938312771,CUST173,PROD249,2,151.87,Credit Card
ORD1255,2022-04-04 02:32:41.453817940,CUST148,PROD247,2,62.62,PayPal
ORD1256,2022-04-04 11:18:27.969323108,CUST127,PROD224,4,381.82,Credit Card
ORD1257,2022-04-04 20:04:14.484828276,CUST162,PROD234,2,409.03,Debit Card
ORD1258,2022-04-05 04:50:01.000333445,CUST135,PROD250,1,40.41,Debit Card
ORD1259,2022-04-05 13:35:47.515838613,CUST168,PROD211,4,92.19,PayPal
ORD1260,2022-04-05 22:21:34.031343782,CUST103,PROD245,1,234.62,PayPal
ORD1261,2022-04-06 07:07:20.546848950,CUST121,PROD238,4,496.54,Debit Card
ORD1262,2022-04-06 15:53:07.062354118,CUST101,PROD215,4,313.79,Debit Card
ORD1263,2022-04-07 00:38:53.577859287,CUST140,PROD241,1,124.53,Debit Card
ORD1264,2022-04-07 09:24:40.093364455,CUST102,PROD206,2,307.79,Debit Card
ORD1265,2022-04-07 18:10:26.608869624,CUST122,PROD213,4,461.94,Debit Card
ORD1266,2022-04-08 02:56:13.124374792,CUST115,PROD204,1,367.96,Credit Card
ORD1267,2022-04-08 11:41:59.639879960,CUST172,PROD242,4,244.23,Credit Card
ORD1268,2022-04-08 20:27:46.155385129,CUST142,PROD220,2,314.67,Credit Card
ORD1269,2022-04-09 05:13:32.670890297,CUST132,PROD224,2,354.75,PayPal
ORD1270,2022-04-09 13:59:19.186395465,CUST155,PROD206,1,183.25,PayPal
ORD1271,2022-04-09 22:45:05.701900634,CUST164,PROD218,1,157.6,Credit Card
ORD1272,2022-04-10 07:30:52.217405802,CUST153,PROD219,2,288.8,Credit Card
ORD1273,2022-04-10 16:16:38.732910971,CUST184,PROD220,2,129.17,Credit Card
ORD1274,2022-04-11 01:02:25.248416139,CUST139,PROD240,3,494.82,Credit Card
ORD1275,2022-04-11 09:48:11.763921307,CUST118,PROD245,1,31.74,PayPal
ORD1276,2022-04-11 18:33:58.279426476,CUST113,PROD249,4,333.22,Credit Card
ORD1277,2022-04-12 03:19:44.794931644,CUST174,PROD240,1,482.08,PayPal
ORD1278,2022-04-12 12:05:31.310436813,CUST128,PROD206,4,128.04,Debit Card
ORD1279,2022-04-12 20:51:17.825941981,CUST165,PROD228,2,83.32,Credit Card
ORD1280,2022-04-13 05:37:04.341447149,CUST173,PROD244,1,227.32,Credit Card
ORD1281,2022-04-13 14:22:50.856952318,CUST145,PROD242,4,203.02,Debit Card
ORD1282,2022-04-13 23:08:37.372457486,CUST137,PROD232,4,165.51,Debit Card
ORD1283,2022-04-14 07:54:23.887962655,CUST184,PROD216,2,330.54,PayPal
ORD1284,2022-04-14 16:40:10.403467823,CUST134,PROD211,1,439.23,Debit Card
ORD1285,2022-04-15 01:25:56.918972991,CUST168,PROD212,4,60.82,Credit Card
ORD1286,2022-04-15 10:11:43.434478160,CUST172,PROD200,4,376.38,Debit Card
ORD1287,2022-04-15 18:57:29.949983328,CUST135,PROD202,3,145.41,Debit Card
ORD1288,2022-04-16 03:43:16.465488496,CUST197,PROD232,3,326.51,Debit Card
ORD1289,2022-04-16 12:29:02.980993664,CUST197,PROD208,3,305.95,Credit Card
ORD1290,2022-04-16 21:14:49.496498834,CUST109,PROD248,4,360.18,Credit Card
ORD1291,2022-04-17 06:00:36.012004002,CUST137,PROD244,2,137.44,PayPal
ORD1292,2022-04-17 14:46:22.527509170,CUST135,PROD210,1,329.93,Credit Card
ORD1293,2022-04-17 23:32:09.043014338,CUST133,PROD229,1,202.42,Debit Card
ORD1294,2022-04-18 08:17:55.558519506,CUST180,PROD232,2,472.58,Debit Card
ORD1295,2022-04-18 17:03:42.074024676,CUST158,PROD239,3,282.51,PayPal
ORD1296,2022-04-19 01:49:28.589529844,CUST180,PROD215,4,256.55,PayPal
ORD1297,2022-04-19 10:35:15.105035012,CUST152,PROD215,2,77.56,Credit Card
ORD1298,2022-04-19 19:21:01.620540180,CUST199,PROD231,3,160.82,Credit Card
ORD1299,2022-04-20 04:06:48.136045348,CUST114,PROD212,4,369.48,Credit Card
ORD1300,2022-04-20 12:52:34.651550518,CUST131,PROD208,1,420.98,PayPal
ORD1301,2022-04-20 21:38:21.167055686,CUST110,PROD220,1,51.02,Credit Card
ORD1302,2022-04-21 06:24:07.682560854,CUST191,PROD237,3,476.12,PayPal
ORD1303,2022-04-21 15:09:54.198066022,CUST159,PROD243,3,409.26,PayPal
ORD1304,2022-04-21 23:55:40.713571190,CUST196,PROD244,2,301.14,Debit Card
ORD1305,2022-04-22 08:41:27.229076360,CUST155,PROD226,2,348.7,PayPal
ORD1306,2022-04-22 17:27:13.744581528,CUST152,PROD229,2,126.07,PayPal
ORD1307,2022-04-23 02:13:00.260086696,CUST154,PROD250,4,48.62,Credit Card
ORD1308,2022-04-23 10:58:46.775591864,CUST165,PROD233,2,68.2,PayPal
ORD1309,2022-04-23 19:44:33.291097032,CUST130,PROD226,4,406.96,Debit Card
ORD1310,2022-04-24 04:30:19.806602202,CUST180,PROD233,2,283.35,PayPal
