TransactionID,TransactionDate,StoreID,ProductID,CustomerID,ChannelID,Quantity,UnitPrice,Discount,Revenue,Cost,GST,TransactionTime,State
TXN00013110,2024-05-07,STR045,PRD01954,CUST010564,CH002,1,9.36,0.15,7.96,5.97,0.8,17:12:00,qld
TXN00011387,2023-09-29,STR035,PRD01259,CUST015592,CH002,3,62.45,0.0,187.35,128.13,18.74,15:04:00,VIC
TXN00041580,2022-07-16,STR025,PRD01836,CUST000240,CH003,-2,12.23,0.0,12.23,6.24,1.22,08:18:00,Vic
TXN00015765,2023-01-22,STR012,PRD00535,CUST004180,CH003,3,99.48,0.0,298.44,141.54,29.84,15:17:00,NSW
TXN00001362,2024-04-19,STR004,PRD01959,CUST018661,CH003,6,82.37,0.05,469.51,215.28,46.95,09:05:00,nsw
TXN00038434,2024-02-16,STR038,PRD00858,CUST006282,CH001,5,78.72,0.0,393.6,166.25,39.36,06:13:00,VIC
TXN00001868,2022-07-30,STR033,PRD01795,CUST004369,CH003,2,56.69,0.1,102.04,52.12,10.2,08:17:00,vic
TXN00001761,2024-06-23,STR016,PRD00640,CUST015327,CH003,5,77.14,0.0,385.7,243.65,38.57,15:56:00,NSW
TXN00030398,2022-09-06,STR049,PRD00479,CUST018130,CH001,3,14.66,0.0,43.98,24.12,4.4,19:49:00,QLD
TXN00024294,2022-08-27,STR013,PRD01490,CUST014771,CH001,3,20.48,0.0,61.44,30.18,6.14,21:28:00,NSW
TXN00005335,2024-06-29,STR029,PRD00753,CUST009587,CH002,1,42.29,0.05,40.18,27.43,4.02,17:24:00,VIC
TXN00020655,2023-05-24,STR020,PRD01982,CUST016416,CH001,7,17.39,0.05,115.64,66.92,11.56,12:14:00,nsw
TXN00015784,2023-02-14,STR018,PRD00638,,CH001,2,87.05,0.05,165.4,70.48,16.54,11:51:00,NSW
TXN00006635,2024-06-29,STR044,PRD00380,CUST002566,CH003,2,31.91,0.05,60.63,28.7,6.06,10:05:00,QLD
TXN00035939,2024-03-21,STR033,PRD01873,CUST014585,CH001,8,12.86,0.0,102.88,49.12,10.29,14:46:00,VIC
TXN00002756,2023-02-06,STR032,PRD01530,CUST018009,CH003,2,94.57,0.0,189.14,81.96,18.91,06:39:00,VIC
TXN00012949,2022-08-13,STR022,PRD01769,CUST009082,CH001,1,11.44,0.0,11.44,6.55,1.14,14:11:00,Vic
TXN00035078,2022-07-19,STR038,PRD01447,CUST004948,CH001,8,50.95,0.1,366.84,243.44,36.68,09:41:00,VIC
TXN00042484,2024-02-20,STR050,PRD01935,CUST004762,CH003,1,89.62,0.05,85.14,39.83,8.51,08:24:00,qld
TXN00035526,2022-11-05,STR004,PRD01777,CUST008789,CH002,3,52.89,0.0,158.67,107.79,15.87,17:21:00,nsw
TXN00021761,2023-07-05,STR033,PRD00731,CUST015741,CH002,4,28.16,0.0,112.64,49.12,11.26,19:40:00,VIC
TXN00045167,2022-09-26,STR040,PRD01856,CUST004920,CH002,9,88.81,0.0,799.29,351.72,79.93,19:21:00,Qld
TXN00000692,2022-08-27,STR043,PRD01618,CUST004794,CH001,10,42.29,0.0,422.9,283.4,42.29,22:27:00,qld
TXN00004911,2022-09-05,STR029,PRD01953,CUST011389,CH003,5,30.09,0.1,135.4,62.25,13.54,16:43:00,Vic
TXN00015852,2023-10-11,STR034,PRD00251,,CH002,3,39.35,0.0,118.05,67.29,11.8,06:45:00,VIC
TXN00048868,2023-08-10,STR015,PRD01669,CUST010669,CH001,6,54.34,0.05,309.74,208.26,30.97,07:44:00,NSW
TXN00011184,2024-02-21,STR017,PRD01579,CUST009351,CH001,3,36.73,0.0,110.19,54.72,11.02,15:01:00,nsw
TXN00009349,2023-12-30,STR004,PRD00652,CUST014679,CH001,4,11.98,0.0,47.92,33.16,4.79,11:39:00,Nsw
TXN00031535,2024-01-04,STR043,PRD00385,CUST008013,CH002,3,103.78,0.0,311.34,139.8,31.13,16:55:00,QLD
TXN00014998,2023-06-26,STR009,PRD01362,CUST015115,CH003,4,47.52,0.1,171.07,102.32,17.11,07:19:00,NSW
TXN00007797,2023-05-18,STR035,PRD00506,CUST000981,CH001,2,27.04,0.1,48.67,34.72,,21:19:00,VIC
TXN00037992,2022-08-19,STR008,PRD00472,CUST011837,CH001,1,50.18,0.1,45.16,34.93,4.52,09:37:00,Nsw
TXN00045086,2024-02-26,STR031,PRD00986,CUST019093,CH003,7,29.66,0.0,207.62,103.95,20.76,12:58:00,vic
TXN00004458,2024-02-03,STR024,PRD00014,CUST018085,CH002,9,74.64,0.15,571.0,302.49,57.1,19:58:00,Vic
TXN00041527,2024-03-03,STR026,PRD00778,CUST007311,CH002,7,49.3,0.0,345.1,140.63,34.51,09:44:00,VIC
TXN00026879,2022-10-04,STR017,PRD00454,CUST009606,CH002,10,89.75,0.0,897.5,371.6,89.75,07:24:00,NSW
TXN00001513,2023-11-17,STR004,PRD00687,CUST009457,CH001,5,92.73,0.1,417.28,238.15,41.73,22:46:00,nsw
TXN00009320,2023-11-26,STR027,PRD01764,CUST014382,CH002,7,92.51,0.15,550.43,314.23,55.04,20:53:00,vic
TXN00014916,2024-01-10,STR035,PRD01612,CUST012047,CH003,7,36.0,0.1,226.8,132.37,22.68,11:06:00,VIC
TXN00000012,2023-03-28,STR017,PRD01302,CUST011448,CH003,5,66.48,0.0,332.4,191.7,33.24,08:30:00,nsw
TXN00014274,2024-06-11,STR031,PRD01811,CUST014919,CH001,3,95.08,0.15,242.45,149.28,24.24,15:38:00,VIC
TXN00007983,2022-12-18,STR038,PRD01796,CUST007288,CH002,1,80.05,0.05,76.05,34.44,7.6,06:03:00,Vic
TXN00020639,2023-11-28,STR025,PRD01152,CUST000044,CH002,9,31.39,0.0,282.51,188.1,28.25,18:14:00,VIC
TXN00037196,2022-12-14,STR007,PRD01835,CUST012805,CH001,2,46.46,0.0,92.92,47.56,9.29,16:18:00,NSW
TXN00037707,2023-12-05,STR008,PRD00426,,CH001,9,24.58,0.1,199.1,139.05,19.91,11:20:00,nsw
TXN00041242,2023-11-02,STR043,PRD01064,CUST003120,CH001,9,17.82,0.05,152.36,84.15,15.24,19:11:00,qld
TXN00030771,2024-02-26,STR047,PRD00767,CUST015860,CH002,2,23.75,0.0,47.5,26.54,4.75,15:14:00,Qld
TXN00029295,2022-08-13,STR018,PRD01110,CUST007931,CH001,1,32.87,0.0,32.87,19.28,3.29,20:22:00,nsw
TXN00018913,2024-01-29,STR042,PRD01409,,CH002,4,10.9,0.1,39.24,24.36,3.92,06:02:00,QLD
TXN00041619,2022-09-10,STR024,PRD01512,CUST013401,CH003,9,54.27,0.0,488.43,257.22,48.84,07:53:00,Vic
TXN00020094,2024-03-01,STR022,PRD01171,,CH002,4,95.84,0.0,383.36,169.04,38.34,16:32:00,VIC
TXN00037373,2024-05-26,STR002,PRD01398,CUST003630,CH003,3,30.56,0.0,91.68,58.47,9.17,17:51:00,NSW
TXN00029648,2024-04-12,STR045,PRD01112,CUST019269,CH001,4,29.57,0.1,106.45,48.96,10.65,15:54:00,QLD
TXN00022981,2022-07-18,STR035,PRD01976,CUST006878,CH001,7,40.15,0.0,281.05,211.96,28.11,18:10:00,vic
TXN00042548,2022-09-10,STR024,PRD01882,,CH002,2,34.56,0.0,69.12,41.1,6.91,20:30:00,VIC
TXN00013634,2023-06-23,STR032,PRD00284,CUST013383,CH001,3,69.68,0.0,209.04,108.96,20.9,07:18:00,VIC
TXN00029467,2023-04-29,STR035,PRD01403,CUST018807,CH002,9,55.37,0.15,423.58,257.49,42.36,13:13:00,VIC
TXN00004606,2024-06-14,STR016,PRD01876,CUST015292,CH001,1,42.51,0.2,34.01,29.57,3.4,22:13:00,NSW
TXN00038533,2024-01-31,STR033,PRD00083,,CH001,9,76.01,0.0,684.09,339.39,68.41,10:52:00,VIC
TXN00044877,2024-06-25,STR001,PRD01961,CUST019828,CH003,5,53.06,0.0,265.3,196.75,26.53,12:12:00,NSW
TXN00045602,2023-11-19,STR012,PRD00360,CUST005508,CH001,5,74.19,0.1,333.86,165.55,33.39,14:16:00,Nsw
TXN00039202,2023-05-27,STR024,PRD00853,CUST004508,CH003,8,6.47,0.0,51.76,23.28,5.18,21:22:00,VIC
TXN00038841,2023-06-11,STR018,PRD00413,CUST019338,CH001,6,32.05,0.0,192.3,98.4,19.23,14:48:00,Nsw
TXN00045706,2022-09-08,STR010,PRD01677,CUST013828,CH002,2,21.08,0.0,42.16,30.86,4.22,15:26:00,NSW
TXN00004263,2024-05-19,STR038,PRD00922,CUST015075,CH001,10,81.38,0.1,732.42,330.5,73.24,13:10:00,VIC
TXN00015233,2023-02-17,STR042,PRD00636,CUST015769,CH002,5,19.15,0.05,90.96,55.9,,17:30:00,qld
TXN00024690,2022-12-19,STR006,PRD01585,CUST006412,CH003,9,62.66,0.1,507.55,241.02,50.76,13:12:00,NSW
TXN00011753,2022-10-04,STR004,PRD00949,CUST016200,CH001,1,38.69,0.0,38.69,27.56,3.87,12:01:00,Nsw
TXN00030484,2022-07-05,STR017,PRD01164,CUST001734,CH003,5,31.4,0.05,149.15,69.85,14.92,14:31:00,nsw
TXN00034151,2022-12-25,STR007,PRD00425,CUST006327,CH002,2,26.84,0.0,53.68,26.82,5.37,06:32:00,NSW
TXN00011108,2022-09-06,STR007,PRD01641,CUST006551,CH001,8,7.32,0.0,58.56,30.16,5.86,11:24:00,NSW
TXN00014553,2024-03-29,STR049,PRD01948,CUST011906,CH001,1,36.3,0.0,36.3,17.06,3.63,09:52:00,QLD
TXN00003255,2022-08-10,STR015,PRD00856,CUST017521,CH002,6,33.81,0.0,202.86,143.88,20.29,13:23:00,NSW
TXN00012036,2023-01-10,STR016,PRD01629,CUST001518,CH001,9,45.64,0.0,410.76,264.42,41.08,13:20:00,NSW
TXN00033785,2023-08-30,STR004,PRD01207,CUST018942,CH002,3,4.57,0.15,11.65,6.21,1.16,09:58:00,NSW
TXN00047500,2023-01-22,STR012,PRD00555,CUST018870,CH002,10,43.1,0.0,431.0,278.2,43.1,17:41:00,nsw
TXN00010822,2022-07-26,STR009,PRD00678,CUST019964,CH001,6,76.67,0.05,437.02,283.26,43.7,22:16:00,NSW
TXN00004345,2023-07-28,STR026,PRD00223,CUST006875,CH003,6,12.93,0.0,77.58,54.78,7.76,07:47:00,Vic
TXN00028189,2022-10-10,STR045,PRD01098,CUST008914,CH002,2,83.41,0.1,150.14,73.98,15.01,12:41:00,QLD
TXN00019209,2023-02-03,STR007,PRD01814,,CH001,6,101.64,0.0,609.84,272.46,60.98,21:21:00,Nsw
TXN00017805,2024-01-14,STR009,PRD00090,CUST013004,CH001,5,76.89,0.05,365.23,213.75,36.52,18:18:00,Nsw
TXN00001922,2024-05-17,STR023,PRD01922,CUST017043,CH002,3,87.89,0.0,263.67,144.45,26.37,07:06:00,Vic
TXN00047090,2024-03-18,STR045,PRD00078,CUST015734,CH003,10,18.49,0.0,184.9,113.3,18.49,08:55:00,qld
TXN00013540,2024-03-08,STR002,PRD01351,CUST011670,CH001,6,56.88,0.0,341.28,146.64,34.13,19:40:00,NSW
TXN00005019,2023-06-06,STR025,PRD01552,CUST014940,CH001,5,62.57,0.05,297.21,162.1,29.72,21:41:00,vic
TXN00025874,2023-10-14,STR014,PRD01539,CUST005916,CH003,4,82.73,0.0,330.92,155.96,33.09,20:25:00,NSW
TXN00039835,2024-06-26,STR037,PRD01344,CUST008505,CH003,5,49.21,0.1,221.45,145.8,22.14,22:34:00,Vic
TXN00049875,2024-06-27,STR046,PRD01463,CUST017049,CH001,1,21.6,0.0,21.6,14.7,2.16,18:38:00,QLD
TXN00027863,2024-06-23,STR043,PRD01900,CUST018486,CH003,8,39.25,0.0,314.0,232.24,31.4,16:11:00,Qld
TXN00044519,2023-11-20,STR008,PRD01742,CUST011204,CH002,3,43.92,0.05,125.17,89.4,12.52,08:30:00,NSW
TXN00013264,2024-05-14,STR032,PRD00162,CUST017166,CH003,4,2.48,0.1,8.93,4.72,0.89,17:32:00,Vic
TXN00013360,2022-08-02,STR027,PRD00131,CUST009105,CH003,9,63.94,0.0,575.46,260.28,57.55,11:21:00,VIC
TXN00003385,2024-06-17,STR007,PRD01589,,CH002,4,68.92,0.1,248.11,177.8,24.81,08:24:00,nsw
TXN00016107,2023-03-04,STR040,PRD00605,CUST002629,CH001,6,5.45,0.0,32.7,16.62,3.27,22:21:00,QLD
TXN00030240,2023-05-10,STR010,PRD01520,CUST014301,CH001,8,33.7,0.05,256.12,197.76,25.61,13:20:00,Nsw
TXN00040102,2023-01-29,STR020,PRD01860,CUST005414,CH003,1,50.89,0.0,50.89,24.08,5.09,09:24:00,NSW
TXN00032039,2023-09-25,STR050,PRD01663,CUST017724,CH003,9,43.99,0.0,395.91,242.55,39.59,18:19:00,Qld
TXN00001425,2024-04-07,STR014,PRD00766,CUST013239,CH002,10,53.27,0.0,532.7,220.5,53.27,08:44:00,Nsw
TXN00046317,2023-01-17,STR002,PRD01200,,CH002,3,74.4,0.0,223.2,116.73,22.32,15:59:00,nsw
TXN00021147,2024-05-30,STR013,PRD01009,CUST008024,CH001,6,44.28,0.0,265.68,140.46,26.57,10:22:00,Nsw
TXN00033084,2022-08-11,STR029,PRD00530,CUST010630,CH001,7,34.82,0.0,243.74,112.35,24.37,19:50:00,VIC
TXN00048416,2023-07-15,STR046,PRD00214,,CH001,4,27.01,0.2,86.43,74.72,8.64,06:45:00,QLD
TXN00010575,2024-06-28,STR030,PRD00138,CUST001663,CH001,5,65.02,0.0,325.1,143.25,32.51,13:28:00,VIC
TXN00038594,2024-03-04,STR028,PRD01131,CUST004651,CH001,2,76.36,0.0,152.72,86.96,,16:50:00,VIC
TXN00000873,2023-03-30,STR030,PRD00943,,CH001,2,55.49,0.0,110.98,51.58,11.1,08:58:00,VIC
TXN00007511,2023-02-12,STR022,PRD01763,CUST010063,CH003,1,27.29,0.05,25.93,16.04,2.59,14:04:00,VIC
TXN00018297,2023-03-11,STR017,PRD00843,CUST012787,CH001,7,11.99,0.0,83.93,39.06,8.39,19:46:00,nsw
TXN00029196,2022-12-12,STR038,PRD00387,CUST013078,CH002,0,58.0,0.05,220.4,166.0,22.04,12:37:00,Vic
TXN00002662,2022-08-25,STR021,PRD00014,CUST014712,CH002,5,63.9,0.0,319.5,168.05,31.95,17:38:00,vic
TXN00025915,2023-04-10,STR036,PRD00106,CUST003122,CH002,2,81.79,0.0,163.58,77.48,16.36,15:58:00,VIC
TXN00037778,2022-09-10,STR009,PRD00132,CUST006443,CH003,10,14.52,0.1,130.68,96.3,13.07,19:00:00,NSW
TXN00003380,2024-05-06,STR041,PRD01727,CUST005068,CH001,7,7.66,0.15,45.58,37.24,4.56,11:17:00,QLD
TXN00015277,2023-02-13,STR013,PRD00890,CUST017868,CH002,6,47.4,0.0,284.4,211.08,28.44,15:01:00,NSW
TXN00010399,2022-08-15,STR028,PRD01554,,CH003,10,8.44,0.0,84.4,56.7,8.44,07:02:00,VIC
TXN00029095,2023-03-18,STR032,PRD01157,CUST015619,CH003,2,36.17,0.0,72.34,41.76,7.23,07:34:00,Vic
TXN00006125,2023-01-01,STR018,PRD01384,CUST010106,CH001,4,3.98,0.05,15.12,9.24,1.51,18:06:00,NSW
TXN00026707,2024-01-13,STR035,PRD00418,,CH001,6,35.25,0.05,200.92,137.94,20.09,17:26:00,Vic
TXN00023330,2022-09-05,STR017,PRD01679,CUST014425,CH002,3,14.3,0.2,34.32,28.95,3.43,08:04:00,Nsw
TXN00039485,2023-01-15,STR031,PRD01349,CUST013849,CH001,7,25.94,0.0,181.58,75.95,18.16,06:28:00,Vic
TXN00038608,2023-09-17,STR019,PRD00359,CUST009893,CH003,10,60.31,0.0,603.1,269.1,60.31,11:41:00,NSW
TXN00002495,2022-10-31,STR015,PRD00641,CUST006757,CH001,1,26.76,0.1,24.08,19.84,2.41,10:17:00,NSW
TXN00046242,2024-06-04,STR025,PRD01590,CUST013724,CH002,3,45.67,0.0,137.01,70.59,13.7,16:11:00,VIC
TXN00017144,INVALID,STR047,PRD01147,CUST009241,CH001,9,12.94,0.1,104.81,64.71,,09:08:00,QLD
TXN00014551,2022-11-30,STR050,PRD00043,CUST017063,CH003,7,25.63,0.0,179.41,101.15,17.94,07:01:00,Qld
TXN00039516,2024-05-11,STR048,PRD01477,CUST001099,CH003,7,70.69,0.0,494.83,240.31,49.48,17:21:00,QLD
TXN00010056,2022-08-03,STR028,PRD00929,CUST005597,CH003,9,15.58,0.0,140.22,97.92,14.02,21:28:00,VIC
TXN00021986,2024-02-04,STR044,PRD00974,CUST016433,CH003,4,52.8,0.2,168.96,126.12,16.9,18:54:00,Qld
TXN00045233,2023-08-03,STR021,PRD01616,CUST005154,CH003,2,24.92,0.05,47.35,24.56,4.74,19:46:00,Vic
TXN00021137,2023-07-13,STR018,PRD01651,CUST001366,CH002,2,9.31,0.0,18.62,12.82,1.86,14:57:00,NSW
TXN00016536,2023-11-23,STR048,PRD01713,CUST010129,CH001,4,39.07,0.0,156.28,99.08,15.63,09:59:00,QLD
TXN00014070,2024-06-15,STR041,PRD01065,CUST006470,CH002,9,30.06,0.05,257.01,117.54,25.7,11:11:00,QLD
TXN00004228,2024-03-14,STR009,PRD00454,CUST015833,CH001,3,79.36,0.0,238.08,111.48,23.81,11:04:00,NSW
TXN00018271,2022-07-04,STR009,PRD01219,,CH003,2,68.02,0.1,122.44,67.78,12.24,19:10:00,NSW
TXN00029631,2022-11-16,STR044,PRD01965,CUST017501,CH002,7,10.74,0.1,67.66,54.25,6.77,21:00:00,Qld
TXN00025543,2023-04-11,STR002,PRD00954,CUST012781,CH003,3,13.09,0.0,39.27,25.41,3.93,08:22:00,NSW
TXN00001926,2023-06-13,STR002,PRD00485,CUST014648,CH003,5,15.12,0.15,64.26,36.55,6.43,12:26:00,NSW
TXN00043761,2022-09-18,STR008,PRD00242,CUST010137,CH003,10,25.89,0.2,207.12,186.9,20.71,17:10:00,Nsw
TXN00022294,2023-10-09,STR004,PRD00320,CUST000831,CH001,2,6.54,0.0,13.08,5.38,1.31,10:52:00,NSW
TXN00016207,2022-10-08,STR012,PRD01959,CUST005983,CH003,7,63.91,0.2,357.9,251.16,35.79,07:34:00,nsw
TXN00037604,2023-07-08,STR024,PRD01197,,CH003,3,78.53,0.05,223.81,123.18,22.38,11:41:00,vic
TXN00016342,2023-08-02,STR029,PRD00665,CUST008462,CH002,7,60.2,0.0,421.4,208.53,42.14,14:41:00,Vic
TXN00022477,2024-03-25,STR032,PRD00566,CUST017573,CH002,9,78.8,0.0,709.2,367.02,70.92,19:34:00,Vic
TXN00003049,2023-11-20,STR007,PRD01704,CUST017963,CH003,1,58.64,0.0,58.64,24.05,5.86,21:16:00,Nsw
TXN00039651,2023-01-19,STR050,PRD01056,CUST010163,CH002,10,30.55,0.15,259.68,215.6,25.97,22:12:00,qld
TXN00025753,2023-06-16,STR023,PRD01230,CUST011413,CH001,5,50.5,0.0,252.5,193.45,,10:35:00,vic
TXN00026882,2022-11-11,STR001,PRD00812,CUST010061,CH001,2,14.01,0.1,25.22,15.84,2.52,10:47:00,NSW
TXN00026191,2023-01-24,STR043,PRD00479,CUST000187,CH002,3,13.66,0.05,38.93,24.12,3.89,22:27:00,Qld
TXN00014732,2024-04-06,STR010,PRD01706,CUST003146,CH003,1,15.25,0.0,15.25,6.55,1.52,13:26:00,Nsw
TXN00033083,2023-04-18,STR006,PRD01725,CUST010041,CH001,8,61.3,0.0,490.4,335.44,49.04,14:59:00,NSW
TXN00022097,2023-10-10,STR032,PRD01974,CUST013098,CH002,2,85.77,0.0,171.54,69.76,17.15,07:57:00,VIC
TXN00028814,2023-06-10,STR018,PRD01485,CUST019295,CH003,6,60.35,0.0,362.1,202.56,36.21,12:29:00,Nsw
TXN00048207,2022-08-16,STR017,PRD01556,CUST003616,CH002,7,8.29,0.1,52.23,28.07,5.22,18:12:00,nsw
TXN00022554,2022-11-04,STR003,PRD00289,,CH001,3,50.84,0.0,152.52,101.07,15.25,17:40:00,NSW
TXN00042920,2023-01-08,STR050,PRD00129,CUST011396,CH002,4,6.71,0.0,26.84,11.0,2.68,17:57:00,QLD
TXN00027965,2022-09-28,STR047,PRD01098,CUST019455,CH001,8,75.23,0.0,601.84,295.92,60.18,16:21:00,QLD
TXN00006796,2023-05-12,STR036,PRD01447,CUST010260,CH001,-2,53.47,0.0,53.47,30.43,5.35,19:14:00,VIC
TXN00022051,2024-01-18,STR019,PRD00250,,CH003,5,17.82,0.0,89.1,41.0,8.91,20:30:00,NSW
TXN00044565,2022-10-31,STR012,PRD00913,CUST004709,CH003,5,47.97,0.05,227.86,153.7,,17:06:00,nsw
TXN00017472,2022-12-05,STR013,PRD00117,CUST009704,CH003,8,63.36,0.0,506.88,281.68,50.69,19:47:00,NSW
TXN00046666,2023-01-16,STR004,PRD01867,CUST005053,CH002,9,36.44,0.0,327.96,138.33,32.8,11:03:00,Nsw
TXN00047150,2024-01-01,STR011,PRD00741,CUST007875,CH002,7,61.72,0.0,432.04,193.06,43.2,13:59:00,NSW
TXN00013073,2022-08-01,STR002,PRD01340,CUST017123,CH003,2,23.59,0.0,47.18,30.54,4.72,13:18:00,NSW
TXN00033801,2023-08-30,STR037,PRD00226,CUST004234,CH002,1,4.98,0.15,4.23,2.65,0.42,19:44:00,VIC
TXN00047865,2023-12-12,STR028,PRD01558,CUST012995,CH003,10,78.75,0.0,787.5,390.6,78.75,22:50:00,Vic
TXN00046850,2022-07-12,STR001,PRD00326,CUST004330,CH003,2,72.05,0.0,144.1,86.72,14.41,13:02:00,NSW
