Year,Continent,Sub Region,Country,GDP per Capita,GDP per Capita (Grouped),Life Expectancy,Life Expectancy (Grouped),C02 Emissions per Person (Tonnes),Child Mortality Rate (per 1000 births)
1960,Asia,Western Asia,Cyprus,5520,>= 5000 and <20000,67.7,>60,1.55,57.3
1960,Europe,Eastern Europe,Czech Republic,11900,>= 5000 and <20000,70.6,>60,10.3,28.4
1960,Europe,Northern Europe,Denmark,15300,>= 5000 and <20000,72.2,>60,6.5,25
1960,Africa,Eastern Africa,Djibouti,3760,<5000,52.6,>=50 and <= 60,0.482,250
1960,Americas,Caribbean,Dominica,2420,<5000,,,0.183,139
1960,Americas,Caribbean,Dominican Republic,2650,<5000,57,>=50 and <= 60,0.316,148
1960,Americas,South America,Ecuador,4450,<5000,57.5,>=50 and <= 60,0.388,178
1960,Africa,Northern Africa,Egypt,2030,<5000,47.5,>=40 and < 50,0.595,313
1960,Americas,Central America,El Salvador,4000,<5000,53.2,>=50 and <= 60,0.224,186
1960,Africa,Middle Africa,Equatorial Guinea,659,<5000,40.5,>=40 and < 50,0.0862,306
1960,Africa,Eastern Africa,Eritrea,919,<5000,41.4,>=40 and < 50,,281
1960,Europe,Northern Europe,Estonia,7200,>= 5000 and <20000,69.2,>60,,45.1
1960,Africa,Eastern Africa,Ethiopia,656,<5000,39,0-40,0.0159,275
1960,Oceania,Melanesia,Fiji,3580,<5000,59.8,>=50 and <= 60,0.494,77.6
1960,Europe,Northern Europe,Finland,10600,>= 5000 and <20000,68.7,>60,3.41,26.8
1960,Europe,Western Europe,France,11700,>= 5000 and <20000,70.7,>60,5.91,28.5
1960,Africa,Middle Africa,Gabon,1440,<5000,43.7,>=40 and < 50,0.264,228
1960,Africa,Western Africa,Gambia,1200,<5000,45.1,>=40 and < 50,0.0498,360
1960,Asia,Western Asia,Georgia,3270,<5000,61,>60,1.66,85
1960,Europe,Western Europe,Germany,14800,>= 5000 and <20000,69.2,>60,11.1,40.3
1960,Africa,Western Africa,Ghana,2250,<5000,50.8,>=50 and <= 60,0.22,209
1960,Europe,Southern Europe,Greece,6150,>= 5000 and <20000,70.4,>60,1.14,46.5
1960,Americas,Caribbean,Grenada,2070,<5000,63,>60,0.245,77.7
1960,Americas,Central America,Guatemala,3300,<5000,44.6,>=40 and < 50,0.32,220
1960,Africa,Western Africa,Guinea,805,<5000,42.1,>=40 and < 50,0.115,352
1960,Africa,Western Africa,Guinea-Bissau,1210,<5000,39,0-40,0.0297,318
1960,Americas,South America,Guyana,3100,<5000,59.4,>=50 and <= 60,1.15,92.4
1960,Americas,Caribbean,Haiti,2300,<5000,40.9,>=40 and < 50,0.074,286
1960,Americas,Central America,Honduras,2510,<5000,50.1,>=50 and <= 60,0.302,211
1960,Europe,Eastern Europe,Hungary,9140,>= 5000 and <20000,68,>60,4.54,53.6
1960,Europe,Northern Europe,Iceland,11100,>= 5000 and <20000,74.2,>60,6.91,21.4
1960,Asia,Southern Asia,India,1040,<5000,41.5,>=40 and < 50,0.268,246
1960,Asia,South-Eastern Asia,Indonesia,1750,<5000,45.9,>=40 and < 50,0.244,222
1960,Asia,Western Asia,Iraq,6080,>= 5000 and <20000,49.8,>=40 and < 50,1.13,194
1960,Europe,Northern Europe,Ireland,7800,>= 5000 and <20000,70.5,>60,3.96,35.2
1960,Asia,Western Asia,Israel,7000,>= 5000 and <20000,67.3,>60,3.1,40.1
1960,Europe,Southern Europe,Italy,10400,>= 5000 and <20000,69.1,>60,2.2,51.9
1960,Americas,Caribbean,Jamaica,5410,>= 5000 and <20000,64.7,>60,0.903,84
1960,Asia,Eastern Asia,Japan,4840,<5000,68,>60,2.49,39.7
1960,Asia,Western Asia,Jordan,4060,<5000,54.2,>=50 and <= 60,0.798,157
1960,Asia,Central Asia,Kazakhstan,8480,>= 5000 and <20000,59.4,>=50 and <= 60,11.4,107
1960,Africa,Eastern Africa,Kenya,1890,<5000,50.9,>=50 and <= 60,0.299,198
1960,Oceania,Micronesia,Kiribati,2830,<5000,49.8,>=40 and < 50,,196
1960,Asia,Western Asia,Kuwait,19300,>= 5000 and <20000,63.2,>60,28.9,147
1960,Europe,Northern Europe,Latvia,5510,>= 5000 and <20000,70.2,>60,,39
1960,Asia,Western Asia,Lebanon,8910,>= 5000 and <20000,63.7,>60,1.43,77.2
1960,Africa,Southern Africa,Lesotho,564,<5000,52.4,>=50 and <= 60,,192
1960,Africa,Western Africa,Liberia,1760,<5000,41.3,>=40 and < 50,0.147,316
1960,Africa,Northern Africa,Libya,12000,>= 5000 and <20000,49.5,>=40 and < 50,0.478,278
1960,Europe,Northern Europe,Lithuania,9090,>= 5000 and <20000,70.3,>60,3.47,50
1960,Europe,Western Europe,Luxembourg,22400,>= 20000 and <40000,69.5,>60,36.6,36.1
1960,Africa,Eastern Africa,Madagascar,2280,<5000,44.8,>=40 and < 50,0.0784,241
1960,Africa,Eastern Africa,Malawi,522,<5000,40.3,>=40 and < 50,,363
1960,Asia,South-Eastern Asia,Malaysia,3000,<5000,59.6,>=50 and <= 60,,93.3
1960,Asia,Southern Asia,Maldives,1090,<5000,32.2,0-40,,340
1960,Africa,Western Africa,Mali,834,<5000,34,0-40,0.023,448
1960,Europe,Southern Europe,Malta,2790,<5000,66.7,>60,1.09,40.7
1960,Oceania,Micronesia,Marshall Islands,1700,<5000,,,,128
1960,Africa,Western Africa,Mauritania,1670,<5000,47.5,>=40 and < 50,0.0427,252
1960,Africa,Eastern Africa,Mauritius,2760,<5000,56.8,>=50 and <= 60,0.272,103
1960,Americas,Central America,Mexico,6000,>= 5000 and <20000,57.7,>=50 and <= 60,1.65,151
1960,Asia,Eastern Asia,Mongolia,1210,<5000,47.7,>=40 and < 50,1.35,241
1960,Europe,Southern Europe,Montenegro,6610,>= 5000 and <20000,66,>60,,96.8
1960,Africa,Northern Africa,Morocco,1950,<5000,50.7,>=50 and <= 60,0.295,237
1960,Africa,Eastern Africa,Mozambique,472,<5000,41.7,>=40 and < 50,0.255,282
1960,Asia,South-Eastern Asia,Myanmar,815,<5000,40.8,>=40 and < 50,0.129,249
1960,Africa,Southern Africa,Namibia,4680,<5000,51.5,>=50 and <= 60,,116
1960,Asia,Southern Asia,Nepal,958,<5000,43.8,>=40 and < 50,0.00802,323
1960,Europe,Western Europe,Netherlands,13100,>= 5000 and <20000,73.5,>60,6.42,20.9
1960,Oceania,Australia and New Zealand,New Zealand,16200,>= 5000 and <20000,71.5,>60,4.87,27.9
1960,Americas,Central America,Nicaragua,4280,<5000,50.8,>=50 and <= 60,0.3,198
1960,Africa,Western Africa,Niger,1200,<5000,42,>=40 and < 50,0.00866,319
1960,Africa,Western Africa,Nigeria,3820,<5000,49,>=40 and < 50,0.0755,334
1960,Europe,Northern Europe,Norway,15400,>= 5000 and <20000,73.5,>60,3.66,22.6
1960,Asia,Western Asia,Oman,4650,<5000,43,>=40 and < 50,,381
1960,Asia,Southern Asia,Pakistan,1210,<5000,49.1,>=40 and < 50,0.266,260
1960,Americas,Central America,Panama,4080,<5000,63.2,>60,0.88,90.6
1960,Oceania,Melanesia,Papua New Guinea,1090,<5000,44.4,>=40 and < 50,0.0894,199
1960,Americas,South America,Paraguay,2940,<5000,67.4,>60,0.16,83.2
1960,Americas,South America,Peru,5380,>= 5000 and <20000,43,>=40 and < 50,0.812,227
1960,Asia,South-Eastern Asia,Philippines,2600,<5000,59.8,>=50 and <= 60,0.317,105
1960,Europe,Eastern Europe,Poland,6320,>= 5000 and <20000,67.8,>60,6.75,64.6
1960,Europe,Southern Europe,Portugal,5460,>= 5000 and <20000,64.4,>60,0.925,114
1960,Asia,Western Asia,Qatar,15500,>= 5000 and <20000,60.3,>60,3.71,138
1960,Europe,Eastern Europe,Romania,6060,>= 5000 and <20000,66,>60,2.87,95.2
1960,Africa,Eastern Africa,Rwanda,635,<5000,44.2,>=40 and < 50,,222
1960,Oceania,Polynesia,Samoa,3340,<5000,58.2,>=50 and <= 60,0.135,135
1960,Africa,Middle Africa,Sao Tome and Principe,1240,<5000,52.5,>=50 and <= 60,0.171,144
1960,Asia,Western Asia,Saudi Arabia,10200,>= 5000 and <20000,54.9,>=50 and <= 60,0.655,242
1960,Africa,Western Africa,Senegal,2020,<5000,45.5,>=40 and < 50,0.258,300
1960,Europe,Southern Europe,Serbia,6950,>= 5000 and <20000,64.8,>60,,108
1960,Africa,Eastern Africa,Seychelles,6030,>= 5000 and <20000,60.9,>60,,102
1960,Africa,Western Africa,Sierra Leone,1280,<5000,39.1,0-40,0.311,393
1960,Asia,South-Eastern Asia,Singapore,4990,<5000,66,>60,0.853,47.8
1960,Europe,Southern Europe,Slovenia,8160,>= 5000 and <20000,67.4,>60,,24
1960,Oceania,Melanesia,Solomon Islands,1110,<5000,49.5,>=40 and < 50,0.0933,196
1960,Africa,Eastern Africa,Somalia,1210,<5000,44.2,>=40 and < 50,0.0306,271
1960,Africa,Southern Africa,South Africa,7870,>= 5000 and <20000,52.7,>=50 and <= 60,5.61,183
1960,Africa,Eastern Africa,South Sudan,2450,<5000,42.3,>=40 and < 50,,357
1960,Europe,Southern Europe,Spain,5740,>= 5000 and <20000,69,>60,1.6,46.3
1960,Asia,Southern Asia,Sri Lanka,1880,<5000,60,>=50 and <= 60,0.229,99.4
1960,Africa,Northern Africa,Sudan,2280,<5000,48.5,>=40 and < 50,0.18,177
1960,Americas,South America,Suriname,6940,>= 5000 and <20000,60.8,>60,1.49,93.6
1960,Africa,Southern Africa,Swaziland,1920,<5000,47,>=40 and < 50,0.0945,210
1960,Europe,Northern Europe,Sweden,15100,>= 5000 and <20000,72.9,>60,6.58,19.6
1960,Europe,Western Europe,Switzerland,27600,>= 20000 and <40000,71.3,>60,3.69,26.5
1960,Asia,Central Asia,Tajikistan,3370,<5000,52.9,>=50 and <= 60,1.52,188
1960,Asia,South-Eastern Asia,Thailand,1540,<5000,57.6,>=50 and <= 60,0.136,147
1960,Asia,South-Eastern Asia,Timor-Leste,719,<5000,37.1,0-40,,327
1960,Africa,Western Africa,Togo,1240,<5000,44.4,>=40 and < 50,0.0418,272
1960,Oceania,Polynesia,Tonga,1540,<5000,61.9,>60,0.179,93.8
1960,Americas,Caribbean,Trinidad and Tobago,8070,>= 5000 and <20000,63,>60,3.04,67.7
1960,Africa,Northern Africa,Tunisia,2180,<5000,46.7,>=40 and < 50,0.414,282
1960,Asia,Western Asia,Turkey,4920,<5000,49.1,>=40 and < 50,0.612,256
1960,Asia,Central Asia,Turkmenistan,7020,>= 5000 and <20000,52.3,>=50 and <= 60,8.93,187
1960,Africa,Eastern Africa,Uganda,881,<5000,45.2,>=40 and < 50,0.0621,224
1960,Europe,Eastern Europe,Ukraine,5530,>= 5000 and <20000,69.4,>60,6.41,53.6
1960,Asia,Western Asia,United Arab Emirates,1770,<5000,55,>=50 and <= 60,0.119,204
1960,Americas,South America,Uruguay,8000,>= 5000 and <20000,67.7,>60,1.7,64
1960,Asia,Central Asia,Uzbekistan,2360,<5000,59.3,>=50 and <= 60,5.67,168
1960,Oceania,Melanesia,Vanuatu,1470,<5000,50.1,>=50 and <= 60,,154
1960,Asia,Western Asia,Yemen,1420,<5000,33,0-40,0.703,413
1960,Africa,Eastern Africa,Zambia,3110,<5000,50.6,>=50 and <= 60,,206
1960,Africa,Eastern Africa,Zimbabwe,2000,<5000,53.8,>=50 and <= 60,,151
1961,Asia,Southern Asia,Afghanistan,1200,<5000,39.4,0-40,0.0536,358
1961,Europe,Southern Europe,Albania,2820,<5000,63.7,>60,1.35,180
1961,Africa,Northern Africa,Algeria,5640,>= 5000 and <20000,52.6,>=50 and <= 60,0.532,245
1961,Europe,Southern Europe,Andorra,16500,>= 5000 and <20000,,,,
1961,Africa,Middle Africa,Angola,4310,<5000,43,>=40 and < 50,0.079,302
1961,Americas,Caribbean,Antigua and Barbuda,4530,<5000,63.4,>60,0.849,93.5
1961,Americas,South America,Argentina,9510,>= 5000 and <20000,64.2,>60,2.44,69
1961,Asia,Western Asia,Armenia,2610,<5000,62.4,>60,1.34,115
1961,Oceania,Australia and New Zealand,Australia,14100,>= 5000 and <20000,71.5,>60,8.63,24.3
1961,Europe,Western Europe,Austria,12600,>= 5000 and <20000,69.7,>60,4.48,40.2
1961,Asia,Western Asia,Azerbaijan,5290,>= 5000 and <20000,58.1,>=50 and <= 60,6.24,127
1961,Americas,Caribbean,Bahamas,15600,>= 5000 and <20000,62.2,>60,4.75,38
1961,Asia,Western Asia,Bahrain,23000,>= 20000 and <40000,54.2,>=50 and <= 60,10.5,182
1961,Asia,Southern Asia,Bangladesh,1090,<5000,44.3,>=40 and < 50,0.0462,256
1961,Americas,Caribbean,Barbados,5360,>= 5000 and <20000,65,>60,0.839,78
1961,Europe,Eastern Europe,Belarus,4100,<5000,71.3,>60,4.73,41.6
1961,Europe,Western Europe,Belgium,13100,>= 5000 and <20000,70.5,>60,10.1,32.4
1961,Americas,Central America,Belize,2030,<5000,61.3,>60,0.387,132
1961,Africa,Western Africa,Benin,1200,<5000,41.6,>=40 and < 50,0.052,313
1961,Asia,Southern Asia,Bhutan,961,<5000,42.3,>=40 and < 50,,339
1961,Europe,Southern Europe,Bosnia and Herzegovina,1800,<5000,61.2,>60,,118
1961,Africa,Southern Africa,Botswana,991,<5000,52.5,>=50 and <= 60,,164
1961,Americas,South America,Brazil,4670,<5000,57.4,>=50 and <= 60,0.662,167
1961,Europe,Eastern Europe,Bulgaria,5120,>= 5000 and <20000,70,>60,3.27,47.8
1961,Africa,Western Africa,Burkina Faso,681,<5000,39.2,0-40,0.0187,340
1961,Africa,Eastern Africa,Burundi,543,<5000,42.3,>=40 and < 50,,249
1961,Asia,South-Eastern Asia,Cambodia,1490,<5000,44.1,>=40 and < 50,0.0487,252
1961,Africa,Middle Africa,Cameroon,1840,<5000,46.6,>=40 and < 50,0.0534,271
1961,Americas,Northern America,Canada,14600,>= 5000 and <20000,71.4,>60,10.6,31.6
1961,Africa,Middle Africa,Central African Republic,1450,<5000,42,>=40 and < 50,0.0575,276
1961,Africa,Middle Africa,Chad,1470,<5000,44.9,>=40 and < 50,0.0168,287
1961,Americas,South America,Chile,6070,>= 5000 and <20000,58.6,>=50 and <= 60,1.83,149
1961,Asia,Eastern Asia,China,560,<5000,33.3,0-40,0.826,262
1961,Americas,South America,Colombia,3530,<5000,61.6,>60,1.07,131
1961,Africa,Eastern Africa,Comoros,1010,<5000,46.7,>=40 and < 50,0.0567,312
1961,Americas,Central America,Costa Rica,4280,<5000,64,>60,0.356,104
1961,Europe,Southern Europe,Croatia,7950,>= 5000 and <20000,64.8,>60,,64.1
1961,Americas,Caribbean,Cuba,9460,>= 5000 and <20000,66.3,>60,1.67,49.8
1961,Asia,Western Asia,Cyprus,5750,>= 5000 and <20000,68,>60,1.5,54.6
1961,Europe,Eastern Europe,Czech Republic,12300,>= 5000 and <20000,70.8,>60,11.2,27.8
1961,Europe,Northern Europe,Denmark,16200,>= 5000 and <20000,72.4,>60,6.88,24.5
1961,Africa,Eastern Africa,Djibouti,3790,<5000,53.2,>=50 and <= 60,0.497,246
1961,Americas,Caribbean,Dominica,2450,<5000,,,0.18,127
1961,Americas,Caribbean,Dominican Republic,2510,<5000,57.8,>=50 and <= 60,0.303,146
1961,Americas,South America,Ecuador,4450,<5000,58.3,>=50 and <= 60,0.352,173
1961,Africa,Northern Africa,Egypt,2080,<5000,48.1,>=40 and < 50,0.616,303
1961,Americas,Central America,El Salvador,4000,<5000,54,>=50 and <= 60,0.205,182
1961,Africa,Middle Africa,Equatorial Guinea,712,<5000,40.9,>=40 and < 50,0.085,303
1961,Africa,Eastern Africa,Eritrea,935,<5000,41.7,>=40 and < 50,,274
1961,Europe,Northern Europe,Estonia,7490,>= 5000 and <20000,69.5,>60,,39.9
1961,Africa,Eastern Africa,Ethiopia,668,<5000,39.7,0-40,0.015,269
1961,Oceania,Melanesia,Fiji,3580,<5000,60.3,>60,0.414,74.2
1961,Europe,Northern Europe,Finland,11400,>= 5000 and <20000,68.8,>60,3.34,25.2
1961,Europe,Western Europe,France,12200,>= 5000 and <20000,71.3,>60,6.05,27
1961,Africa,Middle Africa,Gabon,1650,<5000,44.1,>=40 and < 50,0.327,226
1961,Africa,Western Africa,Gambia,1350,<5000,45.7,>=40 and < 50,0.0584,353
1961,Asia,Western Asia,Georgia,3400,<5000,61.3,>60,1.68,83.8
1961,Europe,Western Europe,Germany,15300,>= 5000 and <20000,69.8,>60,11.3,38.4
1961,Africa,Western Africa,Ghana,2270,<5000,51.3,>=50 and <= 60,0.196,207
1961,Europe,Southern Europe,Greece,6630,>= 5000 and <20000,70.9,>60,1.18,45.3
1961,Americas,Caribbean,Grenada,2120,<5000,63.5,>60,0.201,74.4
1961,Americas,Central America,Guatemala,3340,<5000,45.1,>=40 and < 50,0.325,215
1961,Africa,Western Africa,Guinea,844,<5000,42.5,>=40 and < 50,0.17,349
1961,Africa,Western Africa,Guinea-Bissau,1260,<5000,39.1,0-40,0.0471,316
1961,Americas,South America,Guyana,3160,<5000,59.5,>=50 and <= 60,1.25,88.4
1961,Americas,Caribbean,Haiti,2160,<5000,41.4,>=40 and < 50,0.0753,281
1961,Americas,Central America,Honduras,2490,<5000,50.9,>=50 and <= 60,0.352,204
1961,Europe,Eastern Europe,Hungary,9600,>= 5000 and <20000,68.9,>60,4.88,51
1961,Europe,Northern Europe,Iceland,10900,>= 5000 and <20000,73.6,>60,6.1,21.1
1961,Asia,Southern Asia,India,1040,<5000,42.2,>=40 and < 50,0.284,242
1961,Asia,South-Eastern Asia,Indonesia,1810,<5000,46.7,>=40 and < 50,0.289,216
1961,Asia,Western Asia,Iraq,6580,>= 5000 and <20000,51.1,>=50 and <= 60,1.17,183
1961,Europe,Northern Europe,Ireland,8220,>= 5000 and <20000,69.9,>60,4.38,33.8
1961,Asia,Western Asia,Israel,7500,>= 5000 and <20000,67.6,>60,3.25,38.8
1961,Europe,Southern Europe,Italy,11100,>= 5000 and <20000,69.8,>60,2.49,49.8
1961,Americas,Caribbean,Jamaica,5510,>= 5000 and <20000,65.3,>60,1.29,80.5
1961,Asia,Eastern Asia,Japan,5370,>= 5000 and <20000,68.6,>60,2.99,36.2
1961,Asia,Western Asia,Jordan,4670,<5000,55.1,>=50 and <= 60,1.01,148
1961,Asia,Central Asia,Kazakhstan,8810,>= 5000 and <20000,59.9,>=50 and <= 60,11.2,105
1961,Africa,Eastern Africa,Kenya,1770,<5000,51.7,>=50 and <= 60,0.287,190
1961,Oceania,Micronesia,Kiribati,2920,<5000,50.3,>=50 and <= 60,0.174,191
1961,Asia,Western Asia,Kuwait,21400,>= 20000 and <40000,64,>60,33.1,136
1961,Europe,Northern Europe,Latvia,5730,>= 5000 and <20000,70.4,>60,,34.6
1961,Asia,Western Asia,Lebanon,9360,>= 5000 and <20000,64,>60,1.44,75
1961,Africa,Southern Africa,Lesotho,560,<5000,53,>=50 and <= 60,,191
1961,Africa,Western Africa,Liberia,1760,<5000,41.6,>=40 and < 50,0.141,315
1961,Africa,Northern Africa,Libya,12800,>= 5000 and <20000,51.4,>=50 and <= 60,0.798,261
1961,Europe,Northern Europe,Lithuania,9440,>= 5000 and <20000,70.5,>60,3.53,45.5
1961,Europe,Western Europe,Luxembourg,23200,>= 20000 and <40000,70,>60,36.5,34.3
1961,Africa,Eastern Africa,Madagascar,2280,<5000,45.4,>=40 and < 50,0.0681,236
1961,Africa,Eastern Africa,Malawi,538,<5000,40.5,>=40 and < 50,,360
1961,Asia,South-Eastern Asia,Malaysia,3130,<5000,60.2,>60,,87
1961,Asia,Southern Asia,Maldives,1110,<5000,32.8,0-40,,338
1961,Africa,Western Africa,Mali,825,<5000,34.3,0-40,0.0221,446
1961,Europe,Southern Europe,Malta,2820,<5000,67,>60,0.938,39.1
1961,Oceania,Micronesia,Marshall Islands,1740,<5000,,,,123
1961,Africa,Western Africa,Mauritania,1940,<5000,48.3,>=40 and < 50,0.054,245
1961,Africa,Eastern Africa,Mauritius,3300,<5000,57.7,>=50 and <= 60,0.275,98.6
1961,Americas,Central America,Mexico,6110,>= 5000 and <20000,58.3,>=50 and <= 60,1.66,144
1961,Asia,Eastern Asia,Mongolia,1250,<5000,48.6,>=40 and < 50,1.42,229
1961,Europe,Southern Europe,Montenegro,6850,>= 5000 and <20000,66.8,>60,,89.9
1961,Africa,Northern Africa,Morocco,1970,<5000,51.2,>=50 and <= 60,0.297,232
1961,Africa,Eastern Africa,Mozambique,475,<5000,42.3,>=40 and < 50,0.349,277
1961,Asia,South-Eastern Asia,Myanmar,814,<5000,41.4,>=40 and < 50,0.121,243
1961,Africa,Southern Africa,Namibia,4620,<5000,52.3,>=50 and <= 60,,113
1961,Asia,Southern Asia,Nepal,965,<5000,44.3,>=40 and < 50,0.00789,319
1961,Europe,Western Europe,Netherlands,13300,>= 5000 and <20000,73.7,>60,6.54,20.3
1961,Oceania,Australia and New Zealand,New Zealand,16700,>= 5000 and <20000,71.2,>60,4.85,26.8
1961,Americas,Central America,Nicaragua,4450,<5000,51.5,>=50 and <= 60,0.307,196
1961,Africa,Western Africa,Niger,1220,<5000,42.1,>=40 and < 50,0.0158,318
1961,Africa,Western Africa,Nigeria,3560,<5000,49.8,>=40 and < 50,0.0893,333
1961,Europe,Northern Europe,Norway,16300,>= 5000 and <20000,73.5,>60,3.7,22
1961,Asia,Western Asia,Oman,4610,<5000,43.8,>=40 and < 50,,363
1961,Asia,Southern Asia,Pakistan,1250,<5000,50.1,>=50 and <= 60,0.269,251
1961,Americas,Central America,Panama,4390,<5000,63.7,>60,0.946,87.9
1961,Oceania,Melanesia,Papua New Guinea,1140,<5000,45.2,>=40 and < 50,0.0983,193
1961,Americas,South America,Paraguay,3000,<5000,67.7,>60,0.186,82.4
1961,Americas,South America,Peru,5670,>= 5000 and <20000,43.4,>=40 and < 50,0.835,220
1961,Asia,South-Eastern Asia,Philippines,2660,<5000,60.1,>60,0.321,101
1961,Europe,Eastern Europe,Poland,6740,>= 5000 and <20000,68,>60,6.91,59.5
1961,Europe,Southern Europe,Portugal,5770,>= 5000 and <20000,63.1,>60,1.02,110
1961,Asia,Western Asia,Qatar,19500,>= 5000 and <20000,61.1,>60,3.14,126
1961,Europe,Eastern Europe,Romania,6440,>= 5000 and <20000,66.7,>60,2.97,73
1961,Africa,Eastern Africa,Rwanda,605,<5000,44.5,>=40 and < 50,,217
1961,Oceania,Polynesia,Samoa,3380,<5000,58.9,>=50 and <= 60,0.164,131
1961,Africa,Middle Africa,Sao Tome and Principe,1330,<5000,53.1,>=50 and <= 60,0.17,133
1961,Asia,Western Asia,Saudi Arabia,11900,>= 5000 and <20000,55.6,>=50 and <= 60,0.847,236
1961,Africa,Western Africa,Senegal,2070,<5000,45.8,>=40 and < 50,0.247,299
1961,Europe,Southern Europe,Serbia,7180,>= 5000 and <20000,65.4,>60,,104
1961,Africa,Eastern Africa,Seychelles,5540,>= 5000 and <20000,61.5,>60,,99.8
1961,Africa,Western Africa,Sierra Leone,1280,<5000,39.4,0-40,0.124,388
1961,Asia,South-Eastern Asia,Singapore,5520,>= 5000 and <20000,66.4,>60,1.24,43.8
1961,Europe,Southern Europe,Slovenia,8450,>= 5000 and <20000,67.6,>60,,23.4
1961,Oceania,Melanesia,Solomon Islands,1130,<5000,50,>=50 and <= 60,0.121,185
1961,Africa,Eastern Africa,Somalia,1240,<5000,44.7,>=40 and < 50,0.0313,267
1961,Africa,Southern Africa,South Africa,7950,>= 5000 and <20000,53.2,>=50 and <= 60,5.7,180
1961,Africa,Eastern Africa,South Sudan,2390,<5000,42.9,>=40 and < 50,,354
1961,Europe,Southern Europe,Spain,6440,>= 5000 and <20000,69.4,>60,1.74,43
1961,Asia,Southern Asia,Sri Lanka,1870,<5000,60.4,>60,0.231,95.3
1961,Africa,Northern Africa,Sudan,2220,<5000,48.9,>=40 and < 50,0.178,174
1961,Americas,South America,Suriname,7110,>= 5000 and <20000,61.2,>60,1.44,90.5
1961,Africa,Southern Africa,Swaziland,2120,<5000,47.3,>=40 and < 50,0.0103,207
1961,Europe,Northern Europe,Sweden,16000,>= 5000 and <20000,73.4,>60,6.49,19.2
1961,Europe,Western Europe,Switzerland,29000,>= 20000 and <40000,71.6,>60,3.78,26
