"code","year","income_group","gross_savings"
"NOR",2015,"High income",35.60931643
"NPL",2015,"Lower middle income",40.08822844
"NZL",2015,"High income",20.75365954
"OMN",2015,"High income",22.47862994
"PAK",2015,"Lower middle income",15.77184542
"PAN",2015,"Upper middle income",31.61355517
"PER",2015,"Upper middle income",20.04791647
"PHL",2015,"Lower middle income",35.6348267
"POL",2015,"High income",19.50483332
"PRT",2015,"High income",15.64479626
"PRY",2015,"Upper middle income",22.56869632
"PSE",2015,"Lower middle income",11.38985199
"QAT",2015,"High income",45.56898651
"ROU",2015,"Upper middle income",24.32513763
"RUS",2015,"Upper middle income",26.36670919
"RWA",2015,"Low income",9.883934057
"SAU",2015,"High income",25.50283078
"SDN",2015,"Low income",36.61223136
"SEN",2015,"Lower middle income",20.54025021
"SGP",2015,"High income",44.0462477
"SLB",2015,"Lower middle income",13.07687048
"SLE",2015,"Low income",-1.465528905
"SLV",2015,"Lower middle income",12.32624987
"SRB",2015,"Upper middle income",16.33635793
"SSD",2015,"Low income",6.176861844
"SVK",2015,"High income",23.44624757
"SVN",2015,"High income",23.08998954
"SWE",2015,"High income",27.48339138
"SWZ",2015,"Lower middle income",22.64208989
"SXM",2015,"High income",18.99465002
"SYC",2015,"High income",17.7821181
"TGO",2015,"Low income",21.19627143
"THA",2015,"Upper middle income",28.04382283
"TJK",2015,"Lower middle income",41.66999366
"TLS",2015,"Lower middle income",68.4174885
"TON",2015,"Upper middle income",8.896305106
"TUN",2015,"Lower middle income",12.59691476
"TUR",2015,"Upper middle income",25.21372372
"TZA",2015,"Lower middle income",25.32380564
"UGA",2015,"Low income",16.57924218
"UKR",2015,"Lower middle income",21.45707885
"URY",2015,"High income",14.86554183
"USA",2015,"High income",20.20807249
"UZB",2015,"Lower middle income",25.79368424
"VNM",2015,"Lower middle income",23.30366356
"VUT",2015,"Lower middle income",38.91030749
"XKX",2015,"Upper middle income",21.66713322
"ZAF",2015,"Upper middle income",14.28897594
"ZMB",2015,"Lower middle income",33.70021507
"ZWE",2015,"Lower middle income",-0.1078259791
