Name,Platform,Release Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.77
Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.48
Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.05
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.04
Final Fantasy VIII,PS,1999,Role-Playing,Other,2.28,1.72,3.63,0.23,7.86
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.7
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.57
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.38
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.32
Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.18
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.06
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.84
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
Zumba Fitness,Wii,2010,Sports,Other,3.5,2.64,0,0.67,6.81
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.77
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.5
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.42
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.33
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.29
World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28
Driver,PS,1999,Action,Other,3.11,2.8,0.02,0.33,6.26
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Other,2.45,2.01,0.87,0.72,6.05
Metal Gear Solid,PS,1998,Action,Other,3.18,1.83,0.78,0.24,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Other,2.63,1.74,0.83,0.83,6.03
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.02
Final Fantasy XII,PS2,2006,Role-Playing,Other,1.88,0,2.33,1.74,5.95
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.85
LEGO Star Wars: The Complete Saga,Wii,2007,Action,Other,3.66,1.63,0,0.53,5.82
Resident Evil 2,PS,1998,Action,Other,1.88,1.47,2.02,0.45,5.82
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
Cooking Mama,DS,2006,Simulation,Other,3.13,1.94,0.07,0.58,5.72
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.56
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.52
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.51
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.48
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.47
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Other,2.07,2.29,0.24,0.82,5.42
Final Fantasy XIII,PS3,2009,Role-Playing,Other,1.74,1.24,1.87,0.52,5.37
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
Final Fantasy IX,PS,2000,Role-Playing,Other,1.62,0.77,2.78,0.14,5.31
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.28
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.25
Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.25
Tomb Raider II,PS,1997,Action,Other,2.3,2.46,0.2,0.28,5.24
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.21
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Other,0.65,0.75,3.61,0.2,5.21
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.14
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.12
Guitar Hero II,PS2,2006,Misc,Other,3.81,0.63,0,0.68,5.12
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.11
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.09
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
Resident Evil,PS,1996,Action,Other,2.05,1.16,1.11,0.73,5.05
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
Warzone 2100,PS,1999,Strategy,Other,2.79,1.89,0,0.33,5.01
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.99
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,4.99
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
Fallout 3,X360,2008,Role-Playing,Other,3.39,1.03,0.09,0.44,4.95
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.89
LEGO Star Wars: The Complete Saga,DS,2007,Action,Other,2.89,1.54,0,0.46,4.89
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.85
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.84
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
The Simpsons: Hit & Run,PS2,2003,Racing,Other,1.73,2.19,0,0.79,4.71
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
Tomb Raider,PS,1996,Action,Other,2.29,1.97,0.13,0.24,4.63
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.61
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.54
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Other,0.2,0.14,4.1,0.02,4.46
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.42
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.4
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Other,0.1,2.39,1.05,0.86,4.4
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
Kingdom Hearts II,PS2,2005,Role-Playing,Other,2.2,0.58,1.38,0.17,4.33
Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.33
Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.3
Batman: Arkham Asylum,PS3,2009,Action,Other,2.23,1.34,0.07,0.61,4.25
Namco Museum,GBA,2001,Misc,Namco Bandai,3,1.11,0.05,0.07,4.23
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Other,1.46,0,0.83,1.93,4.22
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.21
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.21
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.2
Street Fighter IV,PS3,2009,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
Frogger,PS,1997,Action,Other,3.79,0.27,0,0.11,4.17
Teenage Mutant Ninja Turtles,NES,1989,Action,Other,3.38,0.44,0.31,0.04,4.17
Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
Half-Life,PC,1997,Shooter,Other,4.03,0,0.09,0,4.12
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.11
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09
Fallout: New Vegas,X360,2010,Role-Playing,Other,2.65,1.06,0.04,0.33,4.08
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.07
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai,1.68,1.51,0.51,0.35,4.05
World Soccer Winning Eleven 9,PS2,2005,Sports,Other,0.12,2.26,0.9,0.77,4.05
Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.04
Fallout 3,PS3,2008,Role-Playing,Other,2.15,1.2,0.07,0.59,4.01
Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.92,1.78,0.92,0.37,3.99
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.98
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai,2.08,1.35,0,0.54,3.97
EA Sports Active,Wii,2009,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.89
Tekken 5,PS2,2005,Fighting,Namco Bandai,0.93,1.94,0.31,0.7,3.88
Dragon Warrior III,NES,1988,Role-Playing,Other,0.1,0,3.77,0,3.87
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.87
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Other,0.16,1.89,1.12,0.68,3.85
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.84
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.06,1.93,0.41,0.43,3.83
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.82
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.4,1.03,0,0.36,3.79
Resident Evil Director's Cut,PS,1996,Action,Other,1.82,1.24,0.47,0.25,3.78
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,0.88,0.59,0.32,3.77
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73
Resident Evil 3: Nemesis,PS,1999,Action,Other,1.3,0.77,1.54,0.11,3.72
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.7
MySims,DS,2007,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.69
Friend Collection,DS,2009,Misc,Nintendo,0,0,3.67,0,3.67
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.65,1.22,0,0.79,3.66
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.65
Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,0.97,0,0.35,3.65
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.64
Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
Pro Evolution Soccer 2008,PS2,2007,Sports,Other,0.05,0,0.64,2.93,3.62
Star Wars: Battlefront,PS2,2004,Shooter,Other,1.93,1.22,0.03,0.44,3.62
Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.61
Doom II: Hell on Earth,PC,1994,Shooter,Other,2.05,1.4,0,0.16,3.61
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,Other,1.61,1.5,0.1,0.39,3.6
Star Wars: Battlefront II,PS2,2005,Shooter,Other,2.18,1.02,0.03,0.37,3.6
WWF SmackDown!,PS,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
Croc: Legend of the Gobbos,PS,1997,Platform,Other,1.57,1.79,0,0.2,3.56
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Other,1.66,1.58,0.12,0.18,3.54
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.54
LEGO Star Wars: The Video Game,PS2,2005,Action,Other,1.98,1.14,0.01,0.41,3.54
The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.53
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.22,1.66,0.27,0.38,3.53
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.53
Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,1.33,0,0.23,3.52
Resident Evil 5,X360,2009,Action,Capcom,2.11,0.94,0.12,0.34,3.51
