id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Description,Fee,Status,Seller Message,Card ID,Customer ID,Invoice ID,Transfer,price_id (metadata),product_id (metadata)
ch_3OZ1XUAKv6LsYLX23GXdIN15,1/16/2024 1:34,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OZ1XSAKv6LsYLX2ETOsIFdP,cus_PNn5yO1paycaZl,in_1OZ1XTAKv6LsYLX22cH9fx0R,,,
ch_3OYzHAAKv6LsYLX21I3rsply,1/15/2024 23:09,14,0,usd,TRUE,10,0,usd,Subscription update,0.59,Paid,Payment complete.,pm_1O1cUJAKv6LsYLX2QETvWsXt,cus_OpH1a0LNGq42Nw,in_1OYyKCAKv6LsYLX2sqYJGUHl,,,
ch_3OXsfXAKv6LsYLX232OMlqDe,1/15/2024 21:54,27,0,usd,FALSE,15,0,usd,Subscription update,0,Failed,The bank returned the decline code `do_not_honor`.,pm_1OMcwnAKv6LsYLX2lEH1L03B,cus_PAysS2GbSXhjz7,in_1OXrjBAKv6LsYLX242GbfaDf,,,
ch_3OYwmJAKv6LsYLX21sTRDqh2,1/15/2024 20:29,48,0,usd,TRUE,44,0,usd,,1.58,Paid,Payment complete.,pm_1OYtkiAKv6LsYLX2ve1Y2y9M,cus_PNemYjsQdOZAiL,in_1OYwmLAKv6LsYLX2Y0qZH2Kh,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OYwgqAKv6LsYLX21VahEPpZ,1/15/2024 20:23,149,0,usd,TRUE,149,0,usd,,4.62,Paid,Payment complete.,pm_1OYwgqAKv6LsYLX2JOWxdSZa,cus_PNi6eSJc9VaISH,in_1OYwgtAKv6LsYLX2Wy2iPhAg,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYwDsAKv6LsYLX23Q1jfUc7,1/15/2024 19:53,60.24,0,cad,TRUE,43.56,0,usd,,2.22,Paid,Payment complete.,pm_1OYwDrAKv6LsYLX2DHqrxfaw,cus_PNhYgQbYB6ka0o,in_1OYwDvAKv6LsYLX2CLRXkA4y,,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a
ch_3OYvHVAKv6LsYLX23bqk1hgA,1/15/2024 18:53,48,0,usd,TRUE,44,0,usd,,1.58,Paid,Payment complete.,pm_1OYvHUAKv6LsYLX2kYSC2EpO,cus_PNckUpKayezrTg,in_1OYvHYAKv6LsYLX2PRoJxW1Q,,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a
ch_3OYu0OAKv6LsYLX20GCSgzGi,1/15/2024 17:31,60.24,0,cad,TRUE,43.56,0,usd,,2.22,Paid,Payment complete.,pm_1OYu0OAKv6LsYLX22RbYJNtN,cus_PNfJwIdA6BWqDe,in_1OYu0RAKv6LsYLX2p3V5wvlT,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OYtkkAKv6LsYLX23I4Gs8CV,1/15/2024 17:15,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OYtkiAKv6LsYLX2ve1Y2y9M,cus_PNemYjsQdOZAiL,in_1OYtkjAKv6LsYLX200OseWiT,,,
ch_3OYsblAKv6LsYLX23pgT1VTX,1/15/2024 16:01,27,0,usd,TRUE,15,0,usd,Subscription update,0.74,Paid,Payment complete.,pm_1ONcsuAKv6LsYLX2zbzwVN0n,cus_PC0sxAF2P7sD6e,in_1OYrf6AKv6LsYLX2Nvr68sPF,,,
ch_3OYsXeAKv6LsYLX22Zqwobl8,1/15/2024 15:57,48,0,usd,TRUE,44,0,usd,,2.24,Paid,Payment complete.,pm_1OYsXeAKv6LsYLX22X3GFKby,cus_PNdj6KMJF2DFa1,in_1OYsXiAKv6LsYLX232Da7FWW,,d8b64e76-c7a9-4c9d-b904-49d81557c23a,8c46a7cc-09e5-40d8-9584-33c0184298c6
ch_3OYrD3AKv6LsYLX22LaY5LwF,1/15/2024 14:32,14,0,usd,TRUE,10,0,usd,Subscription update,0.74,Paid,Payment complete.,pm_1O1UPzAKv6LsYLX2nCuLTZV7,cus_Op8fzjbIse2ufk,in_1OYqGZAKv6LsYLX2OF5Sqw5i,,,
ch_3OYr4yAKv6LsYLX212Rlhc75,1/15/2024 14:23,41.03,0,eur,TRUE,43.57,0,usd,,2.22,Paid,Payment complete.,pm_1OYqb7AKv6LsYLX2tuqRcJyK,cus_PNblN4H1OrBcdP,in_1OYr51AKv6LsYLX2411OPusm,,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a
ch_3OYqb9AKv6LsYLX20Hgb5RqL,1/15/2024 13:53,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OYqb7AKv6LsYLX2tuqRcJyK,cus_PNblN4H1OrBcdP,in_1OYqb8AKv6LsYLX2n1A3BQnj,,,
ch_3OYoa7AKv6LsYLX21jizjYfH,1/15/2024 11:43,48,0,usd,TRUE,44,0,usd,,1.58,Paid,Payment complete.,pm_1OYoa6AKv6LsYLX2YdmCDFHh,cus_PNZdNy1yEC5MXG,in_1OYoaAAKv6LsYLX20quPcR16,,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a
ch_3OYldQAKv6LsYLX21LhibX7W,1/15/2024 8:35,27,0,usd,TRUE,15,0,usd,Subscription update,0.96,Paid,Payment complete.,pm_1ONVudAKv6LsYLX2t3jKWKh0,cus_PAtsr5m9glP0ci,in_1OYkh5AKv6LsYLX2RkMCb4Vq,,,
ch_3OYjc5AKv6LsYLX22mZhF4gE,1/15/2024 6:25,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OYjc3AKv6LsYLX2TzTMRFrh,cus_PGVMbknHQ1oZaP,in_1OYjc5AKv6LsYLX2JxKiCjvg,,,
ch_3OYiEAAKv6LsYLX20eqj9l7g,1/15/2024 4:56,35.2,0,usd,TRUE,35.2,0,usd,,1.32,Paid,Payment complete.,pm_1OYiE9AKv6LsYLX2fjSSDjmo,cus_Ozk4UqcTl0Hhco,in_1OYiEDAKv6LsYLX2nTOfvUBE,,d8b64e76-c7a9-4c9d-b904-49d81557c23a,8c46a7cc-09e5-40d8-9584-33c0184298c6
ch_3OYiBnAKv6LsYLX23P24HkHS,1/15/2024 4:54,2052.13,0,mxn,TRUE,118.01,0,usd,,5.49,Paid,Payment complete.,pm_1OYiBmAKv6LsYLX2hFQi3jDS,cus_PNT3KzTh0xRd16,in_1OYiBsAKv6LsYLX2Hwt75JzU,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYi7gAKv6LsYLX20soTgjEO,1/15/2024 4:50,14,0,usd,TRUE,10,0,usd,Subscription update,0.59,Paid,Payment complete.,pm_1O1LKEAKv6LsYLX2isdfYceE,cus_OozH98c9bjdZqi,in_1OYhBSAKv6LsYLX20J0VOaB6,,,
ch_3OYi1GAKv6LsYLX201hNa7Lu,1/15/2024 4:43,279.2,0,usd,TRUE,279.2,0,usd,,8.4,Paid,Payment complete.,pm_1OYi1GAKv6LsYLX2Kouv6CQN,cus_PNSuZSuxVORgnl,in_1OYi1KAKv6LsYLX2wQ9vWZsl,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
ch_3OYhzCAKv6LsYLX20V9IvqWy,1/15/2024 4:41,119.2,0,usd,TRUE,119.2,0,usd,,3.76,Paid,Payment complete.,pm_1OYhzBAKv6LsYLX2JPzPuQR7,cus_PM01yhYwecQf8s,in_1OYhzFAKv6LsYLX2zSk87ZS8,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYhnXAKv6LsYLX22tbVRR8P,1/15/2024 4:29,12,0,usd,TRUE,12,0,usd,Subscription creation,0.65,Paid,Payment complete.,pm_1OYhnVAKv6LsYLX2a21k6Aul,cus_PNSencP5E7OSUU,in_1OYhnWAKv6LsYLX2RHUwYDKy,,,
ch_3OYhmeAKv6LsYLX21iwY0I8b,1/15/2024 4:28,35.2,0,usd,TRUE,35.2,0,usd,,1.32,Paid,Payment complete.,pm_1OYhmeAKv6LsYLX2crhn0tFA,cus_PNSencP5E7OSUU,in_1OYhmhAKv6LsYLX26IZGsitW,,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a
ch_3OYhlTAKv6LsYLX20UgxUB6m,1/15/2024 4:27,27.2,0,usd,TRUE,27.2,0,usd,,1.09,Paid,Payment complete.,pm_1OYhlSAKv6LsYLX2YBYyxKIl,cus_PNSencP5E7OSUU,in_1OYhlWAKv6LsYLX2DSXQLVAl,,c5712f31-b51f-4314-8b89-d3fb2af2e0e0,48dc9a13-5f13-4cb9-88e2-f6004bdaee4c
ch_3OYhkJAKv6LsYLX21Z8zQMS8,1/15/2024 4:26,119.2,0,usd,TRUE,119.2,0,usd,,3.76,Paid,Payment complete.,pm_1OYhkIAKv6LsYLX2NQAW2Cne,cus_PAXjs4rcsRq8JB,in_1OYhkMAKv6LsYLX2ZaHcIPB2,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYhdeAKv6LsYLX23iN8tqAH,1/15/2024 4:19,279.2,0,usd,TRUE,279.2,0,usd,,8.4,Paid,Payment complete.,pm_1OYhdeAKv6LsYLX2uzJUxBHU,cus_PNRzQ6cf0tESYZ,in_1OYhdhAKv6LsYLX2Sg3gXAVy,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
ch_3OYhURAKv6LsYLX210l0riam,1/15/2024 4:09,35.2,0,usd,TRUE,35.2,0,usd,,1.32,Paid,Payment complete.,pm_1OYhURAKv6LsYLX2oyoxl4Bo,cus_PNSNGMUIrh4AoN,in_1OYhUVAKv6LsYLX2NHjFJXLh,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OYhT0AKv6LsYLX22h1yE294,1/15/2024 4:08,53.71,0,aud,TRUE,34.85,0,usd,,1.83,Paid,Payment complete.,pm_1OYhT0AKv6LsYLX26tRRSPpZ,cus_PN2vR625CRCAHW,in_1OYhT4AKv6LsYLX2nF9qCqvY,,7a56d0f1-a2e5-4e2e-b26c-948a9ad21cb2,c985f100-5645-48e3-8e3d-ceffbcc37a3d
ch_3OYhQtAKv6LsYLX20152tngY,1/15/2024 4:05,242.91,0,aud,TRUE,157.61,0,usd,,7.23,Paid,Payment complete.,pm_1OYhQsAKv6LsYLX27NcWkSe5,cus_PN2vR625CRCAHW,in_1OYhQwAKv6LsYLX2r6ZVv7UK,,25fdcdc9-4f82-4374-a62c-7d323f543a03,201283c3-5723-4e02-9d18-d9ff952d0d07
ch_3OYhM5AKv6LsYLX21TklMeKO,1/15/2024 4:00,79.2,0,usd,TRUE,79.2,0,usd,,2.6,Paid,Payment complete.,pm_1OYhM5AKv6LsYLX2L5pRGpXk,cus_PGFNIgK74e3mkN,in_1OYhM9AKv6LsYLX2LlwDUGDE,,4b101604-f66f-48a3-bb37-e6cff6a35276,17f137bd-4c6a-4590-9c92-529872986e49
ch_3OYhLHAKv6LsYLX23VqlBESx,1/15/2024 4:00,279.2,159.2,usd,TRUE,159.2,159.2,usd,,4.92,Refunded,Payment complete.,pm_1OYhLGAKv6LsYLX2O33ZlDYI,cus_PNRzQ6cf0tESYZ,in_1OYhLKAKv6LsYLX23jRKL6NI,,25fdcdc9-4f82-4374-a62c-7d323f543a03,201283c3-5723-4e02-9d18-d9ff952d0d07
ch_3OYhHOAKv6LsYLX22BjCGWO5,1/15/2024 3:56,119.2,0,usd,TRUE,119.2,0,usd,,3.76,Paid,Payment complete.,pm_1OYhHOAKv6LsYLX2RHmXGT2G,cus_PCYUUD1fXvjgbc,in_1OYhHRAKv6LsYLX2nGQUgTHL,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYhCxAKv6LsYLX21xIr4Osm,1/15/2024 3:51,199,199,usd,TRUE,199,199,usd,,6.07,Refunded,Payment complete.,pm_1OYhCwAKv6LsYLX2P60RTI3q,cus_PNRzQ6cf0tESYZ,in_1OYhD0AKv6LsYLX2SFWiL1Rl,,25fdcdc9-4f82-4374-a62c-7d323f543a03,201283c3-5723-4e02-9d18-d9ff952d0d07
ch_3OYgrUAKv6LsYLX22L7283fQ,1/15/2024 3:29,162.07,0,sgd,TRUE,118.01,0,usd,,5.49,Paid,Payment complete.,pm_1OYgrUAKv6LsYLX2OHpWFxyA,cus_PNRjeXXKwZFedC,in_1OYgrZAKv6LsYLX2Yhgy2z1s,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYgbzAKv6LsYLX20SKopc2d,1/15/2024 3:13,119.2,0,usd,TRUE,119.2,0,usd,,3.76,Paid,Payment complete.,pm_1OYgbyAKv6LsYLX2JTg8Pml2,cus_OuSaB8YDOA3NTN,in_1OYgc3AKv6LsYLX2zSt3abDX,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYgDjAKv6LsYLX22lxKR2Ck,1/15/2024 2:48,12,0,usd,TRUE,12,0,usd,Subscription creation,0.83,Paid,Payment complete.,pm_1OYgDiAKv6LsYLX2B8EcddBu,cus_PNR4468lF24NqB,in_1OYgDjAKv6LsYLX2agVIKa7O,,,
ch_3OYg9WAKv6LsYLX20j3xARqb,1/15/2024 2:43,279.2,0,usd,TRUE,279.2,0,usd,,8.4,Paid,Payment complete.,pm_1OYg9VAKv6LsYLX2NwUzxycP,cus_PAcG6U2RjOHFci,in_1OYg9aAKv6LsYLX2RnUBYeWW,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
ch_3OYfsiAKv6LsYLX23cOWZKBS,1/15/2024 2:26,12,0,usd,TRUE,12,0,usd,Subscription creation,0.65,Paid,Payment complete.,pm_1OYfsgAKv6LsYLX2UdsTjK61,cus_PMZexDyOzTezt6,in_1OYfshAKv6LsYLX2o65Wvvmy,,,
ch_3OYfrxAKv6LsYLX21r77JriH,1/15/2024 2:25,163.08,0,cad,TRUE,118.01,0,usd,,5.49,Paid,Payment complete.,pm_1OYfrxAKv6LsYLX2uRAWk6YD,cus_PNOgrSBBNtGtWw,in_1OYfs2AKv6LsYLX2XbRCE7zY,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYfWuAKv6LsYLX20pnzUKJH,1/15/2024 2:04,178.65,0,pln,TRUE,43.56,0,usd,,2.22,Paid,Payment complete.,pm_1OXrgLAKv6LsYLX2UPxVgtUQ,cus_PMaqGBMDUs0A9M,in_1OYfWxAKv6LsYLX2TD2Rmbv3,,d8b64e76-c7a9-4c9d-b904-49d81557c23a,8c46a7cc-09e5-40d8-9584-33c0184298c6
ch_3OYeqPAKv6LsYLX21AZOYnaq,1/15/2024 1:20,119.2,0,usd,TRUE,119.2,0,usd,,3.76,Paid,Payment complete.,pm_1OYeqIAKv6LsYLX2WQFWbVAv,cus_PNPNkwUvN72ORo,in_1OYeqYAKv6LsYLX2iCnjX4tk,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYemiAKv6LsYLX20IeeLXYl,1/15/2024 1:16,279.2,0,usd,TRUE,279.2,0,usd,,8.4,Paid,Payment complete.,pm_1OYemhAKv6LsYLX2oJreyUUA,cus_PNPbJ0bOIKpwS7,in_1OYempAKv6LsYLX2hLGMgkwp,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
ch_3OYektAKv6LsYLX23fOg662I,1/15/2024 1:14,119.2,0,usd,TRUE,119.2,0,usd,,3.76,Paid,Payment complete.,pm_1OYeksAKv6LsYLX2GiNpKaVL,cus_PL5BVy5WLInxkh,in_1OYekxAKv6LsYLX2SkOKJwcw,,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e
ch_3OYdwiAKv6LsYLX205WIuW03,1/15/2024 0:22,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OYdwgAKv6LsYLX2TuKUt0fX,cus_PK3f8Pdcn3jZ9V,in_1OYdwhAKv6LsYLX237gwOu1r,,,
ch_3OYdfuAKv6LsYLX227wYYaEM,1/15/2024 0:06,279.2,0,usd,TRUE,159.2,0,usd,,4.92,Paid,Payment complete.,pm_1OYdhLAKv6LsYLX2aoUetDVI,cus_P9742UExfTZIme,in_1OYdhQAKv6LsYLX2vQlenDFn,,25fdcdc9-4f82-4374-a62c-7d323f543a03,201283c3-5723-4e02-9d18-d9ff952d0d07
ch_3OYdfuAKv6LsYLX22TjI8YS3,1/15/2024 0:05,279.2,0,usd,FALSE,159.2,0,usd,,0,Failed,The bank returned the decline code `insufficient_funds`.,pm_1OYdfuAKv6LsYLX2yRXYgLYP,cus_P9742UExfTZIme,,,25fdcdc9-4f82-4374-a62c-7d323f543a03,201283c3-5723-4e02-9d18-d9ff952d0d07
ch_3OYddpAKv6LsYLX22iGyVS4Z,1/15/2024 0:03,60.22,0,cad,TRUE,43.56,0,usd,,2.22,Paid,Payment complete.,pm_1OYddoAKv6LsYLX2r1aNAmQy,cus_PNOMaTTj7O5ODT,in_1OYddsAKv6LsYLX2MIDklJ33,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OYdcDAKv6LsYLX23E3Ys3b4,1/15/2024 0:01,279.2,0,usd,TRUE,279.2,0,usd,,8.4,Paid,Payment complete.,pm_1OYdcCAKv6LsYLX2KVJj7ou0,cus_Oz69JPpJCdTBw9,in_1OYdcHAKv6LsYLX2nFCQiFaF,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
,1/14/2024 23:59,60.22,,cad,,,,,,,canceled,,,cus_PNOMaTTj7O5ODT,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OYczqAKv6LsYLX22LQj68YV,1/14/2024 23:21,79.2,0,usd,TRUE,79.2,0,usd,,2.6,Paid,Payment complete.,pm_1OYczpAKv6LsYLX2X98dLJIM,cus_PBMf3Rl8eigK8k,in_1OYczuAKv6LsYLX2MS0C8gEO,,4b101604-f66f-48a3-bb37-e6cff6a35276,17f137bd-4c6a-4590-9c92-529872986e49
